T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.07247,-0.61307,-0.05728,0.20205,-0.0549,-0.03609,0.14196,80.41674,1.58246,1.39594,-4.73305,0.16835,0.16196,0.05332,-0.00693,-0.06675,1.34017,-0.04668,0.21776,0.01124,1.29516,0.39033,-0.01929,-1.51966,-0.71323,0.25165,1.58136,1.28431,0.11055,0.18368,-1.47852,-1.36793,-0.22865,-0.6036
0.02,-0.07312,-0.6138,-0.05732,0.2022,-0.05486,-0.03612,0.14175,80.41461,1.57594,1.39355,-4.73167,0.16824,0.16203,0.05332,-0.00694,-0.06641,1.33901,-0.04816,0.21802,0.01252,1.29716,0.39016,-0.01999,-1.52337,-0.71228,0.2516,1.58733,1.28558,0.11064,0.18329,-1.48051,-1.36748,-0.22887,-0.60419
0.04,-0.07373,-0.61452,-0.05732,0.20229,-0.05483,-0.03616,0.14181,80.41349,1.56969,1.39133,-4.73017,0.16809,0.1621,0.05351,-0.00689,-0.06611,1.33795,-0.04868,0.21812,0.01361,1.29911,0.39,-0.02057,-1.52699,-0.71136,0.25156,1.5932,1.28683,0.11073,0.18296,-1.48247,-1.36703,-0.22909,-0.60476
0.06,-0.0743,-0.61523,-0.05728,0.20235,-0.05482,-0.03619,0.14212,80.41544,1.56382,1.38934,-4.72848,0.1679,0.16217,0.05384,-0.00678,-0.06585,1.33702,-0.04829,0.21805,0.01451,1.30102,0.38986,-0.021,-1.5305,-0.71048,0.25152,1.59889,1.28805,0.11084,0.18269,-1.48438,-1.36657,-0.2293,-0.60531
0.08,-0.07494,-0.61588,-0.05719,0.20245,-0.05483,-0.03624,0.14249,80.40069,1.55704,1.38688,-4.72745,0.16774,0.16226,0.05421,-0.00663,-0.06556,1.33581,-0.04758,0.2179,0.01548,1.303,0.38967,-0.02158,-1.53419,-0.70958,0.25147,1.60515,1.28931,0.11091,0.18236,-1.48641,-1.36613,-0.22943,-0.60585
0.1,-0.07537,-0.61658,-0.05701,0.20246,-0.05486,-0.03629,0.14316,80.42205,1.5524,1.38565,-4.72501,0.16753,0.16234,0.05464,-0.00642,-0.06531,1.33529,-0.04569,0.2175,0.01598,1.30477,0.38961,-0.02163,-1.53738,-0.70881,0.25147,1.61013,1.29045,0.11107,0.18225,-1.4882,-1.36564,-0.22964,-0.60634
0.12,-0.07528,-0.61748,-0.05675,0.2022,-0.05488,-0.03633,0.14445,80.54244,1.55384,1.38777,-4.71863,0.16721,0.16238,0.05517,-0.00617,-0.06519,1.33661,-0.0417,0.2167,0.0154,1.30594,0.38991,-0.02033,-1.53926,-0.70829,0.25163,1.61145,1.29123,0.11145,0.18268,-1.48922,-1.36503,-0.23017,-0.60681
0.14,-0.07502,-0.61839,-0.05641,0.20192,-0.05492,-0.03637,0.14583,80.69977,1.5572,1.39103,-4.71099,0.16692,0.16243,0.05559,-0.00589,-0.06509,1.33851,-0.0372,0.21574,0.01448,1.30691,0.39033,-0.01857,-1.54067,-0.70789,0.25183,1.61154,1.29191,0.11192,0.1833,-1.49003,-1.36437,-0.23074,-0.60721
0.16,-0.07485,-0.61919,-0.05602,0.20182,-0.05501,-0.03644,0.14688,80.84119,1.5592,1.39361,-4.70428,0.16679,0.16251,0.05577,-0.00561,-0.06492,1.33997,-0.03357,0.21482,0.01382,1.30801,0.39068,-0.01712,-1.54231,-0.70747,0.252,1.61234,1.29266,0.11234,0.1838,-1.49105,-1.36373,-0.23119,-0.60754
0.18,-0.07472,-0.62016,-0.05576,0.20175,-0.05509,-0.03651,0.14779,80.98085,1.56182,1.39632,-4.69761,0.16678,0.16257,0.05574,-0.00538,-0.06479,1.34117,-0.03111,0.21396,0.01347,1.3091,0.39103,-0.01574,-1.54404,-0.70697,0.25217,1.61281,1.2934,0.11273,0.18427,-1.4919,-1.36311,-0.23178,-0.60813
0.2,-0.07455,-0.6207,-0.05525,0.20197,-0.05527,-0.0366,0.14832,81.13354,1.56306,1.39874,-4.69134,0.16695,0.16269,0.05548,-0.00518,-0.06467,1.34237,-0.02903,0.21311,0.01297,1.31024,0.39139,-0.01437,-1.54559,-0.70662,0.25235,1.61379,1.2942,0.11319,0.18475,-1.49316,-1.36245,-0.232,-0.60815
0.22,-0.07422,-0.62019,-0.05401,0.20274,-0.05566,-0.03674,0.14815,81.31385,1.56021,1.40028,-4.68565,0.16733,0.16299,0.05495,-0.005,-0.06451,1.34438,-0.02612,0.21225,0.01169,1.31154,0.39181,-0.01295,-1.54663,-0.70667,0.25255,1.61656,1.29517,0.11386,0.18533,-1.49559,-1.36167,-0.23115,-0.60656
0.24,-0.07385,-0.61927,-0.0526,0.20381,-0.05611,-0.03687,0.14751,81.50572,1.55604,1.40148,-4.68042,0.16791,0.16333,0.05429,-0.00491,-0.06452,1.34621,-0.024,0.21154,0.01035,1.3129,0.39223,-0.01156,-1.54752,-0.70684,0.25276,1.61984,1.29619,0.11459,0.1859,-1.49842,-1.36085,-0.22997,-0.60441
0.26,-0.07356,-0.61851,-0.05147,0.20499,-0.0565,-0.03697,0.14654,81.69248,1.55256,1.40264,-4.67545,0.16864,0.16359,0.05359,-0.00495,-0.06488,1.34734,-0.02372,0.21115,0.00949,1.31424,0.39263,-0.01031,-1.54857,-0.70691,0.25296,1.62279,1.2972,0.11525,0.1864,-1.50104,-1.36007,-0.22901,-0.60258
0.28,-0.07324,-0.61787,-0.05035,0.20624,-0.05684,-0.03703,0.14503,81.8836,1.54908,1.40381,-4.66942,0.1694,0.16384,0.05292,-0.00507,-0.06551,1.34998,-0.02351,0.21117,0.00833,1.3156,0.39305,-0.00904,-1.5496,-0.70697,0.25317,1.62602,1.29821,0.11597,0.18691,-1.5037,-1.35926,-0.22802,-0.60068
0.3,-0.07305,-0.61693,-0.04951,0.208,-0.05716,-0.03705,0.14265,82.06744,1.54557,1.40439,-4.6656,0.1704,0.16396,0.05225,-0.00521,-0.06677,1.34901,-0.02518,0.21169,0.00804,1.31695,0.39341,-0.00803,-1.55078,-0.70699,0.25335,1.62873,1.29924,0.11654,0.18727,-1.50632,-1.35853,-0.22713,-0.5989
0.32,-0.0732,-0.61524,-0.0493,0.21066,-0.0575,-0.03705,0.13911,82.23596,1.54221,1.40374,-4.66786,0.17185,0.1638,0.05155,-0.00528,-0.06902,1.33799,-0.03122,0.21276,0.01019,1.31823,0.39359,-0.00765,-1.55229,-0.7069,0.25339,1.63005,1.30034,0.11667,0.18729,-1.50879,-1.35805,-0.22651,-0.5975
0.34,-0.07346,-0.61328,-0.04932,0.21395,-0.0578,-0.03699,0.13418,82.39265,1.53888,1.40235,-4.67197,0.17341,0.16347,0.05093,-0.00516,-0.07205,1.32365,-0.03771,0.21462,0.01294,1.31948,0.39371,-0.00752,-1.55393,-0.70676,0.25339,1.63084,1.30146,0.11665,0.18716,-1.5112,-1.35765,-0.22598,-0.59624
0.36,-0.07365,-0.61152,-0.04929,0.21754,-0.058,-0.03687,0.12771,82.5517,1.5357,1.40078,-4.67445,0.17476,0.16306,0.05046,-0.00467,-0.07569,1.31127,-0.04174,0.21739,0.01489,1.32072,0.39386,-0.00732,-1.55555,-0.70661,0.25343,1.63179,1.30254,0.11671,0.18705,-1.5136,-1.35721,-0.22546,-0.59496
0.38,-0.07385,-0.60982,-0.04926,0.22138,-0.05814,-0.0367,0.11972,82.73174,1.53309,1.39897,-4.6762,0.17586,0.16244,0.05007,-0.00363,-0.0801,1.29781,-0.04462,0.22095,0.01686,1.32189,0.39401,-0.00718,-1.55703,-0.70649,0.2534,1.63297,1.30364,0.11677,0.18689,-1.51598,-1.35678,-0.22496,-0.59364
0.4,-0.07396,-0.60812,-0.04927,0.22632,-0.05814,-0.03646,0.10912,82.85329,1.52984,1.39601,-4.67754,0.17687,0.16171,0.04964,-0.00177,-0.08548,1.28556,-0.0449,0.22586,0.01794,1.32302,0.39416,-0.00712,-1.55873,-0.70628,0.25345,1.63353,1.30464,0.11682,0.18667,-1.51829,-1.35639,-0.22453,-0.59251
