T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.01455,8e-05,-0.00333,-0.04909,0,-0.01003,0.0702,-0.01307,0.01817,-0.02673,-0.03581,0.00363,0.3622,0.05283,0.26744,0.00419,0.0268,0.02261,-0.00535,0.11892,0.02428,-0.03921,0.00738,0.0961,0.03301,-0.03188,0.00277,0.01223,0.06131,-0.01563,-0.0049,-0.03974,-0.02069,-0.01378,0.00648,0.02164,-0.01666,0.0086,0.01097,0.03477
0.02,-0.01425,6e-05,-0.00338,-0.04873,0,-0.01033,0.06934,-0.01365,0.01695,-0.02283,-0.03632,0.00447,0.36315,0.0561,0.27366,0.0019,0.02871,0.02229,-0.00464,0.1212,0.02726,-0.04821,-0.00315,0.09276,0.03047,-0.03005,0.00353,0.01255,0.05908,-0.01662,-0.00448,-0.0383,-0.01905,-0.01264,0.00683,0.02058,-0.01819,0.00907,0.01187,0.0356
0.04,-0.01349,4e-05,-0.00334,-0.04712,0,-0.01041,0.06669,-0.01423,0.0147,-0.01729,-0.03633,0.00567,0.35655,0.05938,0.27576,-0.00121,0.03052,0.02131,-0.00364,0.12265,0.03084,-0.06003,-0.01747,0.08647,0.02629,-0.02699,0.00463,0.01254,0.05405,-0.01785,-0.00365,-0.03549,-0.01575,-0.01094,0.00705,0.019,-0.01952,0.0094,0.01266,0.03558
0.06,-0.01228,2e-05,-0.00322,-0.04424,0,-0.0102,0.0624,-0.01488,0.01134,-0.0105,-0.03593,0.00729,0.34279,0.06265,0.27342,-0.00499,0.03207,0.01967,-0.00245,0.12419,0.035,-0.07485,-0.03508,0.07778,0.02062,-0.02294,0.0061,0.0121,0.04604,-0.01939,-0.00235,-0.03142,-0.0106,-0.00883,0.00707,0.01715,-0.0204,0.00951,0.01317,0.03446
0.08,-0.01065,0,-0.00299,-0.04013,0,-0.00963,0.05672,-0.01561,0.00683,-0.00315,-0.03524,0.00936,0.32246,0.06576,0.26611,-0.0091,0.03314,0.0174,-0.00122,0.12687,0.03959,-0.09252,-0.05493,0.06753,0.01375,-0.01825,0.00794,0.01114,0.03501,-0.02126,-0.00055,-0.02635,-0.00345,-0.00653,0.00682,0.01535,-0.02044,0.00931,0.01321,0.03198
0.1,-0.00866,-0,-0.00264,-0.03489,0,-0.0086,0.05002,-0.01645,0.00122,0.00382,-0.03439,0.01187,0.29644,0.06843,0.25316,-0.0131,0.03339,0.01458,-0.00015,0.13179,0.04433,-0.11247,-0.07533,0.05688,0.00617,-0.01343,0.0101,0.0095,0.02106,-0.02348,0.00177,-0.02063,0.00574,-0.00437,0.00617,0.01406,-0.01918,0.00866,0.01252,0.02779
0.12,-0.0064,1e-05,-0.00216,-0.02867,0,-0.00701,0.04272,-0.0174,-0.00538,0.00939,-0.03349,0.0148,0.26572,0.07028,0.23389,-0.01647,0.03242,0.01128,0.00054,0.13985,0.04883,-0.13371,-0.09429,0.04704,-0.00156,-0.00902,0.01252,0.00707,0.00436,-0.02603,0.0046,-0.01466,0.01699,-0.00269,0.00503,0.01373,-0.01612,0.00743,0.01082,0.02159
0.14,-0.00393,5e-05,-0.00153,-0.02168,0,-0.0048,0.03518,-0.01846,-0.01279,0.0127,-0.03258,0.01809,0.23128,0.07091,0.20796,-0.01884,0.0299,0.00761,0.0007,0.15123,0.05271,-0.15493,-0.11004,0.03894,-0.00896,-0.00545,0.0152,0.00372,-0.01496,-0.02898,0.00798,-0.00877,0.03038,-0.00179,0.00328,0.01481,-0.0109,0.0055,0.00789,0.01314
0.16,-0.00132,0.00011,-0.00075,-0.01418,0,-0.00192,0.02764,-0.01961,-0.02075,0.01331,-0.03163,0.02165,0.19401,0.06994,0.17559,-0.02008,0.02564,0.00366,0.00029,0.16513,0.05562,-0.17449,-0.12137,0.03292,-0.01573,-0.00292,0.0182,-0.00061,-0.03682,-0.03247,0.01195,-0.00314,0.04604,-0.00186,0.00086,0.01762,-0.00333,0.00279,0.00364,0.00238
0.18,0.00139,0.0002,0.00018,-0.00659,0,0.00159,0.02031,-0.0208,-0.02882,0.01118,-0.0305,0.02535,0.155,0.06704,0.13792,-0.0203,0.01957,-0.00045,-0.00059,0.17948,0.05724,-0.19024,-0.12759,0.02877,-0.02168,-0.0014,0.02166,-0.00591,-0.06105,-0.03672,0.01655,0.00216,0.06407,-0.00297,-0.00224,0.02234,0.00646,-0.00069,-0.00189,-0.01046
0.2,0.00409,0.0003,0.00125,0.00053,0,0.00561,0.01335,-0.02197,-0.03642,0.00665,-0.02897,0.02899,0.11578,0.06192,0.09707,-0.01983,0.01184,-0.00454,-0.00176,0.19113,0.05727,-0.19951,-0.12841,0.02582,-0.02675,-0.00067,0.02572,-0.01205,-0.08721,-0.04196,0.02177,0.00712,0.08437,-0.00507,-0.00594,0.02898,0.01804,-0.00485,-0.00847,-0.02486
0.22,0.00669,0.00041,0.00243,0.00657,0,0.00994,0.00695,-0.02299,-0.04287,0.00024,-0.02684,0.03232,0.07821,0.05438,0.05583,-0.01907,0.00277,-0.0084,-0.00296,0.19655,0.05543,-0.19958,-0.12388,0.02317,-0.03088,-0.00041,0.03043,-0.01878,-0.11434,-0.04826,0.02747,0.01174,0.10637,-0.00797,-0.01012,0.03728,0.03066,-0.00951,-0.01572,-0.03996
0.24,0.00913,0.00052,0.0037,0.01104,0,0.0143,0.00122,-0.02368,-0.04764,-0.00756,-0.02388,0.03511,0.04409,0.04434,0.01689,-0.01835,-0.00721,-0.01185,-0.00393,0.193,0.05154,-0.18845,-0.11435,0.01995,-0.03406,-0.0003,0.03566,-0.02569,-0.14081,-0.05536,0.03332,0.01594,0.12874,-0.01131,-0.01453,0.04661,0.04333,-0.01438,-0.0231,-0.05469
0.26,0.01135,0.00061,0.00503,0.01374,0,0.01832,-0.00376,-0.02378,-0.0505,-0.01643,-0.02001,0.03719,0.01507,0.0319,-0.01746,-0.01779,-0.01752,-0.01474,-0.00452,0.17937,0.04557,-0.1655,-0.10052,0.01554,-0.0363,-0.00012,0.04101,-0.03224,-0.16413,-0.06245,0.03865,0.0195,0.14912,-0.01456,-0.01887,0.05588,0.05484,-0.01907,-0.02999,-0.06779
0.28,0.01333,0.00069,0.00639,0.01473,0,0.02154,-0.00793,-0.02291,-0.05147,-0.02621,-0.01525,0.03843,-0.00718,0.01748,-0.04517,-0.0173,-0.02734,-0.01694,-0.00464,0.15643,0.03767,-0.13175,-0.08348,0.00963,-0.03761,0.00025,0.04569,-0.03764,-0.18063,-0.0681,0.04247,0.02206,0.16386,-0.01695,-0.02267,0.06339,0.06365,-0.02304,-0.03556,-0.07764
0.3,0.01503,0.00074,0.00771,0.01431,0,0.02336,-0.01123,-0.02066,-0.05083,-0.0368,-0.00977,0.03872,-0.0208,0.00181,-0.06421,-0.01659,-0.03564,-0.01833,-0.00426,0.12675,0.02823,-0.08982,-0.06481,0.00225,-0.03795,0.00086,0.04859,-0.04091,-0.18564,-0.07034,0.04344,0.02307,0.16821,-0.0175,-0.02535,0.06692,0.0679,-0.02559,-0.03881,-0.08234
0.32,0.01643,0.00075,0.00894,0.01287,0,0.02323,-0.01357,-0.01665,-0.04895,-0.04814,-0.00382,0.03799,-0.02399,-0.01416,-0.07274,-0.0153,-0.0413,-0.01881,-0.00341,0.09394,0.01772,-0.04328,-0.04624,-0.00633,-0.03726,0.00167,0.04856,-0.04108,-0.1746,-0.06715,0.04026,0.02198,0.15747,-0.01529,-0.02632,0.06426,0.06584,-0.02602,-0.03878,-0.0801
0.34,0.01752,0.00073,0.01003,0.01084,0,0.02081,-0.0149,-0.01071,-0.04625,-0.06023,0.00236,0.03624,-0.01561,-0.02966,-0.06968,-0.01313,-0.04355,-0.01833,-0.00214,0.06158,0.00663,0.00433,-0.02923,-0.01579,-0.03545,0.00264,0.04486,-0.03755,-0.14491,-0.05725,0.03214,0.01846,0.12883,-0.00973,-0.02521,0.05404,0.05645,-0.0239,-0.03491,-0.06991
0.36,0.0183,0.00066,0.01094,0.00856,0,0.01617,-0.01525,-0.00301,-0.04304,-0.07304,0.00857,0.03354,0.00437,-0.04413,-0.05504,-0.01,-0.04211,-0.01694,-0.00053,0.03252,-0.00468,0.05012,-0.01476,-0.02578,-0.03239,0.00375,0.03746,-0.03041,-0.09734,-0.0407,0.01927,0.01259,0.08287,-0.0009,-0.02202,0.0363,0.03997,-0.01926,-0.02727,-0.05211
0.38,0.0188,0.00055,0.01164,0.00633,0,0.00985,-0.0147,0.00584,-0.03961,-0.08648,0.01465,0.03009,0.03465,-0.05723,-0.03012,-0.00604,-0.03732,-0.01477,0.00132,0.00905,-0.01587,0.09153,-0.00329,-0.03591,-0.02799,0.00496,0.02718,-0.02047,-0.0367,-0.01914,0.00295,0.00492,0.02415,0.01039,-0.01719,0.01282,0.01817,-0.01262,-0.01672,-0.02859
0.4,0.01906,0.00042,0.01213,0.00436,0,0.00282,-0.0134,0.01481,-0.03616,-0.10023,0.0204,0.02619,0.07264,-0.06871,0.00257,-0.00165,-0.03005,-0.01208,0.00327,-0.007,-0.02654,0.12613,0.005,-0.04567,-0.02214,0.00629,0.01563,-0.00931,0.02846,0.00432,-0.01449,-0.00353,-0.03905,0.02262,-0.01154,-0.01306,-0.00586,-0.005,-0.00483,-0.00275
0.42,0.01911,0.00026,0.01238,0.00285,0,-0.00378,-0.0115,0.0227,-0.0329,-0.11389,0.02565,0.02222,0.11495,-0.07839,0.03981,0.00266,-0.02145,-0.00917,0.00516,-0.01426,-0.03626,0.15176,0.01019,-0.05444,-0.01482,0.00772,0.00476,0.00123,0.08797,0.02591,-0.03023,-0.01154,-0.09682,0.03393,-0.00607,-0.03727,-0.02837,0.00236,0.00652,0.02143
0.44,0.019,0.0001,0.01239,0.00189,0,-0.00897,-0.00919,0.02852,-0.02993,-0.1271,0.03027,0.0185,0.15827,-0.08622,0.07848,0.00637,-0.01258,-0.0063,0.00684,-0.01211,-0.04469,0.16717,0.01254,-0.06161,-0.0061,0.00921,-0.00377,0.00959,0.13337,0.04246,-0.04197,-0.01803,-0.1409,0.0428,-0.00161,-0.05642,-0.04627,0.00843,0.01574,0.04059
0.46,0.01877,-7e-05,0.01218,0.00154,0,-0.01222,-0.0066,0.03174,-0.0273,-0.13958,0.03421,0.01524,0.19973,-0.09238,0.11595,0.00909,-0.00424,-0.00373,0.0082,-0.00094,-0.05158,0.17234,0.01248,-0.06664,0.00377,0.01074,-0.00901,0.01491,0.16009,0.05222,-0.04846,-0.02236,-0.16681,0.0484,0.00135,-0.06859,-0.05782,0.01259,0.02194,0.05289
0.48,0.01847,-0.00023,0.01174,0.00177,0,-0.01347,-0.0039,0.03232,-0.02503,-0.15113,0.03751,0.01261,0.23671,-0.09716,0.14987,0.01052,0.00306,-0.00164,0.00914,0.01775,-0.05673,0.16853,0.01056,-0.06899,0.0143,0.01222,-0.0108,0.01707,0.16773,0.05497,-0.04962,-0.02432,-0.17415,0.05065,0.00274,-0.07354,-0.06278,0.01471,0.02494,0.05803
0.5,0.01814,-0.00037,0.01113,0.00247,0,-0.01301,-0.00124,0.03064,-0.02309,-0.16145,0.04023,0.01067,0.26662,-0.10094,0.17796,0.01045,0.00901,-0.00022,0.00957,0.04146,-0.05994,0.15806,0.00746,-0.06811,0.02472,0.01352,-0.00964,0.01656,0.15939,0.05178,-0.04636,-0.02403,-0.16592,0.05008,0.00282,-0.07234,-0.06214,0.01504,0.02515,0.05708
0.52,0.01785,-0.00048,0.01036,0.00354,0,-0.01139,0.00121,0.02732,-0.02146,-0.17025,0.04243,0.00947,0.28716,-0.10404,0.19816,0.00882,0.01343,0.00033,0.00944,0.06702,-0.06107,0.14394,0.00395,-0.06348,0.03407,0.01449,-0.0064,0.01427,0.14021,0.04447,-0.04017,-0.02189,-0.14711,0.04761,0.00204,-0.0669,-0.05761,0.01406,0.02337,0.05184
0.54,0.01761,-0.00056,0.00948,0.00485,0,-0.00916,0.00331,0.02301,-0.02008,-0.1773,0.04414,0.00898,0.29706,-0.1067,0.20905,0.00571,0.01624,-0.00025,0.00872,0.0913,-0.06003,0.12931,0.00077,-0.05476,0.04149,0.01496,-0.00198,0.01107,0.11539,0.0349,-0.03255,-0.01836,-0.12279,0.04415,0.00086,-0.05913,-0.05093,0.01228,0.02039,0.04418
0.56,0.01746,-0.0006,0.00852,0.00633,0,-0.00675,0.00499,0.0182,-0.01891,-0.18255,0.04537,0.00907,0.29653,-0.10892,0.21014,0.00147,0.01747,-0.00226,0.00747,0.11155,-0.05689,0.11709,-0.00137,-0.04188,0.04628,0.01476,0.0029,0.00765,0.08899,0.02451,-0.02466,-0.01394,-0.09692,0.04043,-0.00038,-0.05053,-0.04351,0.01011,0.01685,0.03555
