T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00022,-0.00054,-8e-05,0.00017,-4e-05,-3e-05,0.00024,0.04779,0.00544,0.00104,-0.0042,0.00012,0.00015,5e-05,0,-0.00017,0.00069,-1e-05,0.00019,-1e-05,0.00127,0.00066,9e-05,-0.00172,-0.0005,0.00019,0.00123,0.00127,-9e-05,2e-05,-0.00155,-0.00107,-0.00018,-0.00062
0.02,0.00022,-0.00054,-8e-05,0.00017,-4e-05,-3e-05,0.00024,0.04778,0.00527,0.00104,-0.00419,0.00012,0.00015,5e-05,0,-0.00017,0.00068,-1e-05,0.00019,-0,0.00127,0.00066,9e-05,-0.00172,-0.0005,0.00019,0.00123,0.00127,-0.0001,2e-05,-0.00155,-0.00107,-0.00018,-0.00062
0.04,0.00022,-0.00054,-8e-05,0.00017,-4e-05,-3e-05,0.00023,0.04777,0.0051,0.00103,-0.00418,0.00012,0.00015,5e-05,-0,-0.00016,0.00068,-1e-05,0.00019,-0,0.00127,0.00066,9e-05,-0.00172,-0.0005,0.00019,0.00124,0.00127,-0.0001,2e-05,-0.00155,-0.00107,-0.00018,-0.00062
0.06,0.00022,-0.00054,-8e-05,0.00017,-4e-05,-3e-05,0.00023,0.04777,0.00494,0.00103,-0.00417,0.00012,0.00015,5e-05,-0,-0.00016,0.00067,-1e-05,0.00019,-0,0.00127,0.00065,9e-05,-0.00172,-0.00051,0.00019,0.00124,0.00127,-0.0001,2e-05,-0.00155,-0.00107,-0.00018,-0.00062
0.08,0.00023,-0.00054,-8e-05,0.00017,-4e-05,-3e-05,0.00023,0.04775,0.00477,0.00102,-0.00416,0.00012,0.00015,5e-05,-0,-0.00015,0.00067,-1e-05,0.00019,-0,0.00127,0.00065,9e-05,-0.00172,-0.00051,0.00019,0.00125,0.00127,-0.0001,2e-05,-0.00155,-0.00107,-0.00018,-0.00062
0.1,0.00023,-0.00053,-8e-05,0.00017,-4e-05,-3e-05,0.00022,0.04776,0.00464,0.00102,-0.00415,0.00012,0.00015,6e-05,-0,-0.00015,0.00066,-1e-05,0.00019,-0,0.00127,0.00065,9e-05,-0.00172,-0.00051,0.00019,0.00125,0.00126,-0.0001,2e-05,-0.00155,-0.00107,-0.00018,-0.00062
0.12,0.00023,-0.00053,-8e-05,0.00017,-4e-05,-3e-05,0.00023,0.04785,0.00459,0.00102,-0.00415,0.00012,0.00015,6e-05,-0,-0.00015,0.00066,-1e-05,0.00019,-0,0.00127,0.00065,9e-05,-0.00172,-0.00051,0.00019,0.00125,0.00126,-0.0001,2e-05,-0.00156,-0.00107,-0.00018,-0.00061
0.14,0.00023,-0.00053,-8e-05,0.00017,-4e-05,-3e-05,0.00023,0.04797,0.00457,0.00102,-0.00415,0.00012,0.00015,6e-05,-0,-0.00016,0.00067,-1e-05,0.00019,-0,0.00127,0.00065,9e-05,-0.00172,-0.00051,0.00019,0.00126,0.00126,-0.0001,2e-05,-0.00156,-0.00107,-0.00018,-0.00061
0.16,0.00023,-0.00053,-8e-05,0.00017,-4e-05,-3e-05,0.00023,0.04807,0.00454,0.00103,-0.00415,0.00012,0.00015,6e-05,-0,-0.00016,0.00067,-1e-05,0.00019,-0,0.00128,0.00065,9e-05,-0.00172,-0.00051,0.00019,0.00126,0.00126,-0.00011,2e-05,-0.00156,-0.00107,-0.00018,-0.00061
0.18,0.00023,-0.00053,-8e-05,0.00017,-4e-05,-3e-05,0.00023,0.04818,0.0045,0.00103,-0.00415,0.00012,0.00015,7e-05,-0,-0.00017,0.00067,-1e-05,0.00019,-0,0.00128,0.00065,9e-05,-0.00172,-0.00051,0.0002,0.00127,0.00126,-0.00011,3e-05,-0.00156,-0.00107,-0.00018,-0.00061
0.2,0.00022,-0.00053,-8e-05,0.00018,-4e-05,-3e-05,0.00023,0.04829,0.00448,0.00103,-0.00415,0.00012,0.00015,7e-05,-0,-0.00017,0.00067,-1e-05,0.00019,-0,0.00128,0.00064,9e-05,-0.00172,-0.00051,0.0002,0.00127,0.00126,-0.00011,3e-05,-0.00156,-0.00107,-0.00018,-0.00061
0.22,0.00022,-0.00053,-8e-05,0.00018,-4e-05,-3e-05,0.00024,0.04835,0.00454,0.00103,-0.00413,0.00012,0.00014,7e-05,-0,-0.00017,0.00067,-1e-05,0.00019,-0,0.00128,0.00065,9e-05,-0.00172,-0.00051,0.0002,0.00126,0.00126,-0.00011,3e-05,-0.00156,-0.00107,-0.00018,-0.00061
0.24,0.00022,-0.00053,-8e-05,0.00018,-4e-05,-3e-05,0.00024,0.04841,0.00463,0.00104,-0.00412,0.00012,0.00014,7e-05,-0,-0.00018,0.00068,-1e-05,0.00019,-0,0.00128,0.00065,0.0001,-0.00172,-0.00051,0.0002,0.00125,0.00127,-0.0001,3e-05,-0.00156,-0.00107,-0.00018,-0.00062
0.26,0.00022,-0.00053,-8e-05,0.00018,-4e-05,-3e-05,0.00024,0.04847,0.00469,0.00104,-0.0041,0.00012,0.00014,7e-05,-0,-0.00018,0.00068,-2e-05,0.00019,0,0.00128,0.00065,0.0001,-0.00172,-0.00051,0.0002,0.00125,0.00127,-0.0001,3e-05,-0.00156,-0.00107,-0.00018,-0.00062
0.28,0.00022,-0.00053,-8e-05,0.00018,-4e-05,-3e-05,0.00024,0.04854,0.00477,0.00105,-0.00409,0.00013,0.00014,7e-05,-0,-0.00018,0.00068,-2e-05,0.00019,0,0.00128,0.00065,0.0001,-0.00172,-0.00051,0.0002,0.00124,0.00127,-0.0001,3e-05,-0.00156,-0.00107,-0.00018,-0.00063
0.3,0.00022,-0.00053,-8e-05,0.00018,-4e-05,-3e-05,0.00024,0.0486,0.00484,0.00105,-0.00408,0.00013,0.00014,7e-05,-0,-0.00018,0.00069,-2e-05,0.00019,0,0.00128,0.00065,0.0001,-0.00171,-0.00051,0.0002,0.00123,0.00127,-0.0001,3e-05,-0.00156,-0.00107,-0.00018,-0.00063
