T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-0.00935,0.50094,1e-05,-0.00658,-0.00016,-0.01019,-0.00935,0.50094,1e-05,-0.00658,-0.00016,-0.01019
0.02,-0.00929,0.50094,1e-05,-0.0066,-0.00016,-0.01019,-0.0093,0.50095,1e-05,-0.0066,-0.00016,-0.01019
0.04,-0.00924,0.50093,0,-0.00662,-0.00016,-0.01019,-0.00924,0.50095,1e-05,-0.00662,-0.00016,-0.01019
0.06,-0.00919,0.50093,0,-0.00665,-0.00016,-0.01019,-0.00919,0.50096,0,-0.00665,-0.00016,-0.01019
0.08,-0.00914,0.50092,0,-0.00669,-0.00016,-0.01019,-0.00914,0.50096,0,-0.00669,-0.00016,-0.01019
0.1,-0.00909,0.50092,-0,-0.00673,-0.00016,-0.01019,-0.00909,0.50097,0,-0.00673,-0.00016,-0.01019
0.12,-0.00904,0.50091,-0,-0.00678,-0.00016,-0.01019,-0.00904,0.50098,-0,-0.00678,-0.00016,-0.01019
0.14,-0.00899,0.5009,-1e-05,-0.00684,-0.00016,-0.01019,-0.009,0.50099,-0,-0.00684,-0.00016,-0.01019
0.16,-0.00895,0.50089,-1e-05,-0.00692,-0.00016,-0.01019,-0.00895,0.501,-1e-05,-0.00692,-0.00016,-0.01019
0.18,-0.00892,0.50089,-2e-05,-0.00702,-0.00016,-0.01019,-0.00892,0.501,-1e-05,-0.00702,-0.00016,-0.01019
0.2,-0.00888,0.50089,-3e-05,-0.00713,-0.00016,-0.01019,-0.00888,0.50101,-2e-05,-0.00713,-0.00016,-0.01019
0.22,-0.00886,0.5009,-3e-05,-0.00727,-0.00016,-0.01019,-0.00886,0.501,-3e-05,-0.00727,-0.00016,-0.01019
0.24,-0.00884,0.50091,-4e-05,-0.00742,-0.00017,-0.01019,-0.00883,0.50098,-3e-05,-0.00742,-0.00017,-0.01019
0.26,-0.00883,0.50095,-4e-05,-0.0076,-0.00017,-0.01019,-0.00882,0.50095,-4e-05,-0.0076,-0.00017,-0.01019
0.28,-0.00882,0.50099,-5e-05,-0.0078,-0.00018,-0.01019,-0.0088,0.5009,-5e-05,-0.0078,-0.00018,-0.01019
0.3,-0.00882,0.50106,-4e-05,-0.00802,-0.00018,-0.01019,-0.0088,0.50083,-5e-05,-0.00802,-0.00018,-0.01019
0.32,-0.00883,0.50116,-3e-05,-0.00826,-0.00019,-0.01019,-0.00879,0.50074,-5e-05,-0.00826,-0.00019,-0.01019
0.34,-0.00884,0.50128,-1e-05,-0.00851,-0.00019,-0.01019,-0.0088,0.50062,-3e-05,-0.00851,-0.00019,-0.01019
0.36,-0.00886,0.50143,2e-05,-0.00876,-0.0002,-0.01019,-0.0088,0.50047,-1e-05,-0.00876,-0.0002,-0.01019
0.38,-0.00888,0.5016,8e-05,-0.00902,-0.0002,-0.01019,-0.00882,0.5003,2e-05,-0.00902,-0.0002,-0.01019
0.4,-0.00891,0.50179,0.00015,-0.00926,-0.00021,-0.01019,-0.00884,0.50012,8e-05,-0.00926,-0.00021,-0.01019
0.42,-0.00894,0.50197,0.00025,-0.00948,-0.00021,-0.01019,-0.00887,0.49993,0.00016,-0.00948,-0.00021,-0.01019
0.44,-0.00896,0.50213,0.00037,-0.00968,-0.00021,-0.01019,-0.0089,0.49977,0.00026,-0.00968,-0.00021,-0.01019
0.46,-0.00898,0.50223,0.00051,-0.00985,-0.00022,-0.01019,-0.00894,0.49968,0.00039,-0.00985,-0.00022,-0.01019
0.48,-0.00899,0.50222,0.00068,-0.00998,-0.00022,-0.01019,-0.009,0.49968,0.00055,-0.00998,-0.00022,-0.01019
0.5,-0.00899,0.50206,0.00086,-0.01009,-0.00022,-0.01019,-0.00906,0.49985,0.00074,-0.01009,-0.00022,-0.01019
0.52,-0.00897,0.50166,0.00105,-0.01016,-0.00022,-0.01019,-0.00914,0.50024,0.00095,-0.01016,-0.00022,-0.01019
0.54,-0.00894,0.50095,0.00123,-0.01021,-0.00022,-0.01019,-0.00923,0.50095,0.00118,-0.01021,-0.00022,-0.01019
0.56,-0.00888,0.49985,0.00139,-0.01024,-0.00021,-0.01019,-0.00933,0.50206,0.00142,-0.01024,-0.00021,-0.01019
0.58,-0.00881,0.49826,0.00151,-0.01026,-0.00021,-0.01019,-0.00945,0.50364,0.00167,-0.01026,-0.00021,-0.01019
0.6,-0.00872,0.49613,0.0016,-0.01026,-0.00021,-0.01019,-0.00957,0.50578,0.00193,-0.01026,-0.00021,-0.01019
0.62,-0.00861,0.49341,0.00163,-0.01026,-0.00021,-0.01019,-0.00969,0.5085,0.0022,-0.01026,-0.00021,-0.01019
