T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00439,-0.00407,0.00049,-0.00175,0.00013,1e-05,0.00205,-0.00123,-0.00039,0.0014,-1e-05,-8e-05,1e-05,0.00331,0.00139,0.0004,0.0018,-2e-05,-0.00013,-6e-05,-0.00143,0.01865,-0.00552,0.02394,-0.01034,-0.00321,0.00178,0.00858,0.00291,0.00109,0.02752,-0.01626,-0.00631,-0.0016
0.02,-0.00475,-0.00399,0.00052,-0.00175,0.00013,1e-05,0.0019,-0.00128,-0.0004,0.00135,-1e-05,-7e-05,-0,0.00308,0.00149,0.00042,0.00172,-1e-05,-0.00013,-4e-05,-0.00133,0.01858,-0.00553,0.02398,-0.01011,-0.0032,0.00174,0.00863,0.00295,0.00107,0.02773,-0.01607,-0.00639,-0.00162
0.04,-0.00519,-0.00389,0.00054,-0.00175,0.00013,1e-05,0.00173,-0.00131,-0.0004,0.00129,-2e-05,-7e-05,-1e-05,0.00282,0.00155,0.00043,0.00162,-0,-0.00012,-2e-05,-0.00123,0.0185,-0.00553,0.02403,-0.00988,-0.00319,0.0017,0.0087,0.00297,0.00106,0.02795,-0.01588,-0.00647,-0.00165
0.06,-0.0057,-0.00379,0.00057,-0.00175,0.00014,2e-05,0.00156,-0.00132,-0.00039,0.00124,-2e-05,-6e-05,-2e-05,0.00253,0.00157,0.00042,0.00151,1e-05,-0.00011,-1e-05,-0.00113,0.01841,-0.00554,0.02407,-0.00964,-0.00318,0.00166,0.00878,0.00298,0.00105,0.02818,-0.01569,-0.00655,-0.00168
0.08,-0.00625,-0.00367,0.00058,-0.00176,0.00014,2e-05,0.00139,-0.00132,-0.00038,0.00118,-2e-05,-5e-05,-3e-05,0.00221,0.00155,0.0004,0.0014,1e-05,-0.0001,1e-05,-0.00102,0.01831,-0.00554,0.02412,-0.0094,-0.00317,0.00161,0.00886,0.00297,0.00103,0.02841,-0.01549,-0.00663,-0.00171
0.1,-0.00684,-0.00354,0.00058,-0.00177,0.00014,2e-05,0.00123,-0.00132,-0.00037,0.00113,-2e-05,-4e-05,-4e-05,0.0019,0.00148,0.00037,0.00129,1e-05,-8e-05,2e-05,-0.00091,0.0182,-0.00554,0.02418,-0.00915,-0.00316,0.00157,0.00895,0.00294,0.00102,0.02863,-0.01529,-0.00671,-0.00174
0.12,-0.00743,-0.0034,0.00058,-0.00179,0.00015,2e-05,0.00109,-0.00131,-0.00035,0.0011,-2e-05,-3e-05,-5e-05,0.00162,0.00138,0.00033,0.00119,1e-05,-6e-05,4e-05,-0.00081,0.0181,-0.00554,0.02424,-0.00891,-0.00314,0.00153,0.00905,0.00289,0.00101,0.02886,-0.01508,-0.00679,-0.00177
0.14,-0.00802,-0.00324,0.00055,-0.0018,0.00015,2e-05,0.00097,-0.0013,-0.00034,0.00108,-3e-05,-3e-05,-6e-05,0.00136,0.00124,0.00027,0.00112,1e-05,-4e-05,5e-05,-0.00069,0.01799,-0.00554,0.02432,-0.00866,-0.00313,0.00149,0.00915,0.00283,0.00101,0.02908,-0.01487,-0.00687,-0.0018
0.16,-0.00857,-0.00306,0.0005,-0.00181,0.00016,2e-05,0.00088,-0.00131,-0.00034,0.00107,-3e-05,-2e-05,-7e-05,0.00116,0.00109,0.00022,0.00107,1e-05,-2e-05,6e-05,-0.00057,0.0179,-0.00555,0.0244,-0.00841,-0.00311,0.00145,0.00925,0.00275,0.00101,0.02929,-0.01466,-0.00695,-0.00183
0.18,-0.00907,-0.00287,0.00044,-0.00182,0.00017,2e-05,0.00082,-0.00133,-0.00034,0.00108,-3e-05,-2e-05,-9e-05,0.00103,0.00095,0.00017,0.00105,1e-05,0,8e-05,-0.00044,0.01784,-0.00557,0.02453,-0.00816,-0.00309,0.00142,0.00935,0.00268,0.001,0.0295,-0.01444,-0.00704,-0.00186
0.2,-0.00953,-0.00262,0.00036,-0.00182,0.00017,2e-05,0.00076,-0.00138,-0.00035,0.00108,-3e-05,-1e-05,-9e-05,0.00094,0.00084,0.00013,0.00106,1e-05,2e-05,9e-05,-0.0003,0.01778,-0.00558,0.02464,-0.00791,-0.00307,0.00138,0.00945,0.00256,0.00101,0.02968,-0.01422,-0.00711,-0.00188
0.22,-0.00999,-0.00227,0.00026,-0.00181,0.00018,2e-05,0.00065,-0.00145,-0.00036,0.00106,-4e-05,-2e-05,-9e-05,0.00082,0.00077,0.0001,0.00106,1e-05,3e-05,9e-05,-0.00013,0.01772,-0.00555,0.0247,-0.00768,-0.00305,0.00135,0.00952,0.0023,0.00106,0.02977,-0.01401,-0.00717,-0.00191
0.24,-0.01041,-0.00187,0.00016,-0.00178,0.00018,2e-05,0.00053,-0.00152,-0.00037,0.00104,-4e-05,-2e-05,-8e-05,0.00071,0.00072,8e-05,0.00106,1e-05,4e-05,0.0001,5e-05,0.01768,-0.00551,0.02475,-0.00745,-0.00303,0.00132,0.00958,0.002,0.00112,0.02981,-0.01381,-0.00723,-0.00192
0.26,-0.01075,-0.00145,5e-05,-0.00175,0.00019,2e-05,0.00045,-0.00158,-0.00038,0.00103,-4e-05,-2e-05,-7e-05,0.00065,0.00068,7e-05,0.00108,1e-05,4e-05,0.0001,0.00024,0.01769,-0.00549,0.02485,-0.00723,-0.003,0.0013,0.00963,0.00174,0.00118,0.02984,-0.01359,-0.00729,-0.00194
0.28,-0.01102,-0.00102,-7e-05,-0.00171,0.0002,1e-05,0.00039,-0.00163,-0.00039,0.00103,-4e-05,-3e-05,-6e-05,0.00063,0.00067,6e-05,0.0011,1e-05,4e-05,0.00011,0.00043,0.01777,-0.0055,0.02501,-0.007,-0.00297,0.00128,0.00968,0.00152,0.00124,0.02985,-0.01336,-0.00734,-0.00195
0.3,-0.01121,-0.00055,-0.0002,-0.00166,0.0002,1e-05,0.00034,-0.00168,-0.00039,0.00103,-4e-05,-3e-05,-5e-05,0.00063,0.00067,6e-05,0.00114,1e-05,4e-05,0.00011,0.00062,0.01785,-0.00548,0.02516,-0.00679,-0.00295,0.00127,0.0097,0.00128,0.00131,0.0298,-0.01312,-0.00742,-0.00197
0.32,-0.01133,2e-05,-0.00034,-0.00161,0.00021,1e-05,0.00026,-0.0017,-0.0004,0.00105,-4e-05,-3e-05,-6e-05,0.0006,0.00067,6e-05,0.00119,2e-05,4e-05,0.00012,0.00083,0.01786,-0.00538,0.0252,-0.0066,-0.00294,0.00124,0.00965,0.00094,0.00136,0.02962,-0.01282,-0.00757,-0.00203
0.34,-0.01136,0.00061,-0.00049,-0.00154,0.00022,1e-05,0.00019,-0.00171,-0.00039,0.00106,-4e-05,-3e-05,-8e-05,0.00057,0.00067,6e-05,0.00125,2e-05,4e-05,0.00013,0.00104,0.01785,-0.00526,0.02522,-0.00643,-0.00293,0.00122,0.00953,0.00057,0.00141,0.02934,-0.0125,-0.00774,-0.00208
0.36,-0.01132,0.00114,-0.00064,-0.00147,0.00022,1e-05,0.00012,-0.0017,-0.00039,0.00108,-4e-05,-3e-05,-9e-05,0.00057,0.0007,7e-05,0.00131,3e-05,4e-05,0.00014,0.00125,0.0179,-0.00516,0.02531,-0.00628,-0.00292,0.00121,0.00938,0.00025,0.00147,0.02904,-0.01218,-0.00789,-0.00212
0.38,-0.01119,0.00161,-0.00078,-0.00139,0.00022,1e-05,7e-05,-0.00167,-0.00037,0.00109,-4e-05,-2e-05,-0.00011,0.00057,0.00076,9e-05,0.00136,3e-05,4e-05,0.00015,0.00147,0.01799,-0.00508,0.02545,-0.00613,-0.00291,0.00121,0.00917,1e-05,0.0015,0.02871,-0.01183,-0.00803,-0.00215
0.4,-0.01097,0.00202,-0.00089,-0.00131,0.00022,1e-05,3e-05,-0.00163,-0.00035,0.00111,-4e-05,-2e-05,-0.00012,0.00058,0.00083,0.00011,0.00141,4e-05,3e-05,0.00015,0.00166,0.01801,-0.00495,0.0256,-0.00602,-0.0029,0.0012,0.00895,-0.00026,0.00155,0.02828,-0.01151,-0.00815,-0.00217
0.42,-0.01063,0.00239,-0.00098,-0.00124,0.00022,1e-05,1e-05,-0.00158,-0.00033,0.00111,-4e-05,-1e-05,-0.00012,0.00058,0.0009,0.00013,0.00145,4e-05,2e-05,0.00016,0.00178,0.01779,-0.00472,0.02571,-0.00597,-0.00292,0.00118,0.00876,-0.0007,0.00166,0.02769,-0.01126,-0.00821,-0.00216
0.44,-0.0102,0.00268,-0.00104,-0.00117,0.00021,1e-05,1e-05,-0.00154,-0.00031,0.00111,-4e-05,-1e-05,-0.00012,0.00058,0.00099,0.00016,0.00148,5e-05,2e-05,0.00016,0.00189,0.01742,-0.00443,0.02581,-0.00596,-0.00296,0.00114,0.00859,-0.0012,0.00178,0.02703,-0.01103,-0.00825,-0.00214
0.46,-0.00974,0.00285,-0.00106,-0.0011,0.00019,1e-05,-1e-05,-0.00152,-0.00029,0.00111,-4e-05,-1e-05,-0.00013,0.00056,0.00109,0.0002,0.0015,5e-05,1e-05,0.00017,0.00203,0.01701,-0.00414,0.02593,-0.00597,-0.003,0.00111,0.00843,-0.00164,0.00188,0.02636,-0.01081,-0.0083,-0.00213
0.48,-0.00923,0.00293,-0.00104,-0.00103,0.00017,1e-05,-4e-05,-0.00153,-0.00029,0.00109,-4e-05,-1e-05,-0.00013,0.0005,0.0012,0.00024,0.0015,5e-05,-0,0.00017,0.00218,0.0165,-0.00384,0.02607,-0.00602,-0.00305,0.00108,0.00823,-0.00207,0.00197,0.02566,-0.01061,-0.00833,-0.00211
0.5,-0.00872,0.0029,-0.00097,-0.00097,0.00016,1e-05,-6e-05,-0.00156,-0.00029,0.00109,-4e-05,-1e-05,-0.00013,0.00044,0.00131,0.00029,0.00149,6e-05,-2e-05,0.00017,0.00234,0.01593,-0.00351,0.0261,-0.00609,-0.0031,0.00104,0.0081,-0.0025,0.00205,0.02496,-0.01042,-0.00836,-0.0021
0.52,-0.00828,0.00278,-0.00084,-0.00093,0.00014,1e-05,-0,-0.0016,-0.00029,0.00112,-5e-05,-2e-05,-0.00013,0.00044,0.00142,0.00033,0.00149,6e-05,-3e-05,0.00017,0.00249,0.01539,-0.00315,0.02581,-0.00621,-0.00313,0.00102,0.00812,-0.00291,0.00212,0.02435,-0.01025,-0.00838,-0.0021
0.54,-0.00789,0.00261,-0.00066,-0.00089,0.00013,1e-05,9e-05,-0.00164,-0.00029,0.00116,-6e-05,-3e-05,-0.00012,0.00044,0.00153,0.00037,0.00148,6e-05,-4e-05,0.00017,0.00265,0.01485,-0.00278,0.02534,-0.00636,-0.00316,0.001,0.00818,-0.00331,0.00218,0.02377,-0.01011,-0.00839,-0.00212
0.56,-0.00754,0.00244,-0.00043,-0.00087,0.00012,2e-05,0.00017,-0.0017,-0.00029,0.0012,-7e-05,-4e-05,-0.00012,0.0004,0.00162,0.00041,0.00146,7e-05,-5e-05,0.00017,0.00282,0.01426,-0.00244,0.02484,-0.00654,-0.00319,0.00096,0.00817,-0.00371,0.00223,0.02317,-0.01001,-0.00839,-0.00214
0.58,-0.00727,0.0023,-0.00018,-0.00084,0.00011,2e-05,0.00021,-0.00174,-0.00029,0.00124,-7e-05,-5e-05,-0.00012,0.00031,0.00168,0.00044,0.00142,7e-05,-5e-05,0.00017,0.00297,0.01365,-0.00212,0.02423,-0.00675,-0.00322,0.00091,0.00812,-0.00412,0.00226,0.02256,-0.00996,-0.00837,-0.00218
0.6,-0.00708,0.00216,8e-05,-0.00083,0.0001,3e-05,0.00026,-0.00179,-0.00029,0.00126,-7e-05,-5e-05,-0.00011,0.00024,0.00171,0.00046,0.0014,7e-05,-6e-05,0.00016,0.00315,0.01307,-0.00183,0.0235,-0.00698,-0.00325,0.00085,0.00805,-0.00454,0.00227,0.022,-0.00995,-0.00835,-0.00224
0.62,-0.00696,0.00199,0.00032,-0.00083,0.0001,3e-05,0.00033,-0.00186,-0.0003,0.00129,-7e-05,-6e-05,-0.00011,0.00028,0.00171,0.00045,0.00144,8e-05,-7e-05,0.00016,0.00345,0.01259,-0.00159,0.02268,-0.0072,-0.00327,0.00078,0.00802,-0.00497,0.00226,0.02154,-0.00995,-0.00832,-0.00232
0.64,-0.00695,0.00184,0.00054,-0.00083,0.00011,4e-05,0.00038,-0.00192,-0.00032,0.00131,-7e-05,-6e-05,-0.00011,0.00034,0.00168,0.00042,0.00149,9e-05,-8e-05,0.00015,0.00376,0.01223,-0.00142,0.02176,-0.00742,-0.00327,0.0007,0.00796,-0.0054,0.00224,0.02113,-0.00998,-0.00828,-0.00242
0.66,-0.00705,0.00176,0.00075,-0.00084,0.00011,5e-05,0.00039,-0.00196,-0.00033,0.00131,-7e-05,-6e-05,-0.00011,0.00034,0.00161,0.00039,0.00151,9e-05,-8e-05,0.00015,0.00403,0.01193,-0.00128,0.02075,-0.00768,-0.00327,0.00062,0.00786,-0.00586,0.00221,0.02072,-0.01007,-0.00822,-0.00253
0.68,-0.00728,0.00174,0.00096,-0.00085,0.00012,5e-05,0.00037,-0.00197,-0.00034,0.00129,-6e-05,-6e-05,-0.0001,0.00025,0.00147,0.00033,0.0015,0.0001,-7e-05,0.00013,0.00425,0.01173,-0.00118,0.01962,-0.00794,-0.00326,0.00053,0.00774,-0.00633,0.00216,0.02033,-0.01018,-0.00815,-0.00265
0.7,-0.00759,0.00183,0.00116,-0.00087,0.00014,6e-05,0.00036,-0.00197,-0.00035,0.00127,-6e-05,-6e-05,-9e-05,0.00013,0.00137,0.00031,0.00147,9e-05,-6e-05,0.00012,0.00444,0.01157,-0.00112,0.01852,-0.00823,-0.00323,0.00044,0.00757,-0.00681,0.00211,0.01995,-0.01033,-0.00805,-0.00276
0.72,-0.00792,0.00206,0.00133,-0.00091,0.00015,6e-05,0.00041,-0.00196,-0.00036,0.00126,-5e-05,-6e-05,-0.0001,2e-05,0.00144,0.00036,0.00145,9e-05,-6e-05,0.00012,0.00459,0.01131,-0.00108,0.01764,-0.00857,-0.00317,0.00037,0.0073,-0.00728,0.00206,0.01957,-0.01053,-0.00791,-0.00287
0.74,-0.00826,0.00236,0.00152,-0.00095,0.00017,6e-05,0.00052,-0.00193,-0.00036,0.00126,-5e-05,-5e-05,-0.00011,-9e-05,0.00159,0.00044,0.00141,9e-05,-6e-05,0.00012,0.00468,0.01101,-0.00105,0.01683,-0.00893,-0.00308,0.0003,0.00698,-0.00775,0.002,0.01919,-0.01075,-0.00773,-0.00295
0.76,-0.00863,0.00267,0.00171,-0.00099,0.00019,7e-05,0.00065,-0.00186,-0.00035,0.00128,-5e-05,-4e-05,-0.00012,-0.00019,0.00172,0.00051,0.00137,9e-05,-6e-05,0.00012,0.00471,0.01074,-0.00103,0.01594,-0.00931,-0.00295,0.00026,0.00667,-0.00821,0.00195,0.01883,-0.01097,-0.00751,-0.00302
0.78,-0.00903,0.00298,0.0019,-0.00104,0.00021,7e-05,0.00081,-0.00177,-0.00033,0.00132,-4e-05,-3e-05,-0.00013,-0.00028,0.00187,0.00058,0.00132,8e-05,-6e-05,0.00013,0.00468,0.01046,-0.001,0.01497,-0.00969,-0.0028,0.00023,0.00639,-0.00868,0.0019,0.01847,-0.01119,-0.00726,-0.00307
0.8,-0.00938,0.00321,0.00207,-0.00109,0.00023,7e-05,0.00102,-0.00165,-0.0003,0.00138,-4e-05,-1e-05,-0.00015,-0.00029,0.00202,0.00064,0.0013,8e-05,-6e-05,0.00013,0.00464,0.0102,-0.00099,0.01412,-0.0101,-0.00258,0.00024,0.00606,-0.00908,0.00185,0.01812,-0.01142,-0.00696,-0.00308
0.82,-0.00957,0.00327,0.00223,-0.00114,0.00024,6e-05,0.00128,-0.00149,-0.00025,0.00146,-4e-05,-0,-0.00016,-0.00014,0.00217,0.00068,0.00134,8e-05,-6e-05,0.00013,0.00464,0.01001,-0.00101,0.01362,-0.01053,-0.00228,0.00029,0.00555,-0.00933,0.00179,0.01774,-0.01167,-0.00658,-0.00304
