T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-12.96642,0.24724,-0.68809,-1.3836,-0.19626,-0.01434,-2.55062,0.0208,0.0064,-0.80376,0.04603,-0.00124,0.10172,-3.63865,0.31185,-0.17994,-0.06587,-0.14786,0.14178,-0.08322,7.242,10.51756,-1.39871,18.85292,-13.07356,-0.8302,1.22958,4.51133,-11.04704,1.95835,22.97129,-13.17647,-7.14478,-3.98636
0.02,-12.32923,0.27025,-0.6293,-1.42787,-0.19555,-0.01307,-2.23888,-0.01119,0.00659,-0.70243,0.03873,-0.00362,0.09098,-3.21843,0.32092,-0.13285,0.03733,-0.129,0.12277,-0.07774,6.88867,10.57298,-1.39766,18.61168,-13.1611,-0.81078,1.24187,4.20731,-11.06298,1.96644,22.74528,-13.27404,-7.09653,-3.96764
0.04,-11.64051,0.29874,-0.54632,-1.47326,-0.19397,-0.01117,-1.96,-0.03378,0.00715,-0.61453,0.03304,-0.00533,0.08191,-2.85227,0.31836,-0.09626,0.12478,-0.1124,0.10611,-0.0734,6.54337,10.63668,-1.39452,18.36798,-13.25151,-0.7897,1.25516,3.89879,-11.07806,1.97473,22.5157,-13.3738,-7.04565,-3.94788
0.06,-10.90573,0.33486,-0.44055,-1.51923,-0.19127,-0.00858,-1.71006,-0.04697,0.00801,-0.53909,0.02867,-0.00647,0.07442,-2.53425,0.30617,-0.06918,0.19708,-0.09792,0.09165,-0.07026,6.20855,10.70691,-1.38876,18.12197,-13.34472,-0.76691,1.26954,3.58495,-11.09236,1.98431,22.28223,-13.47571,-6.99194,-3.92687
0.08,-10.12886,0.38136,-0.31377,-1.56533,-0.18717,-0.00531,-1.48428,-0.0509,0.00893,-0.47473,0.02521,-0.00717,0.06835,-2.25774,0.28716,-0.05027,0.25527,-0.0854,0.07917,-0.06834,5.88679,10.78061,-1.37978,17.87369,-13.44085,-0.74234,1.2851,3.26452,-11.10594,1.99637,22.0443,-13.57994,-6.93518,-3.90439
0.1,-9.31845,0.44116,-0.16781,-1.61102,-0.18121,-0.00133,-1.28002,-0.0459,0.00958,-0.4206,0.02228,-0.00758,0.06363,-2.01864,0.26462,-0.03844,0.29977,-0.07487,0.06859,-0.06762,5.58342,10.85334,-1.36691,17.62452,-13.5402,-0.71583,1.30196,2.93754,-11.11821,2.01165,21.80266,-13.68631,-6.87571,-3.88054
0.12,-8.47702,0.51896,-0.0042,-1.65613,-0.17325,0.00325,-1.09277,-0.03253,0.00918,-0.37556,0.01921,-0.00815,0.06012,-1.81254,0.24238,-0.03139,0.33123,-0.06632,0.05945,-0.06822,5.29886,10.91853,-1.34949,17.37304,-13.64328,-0.68797,1.31985,2.60309,-11.13141,2.03215,21.55509,-13.79631,-6.81254,-3.85486
0.14,-7.61668,0.61693,0.17631,-1.70062,-0.16261,0.00843,-0.92117,-0.01192,0.00716,-0.33904,0.01543,-0.00911,0.05781,-1.6366,0.22403,-0.02827,0.34956,-0.05993,0.05182,-0.0701,5.04153,10.96878,-1.32676,17.12217,-13.7508,-0.65854,1.33898,2.26196,-11.1442,2.05751,21.30354,-13.90949,-6.74697,-3.82796
0.16,-6.74641,0.73802,0.37347,-1.74475,-0.14891,0.0141,-0.76218,0.01417,0.00258,-0.30983,0.01012,-0.01096,0.0566,-1.488,0.21314,-0.02716,0.35502,-0.05586,0.04544,-0.07325,4.81426,10.99499,-1.29799,16.87199,-13.86363,-0.62811,1.35914,1.91483,-11.15784,2.0881,21.04784,-14.02657,-6.67959,-3.80019
0.18,-5.86375,0.88904,0.58597,-1.78928,-0.133,0.01998,-0.60854,0.04454,-0.00658,-0.28689,0.00174,-0.01504,0.0561,-1.36382,0.21292,-0.02323,0.34873,-0.0542,0.03893,-0.0781,4.60527,10.98524,-1.26265,16.61501,-13.98263,-0.59943,1.37888,1.55973,-11.18233,2.12842,20.77838,-14.15337,-6.60521,-3.76929
