T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-4.57377,-0.64102,0.20605,0.0533,-0.02988,-0.00342,0.33256,-0.697,0.00294,-2.16038,0.1427,0.19427,-0.14793,0.2281,0.84718,0.06692,-2.68468,-0.3507,0.19963,0.22552,0.22756,-1.95508,0.8623,-0.71373,-2.483,-0.27597,-0.56382,0.09018,-1.13428,0.33319,-0.41964,-0.2684,-0.06552,-0.06209
0.02,-4.57945,-0.63276,0.21452,0.04871,-0.02537,-0.00341,0.32019,-0.75296,-0.00028,-2.15451,0.12229,0.19691,-0.1358,0.23402,0.86907,0.08348,-2.66895,-0.32055,0.19401,0.21603,0.2284,-1.95478,0.86694,-0.71409,-2.08231,-0.24218,-0.50891,0.09125,-1.12824,0.34345,-0.42039,-0.26754,-0.06712,-0.06471
0.04,-4.58511,-0.62465,0.22278,0.04443,-0.0212,-0.00341,0.30948,-0.81088,-0.00311,-2.14842,0.10556,0.19939,-0.12448,0.24027,0.89092,0.09642,-2.65329,-0.29448,0.18933,0.20708,0.22913,-1.95448,0.87147,-0.71442,-1.73921,-0.20993,-0.45515,0.09214,-1.12235,0.35325,-0.42107,-0.26672,-0.06866,-0.06728
0.06,-4.59075,-0.61666,0.23088,0.04041,-0.01736,-0.0034,0.30043,-0.87133,-0.00553,-2.14214,0.09242,0.20176,-0.1139,0.24698,0.91284,0.10586,-2.63772,-0.27248,0.18566,0.19865,0.22973,-1.95418,0.8759,-0.71474,-1.44474,-0.17909,-0.40234,0.09284,-1.11659,0.36261,-0.42167,-0.26593,-0.07015,-0.06982
0.08,-4.5964,-0.60875,0.23888,0.03663,-0.01385,-0.00339,0.29311,-0.93495,-0.00756,-2.1357,0.08285,0.20404,-0.10405,0.25428,0.93496,0.11186,-2.62223,-0.25468,0.18306,0.19075,0.23021,-1.95389,0.88024,-0.71506,-1.19156,-0.14952,-0.3503,0.09335,-1.11096,0.37155,-0.42219,-0.26516,-0.07158,-0.07233
0.1,-4.60207,-0.60105,0.24673,0.0331,-0.01071,-0.00338,0.28782,-1.00086,-0.00912,-2.12862,0.07716,0.20626,-0.0951,0.2623,0.95712,0.11424,-2.60657,-0.24163,0.18172,0.18351,0.23054,-1.95359,0.88444,-0.71536,-0.97693,-0.1216,-0.29971,0.09363,-1.10558,0.37987,-0.4226,-0.26444,-0.07293,-0.07477
0.12,-4.60774,-0.59332,0.25454,0.02982,-0.00785,-0.00338,0.28404,-1.07288,-0.01018,-2.12206,0.07442,0.20839,-0.0866,0.2708,0.97976,0.11331,-2.59142,-0.23285,0.18154,0.17674,0.23075,-1.95331,0.8886,-0.71567,-0.78977,-0.09445,-0.24904,0.09372,-1.10017,0.38794,-0.42296,-0.26372,-0.07425,-0.07723
0.14,-4.61346,-0.58583,0.26222,0.02687,-0.00539,-0.00337,0.28236,-1.1476,-0.01061,-2.11473,0.0752,0.21046,-0.07901,0.27986,1.00244,0.1088,-2.57608,-0.22935,0.18282,0.17076,0.2308,-1.95304,0.89258,-0.71598,-0.63252,-0.06906,-0.2001,0.09358,-1.09511,0.39528,-0.42323,-0.26305,-0.07548,-0.07959
0.16,-4.61923,-0.57862,0.26978,0.02428,-0.00331,-0.00337,0.28258,-1.22518,-0.01031,-2.1065,0.07883,0.21244,-0.07226,0.28922,1.02509,0.101,-2.56037,-0.23099,0.18551,0.16556,0.23071,-1.95275,0.89638,-0.71629,-0.50028,-0.04536,-0.15298,0.09322,-1.09042,0.40193,-0.4234,-0.26242,-0.07662,-0.08187
0.18,-4.62498,-0.5705,0.27755,0.0221,-0.00109,-0.00336,0.2818,-1.33022,-0.00931,-2.10341,0.0801,0.21409,-0.06381,0.297,1.05005,0.09215,-2.54805,-0.23397,0.18849,0.15997,0.23072,-1.9526,0.90057,-0.71672,-0.36848,-0.01893,-0.10016,0.09286,-1.08452,0.40999,-0.42376,-0.26168,-0.07791,-0.08445
