T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-7.99734,-0.1707,0.1942,-0.1068,0.00854,-0.00356,0.28818,-0.95223,-0.14406,0.61722,-0.12822,-0.05517,-0.10668,0.356,0.69213,0.24339,0.28624,0.49725,-0.20668,0.08091,0.11317,-0.9359,0.25946,-0.83761,-0.38336,0.04438,0.01961,0.07825,0.65304,-0.2574,-0.62111,-0.36757,-0.00108,0.04031
0.02,-7.98805,-0.17097,0.19294,-0.10663,0.00834,-0.00356,0.28879,-0.95283,-0.14471,0.61791,-0.12753,-0.05528,-0.1066,0.36021,0.72968,0.18553,0.28594,0.55136,-0.22502,0.10533,0.11307,-0.9338,0.26318,-0.83753,-0.38338,0.04357,0.01848,0.07814,0.65499,-0.25424,-0.62102,-0.36759,-0.00141,0.03982
0.04,-7.97881,-0.17123,0.19172,-0.10649,0.00814,-0.00356,0.28935,-0.95341,-0.14529,0.61855,-0.12661,-0.05527,-0.10649,0.36399,0.76709,0.1395,0.28565,0.59255,-0.23905,0.1277,0.11297,-0.93177,0.26654,-0.83745,-0.3834,0.04282,0.01739,0.07803,0.65688,-0.25128,-0.62092,-0.36761,-0.00172,0.03934
0.06,-7.9696,-0.1715,0.19053,-0.10637,0.00796,-0.00356,0.28985,-0.95398,-0.14582,0.61913,-0.12554,-0.05517,-0.10636,0.36734,0.80461,0.10437,0.28537,0.62132,-0.24874,0.1481,0.11288,-0.9298,0.26957,-0.83737,-0.38342,0.0421,0.01632,0.07793,0.65873,-0.24849,-0.62081,-0.36762,-0.00202,0.03887
0.08,-7.96039,-0.17176,0.18936,-0.10631,0.00779,-0.00356,0.2903,-0.95453,-0.14625,0.61966,-0.12443,-0.05501,-0.10624,0.37026,0.84249,0.07944,0.28508,0.63817,-0.25408,0.16658,0.11278,-0.92788,0.27227,-0.83729,-0.38343,0.04144,0.01528,0.07783,0.66054,-0.24585,-0.62069,-0.36763,-0.0023,0.03841
0.1,-7.95119,-0.17203,0.18822,-0.10633,0.00761,-0.00356,0.29069,-0.95509,-0.14656,0.62009,-0.12346,-0.05482,-0.10616,0.37265,0.87978,0.06495,0.28477,0.64245,-0.25465,0.18255,0.11266,-0.92609,0.27448,-0.83721,-0.38344,0.04083,0.0143,0.07771,0.66225,-0.24343,-0.62055,-0.36764,-0.00256,0.03797
0.12,-7.94201,-0.1723,0.18709,-0.10645,0.00744,-0.00356,0.29105,-0.95564,-0.14673,0.62044,-0.1229,-0.05471,-0.10615,0.37476,0.91931,0.05834,0.28442,0.63858,-0.2517,0.19743,0.11252,-0.92425,0.27658,-0.83712,-0.38344,0.04024,0.01328,0.07756,0.66398,-0.24105,-0.62039,-0.36764,-0.00281,0.03751
0.14,-7.93278,-0.17258,0.18597,-0.10672,0.00724,-0.00355,0.29136,-0.95619,-0.14669,0.62066,-0.12308,-0.05475,-0.10626,0.37637,0.95829,0.06052,0.28399,0.62528,-0.24466,0.20989,0.11234,-0.92257,0.27821,-0.83703,-0.38344,0.03971,0.01234,0.07738,0.6656,-0.23884,-0.6202,-0.36763,-0.00304,0.03709
0.16,-7.92355,-0.17287,0.18486,-0.10717,0.00702,-0.00355,0.29164,-0.95676,-0.14638,0.62073,-0.12441,-0.05506,-0.10655,0.37756,0.99661,0.06962,0.28347,0.60589,-0.2346,0.22023,0.11211,-0.92107,0.27944,-0.83693,-0.38342,0.03925,0.01148,0.07714,0.66708,-0.23677,-0.61997,-0.36762,-0.00325,0.03669
0.18,-7.91434,-0.17312,0.18365,-0.10781,0.00676,-0.00355,0.29198,-0.95737,-0.14586,0.62083,-0.12759,-0.05591,-0.10712,0.37973,1.05184,0.07671,0.28283,0.60709,-0.22895,0.23613,0.11183,-0.9188,0.28227,-0.83683,-0.38344,0.03855,0.01022,0.07683,0.66905,-0.23402,-0.61976,-0.36763,-0.00355,0.03615
0.2,-7.90487,-0.17346,0.18257,-0.10876,0.00645,-0.00355,0.29223,-0.95797,-0.1448,0.62047,-0.13289,-0.05726,-0.10801,0.38015,1.0822,0.09312,0.28203,0.58606,-0.2171,0.24155,0.11146,-0.91809,0.28238,-0.83672,-0.38339,0.03827,0.00974,0.07643,0.66998,-0.23228,-0.61945,-0.36759,-0.00369,0.03588
0.22,-7.89545,-0.17405,0.18192,-0.11008,0.00614,-0.00355,0.29221,-0.95868,-0.1428,0.61923,-0.14043,-0.05898,-0.10924,0.37516,1.02785,0.13134,0.2811,0.47564,-0.18414,0.21533,0.11097,-0.92202,0.27397,-0.83661,-0.38317,0.03926,0.01161,0.07593,0.668,-0.23386,-0.61894,-0.36743,-0.00336,0.03641
0.24,-7.88561,-0.17475,0.18136,-0.11175,0.00575,-0.00356,0.29219,-0.95941,-0.14015,0.61755,-0.15136,-0.06159,-0.11098,0.3691,0.95192,0.172,0.27995,0.36047,-0.15081,0.18149,0.11038,-0.92738,0.2636,-0.83648,-0.38289,0.04058,0.0142,0.0753,0.66506,-0.23612,-0.61834,-0.36722,-0.00291,0.03718
0.26,-7.87544,-0.1754,0.18062,-0.11369,0.00525,-0.00356,0.29237,-0.96012,-0.13708,0.6159,-0.1663,-0.06542,-0.11329,0.36526,0.89941,0.19871,0.27859,0.29562,-0.13187,0.1584,0.10969,-0.93165,0.2562,-0.83635,-0.38266,0.04151,0.01621,0.07456,0.66275,-0.23713,-0.61777,-0.36704,-0.00262,0.03776
0.28,-7.86709,-0.17605,0.18006,-0.11558,0.00472,-0.00356,0.29263,-0.96142,-0.13324,0.61462,-0.18503,-0.07026,-0.11614,0.36147,0.8427,0.22493,0.27725,0.24208,-0.1162,0.13321,0.10897,-0.93669,0.24796,-0.83624,-0.38241,0.04257,0.01866,0.07379,0.66024,-0.23854,-0.6173,-0.36685,-0.00227,0.03847
0.3,-7.85465,-0.17677,0.17908,-0.11808,0.00399,-0.00356,0.29321,-0.96192,-0.12889,0.61257,-0.20808,-0.07638,-0.11976,0.36009,0.80826,0.23736,0.27539,0.22963,-0.11277,0.11958,0.10806,-0.94013,0.24382,-0.83606,-0.3822,0.0431,0.02017,0.07282,0.65819,-0.23802,-0.61671,-0.36668,-0.00213,0.03887
0.32,-7.83151,-0.17763,0.17685,-0.12196,0.00289,-0.00357,0.29438,-0.95912,-0.12501,0.60837,-0.23346,-0.08344,-0.12336,0.36403,0.82697,0.21258,0.27243,0.29364,-0.13347,0.13558,0.10681,-0.93885,0.24998,-0.8357,-0.38212,0.04222,0.01897,0.07148,0.65746,-0.23273,-0.6157,-0.36656,-0.00253,0.03839
0.34,-7.8043,-0.17858,0.17425,-0.12623,0.00163,-0.00357,0.29591,-0.95552,-0.12083,0.60356,-0.26067,-0.09101,-0.12746,0.36997,0.86281,0.17814,0.26911,0.37658,-0.15924,0.16029,0.10541,-0.93602,0.2597,-0.83528,-0.38206,0.04084,0.01685,0.07001,0.6572,-0.22579,-0.61461,-0.36646,-0.00313,0.0376
0.36,-7.77884,-0.17954,0.17192,-0.13002,0.00039,-0.00357,0.29762,-0.95276,-0.1163,0.59941,-0.28703,-0.09817,-0.13183,0.3754,0.88918,0.15313,0.26607,0.43503,-0.17618,0.17839,0.10403,-0.93403,0.26777,-0.83491,-0.38198,0.03967,0.01517,0.06859,0.6568,-0.21967,-0.61371,-0.36633,-0.00365,0.03694
0.38,-7.75437,-0.18046,0.16932,-0.13347,-0.00072,-0.00356,0.29944,-0.94711,-0.1143,0.59533,-0.30073,-0.102,-0.13236,0.38103,0.91765,0.1317,0.26343,0.48516,-0.18917,0.19605,0.10268,-0.93157,0.27603,-0.83455,-0.38189,0.03847,0.01342,0.0672,0.65633,-0.21395,-0.61275,-0.36621,-0.00415,0.03633
0.4,-7.7271,-0.18161,0.16711,-0.13676,-0.00198,-0.00355,0.30193,-0.94531,-0.11107,0.59161,-0.31596,-0.10592,-0.13698,0.38738,0.94147,0.11709,0.26067,0.51202,-0.19344,0.20932,0.10124,-0.92967,0.28428,-0.8342,-0.38177,0.03719,0.01162,0.06575,0.65614,-0.20783,-0.61209,-0.36604,-0.00472,0.03558
0.42,-7.69323,-0.18313,0.16633,-0.14011,-0.00374,-0.00353,0.30563,-0.95777,-0.10113,0.58857,-0.3563,-0.11552,-0.15748,0.39479,0.95243,0.11184,0.25708,0.49729,-0.18404,0.21406,0.09958,-0.93008,0.29141,-0.83384,-0.3816,0.03591,0.01001,0.06415,0.65659,-0.20036,-0.6122,-0.36576,-0.00547,0.0345
0.44,-7.65675,-0.1849,0.16585,-0.14319,-0.00554,-0.0035,0.31015,-0.97357,-0.09263,0.58581,-0.39207,-0.12297,-0.1805,0.40318,0.95758,0.11218,0.25358,0.45994,-0.16725,0.21441,0.09785,-0.93103,0.29831,-0.8335,-0.3814,0.03457,0.00838,0.0625,0.65728,-0.19273,-0.61258,-0.36542,-0.00628,0.0333
0.46,-7.62157,-0.18673,0.16489,-0.1457,-0.00702,-0.00345,0.31503,-0.9848,-0.09019,0.58304,-0.40241,-0.12323,-0.1966,0.41213,0.96198,0.11546,0.25085,0.4165,-0.14829,0.21351,0.09618,-0.93144,0.30493,-0.83318,-0.38117,0.03327,0.00671,0.06093,0.65785,-0.18602,-0.61285,-0.36508,-0.00702,0.03219
0.48,-7.58721,-0.18815,0.16433,-0.14794,-0.00838,-0.00338,0.32023,-1.00233,-0.08792,0.58,-0.42055,-0.12373,-0.21721,0.42132,0.9725,0.11827,0.24819,0.38006,-0.13085,0.21535,0.09457,-0.93311,0.30908,-0.83281,-0.38099,0.03236,0.00549,0.05942,0.65827,-0.17949,-0.61309,-0.36476,-0.00766,0.03111
0.5,-7.55125,-0.19055,0.16279,-0.14947,-0.00937,-0.00328,0.32676,-1.00708,-0.09113,0.57734,-0.406,-0.11626,-0.22517,0.43274,0.96913,0.12492,0.24655,0.32403,-0.10873,0.20988,0.09292,-0.93266,0.31521,-0.83257,-0.38067,0.03103,0.00359,0.05791,0.65889,-0.17407,-0.61347,-0.36435,-0.00832,0.03006
0.52,-7.51103,-0.19556,0.15853,-0.14977,-0.00978,-0.00316,0.33548,-0.97402,-0.10633,0.57599,-0.29621,-0.08979,-0.19789,0.44817,0.92591,0.14144,0.24706,0.21458,-0.07373,0.18395,0.09114,-0.92534,0.33028,-0.83269,-0.38,0.02807,-0.00067,0.05633,0.66023,-0.17066,-0.61418,-0.36373,-0.00917,0.02896
