T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-4.17372,342.96989,-0.00066,0.55398,0.17073,-6.9889,-4.17371,342.96926,-0.00066,0.55398,0.17074,-6.9889
0.02,-4.09625,342.97067,-0.00044,0.4703,0.16093,-6.99116,-4.09624,342.96978,-0.00045,0.4703,0.16094,-6.99115
0.04,-4.01638,342.9715,-0.00022,0.38424,0.15085,-6.99326,-4.01637,342.97031,-0.00024,0.38424,0.15086,-6.99326
0.06,-3.93458,342.97238,-0,0.29646,0.14057,-6.99509,-3.93456,342.97086,-2e-05,0.29646,0.14059,-6.99509
0.08,-3.85115,342.97328,0.00021,0.20752,0.13014,-6.99661,-3.85114,342.97145,0.00019,0.20752,0.13015,-6.99661
0.1,-3.76629,342.97417,0.00041,0.1179,0.11954,-6.9978,-3.76627,342.97209,0.00039,0.1179,0.11956,-6.9978
0.12,-3.68005,342.97503,0.00058,0.02797,0.10878,-6.99869,-3.68002,342.97281,0.00056,0.02797,0.1088,-6.99869
0.14,-3.59241,342.9758,0.00072,-0.06192,0.09781,-6.9993,-3.59239,342.97365,0.0007,-0.06192,0.09783,-6.9993
0.16,-3.50331,342.97643,0.00081,-0.1515,0.0866,-6.9997,-3.50329,342.97465,0.0008,-0.1515,0.08662,-6.9997
0.18,-3.41262,342.97686,0.00087,-0.2405,0.07509,-6.99992,-3.41261,342.97588,0.00086,-0.2405,0.0751,-6.99992
0.2,-3.32022,342.97702,0.00089,-0.32868,0.06326,-7.00001,-3.32022,342.97742,0.0009,-0.32868,0.06326,-7.00001
0.22,-3.22599,342.97684,0.00091,-0.41582,0.0511,-7.00002,-3.22602,342.97933,0.00094,-0.41582,0.05107,-7.00002
0.24,-3.12984,342.97624,0.00094,-0.50183,0.03861,-6.99998,-3.12989,342.98169,0.00099,-0.50183,0.03856,-6.99998
0.26,-3.03167,342.97518,0.00098,-0.58668,0.02587,-6.99991,-3.03177,342.98455,0.00108,-0.58668,0.02578,-6.99991
0.28,-2.93145,342.97363,0.00104,-0.67049,0.01298,-6.99983,-2.9316,342.98794,0.00119,-0.67049,0.01283,-6.99983
0.3,-2.82915,342.97161,0.00113,-0.7535,6e-05,-6.99976,-2.82936,342.99184,0.00134,-0.7535,-0.00015,-6.99976
0.32,-2.72481,342.96923,0.00123,-0.83611,-0.01271,-6.99971,-2.72509,342.99614,0.00151,-0.83611,-0.01298,-6.9997
0.34,-2.61853,342.96668,0.00134,-0.91887,-0.02513,-6.99966,-2.61888,343.00065,0.00169,-0.91887,-0.02548,-6.99966
0.36,-2.51048,342.9643,0.00144,-1.00244,-0.03701,-6.99962,-2.51089,343.00502,0.00186,-1.00244,-0.03742,-6.99962
0.38,-2.40093,342.96259,0.00153,-1.08752,-0.04813,-6.99958,-2.4014,343.00874,0.002,-1.08752,-0.0486,-6.99958
0.4,-2.29028,342.96227,0.0016,-1.1747,-0.05832,-6.99952,-2.29078,343.01109,0.0021,-1.1747,-0.05882,-6.99952
0.42,-2.17904,342.96425,0.00168,-1.26448,-0.06745,-6.99942,-2.17952,343.01114,0.00216,-1.26448,-0.06793,-6.99942
0.44,-2.06782,342.96971,0.00181,-1.35711,-0.07542,-6.99925,-2.06821,343.00769,0.0022,-1.35711,-0.07581,-6.99925
