T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-6.3047,0.7366,0.48429,-0.11609,-0.00476,5e-05,0.38437,-8.02451,1.9478,-5.07566,0.23896,-0.09423,0.30969,-0.19277,8.34979,-2.795,-4.63322,-0.12058,-0.1481,-0.2702,10.41792,19.64395,-3.14098,23.63534,-14.43611,1.58723,3.10122,10.38441,-19.94707,4.1786,25.18099,-14.68889,-3.78165,-3.561
0.02,-6.27937,0.81831,0.48446,-0.11202,-0.00291,0.00028,0.38047,-7.9864,1.86662,-5.04971,0.2323,-0.09818,0.30772,-0.1856,8.34344,-2.79207,-4.62834,-0.11942,-0.15027,-0.26919,10.43241,19.64832,-3.16433,23.58176,-14.43708,1.56063,3.08886,10.36225,-19.96416,4.17701,25.18417,-14.6884,-3.77794,-3.5613
0.04,-6.25147,0.93388,0.45399,-0.10715,0.00031,0.00069,0.37294,-7.91352,1.78333,-5.00751,0.22355,-0.10221,0.30353,-0.1816,8.30841,-2.78519,-4.60778,-0.11743,-0.15276,-0.26618,10.44582,19.65318,-3.1864,23.52749,-14.43802,1.53452,3.07674,10.34133,-19.98256,4.17498,25.18806,-14.68763,-3.77378,-3.56142
0.06,-6.21948,1.08374,0.38093,-0.10154,0.00516,0.00132,0.36133,-7.79723,1.69811,-4.94643,0.21244,-0.10597,0.29669,-0.18198,8.23544,-2.77451,-4.56719,-0.11445,-0.15556,-0.26063,10.45819,19.65786,-3.20732,23.47264,-14.43886,1.50934,3.06506,10.32244,-20.00258,4.17223,25.1934,-14.6863,-3.76883,-3.56117
0.08,-6.18099,1.26455,0.25197,-0.09528,0.01183,0.0022,0.34556,-7.62916,1.61026,-4.86426,0.19881,-0.10908,0.28682,-0.18793,8.11466,-2.75933,-4.50179,-0.11034,-0.15864,-0.25202,10.46941,19.66149,-3.22726,23.41719,-14.43966,1.48561,3.05403,10.3063,-20.02464,4.16854,25.20081,-14.6842,-3.76259,-3.56035
0.1,-6.1331,1.46817,0.05412,-0.08855,0.02043,0.00336,0.32617,-7.40274,1.51596,-4.75939,0.18238,-0.11127,0.2737,-0.20033,7.93667,-2.73546,-4.40644,-0.10505,-0.162,-0.2399,10.47931,19.66281,-3.24626,23.36166,-14.44055,1.4643,3.04401,10.29371,-20.04939,4.16414,25.2098,-14.68128,-3.75371,-3.55837
0.12,-6.07363,1.68332,-0.22331,-0.08156,0.03106,0.00481,0.30293,-7.11426,1.42459,-4.63384,0.16394,-0.11163,0.25729,-0.22103,7.69278,-2.71177,-4.27942,-0.09842,-0.16531,-0.22389,10.48752,19.66289,-3.26484,23.30501,-14.4418,1.44626,3.03549,10.28501,-20.07424,4.15785,25.22332,-14.67703,-3.74233,-3.55524
0.14,-6.00229,1.89039,-0.58508,-0.07452,0.04364,0.00656,0.27774,-6.76773,1.32343,-4.4878,0.14316,-0.11061,0.23797,-0.24983,7.37914,-2.67487,-4.1157,-0.09044,-0.16878,-0.20391,10.49388,19.65987,-3.28285,23.24834,-14.44378,1.43311,3.02904,10.28027,-20.10026,4.15087,25.23875,-14.67162,-3.72562,-3.54971
0.16,-5.92428,2.06723,-1.02688,-0.06766,0.05807,0.00859,0.25127,-6.37517,1.21435,-4.3272,0.12075,-0.10832,0.2165,-0.28757,6.99629,-2.62547,-3.91604,-0.08114,-0.17235,-0.18017,10.4986,19.65462,-3.30065,23.19164,-14.44692,1.4265,3.02541,10.27986,-20.12491,4.1435,25.25591,-14.66492,-3.70142,-3.54075
0.18,-5.84952,2.19739,-1.53538,-0.06133,0.07445,0.01094,0.22117,-5.95271,1.13835,-4.16263,0.10079,-0.10373,0.19364,-0.33838,6.54628,-2.60833,-3.69065,-0.06984,-0.17534,-0.15272,10.50047,19.65574,-3.31991,23.12931,-14.45185,1.42738,3.02575,10.28151,-20.13519,4.1305,25.28772,-14.65503,-3.67439,-3.53004
0.2,-5.8196,2.23486,-2.06107,-0.05536,0.09192,0.01349,0.19389,-5.56161,0.98356,-3.98945,0.07705,-0.10408,0.1722,-0.39347,6.06279,-2.49739,-3.422,-0.05771,-0.18072,-0.12341,10.50193,19.64566,-3.33732,23.07468,-14.45915,1.44057,3.03048,10.28592,-20.15289,4.1259,25.30173,-14.64579,-3.62589,-3.50981
0.22,-5.88734,2.13159,-2.52547,-0.04989,0.10942,0.01612,0.17205,-5.28554,0.67688,-3.82245,0.04277,-0.11546,0.156,-0.44507,5.5966,-2.18845,-3.10874,-0.04775,-0.19081,-0.09536,10.51038,19.60862,-3.35005,23.04466,-14.46906,1.47109,3.04007,10.30238,-20.20079,4.14897,25.25415,-14.64188,-3.52866,-3.46811
0.24,-6.08139,1.89053,-2.86893,-0.04502,0.12744,0.01888,0.15012,-5.18322,0.34652,-3.66554,0.00797,-0.13711,0.14472,-0.50156,5.17722,-1.81627,-2.77569,-0.03769,-0.20451,-0.06884,10.5186,19.56627,-3.3617,23.02155,-14.48282,1.519,3.05653,10.31469,-20.24791,4.1809,25.18864,-14.63651,-3.406,-3.41463
0.26,-6.40447,1.53772,-3.03616,-0.04122,0.14635,0.02177,0.12672,-5.2866,0.06911,-3.52345,-0.01965,-0.16961,0.13699,-0.56792,4.82845,-1.48772,-2.45714,-0.0263,-0.22082,-0.04462,10.52406,19.54186,-3.37618,22.99069,-14.50151,1.58457,3.08192,10.32039,-20.26419,4.20747,25.14273,-14.62485,-3.27373,-3.35569
0.28,-6.84188,1.13046,-2.91969,-0.03995,0.1656,0.0247,0.08767,-5.57266,-0.12648,-3.42198,-0.0415,-0.21309,0.13003,-0.64247,4.5627,-1.24388,-2.20905,-0.01847,-0.2388,-0.02567,10.54084,19.55233,-3.39676,22.95646,-14.52515,1.66968,3.11773,10.34923,-20.24507,4.24327,25.08556,-14.60927,-3.10421,-3.27767
0.3,-7.31971,0.64043,-2.49375,-0.03771,0.18468,0.02758,0.09707,-6.23397,-0.39472,-3.23358,-0.06214,-0.28025,0.12309,-0.682,4.51145,-0.87979,-1.93903,-0.00767,-0.2623,-0.01374,10.53325,19.55575,-3.41331,22.91518,-14.55728,1.78244,3.16478,10.32248,-20.22243,4.26707,25.06353,-14.58509,-2.9418,-3.20374
0.32,-7.27774,0.04341,-2.0917,-0.03126,0.20329,0.03039,0.33841,-7.35079,-0.83395,-2.82292,-0.08604,-0.37492,0.11293,-0.61623,4.81069,-0.28018,-1.56386,0.01293,-0.29048,-0.01215,10.47301,19.50187,-3.41444,22.87089,-14.60056,1.93224,3.22436,10.163,-20.21858,4.24789,25.15548,-14.55005,-2.84482,-3.16446
0.34,-6.26809,-0.20471,-1.68996,-0.02464,0.22094,0.03296,0.73379,-8.28835,-1.22598,-2.2541,-0.10692,-0.46337,0.08641,-0.42863,5.29552,0.27242,-1.25529,0.03147,-0.31193,-0.02497,10.38686,19.45366,-3.41277,22.817,-14.6535,2.11622,3.2981,9.92664,-20.21778,4.21691,25.26632,-14.51367,-2.74691,-3.12629
0.36,-4.67223,0.18346,-0.88195,-0.02205,0.23745,0.03522,1.06024,-8.68982,-1.48908,-1.62478,-0.11988,-0.51897,0.04204,-0.17768,5.77731,0.65792,-1.13593,0.04066,-0.3241,-0.05439,10.30491,19.46719,-3.41968,22.74983,-14.71527,2.33213,3.38796,9.68943,-20.19024,4.19461,25.34651,-14.47892,-2.59715,-3.06312
