T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.01793,0,0,0.00172,0.00033,0.02838,0.07254,0,0,0.01033,0.00263,0.02269,0.00231,0.20226,0,0,0,0,0,0.07882,0.0893,0,0.1002,0,0.24249,0.74094,0.14867,0,0.21362,0.13754,0,0.08225,0,0.01653,0,0.00294,0.00086,0,0,0,0,0.08703,0.09557,0,0,0,0,0,0.01974,0.08194,0.02314,0.02974,0.04283,0,0,0.10159,0,0.11593,0,0,0,0.09706,0,0,0.10017,0,0.09498
0.02,0,0.01782,0,0,0.00168,0.00032,0.02832,0.073,0,0,0.01036,0.00258,0.02256,0.00228,0.20211,0,0,0,0,0,0.07947,0.08939,0,0.10009,0,0.24129,0.7385,0.14843,0,0.21469,0.13724,0,0.08332,0,0.01656,0,0.00289,0.00086,0,0,0,0,0.08708,0.09583,0,0,0,0,0,0.02005,0.08216,0.02327,0.02954,0.04282,0,0,0.10297,0,0.11607,0,0,0,0.09725,0,0,0.09996,0,0.09374
0.04,0,0.01771,0,0,0.00165,0.00031,0.02824,0.07345,0,0,0.01039,0.00253,0.02245,0.00225,0.20191,0,0,0,0,0,0.08011,0.08948,0,0.09998,0,0.24006,0.73597,0.1482,0,0.21568,0.13693,0,0.08433,0,0.01659,0,0.00283,0.00085,0,0,0,0,0.08712,0.0961,0,0,0,0,0,0.02035,0.08235,0.02338,0.02934,0.0428,0,0,0.10432,0,0.11622,0,0,0,0.09747,0,0,0.09974,0,0.09266
0.06,0,0.01761,0,0,0.00161,0.0003,0.02815,0.0739,0,0,0.01042,0.00247,0.02235,0.0022,0.20165,0,0,0,0,0,0.08075,0.08958,0,0.09987,0,0.23878,0.7333,0.14796,0,0.2166,0.13662,0,0.0853,0,0.01663,0,0.00276,0.00083,0,0,0,0,0.08717,0.09636,0,0,0,0,0,0.02064,0.08252,0.02349,0.02916,0.04276,0,0,0.10565,0,0.11636,0,0,0,0.09773,0,0,0.09952,0,0.09174
0.08,0,0.0175,0,0,0.00158,0.00028,0.02806,0.07435,0,0,0.01045,0.0024,0.02226,0.00216,0.20135,0,0,0,0,0,0.08139,0.08968,0,0.09975,0,0.23746,0.73049,0.14772,0,0.21748,0.1363,0,0.0862,0,0.01666,0,0.00267,0.00082,0,0,0,0,0.08722,0.09663,0,0,0,0,0,0.02094,0.08268,0.02359,0.02898,0.04271,0,0,0.10695,0,0.1165,0,0,0,0.09801,0,0,0.09931,0,0.091
0.1,0,0.01738,0,0,0.00154,0.00027,0.02796,0.07479,0,0,0.01048,0.00233,0.02219,0.00211,0.20101,0,0,0,0,0,0.08203,0.08979,0,0.09964,0,0.23609,0.72753,0.14747,0,0.21831,0.13598,0,0.08703,0,0.01669,0,0.00257,0.0008,0,0,0,0,0.08727,0.09688,0,0,0,0,0,0.02123,0.08282,0.02368,0.02881,0.04265,0,0,0.10823,0,0.11663,0,0,0,0.0983,0,0,0.0991,0,0.09046
0.12,0,0.01725,0,0,0.0015,0.00025,0.02785,0.07522,0,0,0.0105,0.00225,0.02212,0.00206,0.20063,0,0,0,0,0,0.08267,0.0899,0,0.09952,0,0.23467,0.72445,0.1472,0,0.21917,0.13565,0,0.08782,0,0.01672,0,0.00246,0.00078,0,0,0,0,0.08732,0.09714,0,0,0,0,0,0.02152,0.08296,0.02377,0.02865,0.04259,0,0,0.10947,0,0.11676,0,0,0,0.09859,0,0,0.09889,0,0.09003
0.14,0,0.0171,0,0,0.00145,0.00024,0.02773,0.07564,0,0,0.01053,0.00217,0.02207,0.00201,0.20024,0,0,0,0,0,0.08332,0.09003,0,0.09941,0,0.23321,0.72126,0.14691,0,0.22001,0.13532,0,0.08853,0,0.01675,0,0.00235,0.00076,0,0,0,0,0.08737,0.09739,0,0,0,0,0,0.02181,0.08309,0.02385,0.0285,0.04253,0,0,0.11067,0,0.11689,0,0,0,0.09887,0,0,0.09868,0,0.08975
0.16,0,0.01693,0,0,0.00139,0.00022,0.02762,0.07605,0,0,0.01056,0.00209,0.02202,0.00197,0.19985,0,0,0,0,0,0.08399,0.09017,0,0.09929,0,0.23171,0.718,0.14661,0,0.22084,0.13499,0,0.08916,0,0.01677,0,0.00225,0.00074,0,0,0,0,0.08742,0.09762,0,0,0,0,0,0.0221,0.08323,0.02393,0.02835,0.04247,0,0,0.11183,0,0.11702,0,0,0,0.09912,0,0,0.09848,0,0.08959
0.18,0,0.01674,0,0,0.00133,0.0002,0.02751,0.07646,0,0,0.01058,0.00201,0.02195,0.00192,0.19948,0,0,0,0,0,0.0846,0.09032,0,0.09917,0,0.23024,0.71475,0.14625,0,0.22196,0.13461,0,0.08994,0,0.01677,0,0.00216,0.00072,0,0,0,0,0.08746,0.09786,0,0,0,0,0,0.02238,0.08338,0.02401,0.0282,0.04242,0,0,0.11289,0,0.11713,0,0,0,0.09936,0,0,0.09826,0,0.08921
