T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0.00247,0,0,0,0.36813,0,0,0,0,0.01704,0.00921,0.4761,0,0,0,0,0,0.11527,0.11848,0,0.15041,0,0.33222,1,0.09204,0,0.25379,0.13879,0,0.10079,0,0.00943,0.01311,0.08681,0,0.00131,4e-05,1,0,1,0.14271,0.01791,0.06241,0,0,0,0.00708,0.10049,0.05392,0.01127,0.09703,0,0,0.2594,0,0.10929,0,0,0,0.15365,0,0,0.09782,0,0.23314
0.02,1e-05,0.01767,1e-05,0.00282,1e-05,0.00045,1,0.34591,1,5e-05,0.00054,2e-05,0.03609,0.00916,0.47015,4e-05,0.00017,0.00011,3e-05,0.00011,0.1121,0.11764,6e-05,0.1483,4e-05,0.34452,1,0.08711,1e-05,0.24909,0.13865,8e-05,0.11295,0.00019,0.00334,0.00657,0.10506,1e-05,0.00147,0.00049,1,9e-05,1,0.13153,0.00901,0.05014,3e-05,1e-05,3e-05,0.00494,0.09307,0.05627,0.01258,0.09732,2e-05,1e-05,0.26874,2e-05,0.11015,0.0001,4e-05,1e-05,0.1535,8e-05,1e-05,0.09748,0.00015,0.22371
0.04,0,0.03806,0,0.00321,0,2e-05,1,0.25205,1,0,3e-05,0,0.04191,0.00856,0.46096,2e-05,1e-05,0,0,2e-05,0.10893,0.11659,0,0.14624,0,0.35598,1,0.08184,0,0.24423,0.13845,0,0.12428,1e-05,0.00372,0.00348,0.09378,0,0.00179,0.0001,1,0,1,0.11062,0.00096,0.03491,1e-05,1e-05,0,0.00304,0.08459,0.0584,0.01375,0.09509,0,0,0.27799,0,0.11102,0,0,0,0.1533,0,0,0.09714,5e-05,0.21535
0.06,0,0.04999,0,0.00372,4e-05,3e-05,1,0.10797,1,0,0.05748,0,0.03282,0.00727,0.44853,0,0,4e-05,0,0,0.10585,0.11527,0,0.14429,0,0.36637,1,0.07629,0,0.23921,0.13819,0,0.13458,0,0.01018,0.00167,0.05727,0,0.00246,0.00017,1,0,0.31621,0.08267,5e-05,0.02114,1e-05,0,0,0.00135,0.07535,0.06164,0.01504,0.09091,0,0,0.28742,0,0.11194,0,0,0,0.15322,0,0,0.0969,0,0.21167
0.08,1e-05,0.04689,0.00013,0.00441,9e-05,0.00016,1,0.05404,1,5e-05,0.09482,0.00014,0.01195,0.00525,0.43298,0.00269,0.0001,0.00026,4e-05,0.00055,0.10287,0.11364,0.0002,0.14245,4e-05,0.37526,1,0.07042,2e-05,0.23401,0.13782,6e-05,0.14351,0.00034,0.02056,0.0008,0.00785,1e-05,0.00346,0.00042,1,0.13596,0.04832,0.05211,0.00015,0.01337,0.00012,6e-05,4e-05,0.00066,0.06535,0.06626,0.01641,0.08584,0,1e-05,0.29721,2e-05,0.11288,4e-05,4e-05,1e-05,0.15341,0.00023,4e-05,0.09675,6e-05,0.21434
0.1,0,0.02689,0.04369,0.00524,3e-05,9e-05,1,0.02541,1,0,0.09702,3e-05,0.00533,0.00153,0.41447,0.00502,0,1e-05,0,8e-05,0.09997,0.11175,0,0.1407,0,0.38234,1,0.06414,0,0.22839,0.13722,0,0.15069,7e-05,0.03133,0.00036,0.0039,0,0.00454,0.00052,0.12172,0.28682,0.00171,0.02494,1e-05,0.01355,0.00827,1e-05,0,0.00028,0.05452,0.07153,0.01755,0.07666,0,0,0.3067,0,0.11381,0,0,0,0.15383,0,0,0.09665,0,0.21936
0.12,0,0.01359,0.06606,0.00631,1e-05,4e-05,1,0.01159,1,6e-05,0.07902,6e-05,0.00156,0.0007,0.3944,0.00718,1e-05,8e-05,4e-05,6e-05,0.09722,0.10966,1e-05,0.13912,1e-05,0.38766,1,0.0576,0,0.22263,0.13648,1e-05,0.15617,0.00013,0.0392,0.01867,0.00189,1e-05,0.00605,0.0007,0.01967,0.40632,0.00072,0.00578,2e-05,0.02307,0.01614,0.00089,0,0.00018,0.04352,0.07836,0.01881,0.06705,0,0,0.31612,0,0.11475,1e-05,1e-05,0,0.1547,3e-05,0,0.09666,1e-05,0.23085
0.14,0,0.00689,0.05457,0.00754,1e-05,0.00026,1,0.00544,1,0.00922,0.05505,0.0001,0.00091,0.00065,0.37411,0.00907,0.0002,9e-05,5e-05,0.00015,0.09456,0.10758,0.00016,0.13767,5e-05,0.39134,1,0.05067,1e-05,0.21668,0.13548,9e-05,0.16019,0.00018,0.04153,0.0469,0.00097,1e-05,0.00797,0.00124,0.00648,0.45011,0.00036,0.0029,0.00059,0.03871,0.02019,0.00196,6e-05,0.00029,0.03262,0.08623,0.0199,0.05695,1e-05,2e-05,0.32521,4e-05,0.1157,6e-05,4e-05,1e-05,0.15594,0.00018,2e-05,0.09673,3e-05,0.24634
0.16,2e-05,0.00358,0.01505,0.00998,1e-05,0.00011,1,0.00245,1,0.00301,0.02901,8e-05,0.00138,0.00028,0.35487,0.01072,0.00026,0.00054,4e-05,0.00116,0.09198,0.10558,0.00051,0.13631,6e-05,0.39347,1,0.04332,1e-05,0.21048,0.13416,6e-05,0.16299,0.00023,0.03854,0.07235,0.00049,0.00031,0.01017,0.00148,0.00268,0.40761,0.00016,0.00148,0.00021,0.05353,0.01878,0.00286,2e-05,0.00029,0.02224,0.0956,0.02077,0.04871,2e-05,4e-05,0.33351,5e-05,0.11667,0.00011,8e-05,3e-05,0.15745,0.00026,2e-05,0.09681,4e-05,0.26462
0.18,0,0.00161,0.0074,0.01081,1e-05,1e-05,1,0.00064,0.63427,0.00142,0.01494,7e-05,0.00032,6e-05,0.3401,0.01336,4e-05,0.00016,3e-05,0.0004,0.08963,0.10346,8e-05,0.13519,1e-05,0.39388,1,0.03615,0,0.20424,0.13277,2e-05,0.16429,3e-05,0.03186,0.09072,0.04175,0.00012,0.01243,0.00186,0.0011,0.26813,5e-05,0.00693,8e-05,0.06623,0.01281,0.0035,1e-05,7e-05,0.01383,0.10091,0.02108,0.03867,0,0,0.33863,0,0.11763,1e-05,2e-05,1e-05,0.15944,3e-05,0,0.09697,1e-05,0.28525
