T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-0.00043,0.49951,1e-05,-0.00483,-3e-05,-0.00997,-0.00043,0.49949,1e-05,-0.00483,-3e-05,-0.00997
0.02,-0.00044,0.49954,1e-05,-0.0048,-3e-05,-0.01001,-0.00043,0.49945,1e-05,-0.0048,-3e-05,-0.01001
0.04,-0.00044,0.49959,1e-05,-0.00477,-3e-05,-0.01006,-0.00044,0.4994,1e-05,-0.00477,-3e-05,-0.01006
0.06,-0.00045,0.49966,1e-05,-0.00473,-3e-05,-0.01009,-0.00045,0.49934,0,-0.00473,-3e-05,-0.01009
0.08,-0.00046,0.49974,1e-05,-0.00469,-3e-05,-0.01012,-0.00046,0.49926,0,-0.00469,-3e-05,-0.01012
0.1,-0.00047,0.49983,1e-05,-0.00463,-3e-05,-0.01014,-0.00047,0.49916,0,-0.00463,-3e-05,-0.01014
0.12,-0.00048,0.49994,1e-05,-0.00457,-4e-05,-0.01016,-0.00047,0.49905,0,-0.00457,-3e-05,-0.01016
0.14,-0.00049,0.50005,1e-05,-0.00448,-4e-05,-0.01017,-0.00048,0.49894,0,-0.00448,-3e-05,-0.01017
0.16,-0.0005,0.50016,2e-05,-0.00437,-5e-05,-0.01018,-0.00049,0.49883,0,-0.00437,-3e-05,-0.01018
0.18,-0.00051,0.50024,2e-05,-0.00423,-5e-05,-0.01018,-0.00049,0.49875,1e-05,-0.00423,-4e-05,-0.01018
0.2,-0.00052,0.50027,3e-05,-0.00404,-6e-05,-0.01018,-0.0005,0.49872,1e-05,-0.00404,-4e-05,-0.01018
0.22,-0.00053,0.50023,4e-05,-0.00381,-6e-05,-0.01018,-0.00052,0.49876,2e-05,-0.00381,-5e-05,-0.01018
0.24,-0.00055,0.50006,4e-05,-0.0035,-7e-05,-0.01018,-0.00054,0.49893,3e-05,-0.0035,-6e-05,-0.01018
0.26,-0.00056,0.49974,5e-05,-0.00313,-7e-05,-0.01018,-0.00056,0.49925,4e-05,-0.00313,-6e-05,-0.01018
0.28,-0.00059,0.49921,4e-05,-0.00266,-7e-05,-0.01019,-0.0006,0.49978,4e-05,-0.00266,-7e-05,-0.01019
0.3,-0.00061,0.49841,4e-05,-0.00211,-6e-05,-0.0102,-0.00065,0.50058,5e-05,-0.00211,-8e-05,-0.0102
