T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.00395,0,0,0,0,0.02568,0.00396,0.05351,0,0,0,0.01956,0.006,0.19775,0,0,0,0,0,0.08737,0.08031,0,0.10399,0,0.11375,0.4853,0.08149,0,0.12558,0.12224,0,0,0,0.0147,0,0.00728,0.00387,0.00204,0.00066,0,0,0,0.0281,0.00041,0.03057,0,0,0,0.02008,0.08358,0.00671,0.03454,0.04555,0,0,0.11403,0,0.10944,0,0,0,0.08199,0,0,0.10539,0.08322,0.39227
0.02,0,0.00473,0,0,0,0,0.02626,0.00297,0.05352,0,0,0,0.01816,0.00521,0.19602,0,0,0,0,0,0.08751,0.08069,0,0.10379,0,0.12928,0.51152,0.08447,0,0.1319,0.12236,0,0,0,0.01523,0,0.01119,0.00378,0.00173,0.0006,0,0,0,0.02846,0.00176,0.03063,0,0,0,0.01953,0.08079,0.00576,0.03564,0.04396,0,0,0.1164,0,0.11017,0,0,0,0.08242,0,0,0.10557,0.06072,0.35047
0.04,0,0.00553,0,0,0,0,0.02682,0.00209,0.05354,0,0,0,0.01669,0.00423,0.19353,0,0,0,0,0,0.08733,0.08107,0,0.10339,0,0.14503,0.53684,0.08738,0,0.13773,0.12248,0,0,0,0.01608,0,0.01606,0.00374,0.00137,0.00052,0,0,0,0.02871,0.00298,0.03069,0,0,0,0.01891,0.07749,0.00475,0.0368,0.04194,0,0,0.11917,0,0.11103,0,0,0,0.08298,0,0,0.1056,0.03796,0.30896
0.06,0,0.0064,0,0,0,0,0.02735,0.00137,0.05357,0,0,0,0.01514,0.00307,0.19028,0,0,0,0,0,0.08682,0.08142,0,0.10279,0,0.1607,0.56019,0.09029,0,0.14311,0.12262,0,0,0,0.01729,0,0.02183,0.00376,0.00098,0.00043,0,0,0,0.02884,0.00409,0.03072,0,0,0,0.01821,0.07368,0.00367,0.03802,0.03949,0,0,0.12247,0,0.11199,0,0,0,0.08374,0,0,0.10549,0.01525,0.26881
0.08,1e-05,0.00738,2e-05,1e-05,1e-05,0.00012,0.02784,0.00086,0.05365,1e-05,4e-05,1e-05,0.01352,0.00177,0.18636,1e-05,1e-05,0.00013,1e-05,4e-05,0.08601,0.0817,0.00014,0.10201,2e-05,0.17601,0.58052,0.09328,0,0.14814,0.12278,3e-05,0.02104,3e-05,0.01887,3e-05,0.02831,0.00386,0.00056,0.00044,1e-05,1e-05,4e-05,0.02885,0.00516,0.03075,3e-05,0,1e-05,0.0174,0.06942,0.00261,0.03934,0.03668,1e-05,0,0.12653,1e-05,0.11306,8e-05,2e-05,1e-05,0.08478,4e-05,1e-05,0.10524,0.01014,0.23128
0.1,0,0.0084,0,0,0,0,0.02825,0.00057,0.05368,0,0,0,0.01172,0.00034,0.18188,0,0,1e-05,0,0,0.0849,0.08188,0,0.10106,0,0.19045,0.59654,0.0964,0,0.15277,0.12292,0,0.04394,0,0.02077,0,0.03508,0.00402,0.0001,0.00021,0,0,0,0.02864,0.00609,0.03066,0,0,0,0.01645,0.06481,0.00124,0.04063,0.03347,0,0,0.13121,0,0.11419,0,0,0,0.08617,0,0,0.10484,0.00736,0.19745
0.12,0,0.00951,0,0,0.00041,4e-05,0.0286,0.00063,0.05375,0,1e-05,0,0.00985,0.0002,0.17714,0,0,0.00021,0,1e-05,0.08362,0.082,0,0.1,0,0.20385,0.6076,0.09973,0,0.15719,0.123,0,0.06702,0,0.02297,0,0.04159,0.00427,6e-05,0.00011,0,0,0,0.02833,0.00705,0.03051,0,0.00082,0,0.01531,0.06008,5e-05,0.04195,0.03013,0,0,0.13693,0,0.11537,0,0,0,0.08789,0,0,0.10429,0.00574,0.16834
0.14,0,0.01061,0,0,0.00079,0.00039,0.02887,0.00097,0.0538,0,0,0,0.00788,7e-05,0.17238,0,0,0.00332,1e-05,0,0.08228,0.08199,0,0.09896,0,0.21578,0.61285,0.10336,0,0.16136,0.12302,0,0.087,0,0.02531,0,0.04694,0.00459,4e-05,0.00033,0,0,0,0.02779,0.00801,0.03028,0,0.00161,0,0.01399,0.05552,0.00126,0.04323,0.02681,0,0,0.14351,0,0.11657,0,0,0,0.09,0,0,0.10361,0.00317,0.14534
0.16,3e-05,0.01164,4e-05,5e-05,0.0012,0.00056,0.02909,0.00165,0.05388,3e-05,0.00022,7e-05,0.00604,8e-05,0.16789,6e-05,4e-05,0.00518,8e-05,0.00019,0.08111,0.08186,0.0002,0.09811,0.00039,0.22603,0.61258,0.10739,3e-05,0.16542,0.12293,0.00019,0.10658,6e-05,0.02761,1e-05,0.04998,0.005,0.0001,0.00035,2e-05,4e-05,8e-05,0.02707,0.00926,0.03013,0.00018,0.00241,5e-05,0.01262,0.05156,0.00134,0.04447,0.02405,3e-05,3e-05,0.15095,7e-05,0.11785,0.00015,0.00013,4e-05,0.09245,0.00021,6e-05,0.10283,0.00221,0.12933
0.18,3e-05,0.01215,6e-05,5e-05,0.00137,0.00063,0.02916,0.00298,0.05398,3e-05,0.00026,6e-05,0.0039,6e-05,0.16363,0.0001,4e-05,0.00674,8e-05,0.00028,0.08026,0.08185,0.00023,0.09746,0.00033,0.23411,0.60676,0.1116,3e-05,0.16948,0.12239,0.00018,0.12487,9e-05,0.0296,1e-05,0.04891,0.00545,8e-05,0.0003,2e-05,4e-05,8e-05,0.02637,0.0105,0.02952,0.00017,0.00302,5e-05,0.01081,0.04861,0.00114,0.04489,0.02182,3e-05,3e-05,0.1592,7e-05,0.119,0.00013,0.00014,4e-05,0.09491,0.00027,0.0001,0.10168,0.00169,0.11817
