T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,0.05707,355.21444,0.04712,-2.97284,-0.03262,6.40945,-0.09055,330.81196,0.29627,-2.97284,-0.28176,6.40945
0.02,0.04981,354.27557,0.11875,-3.70629,-0.08439,6.27181,-0.08742,331.74929,0.34874,-3.70629,-0.31438,6.27181
0.04,0.04263,351.40018,0.19409,-4.37127,-0.13882,6.10192,-0.06123,334.62086,0.3654,-4.37127,-0.31014,6.10192
0.06,0.03565,345.8655,0.27266,-4.92656,-0.19559,5.89094,-0.00317,340.14859,0.33104,-4.92656,-0.25396,5.89094
0.08,0.029,336.87768,0.35227,-5.33458,-0.25309,5.62976,0.09646,349.12544,0.22723,-5.33458,-0.12804,5.62976
0.1,0.02287,323.63144,0.42847,-5.56507,-0.30812,5.31001,0.24759,362.35574,0.0331,-5.56507,0.08725,5.31001
0.12,0.01743,305.40463,0.49461,-5.59848,-0.35587,4.9255,0.4592,380.56088,-0.27272,-5.59848,0.41146,4.9255
0.14,0.01278,281.69509,0.54272,-5.42828,-0.39059,4.47392,0.73765,404.24247,-0.70847,-5.42828,0.8606,4.47392
0.16,0.00892,252.40657,0.56524,-5.06254,-0.40684,3.9589,1.0844,433.49671,-1.28367,-5.06254,1.44207,3.9589
0.18,0.00579,218.08781,0.55729,-4.52588,-0.40112,3.39205,1.49324,467.77551,-1.99199,-4.52588,2.14817,3.39205
0.2,0.00335,180.22445,0.51903,-3.86308,-0.37356,2.79525,1.94682,505.59497,-2.80297,-3.86308,2.94844,2.79525
0.22,0.00154,141.36119,0.457,-3.13992,-0.32888,2.20049,2.41521,544.4133,-3.65812,-3.13992,3.78625,2.20049
0.24,0.00027,104.60708,0.38217,-2.43201,-0.27495,1.64258,2.86176,581.12489,-4.48303,-2.43201,4.59026,1.64258
0.26,-0.00054,72.71673,0.30555,-1.80529,-0.21969,1.14764,3.25411,612.97817,-5.21047,-1.80529,5.29635,1.14764
0.28,-0.001,47.58337,0.23525,-1.30523,-0.16889,0.72766,3.57007,638.08187,-5.7937,-1.30523,5.86006,0.72766
0.3,-0.00119,30.33457,0.17628,-0.95848,-0.12616,0.38269,3.79621,655.30958,-6.20468,-0.95848,6.25481,0.38269
