T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00018,2e-05,9e-05,3.11019,-0.78957,0.00478,0.97997,0.01308,0.04753,-0.09813,-0.03178,0.00073,2.08898,-1.39771,1.12,0.41848,1.7112,-0.98069,-0.114,2.11451,1.31249,-1.11999,0.3841,-1.75784,-0.91241,-0.02063,0.90992,-0.02549,-0.06591,-0.34346,-0.1447,-0.09063,-0.06043,0.97771,0.04684,0.01901,-0.41848,-0.15548,0.08311,0.05719
0.02,-0.0008,3e-05,-7e-05,3.1108,-0.78923,0.00484,0.98112,0.01318,0.04837,-0.09994,-0.03139,0.00072,2.09605,-1.39192,1.12,0.43383,1.72859,-0.98598,-0.11078,2.11779,1.3076,-1.11999,0.39796,-1.75137,-0.91656,-0.00719,0.90864,-0.02599,-0.06902,-0.34332,-0.14431,-0.09035,-0.06028,0.97667,0.04744,0.02164,-0.41845,-0.15515,0.08278,0.05698
0.04,-0.00141,4e-05,-0.00024,3.11142,-0.78889,0.00489,0.98227,0.01328,0.0492,-0.10174,-0.031,0.00072,2.1031,-1.38615,1.12,0.44913,1.74592,-0.99125,-0.10757,2.12106,1.30271,-1.11999,0.41179,-1.74494,-0.92071,0.0062,0.90737,-0.02649,-0.07213,-0.34318,-0.14391,-0.09007,-0.06012,0.97563,0.04804,0.02426,-0.41842,-0.15481,0.08245,0.05678
0.06,-0.00202,5e-05,-0.0004,3.11203,-0.78856,0.00494,0.98342,0.01338,0.05003,-0.10354,-0.0306,0.00071,2.11015,-1.38038,1.12,0.46443,1.76326,-0.99653,-0.10436,2.12433,1.29783,-1.11999,0.42561,-1.7385,-0.92485,0.01959,0.9061,-0.02699,-0.07523,-0.34304,-0.14352,-0.08979,-0.05997,0.97458,0.04864,0.02688,-0.41839,-0.15448,0.08212,0.05657
0.08,-0.00264,6e-05,-0.00056,3.11265,-0.78822,0.005,0.98457,0.01348,0.05087,-0.10535,-0.03021,0.0007,2.11722,-1.37461,1.12,0.47977,1.78064,-1.00181,-0.10115,2.12761,1.29294,-1.11999,0.43947,-1.73199,-0.929,0.03305,0.90483,-0.02749,-0.07835,-0.3429,-0.14313,-0.08951,-0.05981,0.97354,0.04924,0.0295,-0.41836,-0.15415,0.08179,0.05637
0.1,-0.00325,7e-05,-0.00073,3.11326,-0.78788,0.00505,0.98571,0.01357,0.0517,-0.10714,-0.02982,0.0007,2.12422,-1.36885,1.12,0.49501,1.79787,-1.00707,-0.09796,2.13084,1.28808,-1.11999,0.45322,-1.72573,-0.93313,0.04629,0.90356,-0.02798,-0.08142,-0.34276,-0.14274,-0.08923,-0.05966,0.9725,0.04984,0.03212,-0.41833,-0.15382,0.08146,0.05616
0.12,-0.00387,8e-05,-0.00089,3.11387,-0.78755,0.0051,0.98688,0.01368,0.05254,-0.10896,-0.02942,0.00069,2.13135,-1.36306,1.11999,0.51042,1.81539,-1.01236,-0.09471,2.13417,1.28316,-1.11999,0.46717,-1.71898,-0.93729,0.05995,0.90228,-0.02849,-0.08458,-0.34262,-0.14235,-0.08894,-0.0595,0.97146,0.05044,0.03473,-0.4183,-0.15348,0.08113,0.05596
0.14,-0.00448,0.0001,-0.00105,3.11449,-0.78721,0.00516,0.98802,0.01377,0.05337,-0.11075,-0.02903,0.00069,2.13836,-1.3573,1.11999,0.52568,1.83264,-1.01763,-0.09152,2.13741,1.2783,-1.12,0.48094,-1.71268,-0.94142,0.07323,0.90101,-0.02899,-0.08767,-0.34248,-0.14196,-0.08866,-0.05934,0.97042,0.05104,0.03735,-0.41827,-0.15315,0.08079,0.05575
0.16,-0.00509,0.00011,-0.00122,3.11511,-0.78686,0.00521,0.98914,0.01387,0.05417,-0.11251,-0.02865,0.00068,2.14525,-1.35156,1.11999,0.54076,1.84959,-1.02287,-0.08839,2.14055,1.27347,-1.12,0.4945,-1.70697,-0.94553,0.08603,0.89975,-0.02946,-0.09064,-0.34235,-0.14157,-0.08839,-0.05919,0.96938,0.05165,0.03998,-0.41824,-0.15282,0.08046,0.05555
0.18,-0.00573,0.00012,-0.00137,3.1157,-0.78655,0.00526,0.99039,0.01399,0.05511,-0.11447,-0.02823,0.00067,2.15291,-1.34567,1.11999,0.55686,1.86835,-1.02828,-0.08489,2.14427,1.26836,-1.12,0.5093,-1.69799,-0.94981,0.10153,0.89846,-0.03004,-0.09419,-0.34219,-0.14115,-0.08808,-0.05902,0.96833,0.05223,0.04258,-0.41821,-0.15249,0.08014,0.05534
0.2,-0.00631,0.00013,-0.00155,3.11637,-0.78618,0.00532,0.99136,0.01405,0.05577,-0.11599,-0.02787,0.00067,2.1589,-1.34013,1.11999,0.57083,1.88324,-1.03333,-0.08219,2.14675,1.26388,-1.12,0.52147,-1.6958,-0.95371,0.11137,0.89721,-0.0304,-0.09657,-0.34209,-0.14081,-0.08784,-0.0589,0.9673,0.05286,0.04523,-0.41818,-0.15215,0.07979,0.05513
