T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.03091,0.00062,-0.00794,0.0297,0.01707,0.00247,0.05861,0.00544,0.04335,-0.09266,0.01968,-0.0003,0.36423,0.29175,4e-05,0.76611,0.8897,-0.26176,0.16536,0.17264,-0.24888,-0.0001,0.70012,0.34119,-0.2123,0.68912,-0.06397,-0.02508,-0.15504,0.00741,0.01942,0.01397,0.00769,-0.05255,0.02952,0.12929,0.00163,0.01645,-0.01619,-0.01007
0.02,-0.03158,0.00063,-0.00818,0.03062,0.01777,0.00254,0.05956,0.00546,0.04399,-0.09435,0.02007,-0.00029,0.37165,0.29935,6e-05,0.78088,0.90592,-0.26847,0.16814,0.17558,-0.2548,-0.00012,0.71318,0.3337,-0.21838,0.69373,-0.06571,-0.02508,-0.15565,0.00749,0.01964,0.01409,0.00771,-0.05407,0.03036,0.13274,0.00166,0.01688,-0.01665,-0.01035
0.04,-0.03187,0.00062,-0.00836,0.03141,0.01839,0.00261,0.05955,0.00533,0.0438,-0.09453,0.0202,-0.00028,0.37327,0.30365,8e-05,0.78553,0.90773,-0.27266,0.16808,0.17516,-0.25747,-0.00013,0.71599,0.31376,-0.22202,0.68361,-0.06678,-0.02453,-0.15322,0.0074,0.01956,0.01399,0.00759,-0.05506,0.03097,0.13508,0.00166,0.01717,-0.01699,-0.01056
0.06,-0.0318,0.00059,-0.00853,0.03217,0.01895,0.00269,0.05857,0.00503,0.04273,-0.09315,0.02009,-0.00026,0.36893,0.30496,0.0001,0.78096,0.89495,-0.27488,0.16508,0.17104,-0.25698,-0.00014,0.70891,0.27988,-0.22331,0.65804,-0.06728,-0.02343,-0.14783,0.00714,0.01919,0.01366,0.00733,-0.0556,0.03145,0.13662,0.00162,0.01735,-0.01728,-0.01073
0.08,-0.0314,0.00054,-0.00869,0.03302,0.01948,0.00279,0.05662,0.00453,0.04072,-0.09016,0.01976,-0.00022,0.35832,0.30343,0.00011,0.76792,0.86706,-0.27558,0.159,0.16284,-0.25336,-0.00013,0.69211,0.23074,-0.22223,0.61623,-0.06726,-0.02177,-0.13955,0.00667,0.01857,0.01313,0.00693,-0.05573,0.03186,0.13763,0.00153,0.01746,-0.01754,-0.01087
0.1,-0.03069,0.00046,-0.00888,0.03404,0.01997,0.00295,0.05367,0.0038,0.03769,-0.08545,0.01923,-0.00018,0.34095,0.29908,0.0001,0.74703,0.82331,-0.27511,0.14966,0.15007,-0.24649,-0.00011,0.66563,0.16551,-0.2186,0.5576,-0.06675,-0.01958,-0.12858,0.00598,0.01773,0.01242,0.00642,-0.05547,0.03226,0.13832,0.0014,0.01753,-0.01781,-0.01101
0.12,-0.02968,0.00035,-0.0091,0.0353,0.02039,0.00316,0.04971,0.00282,0.03359,-0.07896,0.0185,-0.00014,0.31634,0.29181,7e-05,0.71896,0.76307,-0.27371,0.13691,0.13231,-0.23618,-6e-05,0.62956,0.0844,-0.21209,0.48219,-0.06574,-0.01691,-0.11526,0.00506,0.01669,0.01156,0.00581,-0.05477,0.03269,0.13886,0.0012,0.01756,-0.01813,-0.01116
0.14,-0.02838,0.0002,-0.00936,0.03684,0.02068,0.00344,0.04477,0.0016,0.0284,-0.07064,0.0176,-8e-05,0.28416,0.2814,1e-05,0.68455,0.68621,-0.2715,0.12072,0.10928,-0.22225,2e-05,0.58428,-0.01077,-0.20229,0.39128,-0.06418,-0.01388,-0.10024,0.00389,0.01553,0.01059,0.00514,-0.05359,0.03317,0.13931,0.00095,0.01758,-0.01849,-0.01134
0.16,-0.02681,3e-05,-0.00966,0.03865,0.02074,0.0038,0.03898,0.00013,0.02221,-0.06059,0.01656,-2e-05,0.24447,0.26762,-8e-05,0.64518,0.59372,-0.26854,0.10134,0.08105,-0.20459,0.00013,0.53087,-0.11569,-0.18874,0.28807,-0.06202,-0.01067,-0.08455,0.00251,0.01434,0.00961,0.00447,-0.05184,0.03369,0.13968,0.00064,0.01759,-0.01891,-0.01153
0.18,-0.02503,-0.00018,-0.00998,0.04063,0.02045,0.00424,0.03258,-0.00152,0.01521,-0.04911,0.01542,3e-05,0.19808,0.25034,-0.00022,0.60306,0.48853,-0.26476,0.07941,0.04824,-0.18335,0.0003,0.47151,-0.22264,-0.17107,0.17869,-0.0592,-0.00759,-0.06982,0.00095,0.01324,0.00871,0.00388,-0.04942,0.03421,0.13988,0.00026,0.01756,-0.01935,-0.01173
0.2,-0.02312,-0.00041,-0.0103,0.04265,0.01963,0.00474,0.02598,-0.00326,0.0078,-0.03675,0.01427,7e-05,0.14669,0.2296,-0.00043,0.56134,0.37587,-0.26004,0.05609,0.0122,-0.15903,0.00051,0.4097,-0.32037,-0.14905,0.07239,-0.05567,-0.00506,-0.05819,-0.00069,0.01241,0.00804,0.00348,-0.04625,0.03465,0.13976,-0.00016,0.0175,-0.01976,-0.01191
0.22,-0.02117,-0.00065,-0.01058,0.04451,0.01814,0.00528,0.01965,-0.00497,0.00044,-0.0242,0.01319,9e-05,0.09256,0.20567,-0.00069,0.52343,0.26241,-0.25401,0.03286,-0.02535,-0.13236,0.00078,0.34948,-0.39669,-0.12264,-0.02037,-0.05141,-0.00353,-0.05189,-0.00231,0.01203,0.00775,0.00337,-0.04227,0.03493,0.1391,-0.0006,0.01736,-0.02011,-0.01204
0.24,-0.01927,-0.00088,-0.01079,0.04602,0.01589,0.00585,0.01397,-0.00655,-0.00648,-0.01204,0.01225,8e-05,0.03775,0.17896,-0.00102,0.49175,0.1545,-0.24581,0.01118,-0.06284,-0.10413,0.0011,0.2941,-0.44271,-0.09194,-0.09113,-0.04645,-0.00328,-0.05239,-0.0038,0.01219,0.00793,0.00364,-0.03748,0.03496,0.13771,-0.00104,0.01714,-0.02032,-0.01208
0.26,-0.0175,-0.00111,-0.01091,0.04701,0.01288,0.00641,0.00915,-0.00791,-0.01267,-0.00073,0.01147,5e-05,-0.01615,0.15017,-0.00141,0.46703,0.05737,-0.23397,-0.00767,-0.09909,-0.07513,0.00146,0.24523,-0.45571,-0.05731,-0.13554,-0.04089,-0.00439,-0.05986,-0.00507,0.0129,0.0086,0.00427,-0.03199,0.0347,0.13544,-0.00147,0.0168,-0.02035,-0.01202
0.28,-0.01588,-0.00131,-0.01093,0.04734,0.00929,0.00694,0.00526,-0.00899,-0.01795,0.00942,0.01086,-1e-05,-0.06771,0.12047,-0.00185,0.44829,-0.02432,-0.21646,-0.02252,-0.13314,-0.04638,0.00184,0.20321,-0.43967,-0.01961,-0.15344,-0.03494,-0.00663,-0.07297,-0.00607,0.01404,0.00966,0.0052,-0.02604,0.03412,0.13222,-0.00183,0.01632,-0.02016,-0.01184
0.3,-0.01447,-0.00147,-0.01086,0.04686,0.00542,0.0074,0.00226,-0.00973,-0.02219,0.01812,0.01038,-7e-05,-0.11524,0.09163,-0.0023,0.43327,-0.08579,-0.19088,-0.03216,-0.16396,-0.01929,0.00221,0.16749,-0.40431,0.01962,-0.14808,-0.02897,-0.00953,-0.08906,-0.00672,0.01537,0.01092,0.00627,-0.02007,0.03324,0.12804,-0.00211,0.01568,-0.01975,-0.01154
0.32,-0.01331,-0.00158,-0.01071,0.04547,0.00165,0.00775,3e-05,-0.01007,-0.0253,0.02512,0.00998,-0.00014,-0.15696,0.06569,-0.00271,0.41898,-0.1226,-0.1549,-0.0355,-0.19049,0.00458,0.00251,0.13707,-0.36227,0.05845,-0.12476,-0.02338,-0.01251,-0.10488,-0.00698,0.01661,0.01215,0.00731,-0.01457,0.03208,0.12296,-0.00224,0.01489,-0.01908,-0.01112
0.34,-0.01241,-0.00163,-0.01047,0.04308,-0.00169,0.00796,-0.00156,-0.00999,-0.02722,0.03031,0.00961,-0.00019,-0.19137,0.04434,-0.00302,0.40251,-0.1317,-0.10691,-0.03197,-0.21191,0.02391,0.00267,0.11083,-0.3253,0.09522,-0.08922,-0.01854,-0.01506,-0.11765,-0.00681,0.0175,0.01317,0.00815,-0.00995,0.03067,0.11699,-0.00222,0.01392,-0.01816,-0.01056
0.36,-0.01177,-0.00161,-0.01017,0.03969,-0.00439,0.008,-0.00266,-0.00949,-0.02793,0.03377,0.00922,-0.00022,-0.21746,0.0285,-0.00313,0.38158,-0.11231,-0.04663,-0.02172,-0.22779,0.0379,0.0026,0.0878,-0.30163,0.12882,-0.04668,-0.01465,-0.01689,-0.12577,-0.0062,0.01791,0.01385,0.00871,-0.00645,0.02903,0.11011,-0.00202,0.01279,-0.01699,-0.00988
0.38,-0.01136,-0.00154,-0.00981,0.03534,-0.00636,0.00785,-0.00343,-0.0086,-0.02748,0.03575,0.00875,-0.00023,-0.23455,0.01841,-0.0029,0.35485,-0.06613,0.02428,-0.00579,-0.23794,0.0462,0.00215,0.0674,-0.2956,0.15849,-0.00186,-0.01177,-0.01789,-0.12892,-0.00521,0.01781,0.01417,0.00897,-0.00414,0.02716,0.10229,-0.00167,0.01148,-0.01558,-0.00908
