T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.03105,-0.00141,-0.04251,0.03425,-0.03376,0.00534,-0.01293,0.00838,0.00983,0.08335,0.04585,0.00747,-0.22054,0.10037,0.08847,0.07817,-0.15592,-0.01995,-0.08602,-0.57093,-0.11081,4.80964,-0.00857,2.19889,-1.62016,-0.19359,0.04541,-0.00988,-0.638,0.02051,0.04326,0.04999,0.02648,0.13748,0.10503,0.09035,-0.08112,-0.01255,-0.00355,-0.00335
0.02,0.04144,-0.00045,-0.04641,0.03059,-0.05279,0.00311,-0.0146,0.00899,0.01969,0.09184,0.04674,0.00808,-0.20947,0.11963,0.15067,0.09421,-0.18595,-0.02812,-0.09669,-0.82069,-0.04888,4.33145,-0.01273,2.16241,-1.549,-0.19895,0.07608,-0.01796,-0.74985,0.03101,0.04903,0.05978,0.03153,0.17394,0.11191,0.08014,-0.07346,-0.01916,-0.00011,-0.00237
0.04,0.05596,0.00103,-0.05099,0.02505,-0.07898,0.00017,-0.01801,0.00928,0.03337,0.10074,0.0455,0.00846,-0.17756,0.14204,0.23025,0.11394,-0.22031,-0.03689,-0.1092,-1.13783,0.04508,3.38944,-0.0179,1.9857,-1.3556,-0.19306,0.12145,-0.02945,-0.8894,0.04221,0.05572,0.07215,0.03788,0.22354,0.11809,0.06024,-0.06037,-0.02879,0.00507,-0.00076
0.06,0.0744,0.00309,-0.05662,0.01818,-0.1118,-0.00314,-0.02346,0.0088,0.0509,0.10924,0.04136,0.00845,-0.11778,0.16613,0.32528,0.13654,-0.25602,-0.04527,-0.12264,-1.51569,0.1746,1.8679,-0.02395,1.61883,-1.00189,-0.17086,0.1815,-0.04312,-1.04966,0.05302,0.06279,0.08651,0.04521,0.28514,0.12327,0.02817,-0.04086,-0.04171,0.01204,0.00158
0.08,0.09624,0.00576,-0.06353,0.01061,-0.15008,-0.00636,-0.03124,0.00705,0.07198,0.11619,0.03342,0.00781,-0.02262,0.18968,0.43146,0.16058,-0.28884,-0.05184,-0.13571,-1.93797,0.34146,-0.34418,-0.03059,1.00784,-0.44828,-0.12648,0.25545,-0.05754,-1.21966,0.06185,0.06947,0.10191,0.05303,0.35642,0.12678,-0.01849,-0.0141,-0.05804,0.02075,0.00471
0.1,0.12076,0.00905,-0.07169,0.00307,-0.19217,-0.00902,-0.04176,0.00358,0.09591,0.12012,0.0207,0.00633,0.11515,0.20974,0.54161,0.1841,-0.31347,-0.05473,-0.1469,-2.37709,0.54501,-3.33603,-0.0373,0.1007,0.34159,-0.05364,0.34194,-0.07142,-1.38575,0.06645,0.07486,0.11717,0.0607,0.43435,0.12758,-0.0816,0.02025,-0.07766,0.03106,0.00866
0.12,0.14712,0.01291,-0.08079,-0.00371,-0.236,-0.01065,-0.05563,-0.00194,0.12161,0.11942,0.00223,0.00374,0.30151,0.22274,0.64533,0.20468,-0.32387,-0.05165,-0.15467,-2.79299,0.78117,-7.15513,-0.04334,-1.14554,1.39506,0.05383,0.43935,-0.08388,-1.53315,0.0638,0.07803,0.13101,0.06757,0.51556,0.12435,-0.16222,0.06167,-0.10021,0.04272,0.01344
0.14,0.17447,0.01725,-0.09023,-0.00893,-0.27913,-0.01077,-0.07376,-0.00968,0.14758,0.11246,-0.02282,-0.00022,0.53987,0.22456,0.72867,0.21958,-0.31359,-0.03987,-0.15767,-3.13242,1.04144,-11.78542,-0.04774,-2.75633,2.724,0.20133,0.546,-0.09462,-1.64766,0.05003,0.07814,0.14219,0.07297,0.59688,0.11561,-0.26012,0.1084,-0.1251,0.0554,0.01896
0.16,0.20205,0.02189,-0.09921,-0.01175,-0.3189,-0.00898,-0.09744,-0.01957,0.17202,0.09783,-0.05503,-0.00574,0.8296,0.21066,0.77409,0.22585,-0.27621,-0.01641,-0.1549,-3.32936,1.312,-17.12563,-0.04923,-4.73074,4.31787,0.39257,0.66037,-0.10411,-1.71746,0.02035,0.0746,0.14963,0.07637,0.67577,0.09999,-0.37357,0.15704,-0.15148,0.06863,0.0251
0.18,0.2293,0.02658,-0.10675,-0.01126,-0.35252,-0.00491,-0.12837,-0.03129,0.19287,0.0745,-0.09455,-0.01298,1.16431,0.17621,0.76077,0.22053,-0.20589,0.02178,-0.14586,-3.30674,1.57292,-22.97018,-0.04634,-7.03259,6.13731,0.62868,0.78126,-0.11366,-1.73489,-0.03084,0.06715,0.15261,0.07737,0.75081,0.07648,-0.49906,0.20221,-0.17828,0.08186,0.03163
0.2,0.25592,0.03092,-0.11184,-0.00659,-0.37718,0.0017,-0.1686,-0.04426,0.20805,0.04202,-0.14099,-0.022,1.52998,0.11625,0.66541,0.20077,-0.09791,0.07746,-0.13056,-2.97985,1.79788,-28.99644,-0.0374,-9.58309,8.10886,0.90705,0.90786,-0.1253,-1.69761,-0.10979,0.05603,0.15082,0.07585,0.82199,0.04467,-0.63122,0.23645,-0.20419,0.09442,0.03828
0.22,0.28187,0.03443,-0.1135,0.00299,-0.39016,0.01096,-0.22042,-0.05764,0.21566,0.00056,-0.19328,-0.0327,1.90326,0.02581,0.46365,0.16393,0.05077,0.1526,-0.10942,-2.26189,1.95436,-34.7626,-0.02065,-12.25618,10.12223,1.22036,1.03965,-0.14165,-1.60896,-0.22295,0.04195,0.14441,0.07192,0.89078,0.00495,-0.76302,0.25023,-0.22771,0.10559,0.04469
0.24,0.3073,0.03647,-0.11087,0.0179,-0.38889,0.02276,-0.28607,-0.07043,0.21431,-0.04902,-0.2496,-0.04484,2.25,-0.09999,0.13212,0.1077,0.24094,0.24777,-0.08301,-1.07166,2.00475,-39.72086,0.0056,-14.87836,12.03118,1.55564,1.17612,-0.16553,-1.47725,-0.37639,0.0261,0.13397,0.0659,0.95991,-0.04138,-0.88613,0.23246,-0.24717,0.11463,0.05045
0.26,0.33242,0.03628,-0.10326,0.03802,-0.3711,0.03676,-0.36745,-0.08148,0.20344,-0.10531,-0.30738,-0.058,2.52429,-0.26562,-0.34902,0.03012,0.4707,0.3615,-0.0517,0.65637,1.90833,-43.25081,0.04276,-17.23456,13.65927,1.89385,1.31634,-0.19948,-1.31424,-0.57506,0.01004,0.1204,0.05832,1.03281,-0.09207,-0.9915,0.17107,-0.26073,0.1208,0.05512
0.28,0.35741,0.03299,-0.09026,0.06246,-0.33482,0.05224,-0.46573,-0.08965,0.18351,-0.16639,-0.36333,-0.07155,2.6685,-0.47488,-0.99312,-0.07042,0.73489,0.48958,-0.01531,2.96007,1.62453,-44.7166,0.0917,-19.08134,14.8113,2.21008,1.45861,-0.24526,-1.13314,-0.82195,-0.00445,0.10475,0.04976,1.11307,-0.14402,-1.07016,0.05404,-0.26648,0.12346,0.05827
0.3,0.38223,0.02567,-0.07173,0.08945,-0.27856,0.06813,-0.58101,-0.09386,0.15624,-0.22992,-0.41356,-0.08469,2.61455,-0.73017,-1.80406,-0.19502,1.02472,0.62459,0.02703,5.83616,1.11732,-43.54943,0.15247,-20.16829,15.29088,2.47468,1.60005,-0.30332,-0.9465,-1.11738,-0.01554,0.08805,0.04084,1.20376,-0.19337,-1.11396,-0.12949,-0.26253,0.12211,0.05952
0.32,0.40657,0.01338,-0.04787,0.1163,-0.20139,0.08294,-0.71207,-0.09317,0.12451,-0.29319,-0.45377,-0.09647,2.2869,-1.03158,-2.77354,-0.34422,1.32739,0.75569,0.0768,9.22673,0.36062,-39.35312,0.22389,-20.26728,14.92376,2.65556,1.73646,-0.37244,-0.76441,-1.45834,-0.02157,0.07118,0.03206,1.30673,-0.23567,-1.11624,-0.38803,-0.24714,0.11643,0.05854
0.34,0.42979,-0.00472,-0.01918,0.13953,-0.10306,0.09479,-0.8562,-0.08679,0.09208,-0.35308,-0.47949,-0.10587,1.60742,-1.37568,-3.87891,-0.5178,1.62593,0.86873,0.13581,13.00705,-0.65561,-32.02456,0.30324,-19.20757,13.58517,2.72149,1.86224,-0.44956,-0.59307,-1.83814,-0.02124,0.0547,0.02379,1.4221,-0.26618,-1.07231,-0.72648,-0.21891,0.10633,0.05508
0.36,0.45086,-0.02928,0.01355,0.15514,0.01592,0.10151,-1.00917,-0.07414,0.06315,-0.40604,-0.48641,-0.1119,0.50267,-1.75403,-5.08153,-0.7146,1.89949,0.94682,0.20559,16.97699,-1.91937,-21.84074,0.38594,-16.91235,11.22806,2.64605,1.97054,-0.52976,-0.43407,-2.24635,-0.01378,0.03879,0.01617,1.54779,-0.28019,-0.97981,-1.14499,-0.17695,0.09193,0.04902
0.38,0.46847,-0.06062,0.04929,0.159,0.15417,0.10074,-1.1654,-0.05485,0.04178,-0.44806,-0.47077,-0.11365,-1.08679,-2.15184,-6.32579,-0.93234,2.12415,0.9711,0.28685,20.85832,-3.39167,-9.41461,0.46531,-13.42908,7.90654,2.41155,2.05364,-0.60655,-0.2842,-2.66901,0.00086,0.02321,0.00912,1.67931,-0.27341,-0.83898,-1.638,-0.12109,0.07361,0.04035
0.4,0.48111,-0.09864,0.08682,0.14725,0.30933,0.09022,-1.31815,-0.02877,0.03136,-0.4747,-0.42977,-0.1105,-3.19507,-2.54667,-7.53855,-1.1674,2.27457,0.92198,0.37889,24.30094,-5.00412,4.47587,0.53252,-8.94394,3.7874,2.01184,2.10353,-0.67239,-0.13621,-3.08917,0.02196,0.00735,0.00235,1.80979,-0.24254,-0.65295,-2.19358,-0.05213,0.05193,0.0292
0.42,0.48716,-0.14273,0.12484,0.11675,0.47804,0.06801,-1.45989,0.00391,0.03419,-0.48124,-0.36195,-0.10212,-5.81843,-2.90777,-8.62923,-1.41466,2.32632,0.7804,0.47943,26.90134,-6.66025,19.01457,0.5768,-3.77129,-0.8571,1.45309,2.11255,-0.71945,0.0197,-3.48762,0.04806,-0.00963,-0.00456,1.93024,-0.18571,-0.42786,-2.79322,0.02811,0.02766,0.01583
0.44,0.4851,-0.19169,0.16199,0.06544,0.65582,0.03289,-1.5827,0.04261,0.05121,-0.46284,-0.26745,-0.08861,-8.90288,-3.19593,-9.49096,-1.6673,2.25909,0.52947,0.58456,28.23733,-8.24161,33.31904,0.58591,1.68452,-5.67756,0.75249,2.07401,-0.7406,0.19354,-3.8438,0.07705,-0.02853,-0.01207,2.03011,-0.10301,-0.17291,-3.41218,0.11663,0.00173,0.00067
0.46,0.47363,-0.24372,0.19694,-0.00732,0.8372,-0.01528,-1.67881,0.08623,0.0819,-0.41485,-0.14826,-0.07049,-12.33368,-3.3643,-10.00347,-1.9167,2.06026,0.15621,0.68908,27.92264,-9.61871,46.31669,0.54706,6.98905,-10.29272,-0.06474,1.98285,-0.73048,0.39299,-4.13702,0.10642,-0.04985,-0.02052,2.0981,0.00303,0.09978,-4.02059,0.20938,-0.02485,-0.0157
