T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.01635,-0.0007,0.00911,0.01722,0.03881,0.01714,-0.02113,0.03097,0.02504,-0.04348,-0.00047,3e-05,2.53635,0.13957,1.50494,0.13593,0.15512,0.12592,0.03532,0.27592,-0.16471,-0.59144,-0.04295,-0.98466,-0.43876,0.03651,-0.0426,0.12045,0.84613,0.01038,-0.08595,-0.07532,-0.05133,-0.06893,-0.11785,-0.40148,-0.00515,-0.04114,0.0398,0.02247
0.02,-0.01833,-0.00051,0.01044,0.02438,0.04358,0.01797,-0.02946,0.0366,0.0281,-0.04875,-0.00054,-4e-05,2.8399,0.13945,1.52553,0.15343,0.19034,0.17354,0.05021,0.26878,-0.18778,-0.53459,-0.08636,-1.2381,-0.55358,0.01357,-0.04787,0.14584,0.99975,0.01306,-0.10224,-0.09144,-0.06124,-0.07782,-0.12402,-0.41637,-0.00475,-0.04245,0.04017,0.02261
0.04,-0.02067,-0.00024,0.01202,0.03398,0.04922,0.01871,-0.04033,0.04349,0.03174,-0.05674,0.00038,-0.00013,3.13418,0.1282,1.49127,0.16607,0.22738,0.23065,0.07035,0.23001,-0.20789,-0.43425,-0.14917,-1.56454,-0.7027,-0.02495,-0.0542,0.17792,1.19096,0.0165,-0.1226,-0.11194,-0.07366,-0.08849,-0.12797,-0.41931,-0.00404,-0.0424,0.03898,0.02179
0.06,-0.02338,0.00012,0.0138,0.04562,0.0555,0.01927,-0.05271,0.05134,0.03549,-0.06817,0.0025,-0.00024,3.37744,0.10114,1.38149,0.17031,0.26204,0.29484,0.09528,0.16371,-0.22004,-0.28038,-0.23108,-1.94506,-0.87555,-0.08024,-0.0619,0.21468,1.40729,0.02093,-0.14579,-0.13563,-0.08785,-0.10071,-0.1288,-0.40698,-0.00296,-0.04057,0.03593,0.01986
0.08,-0.02639,0.00057,0.01565,0.05869,0.06198,0.01951,-0.06531,0.05963,0.03875,-0.08364,0.00613,-0.00039,3.51252,0.053,1.17261,0.16142,0.28837,0.36168,0.12404,0.07251,-0.21789,-0.06422,-0.33063,-2.35206,-1.05765,-0.15312,-0.07106,0.2532,1.63086,0.02649,-0.17,-0.16078,-0.10268,-0.11394,-0.12523,-0.37484,-0.00147,-0.03642,0.03063,0.01661
0.1,-0.02954,0.00109,0.01739,0.07238,0.06811,0.01931,-0.07677,0.06768,0.04096,-0.10364,0.01164,-0.00055,3.46915,-0.02159,0.84099,0.13337,0.29862,0.42432,0.15528,-0.04612,-0.19406,0.21925,-0.44535,-2.75276,-1.23297,-0.24424,-0.08144,0.29009,1.84082,0.03312,-0.19309,-0.18535,-0.11686,-0.12731,-0.11561,-0.31707,0.00045,-0.02931,0.02264,0.01179
0.12,-0.03258,0.00167,0.01885,0.08581,0.07327,0.01853,-0.08581,0.07465,0.04167,-0.1286,0.01962,-0.00074,3.16797,-0.12763,0.3667,0.07888,0.28339,0.47331,0.18728,-0.20271,-0.14059,0.56849,-0.57191,-3.11263,-1.3861,-0.35416,-0.09249,0.32184,2.01582,0.04052,-0.2128,-0.20714,-0.12901,-0.1397,-0.0981,-0.22696,0.00278,-0.01853,0.01146,0.0051
0.14,-0.03521,0.00226,0.01983,0.09804,0.07682,0.01717,-0.0914,0.07965,0.04067,-0.1589,0.03091,-0.00091,2.52652,-0.26896,-0.26195,-0.01038,0.23191,0.49654,0.21806,-0.41797,-0.04953,0.97239,-0.7061,-3.39883,-1.50436,-0.48332,-0.10331,0.34519,2.13662,0.04807,-0.227,-0.22411,-0.13789,-0.14987,-0.0709,-0.09769,0.00541,-0.00342,-0.00337,-0.00374
0.16,-0.03709,0.00282,0.02016,0.10818,0.0782,0.01534,-0.09286,0.08177,0.03812,-0.19502,0.04666,-0.00107,1.467,-0.44739,-1.04372,-0.14323,0.13256,0.47945,0.24547,-0.72403,0.08623,1.40756,-0.84283,-3.58363,-1.57991,-0.63195,-0.1127,0.35754,2.18858,0.05489,-0.23399,-0.23458,-0.14247,-0.15659,-0.03251,0.07666,0.00819,0.01655,-0.02216,-0.01496
0.18,-0.0379,0.00328,0.01973,0.1154,0.07702,0.01332,-0.08991,0.08019,0.0346,-0.23754,0.06843,-0.00116,-0.07423,-0.66161,-1.96006,-0.32825,-0.02622,0.4056,0.26732,-1.16461,0.2719,1.83614,-0.97601,-3.64758,-1.61156,-0.79979,-0.11923,0.35723,2.16386,0.05979,-0.23266,-0.23743,-0.14217,-0.15873,0.01784,0.29986,0.01083,0.04163,-0.04497,-0.02866
