T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-10.434,-0.01229,0.00061,0.05,-0.00059,-0.00269,-1.35014,-0.0025,0.56348,1.67005,-0.00682,0.01619,0.07982,-1.67715,0.011,-1.34326,2.11227,-0.05222,0.00652,-0.1072,0.04553,-0.89628,0.35991,-0.83057,-0.28849,0.12419,0.14969,0.02277,0.65621,-0.39244,-0.63616,-0.28482,-0.09951,-0.10607
0.02,-10.48522,-0.00737,0.00479,0.05196,-0.00091,-0.00268,-1.3858,-0.00246,0.54332,1.66593,-0.00661,0.01682,0.08248,-1.67473,0.0107,-1.33976,2.11087,-0.05223,0.00657,-0.10948,0.04696,-0.8907,0.36964,-0.83148,-0.28991,0.12308,0.14827,0.02394,0.66814,-0.37371,-0.63616,-0.28434,-0.10049,-0.10894
0.04,-10.53651,-0.00253,0.0088,0.05375,-0.00119,-0.00267,-1.42163,-0.00242,0.52451,1.66192,-0.00642,0.01739,0.08497,-1.67237,0.01046,-1.33625,2.10953,-0.05224,0.00664,-0.11162,0.04821,-0.88524,0.37893,-0.83236,-0.29127,0.12201,0.14687,0.025,0.67988,-0.35599,-0.63616,-0.28388,-0.10147,-0.11177
0.06,-10.58794,0.00227,0.01264,0.05539,-0.00144,-0.00266,-1.45774,-0.00239,0.50696,1.65799,-0.00626,0.0179,0.08732,-1.67009,0.01027,-1.33272,2.10822,-0.05225,0.00673,-0.11363,0.04931,-0.87989,0.38783,-0.83319,-0.29259,0.12099,0.1455,0.02597,0.69148,-0.33921,-0.63616,-0.28343,-0.10243,-0.11458
0.08,-10.63964,0.00703,0.01633,0.05688,-0.00167,-0.00265,-1.49427,-0.00235,0.49058,1.65413,-0.00611,0.01835,0.08953,-1.66786,0.01012,-1.32915,2.10695,-0.05225,0.00684,-0.11552,0.05028,-0.87463,0.39633,-0.83399,-0.29387,0.12001,0.14414,0.02689,0.70296,-0.32331,-0.63615,-0.283,-0.1034,-0.11735
0.1,-10.69151,0.0117,0.01981,0.05823,-0.00186,-0.00265,-1.53085,-0.00231,0.47552,1.65042,-0.00598,0.01875,0.09156,-1.66578,0.01002,-1.32545,2.10577,-0.05226,0.00699,-0.11726,0.05112,-0.86956,0.40428,-0.83473,-0.29507,0.1191,0.14283,0.02776,0.71416,-0.30854,-0.63615,-0.28259,-0.10437,-0.12008
0.12,-10.74363,0.01639,0.02319,0.05945,-0.00202,-0.00264,-1.56835,-0.00225,0.46145,1.64669,-0.00587,0.01912,0.0935,-1.6637,0.00995,-1.32178,2.10457,-0.05226,0.00717,-0.11893,0.05185,-0.86448,0.41202,-0.83545,-0.29625,0.1182,0.14151,0.02859,0.72542,-0.29439,-0.63614,-0.28219,-0.10533,-0.12281
0.14,-10.79594,0.02097,0.02634,0.06051,-0.00215,-0.00264,-1.60572,-0.00216,0.44871,1.64312,-0.00577,0.01944,0.09526,-1.66182,0.00993,-1.31792,2.10348,-0.05226,0.00739,-0.12044,0.05246,-0.85963,0.41914,-0.83612,-0.29736,0.11738,0.14025,0.02938,0.73632,-0.28146,-0.63614,-0.28183,-0.10629,-0.12548
0.16,-10.84846,0.02546,0.02926,0.06143,-0.00224,-0.00264,-1.64288,-0.00205,0.43724,1.63972,-0.00569,0.01974,0.09685,-1.66015,0.00993,-1.31383,2.10253,-0.05226,0.00766,-0.12182,0.05297,-0.85503,0.42568,-0.83672,-0.29839,0.11664,0.13905,0.03014,0.74683,-0.26972,-0.63613,-0.28149,-0.10724,-0.12807
0.18,-10.90133,0.03028,0.03251,0.06232,-0.00236,-0.00264,-1.68467,-0.0019,0.42559,1.63563,-0.0056,0.02006,0.09871,-1.658,0.00997,-1.31049,2.10109,-0.05227,0.00793,-0.12344,0.05345,-0.84966,0.43362,-0.83749,-0.29957,0.11575,0.13763,0.03085,0.75867,-0.25655,-0.63613,-0.28112,-0.10813,-0.13091
0.2,-10.95405,0.03431,0.03477,0.06294,-0.00238,-0.00264,-1.71876,-0.00171,0.41702,1.63295,-0.00554,0.02031,0.09987,-1.65718,0.01003,-1.30549,2.10072,-0.05228,0.00827,-0.12447,0.05377,-0.84611,0.43836,-0.83789,-0.30036,0.11523,0.1367,0.0315,0.76745,-0.24805,-0.63612,-0.2809,-0.10908,-0.13316
0.22,-11.00672,0.03622,0.03448,0.06299,-0.00214,-0.00265,-1.72955,-0.00147,0.41494,1.63443,-0.00553,0.0204,0.09909,-1.65975,0.01014,-1.29578,2.10337,-0.05227,0.00876,-0.12383,0.05377,-0.84737,0.43433,-0.83721,-0.30016,0.11564,0.1371,0.03208,0.76784,-0.25142,-0.63608,-0.28105,-0.1103,-0.13384
0.24,-11.05904,0.03738,0.03334,0.06281,-0.00183,-0.00265,-1.73178,-0.00117,0.41504,1.63717,-0.00553,0.02045,0.09776,-1.66363,0.01026,-1.2846,2.10703,-0.05225,0.00929,-0.12273,0.05368,-0.85033,0.42759,-0.83621,-0.29963,0.11636,0.13797,0.03257,0.76527,-0.25868,-0.63603,-0.28135,-0.11153,-0.13395
0.26,-11.11131,0.03893,0.03275,0.06272,-0.0016,-0.00266,-1.73842,-0.00084,0.41386,1.63893,-0.00552,0.02057,0.09695,-1.66701,0.01038,-1.27448,2.11007,-0.05226,0.00977,-0.12209,0.05366,-0.85238,0.42315,-0.83549,-0.29932,0.11686,0.13857,0.03298,0.76425,-0.2633,-0.636,-0.2816,-0.11264,-0.13434
0.28,-11.16586,0.04052,0.03233,0.06269,-0.00138,-0.00266,-1.74593,-0.00047,0.41212,1.6413,-0.0055,0.02067,0.09604,-1.67012,0.01048,-1.26379,2.11325,-0.05225,0.01022,-0.12137,0.05369,-0.85414,0.41952,-0.8347,-0.29906,0.11731,0.13915,0.03332,0.76313,-0.26809,-0.63596,-0.28184,-0.11381,-0.1347
0.3,-11.21598,0.04196,0.03183,0.06254,-0.00119,-0.00267,-1.75119,-7e-05,0.41092,1.64235,-0.00548,0.02079,0.09548,-1.67412,0.01057,-1.2541,2.11611,-0.05226,0.01064,-0.12099,0.0537,-0.85636,0.41633,-0.83416,-0.29881,0.11776,0.13978,0.03351,0.76182,-0.27223,-0.63594,-0.28217,-0.11465,-0.13499
0.32,-11.25456,0.04314,0.03105,0.06208,-0.00109,-0.00267,-1.75161,0.00037,0.4113,1.6395,-0.00546,0.021,0.09602,-1.6801,0.01065,-1.24785,2.11811,-0.05232,0.01099,-0.12155,0.05364,-0.86014,0.41269,-0.8343,-0.29851,0.1183,0.14053,0.03345,0.76082,-0.2738,-0.63598,-0.28264,-0.11472,-0.13529
