T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.0019,-0.00012,0.00042,0.01047,0.01631,0.00333,-0.00926,-0.00312,0.00761,-0.00225,-0.00766,0.00022,-0.01081,-0.00814,0.01665,-0.0235,0.00434,-0.02041,-0.0004,0.48049,-0.02288,0.25118,-0.03767,-0.06213,-0.02581,0.04092,-0.01014,0.02329,0.1528,-0.0029,-0.01759,-0.00944,-0.00683,-0.01595,0.08987,0.43229,-0.00063,0.04959,-0.03156,-0.02263
0.02,0.00196,-0.00012,0.00043,0.01067,0.01672,0.00344,-0.00966,-0.00328,0.00736,-0.00208,-0.00767,0.00022,-0.00366,-0.00767,0.02339,-0.02363,0.00524,-0.0213,-5e-05,0.5572,-0.03005,0.27465,-0.0499,-0.07005,-0.02523,0.04284,-0.01041,0.02372,0.15576,-0.00297,-0.01797,-0.00965,-0.00696,-0.01634,0.09168,0.44111,-0.00065,0.05062,-0.03223,-0.02311
0.04,0.002,-0.00013,0.00043,0.01074,0.017,0.00348,-0.00997,-0.00343,0.00733,-0.00186,-0.0075,0.00023,0.00797,-0.00682,0.03285,-0.02262,0.00688,-0.02159,0.00032,0.6071,-0.03384,0.281,-0.06855,-0.07428,-0.02263,0.04154,-0.01062,0.02386,0.15647,-0.00301,-0.01814,-0.00975,-0.00701,-0.0166,0.09226,0.44384,-0.00066,0.05095,-0.03248,-0.02326
0.06,0.00203,-0.00015,0.00041,0.01069,0.0172,0.00344,-0.01019,-0.00358,0.00773,-0.00161,-0.00712,0.00022,0.02512,-0.00556,0.04556,-0.02011,0.00956,-0.02104,0.00066,0.60891,-0.03153,0.2602,-0.09543,-0.07227,-0.01732,0.03545,-0.01081,0.02371,0.155,-0.00302,-0.01813,-0.00975,-0.00699,-0.01678,0.09169,0.44073,-0.00067,0.0506,-0.03232,-0.02312
0.08,0.00205,-0.00017,0.00037,0.01055,0.01738,0.00329,-0.0103,-0.00374,0.00884,-0.00138,-0.00654,0.00022,0.04873,-0.00387,0.06185,-0.01567,0.01359,-0.01936,0.00089,0.53549,-0.01976,0.19996,-0.13217,-0.06083,-0.00856,0.02275,-0.01103,0.02331,0.15136,-0.00299,-0.01795,-0.00968,-0.00689,-0.01692,0.09001,0.43185,-0.00069,0.04957,-0.03176,-0.02267
0.1,0.00207,-0.00021,0.00031,0.01032,0.01759,0.00302,-0.01028,-0.00389,0.011,-0.00123,-0.00573,0.00022,0.07947,-0.00177,0.0818,-0.00887,0.01925,-0.0162,0.0009,0.35395,0.00546,0.08595,-0.17996,-0.03615,0.00442,0.00135,-0.01133,0.02268,0.14551,-0.00292,-0.01762,-0.00954,-0.00673,-0.01708,0.08724,0.41719,-0.00072,0.04783,-0.0308,-0.02192
0.12,0.00208,-0.00026,0.00021,0.01002,0.01786,0.00259,-0.01006,-0.00404,0.01454,-0.00121,-0.00471,0.00021,0.11747,0.00069,0.105,0.00069,0.02678,-0.01117,0.00059,0.02656,0.04861,-0.09749,-0.23917,0.00607,0.02232,-0.03088,-0.01172,0.02185,0.13743,-0.00282,-0.01715,-0.00933,-0.00651,-0.01728,0.08339,0.39667,-0.00075,0.04538,-0.02945,-0.02087
0.14,0.00209,-0.00032,8e-05,0.00967,0.01823,0.00197,-0.0096,-0.00415,0.01983,-0.00142,-0.00349,0.0002,0.16201,0.00337,0.1304,0.01334,0.0363,-0.00389,-0.00021,-0.48726,0.11437,-0.36615,-0.30888,0.07034,0.0456,-0.07596,-0.01224,0.02084,0.12715,-0.00267,-0.01655,-0.00908,-0.00623,-0.01755,0.07853,0.37036,-0.0008,0.0422,-0.02769,-0.01951
0.16,0.00209,-0.0004,-9e-05,0.00929,0.01871,0.00114,-0.00882,-0.00421,0.02719,-0.00196,-0.00211,0.00018,0.2112,0.00607,0.15607,0.02922,0.04772,0.00598,-0.00166,-1.2274,0.20719,-0.734,-0.3863,0.16094,0.07436,-0.13541,-0.01291,0.01971,0.11486,-0.00247,-0.01584,-0.00879,-0.00592,-0.01792,0.07274,0.33865,-0.00086,0.03833,-0.02556,-0.01786
0.18,0.00208,-0.00049,-0.0003,0.00892,0.01932,8e-05,-0.00763,-0.00417,0.03685,-0.00294,-0.00067,0.00017,0.26146,0.00846,0.17892,0.04812,0.06069,0.01865,-0.00395,-2.22771,0.33057,-1.21043,-0.46601,0.28123,0.10805,-0.20982,-0.01372,0.01852,0.10096,-0.00222,-0.01505,-0.00848,-0.00558,-0.0184,0.06625,0.30253,-0.00094,0.03386,-0.02311,-0.01596
