T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-0,0,-0,0,0,-0,-2.29386,684.92797,-7.0002,0,7.0002,-0
0.02,-0,0,-0,0,0,-0,-2.08221,684.89425,-6.99988,0,6.99988,-0
0.04,-0,0,-0,0,0,-0,-1.86279,684.84433,-6.99939,0,6.99939,-0
0.06,-0,0,-0,0,0,-0,-1.63567,684.77515,-6.99871,0,6.99871,-0
0.08,-0,0,-0,0,0,-0,-1.40011,684.68437,-6.99781,0,6.99781,-0
0.1,-0,0,-0,0,0,-0,-1.15458,684.57101,-6.99668,0,6.99668,-0
0.12,-0,0,-0,0,0,-0,-0.89691,684.43637,-6.99533,0,6.99533,-0
0.14,-0,0,-0,0,0,-0,-0.62432,684.28512,-6.99382,0,6.99382,-0
0.16,-0,0,-0,0,0,-0,-0.33367,684.12664,-6.99224,0,6.99224,-0
0.18,-0,0,-0,0,0,-0,-0.02158,683.97642,-6.99074,0,6.99074,-0
0.2,-0,0,-0,0,0,-0,0.31528,683.85754,-6.98956,0,6.98956,-0
0.22,-0,0,-0,0,0,-0,0.67992,683.80207,-6.98903,0,6.98903,-0
0.24,-0,0,-0,0,0,-0,1.07469,683.85204,-6.98959,0,6.98959,-0
0.26,0,0,0,-0,-0,0,1.50098,684.05974,-6.99175,-0,6.99175,0
0.28,0,0,0,-0,-0,0,1.95872,684.48689,-6.99616,-0,6.99616,0
0.3,0,0,0,-0,-0,0,2.44612,685.20224,-7.00351,-0,7.00351,0
0.32,0,0,0,-0,-0,0,2.95917,686.27686,-7.01453,-0,7.01453,0
0.34,0,0,0,-0,-0,0,3.49145,687.7765,-7.0299,-0,7.0299,0
0.36,0,0,0,-0,-0,0,4.03388,689.75049,-7.05012,-0,7.05012,0
0.38,0,0,0,-0,-0,0,4.57476,692.21626,-7.07537,-0,7.07537,0
0.4,0,0,0,-0,-0,0,5.10014,695.13944,-7.1053,-0,7.1053,0
0.42,0,0,0,-0,-0,0,5.59448,698.40913,-7.13877,-0,7.13877,0
0.44,0,0,0,-0,-0,0,6.04197,701.80906,-7.17358,-0,7.17358,0
0.46,0,0,0,-0,-0,0,6.42825,704.98568,-7.20611,-0,7.20611,0
0.48,0,0,0,-0,-0,0,6.74229,707.41577,-7.23101,-0,7.23101,0
0.5,0,0,0,-0,-0,0,6.97689,708.37699,-7.24091,-0,7.24091,0
0.52,-0,0,-0,0,-0,-0,7.12746,706.9271,-7.22616,0,7.22616,-0
0.54,-0,0,-0,0,0,-0,7.1901,701.8989,-7.17484,0,7.17484,-0
0.56,-0,0,-0,0,0,-0,7.16004,691.92067,-7.07293,0,7.07293,-0
0.58,-0,0,-0,0,0,-0,7.03109,675.47357,-6.90488,0,6.90488,-0
0.6,-0,0,-0,0,0,-0,6.79591,650.99959,-6.65478,0,6.65478,-0
0.62,-0,0,-0,0,0,-0,6.44743,617.07478,-6.30806,0,6.30806,-0
0.64,-0,0,-0,0,0,-0,5.98116,572.66256,-5.85412,0,5.85412,-0
0.66,-0,0,-0,0,0,-0,5.39879,517.46021,-5.28986,0,5.28986,-0
0.68,-0,0,-0,0,0,-0,4.71284,452.34708,-4.62427,0,4.62427,-0
0.7,-0,0,-0,0,0,-0,3.95245,379.93553,-3.88405,0,3.88405,-0
0.72,-0,0,-0,0,0,-0,3.16575,304.78224,-3.1158,0,3.1158,-0
0.74,-0,0,-0,0,0,-0,2.40968,232.37134,-2.37556,0,2.37556,-0
0.76,-0,0,-0,0,0,-0,1.73115,167.25942,-1.70993,0,1.70993,-0
0.78,-0,0,-0,0,0,-0,1.15686,112.05873,-1.14562,0,1.14562,-0
0.8,0,0,0,-0,0,0,0.69556,67.64868,-0.69162,-0,0.69161,0
0.82,0,7e-05,0,-0,-0,0,0.34377,33.72679,-0.34483,-0,0.34483,0
0.84,0,0.00016,0,-0,-0,0,0.09049,9.25713,-0.09467,-0,0.09467,0
0.86,0,0.00028,0,-0,-0,0,-0.07925,0,0.07341,-0,-0.07341,0
0.88,1e-05,0.00044,1e-05,-1e-05,-0,1e-05,-0.18175,0,0.17531,-1e-05,-0.17531,1e-05
0.9,1e-05,0.00063,1e-05,-1e-05,-0,1e-05,-0.23285,0,0.22654,-1e-05,-0.22655,1e-05
0.92,1e-05,0.00084,1e-05,-1e-05,-0,1e-05,-0.24681,0,0.24111,-1e-05,-0.24111,1e-05
0.94,2e-05,0.00107,2e-05,-2e-05,-1e-05,2e-05,-0.23576,0,0.2309,-2e-05,-0.2309,2e-05
0.96,2e-05,0.0013,2e-05,-2e-05,-1e-05,2e-05,-0.20944,0,0.20551,-2e-05,-0.20552,2e-05
0.98,2e-05,0.00148,2e-05,-2e-05,-1e-05,2e-05,-0.17532,0,0.1723,-2e-05,-0.17231,2e-05
1,2e-05,0.00159,2e-05,-2e-05,-1e-05,2e-05,-0.13878,0,0.1366,-2e-05,-0.13661,2e-05
1.02,2e-05,0.00156,2e-05,-2e-05,-1e-05,2e-05,-0.10347,0,0.102,-2e-05,-0.10201,2e-05
1.04,2e-05,0.00131,2e-05,-2e-05,-1e-05,2e-05,-0.07163,0,0.07073,-2e-05,-0.07073,2e-05
1.06,1e-05,0.00076,1e-05,-1e-05,-1e-05,1e-05,-0.04442,0,0.04396,-1e-05,-0.04396,1e-05
1.08,-0,0,-0,0,-0,-0,-0.0223,0,0.02215,0,-0.02214,-0
1.1,-2e-05,0,-2e-05,2e-05,1e-05,-2e-05,-0.00521,0,0.00526,2e-05,-0.00524,-2e-05
1.12,-5e-05,0,-5e-05,5e-05,2e-05,-5e-05,0.00713,0.68025,-0.00697,5e-05,0.007,-5e-05
1.14,-9e-05,0,-9e-05,9e-05,4e-05,-9e-05,0.01508,1.45362,-0.01489,9e-05,0.01494,-9e-05
1.16,-0.00015,0,-0.00015,0.00015,6e-05,-0.00015,0.01896,1.83414,-0.0188,0.00015,0.01886,-0.00015
1.18,-0.00021,0,-0.00021,0.00021,8e-05,-0.00021,0.01895,1.83829,-0.01886,0.00021,0.01895,-0.00021
1.2,-0.00028,0,-0.00028,0.00028,0.00011,-0.00028,0.01507,1.46602,-0.01507,0.00028,0.01519,-0.00028
1.22,-0.00035,0,-0.00035,0.00035,0.00014,-0.00035,0.00715,0.70066,-0.00727,0.00035,0.00741,-0.00035
1.24,-0.00042,0,-0.00042,0.00042,0.00017,-0.00042,-0.0051,0,0.00485,0.00042,-0.00469,-0.00042
1.26,-0.00048,0,-0.00048,0.00048,0.00019,-0.00048,-0.02201,0,0.02165,0.00048,-0.02147,-0.00048
1.28,-0.00051,0,-0.00051,0.00051,0.00021,-0.00051,-0.04385,0,0.04341,0.00051,-0.04323,-0.00051
1.3,-0.00049,0,-0.00049,0.00049,0.00021,-0.00049,-0.07064,0,0.07017,0.00049,-0.07001,-0.00049
1.32,-0.0004,0,-0.0004,0.0004,0.00018,-0.0004,-0.10194,0,0.1015,0.0004,-0.1014,-0.0004
1.34,-0.00022,0,-0.00022,0.00022,0.00011,-0.00022,-0.13656,0,0.13626,0.00022,-0.13625,-0.00022
1.36,0.0001,0.00658,0.0001,-0.0001,-1e-05,0.0001,-0.17228,0,0.17225,-0.0001,-0.17239,0.0001
1.38,0.00059,0.03972,0.00059,-0.00059,-0.00019,0.00059,-0.2055,0,0.2059,-0.00059,-0.20627,0.00059
1.4,0.00127,0.08643,0.00127,-0.00127,-0.00045,0.00127,-0.23089,0,0.23193,-0.00127,-0.2326,0.00127
1.42,0.00217,0.14842,0.00217,-0.00217,-0.00081,0.00217,-0.24111,0,0.24302,-0.00217,-0.24407,0.00217
1.44,0.00331,0.2265,0.00331,-0.00331,-0.00125,0.00331,-0.22655,0,0.22958,-0.00331,-0.2311,0.00331
1.46,0.00467,0.31986,0.00467,-0.00467,-0.0018,0.00467,-0.17532,0,0.17971,-0.00467,-0.18177,0.00467
1.48,0.0062,0.42537,0.0062,-0.0062,-0.00242,0.0062,-0.07342,0,0.07939,-0.0062,-0.08203,0.0062
1.5,0.00782,0.5366,0.00782,-0.00782,-0.00308,0.00782,0.09466,8.74388,-0.08698,-0.00782,0.08377,0.00782
1.52,0.00936,0.64282,0.00936,-0.00936,-0.00374,0.00936,0.34482,33.08876,-0.33545,-0.00936,0.33174,0.00936
1.54,0.01058,0.72792,0.01058,-0.01058,-0.00428,0.01058,0.69161,66.8961,-0.68077,-0.01058,0.67675,0.01058
1.56,0.01117,0.76943,0.01117,-0.01117,-0.0046,0.01117,1.14562,111.22185,-1.13385,-0.01117,1.12985,0.01117
1.58,0.01069,0.73778,0.01069,-0.01069,-0.00452,0.01069,1.70993,166.39594,-1.69819,-0.01069,1.69472,0.01069
1.6,0.0086,0.59601,0.0086,-0.0086,-0.00383,0.0086,2.37556,231.57456,-2.36533,-0.0086,2.36313,0.0086
1.62,0.00426,0.30032,0.00426,-0.00426,-0.00227,0.00426,3.11579,304.18926,-3.10921,-0.00426,3.10926,0.00426
1.64,-0.00304,0,-0.00304,0.00304,0.00044,-0.00304,3.88405,379.73424,-3.88397,0.00304,3.88753,-0.00304
1.66,-0.01404,0,-0.01404,0.01404,0.00462,-0.01404,4.62427,452.77933,-4.63434,0.01404,4.64292,-0.01404
1.68,-0.02943,0,-0.02943,0.02943,0.01055,-0.02943,5.28986,518.81842,-5.3145,0.02943,5.32983,-0.02943
1.7,-0.04974,0,-0.04974,0.04974,0.01848,-0.04974,5.85412,575.27768,-5.89839,0.04974,5.92233,-0.04974
1.72,-0.07517,0,-0.07517,0.07517,0.02853,-0.07517,6.30806,621.29345,-6.37739,0.07517,6.41176,-0.07517
1.74,-0.10542,0,-0.10542,0.10542,0.04063,-0.10542,6.65478,657.14771,-6.75451,0.10542,6.80082,-0.10542
1.76,-0.13938,0,-0.13937,0.13938,0.0544,-0.13938,6.90488,683.8026,-7.03951,0.13938,7.09865,-0.13938
1.78,-0.17486,0,-0.17486,0.17486,0.06906,-0.17486,7.07293,702.5338,-7.24511,0.17486,7.31683,-0.17486
1.8,-0.20829,0,-0.20829,0.20829,0.08326,-0.20829,7.17484,714.65476,-7.38401,0.20829,7.46638,-0.20829
1.82,-0.23432,0,-0.23432,0.23432,0.09498,-0.23432,7.22616,721.3203,-7.4668,0.23432,7.55545,-0.23432
1.84,-0.24556,0,-0.24556,0.24556,0.10136,-0.24556,7.24091,723.39756,-7.50046,0.24556,7.58782,-0.24556
1.86,-0.23233,0,-0.23233,0.23233,0.0986,-0.23233,7.23101,721.39306,-7.48756,0.23233,7.56193,-0.23233
1.88,-0.18259,0,-0.18259,0.18259,0.08195,-0.18259,7.20611,715.42773,-7.42584,0.18259,7.47065,-0.18259
1.9,-0.08217,0,-0.08217,0.08217,0.04573,-0.08217,7.17358,705.25482,-7.30837,0.08217,7.30149,-0.08217
1.92,0.0847,5.58467,0.08469,-0.0847,-0.01647,0.0847,7.13877,690.3194,-7.12425,-0.0847,7.03763,0.0847
1.94,0.33428,22.6672,0.33426,-0.33428,-0.1114,0.33428,7.1053,669.86177,-6.85979,-0.33428,6.65968,0.33428
1.96,0.68155,46.46319,0.68153,-0.68155,-0.24546,0.68155,7.07537,643.06957,-6.50045,-0.68155,6.14846,0.68155
1.98,1.13764,77.74626,1.13761,-1.13764,-0.42375,1.13764,7.05012,609.28578,-6.03359,-1.13764,5.48888,1.13764
2,1.7063,116.78482,1.70626,-1.7063,-0.64865,1.7063,7.0299,568.27959,-5.45214,-1.7063,4.67515,1.7063
2.02,2.37922,163.02597,2.37917,-2.37922,-0.91807,2.37922,7.01453,520.58532,-4.75932,-2.37922,3.71749,2.37922
2.04,3.13043,214.70544,3.13037,-3.13043,-1.22316,3.13043,7.00351,467.91029,-3.97448,-3.13043,2.65022,3.13043
2.06,3.91401,268.69119,3.91396,-3.91401,-1.54729,3.91401,6.99616,413.30553,-3.13615,-3.91401,1.53518,3.91401
2.08,4.67442,321.18009,4.67436,-4.67442,-1.86973,4.67442,6.99175,360.48387,-2.29407,-4.67442,0.44796,4.67442
2.1,5.36523,368.97878,5.36518,-5.36523,-2.17249,5.36523,6.98959,312.55352,-1.4932,-5.36523,-0.54777,5.36523
2.12,5.9594,410.20202,5.95935,-5.9594,-2.44415,5.9594,6.98903,271.32827,-0.76422,-5.9594,-1.41416,5.9594
2.14,6.44681,444.11427,6.44676,-6.44681,-2.67904,6.44681,6.98956,237.48757,-0.12456,-6.44681,-2.13594,6.44681
2.16,6.82833,470.73084,6.82829,-6.82833,-2.87511,6.82833,6.99074,210.97419,0.41736,-6.82833,-2.71238,6.82833
2.18,7.11096,490.48677,7.11093,-7.11096,-3.03222,7.11096,6.99224,191.32328,0.85843,-7.11096,-3.15066,7.11096
2.2,7.30391,503.97508,7.30388,-7.30391,-3.15083,7.30391,6.99382,177.92179,1.19784,-7.30391,-3.46068,7.30391
2.22,7.41572,511.75145,7.41569,-7.41572,-3.23111,7.41572,6.99533,170.20138,1.43478,-7.41572,-3.65132,7.41572
2.24,7.4523,514.20026,7.45227,-7.4523,-3.2724,7.4523,6.99668,167.77012,1.56698,-7.4523,-3.72792,7.4523
2.26,7.41572,511.45732,7.4157,-7.41572,-3.27306,7.41572,6.99781,170.48798,1.58996,-7.41572,-3.69094,7.41572
2.28,7.30391,503.38555,7.30389,-7.30391,-3.23054,7.30391,6.99871,178.48967,1.49712,-7.30391,-3.53578,7.30391
2.3,7.11096,489.60235,7.11094,-7.11096,-3.14185,7.11096,6.99939,192.15632,1.28057,-7.11096,-3.25351,7.11096
2.32,6.82833,469.55957,6.82831,-6.82833,-3.0042,6.82833,6.99988,212.03503,0.93281,-6.82833,-2.83279,6.82833
2.34,6.44681,442.67915,6.44679,-6.44681,-2.81593,6.44681,7.0002,238.70331,0.44906,-6.44681,-2.2627,6.44681
2.36,5.9594,408.54856,5.95939,-5.9594,-2.57761,5.9594,7.00039,272.5742,-0.16967,-5.9594,-1.53679,5.9594
2.38,5.36523,367.18005,5.36522,-5.36523,-2.2933,5.36523,7.00048,313.63811,-0.91315,-5.36523,-0.65821,5.36523
2.4,4.67442,319.33544,4.67441,-4.67442,-1.97191,4.67442,7.0005,361.1395,-1.75809,-4.67442,0.35403,4.67442
2.42,3.91401,266.91331,3.914,-3.91401,-1.62849,3.91401,7.00047,413.19171,-2.66458,-3.91401,1.45786,3.91401
2.44,3.13043,213.09527,3.13042,-3.13043,-1.284,3.13043,7.00042,466.63128,-3.57661,-3.13043,2.58591,3.13043
2.46,2.37922,161.64981,2.37921,-2.37922,-0.96089,2.37922,7.00035,517.70991,-4.43391,-2.37922,3.66017,2.37922
2.48,1.7063,115.66929,1.70629,-1.7063,-0.67648,1.7063,7.00027,563.35023,-5.18988,-1.7063,4.61745,1.7063
2.5,1.13764,76.8875,1.13764,-1.13764,-0.43973,1.13764,7.00021,601.82453,-5.82014,-1.13764,5.42281,1.13764
2.52,0.68155,45.8381,0.68155,-0.68155,-0.25256,0.68155,7.00015,632.59754,-6.31914,-0.68155,6.06602,0.68155
2.54,0.33428,22.24219,0.33428,-0.33428,-0.11223,0.33428,7.0001,655.94145,-6.69387,-0.33428,6.55358,0.33428
2.56,0.0847,5.32212,0.0847,-0.0847,-0.01322,0.0847,7.00006,672.62426,-6.9588,-0.0847,6.90214,0.0847
2.58,-0.08217,0,-0.08217,0.08217,0.05135,-0.08217,7.00003,683.6702,-7.13202,0.08217,7.13355,-0.08217
2.6,-0.18259,0,-0.18259,0.18259,0.08863,-0.18259,7,690.18561,-7.23251,0.18259,7.27123,-0.18259
2.62,-0.23232,0,-0.23233,0.23233,0.10543,-0.23232,6.99999,693.24093,-7.27828,0.23233,7.33775,-0.23232
2.64,-0.24556,0,-0.24556,0.24556,0.10773,-0.24556,6.99998,693.79797,-7.28528,0.24556,7.35328,-0.24556
2.66,-0.23432,0,-0.23432,0.23433,0.10055,-0.23432,6.99998,692.67225,-7.26685,0.23433,7.33485,-0.23432
2.68,-0.20829,0,-0.20829,0.2083,0.08787,-0.20829,6.99998,690.52066,-7.23359,0.2083,7.29614,-0.20829
2.7,-0.17486,0,-0.17487,0.17487,0.07267,-0.17486,6.99998,687.84645,-7.1935,0.17487,7.24752,-0.17486
2.72,-0.13937,0,-0.13938,0.13938,0.05709,-0.13937,6.99998,685.01486,-7.15224,0.13938,7.19645,-0.13937
2.74,-0.10541,0,-0.10542,0.10543,0.04251,-0.10541,6.99998,682.27413,-7.11354,0.10543,7.14791,-0.10541
2.76,-0.07517,0,-0.07518,0.07518,0.02975,-0.07517,6.99999,679.77841,-7.07961,0.07518,7.1049,-0.07517
2.78,-0.04973,0,-0.04974,0.04975,0.01917,-0.04973,6.99999,677.60981,-7.05144,0.04975,7.06889,-0.04973
2.8,-0.02942,0,-0.02943,0.02944,0.01085,-0.02942,6.99999,675.79818,-7.02925,0.02944,7.04026,-0.02942
2.82,-0.01403,0,-0.01404,0.01404,0.00464,-0.01403,7,674.3378,-7.01267,0.01404,7.01866,-0.01403
2.84,-0.00304,0,-0.00304,0.00304,0.00028,-0.00304,7,673.20068,-7.00102,0.00304,7.00331,-0.00304
2.86,0.00426,0.30598,0.00426,-0.00426,-0.00253,0.00426,7,672.34674,-6.99346,-0.00426,6.99321,0.00426
2.88,0.00858,0.59717,0.0086,-0.00861,-0.00414,0.00858,7,671.73106,-6.98915,-0.00861,6.98728,0.00858
2.9,0.01066,0.73554,0.0107,-0.01071,-0.00483,0.01066,7,671.30883,-6.98726,-0.01071,6.9845,0.01066
2.92,0.01113,0.76465,0.01119,-0.01122,-0.00489,0.01113,7,671.03838,-6.98708,-0.01122,6.98398,0.01113
2.94,0.01052,0.72119,0.01061,-0.01065,-0.00454,0.01052,7,670.8829,-6.98802,-0.01065,6.98494,0.01052
2.96,0.00926,0.63453,0.00939,-0.00945,-0.00395,0.00926,7,670.81108,-6.98959,-0.00945,6.98679,0.00926
2.98,0.0077,0.52699,0.00787,-0.00794,-0.00325,0.0077,7,670.79724,-6.99145,-0.00794,6.98905,0.0077
3,0.00605,0.41463,0.00626,-0.00635,-0.00255,0.00605,7,670.8209,-6.99335,-0.00635,6.9914,0.00605
3.02,0.00449,0.30822,0.00474,-0.00485,-0.00189,0.00449,7,670.8663,-6.99512,-0.00485,6.99362,0.00449
3.04,0.00311,0.21433,0.00339,-0.00351,-0.00132,0.00311,7,670.92171,-6.99666,-0.00351,6.99557,0.00311
3.06,0.00196,0.13636,0.00226,-0.00238,-0.00085,0.00196,7,670.97873,-6.99793,-0.00238,6.99719,0.00196
3.08,0.00107,0.07547,0.00135,-0.00147,-0.00048,0.00107,7,671.03168,-6.9989,-0.00147,6.99845,0.00107
3.1,0.00044,0.03139,0.00065,-0.00074,-0.0002,0.00044,7,671.07695,-6.9996,-0.00074,6.99937,0.00044
3.12,4e-05,0.00296,0.00013,-0.00017,-0,4e-05,7,671.11253,-7.00004,-0.00017,6.99996,4e-05
3.14,-0.00013,0,-0.00025,0.0003,0.00013,-0.00013,7,671.13751,-7.00025,0.0003,7.00026,-0.00013
3.16,-0.0001,0,-0.00053,0.0007,0.00021,-0.0001,7,671.15182,-7.00027,0.0007,7.00031,-0.0001
3.18,0.00011,0,-0.00074,0.00109,0.00026,0.00011,7,671.15589,-7.00011,0.00109,7.00015,0.00011
3.2,0.00049,0.01458,-0.00091,0.00151,0.00028,0.00049,7,671.1506,-6.99979,0.00151,6.99979,0.00049
3.22,0.00101,0.04105,-0.00108,0.00197,0.00029,0.00101,7,671.13718,-6.99936,0.00197,6.99928,0.00101
3.24,0.00165,0.07374,-0.00126,0.00249,0.0003,0.00165,7,671.11729,-6.99883,0.00249,6.99865,0.00165
3.26,0.00236,0.1105,-0.00145,0.00306,0.00031,0.00236,7,671.09319,-6.99823,0.00306,6.99795,0.00236
3.28,0.0031,0.14844,-0.00164,0.00365,0.00032,0.0031,7,671.06798,-6.99762,0.00365,6.99722,0.0031
3.3,0.00378,0.18352,-0.00182,0.00419,0.00032,0.00378,7,671.04587,-6.99705,0.00419,6.99654,0.00378
3.32,0.0043,0.21026,-0.00194,0.00459,0.00033,0.0043,7,671.03257,-6.99662,0.00459,6.99603,0.0043
3.34,0.0045,0.22135,-0.00195,0.00469,0.00031,0.0045,7,671.03555,-6.99644,0.00469,6.99581,0.0045
3.36,0.00421,0.20745,-0.00177,0.00431,0.00028,0.00421,7,671.06428,-6.99666,0.00431,6.99607,0.00421
3.38,0.00318,0.15711,-0.00131,0.00323,0.0002,0.00318,7,671.13031,-6.99747,0.00323,6.99702,0.00318
3.4,0.00115,0.05699,-0.00046,0.00116,7e-05,0.00115,7,671.24709,-6.99907,0.00116,6.99892,0.00115
3.42,-0.00218,0,0.00091,-0.0022,-0.00014,-0.00218,7,671.42937,-7.00171,-0.0022,7.00204,-0.00218
3.44,-0.0071,0,0.00292,-0.00714,-0.00044,-0.0071,7,671.69215,-7.00563,-0.00714,7.00666,-0.0071
