T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.00159,0,0,0.00059,0,0,0,0,0,0,0.00141,0.06622,0,0.00758,0,0,0,0.00011,0,0,0,0,0.01192,0,0,0,0.01382,0,0,0.01107,0.00889,0.00753,0.04793,0.00551,0,0.04379,0.00016,0,0.01109,0.19094,0.11291,0.03787,0.01845,0.00504,0,0,0.12714,0,0.1248,0.00011,0.0002,0,0.02008,0.00432,0.00487,0.01648,0,0.00892,0.00751,0.0141,0,0.00812,0.02096,0,0,0
0.02,0,0,0.00207,0,0.00018,0.00063,0,0,0,0,0,0,0.00162,0.06629,0,0.00737,0,0,0,0.00029,0,0,0,0,0.01198,0,0,0,0.01384,0,0,0.01109,0.00888,0.00752,0.04781,0.00532,0,0.04364,0.00016,0,0.01116,0.19114,0.1129,0.03777,0.01847,0.00508,0,0,0.12725,0,0.12462,0.00011,9e-05,0,0.02,0.00435,0.00495,0.01643,0,0.00889,0.00746,0.01408,0,0.00797,0.02095,0,0,0
0.04,0,3e-05,0.00258,4e-05,0.00043,0.00074,1e-05,0,1e-05,2e-05,7e-05,4e-05,0.00189,0.06643,0,0.0072,1e-05,0.00015,6e-05,0.00057,1e-05,0,2e-05,1e-05,0.01204,2e-05,2e-05,1e-05,0.01388,3e-05,0,0.01112,0.00889,0.00754,0.04765,0.00513,1e-05,0.04352,0.00021,6e-05,0.01123,0.19135,0.11294,0.03769,0.01858,0.00522,8e-05,2e-05,0.12733,2e-05,0.12439,0.00023,0.0001,0.0001,0.01992,0.00437,0.00499,0.01639,1e-05,0.00889,0.00743,0.01406,1e-05,0.00783,0.02094,1e-05,2e-05,2e-05
0.06,2e-05,2e-05,0.00303,2e-05,0.00062,0.00075,1e-05,0,5e-05,3e-05,3e-05,2e-05,0.00199,0.06659,3e-05,0.00702,3e-05,0.00021,0.00011,0.00075,0,0,1e-05,1e-05,0.01208,1e-05,1e-05,1e-05,0.01391,1e-05,0,0.01113,0.00888,0.00753,0.04742,0.00487,0,0.04335,0.00019,2e-05,0.01125,0.19152,0.11306,0.0376,0.01861,0.00527,3e-05,3e-05,0.12737,3e-05,0.12412,0.00025,8e-05,5e-05,0.01982,0.00437,0.00491,0.01633,0,0.00885,0.00737,0.01403,0,0.00763,0.02093,0,2e-05,2e-05
0.08,2e-05,3e-05,0.00337,3e-05,0.00093,0.00081,1e-05,0,6e-05,4e-05,4e-05,2e-05,0.00213,0.06678,4e-05,0.00686,3e-05,0.00031,0.00019,0.00101,1e-05,0,1e-05,1e-05,0.01214,1e-05,1e-05,1e-05,0.01396,1e-05,1e-05,0.01116,0.00887,0.00753,0.0471,0.0046,1e-05,0.04319,0.00028,3e-05,0.01123,0.19157,0.1132,0.03756,0.01873,0.00545,4e-05,3e-05,0.12732,3e-05,0.12377,0.00028,0.00012,6e-05,0.01971,0.00436,0.00479,0.01627,0,0.00882,0.00732,0.014,0,0.00744,0.02091,0,3e-05,3e-05
0.1,2e-05,4e-05,0.00349,3e-05,0.00119,0.00087,1e-05,0,0.00012,0.00012,4e-05,2e-05,0.00223,0.06701,4e-05,0.00674,4e-05,0.00065,0.00025,0.0013,1e-05,0,1e-05,1e-05,0.01219,1e-05,1e-05,1e-05,0.014,1e-05,1e-05,0.01118,0.00887,0.00753,0.04668,0.00429,1e-05,0.04303,0.00031,3e-05,0.01113,0.19143,0.11348,0.03767,0.0189,0.00574,4e-05,4e-05,0.12715,5e-05,0.12334,0.00054,0.00013,6e-05,0.0196,0.00435,0.00462,0.01621,0,0.00879,0.00727,0.01397,0,0.00724,0.0209,0,3e-05,3e-05
0.12,0,0,0.00329,0,0.00111,0.0009,0,0,0,0,0,0,0.00226,0.06721,0,0.00657,0,0.00017,0.00024,0.00158,0,0,0,0,0.01223,0,0,0,0.01404,0,0,0.01118,0.00882,0.0075,0.04613,0.0039,0,0.04285,2e-05,0,0.01093,0.19096,0.11361,0.03766,0.01908,0.00613,0,0,0.1268,0,0.12279,0,0,0,0.01948,0.00433,0.0044,0.01613,0,0.00875,0.00721,0.01394,0,0.00704,0.02087,0,0,0
0.14,0,1e-05,0.00266,1e-05,0.00132,0.00097,0,0,2e-05,3e-05,0,1e-05,0.00234,0.06749,0,0.00652,0,0.00039,0.00028,0.00196,0,0,0,0,0.01228,0,1e-05,0,0.01408,1e-05,0,0.0112,0.00881,0.0075,0.04549,0.00352,0,0.04269,2e-05,2e-05,0.01062,0.1901,0.11403,0.03798,0.01936,0.00677,3e-05,0,0.12629,0,0.12221,0.00012,3e-05,0,0.01937,0.0043,0.00417,0.01607,0,0.00872,0.00716,0.0139,0,0.00686,0.02085,0,0,0
0.16,1e-05,3e-05,0.0015,6e-05,0.00166,0.00111,2e-05,0.0001,4e-05,0.00014,0.00016,6e-05,0.00249,0.06779,0.0001,0.00656,5e-05,0.00096,0.00037,0.00257,3e-05,1e-05,0.00014,1e-05,0.01236,7e-05,3e-05,2e-05,0.01412,6e-05,1e-05,0.01125,0.00894,0.00751,0.04475,0.00307,1e-05,0.04256,0.00018,0.00012,0.01019,0.18886,0.11456,0.03857,0.01984,0.00769,0.00014,3e-05,0.12561,4e-05,0.12163,0.00057,0.00024,0.00023,0.01928,0.00429,0.00414,0.01601,1e-05,0.00877,0.00712,0.01386,1e-05,0.00674,0.02084,1e-05,0.00013,3e-05
0.18,2e-05,5e-05,0.00137,8e-05,0.002,0.0012,6e-05,0.0001,5e-05,0.00019,0.00023,0.0002,0.00267,0.06807,0.0001,0.0067,9e-05,0.00164,0.00063,0.00312,3e-05,3e-05,0.00028,1e-05,0.01243,0.0001,9e-05,2e-05,0.01415,7e-05,1e-05,0.01132,0.00919,0.00754,0.04391,0.00255,0.00161,0.04243,0.00036,0.00017,0.00963,0.18683,0.11517,0.03933,0.02028,0.00901,0.00024,5e-05,0.12464,8e-05,0.12103,0.00113,0.00095,0.00035,0.01919,0.00429,0.00413,0.01596,2e-05,0.00878,0.00712,0.01382,1e-05,0.00664,0.02082,2e-05,0.00036,8e-05
0.2,5e-05,5e-05,0.00126,0.00011,0.0021,0.00127,6e-05,0.00013,0.00014,0.00019,0.00028,0.0002,0.00271,0.06831,0.00031,0.00684,0.00013,0.0016,0.00052,0.00365,4e-05,3e-05,0.00027,2e-05,0.01248,0.00011,0.0001,4e-05,0.01418,0.0001,2e-05,0.01135,0.00914,0.00754,0.04304,0.00195,0.00392,0.04227,0.00033,0.00021,0.0089,0.18417,0.11597,0.04027,0.02068,0.01021,0.0003,8e-05,0.12353,9e-05,0.1204,0.00107,0.00089,0.0004,0.01911,0.00429,0.00395,0.01591,2e-05,0.00876,0.00708,0.01377,2e-05,0.00655,0.0208,2e-05,0.00034,9e-05
0.22,1e-05,2e-05,0.00106,5e-05,0.00202,0.00125,2e-05,3e-05,3e-05,0.00013,8e-05,7e-05,0.00245,0.06832,8e-05,0.00688,4e-05,0.00109,0.00047,0.00395,1e-05,1e-05,0.0002,1e-05,0.0125,4e-05,4e-05,1e-05,0.01419,4e-05,1e-05,0.01132,0.009,0.00747,0.04216,0.00133,0.00688,0.04203,0.00018,0.00017,0.00797,0.18066,0.11654,0.04139,0.02077,0.01119,0.00025,2e-05,0.12192,5e-05,0.11951,0.00065,0.00109,0.00021,0.01901,0.00427,0.00377,0.01585,1e-05,0.00866,0.00699,0.0137,1e-05,0.00638,0.02072,1e-05,0.00023,4e-05
