T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-13.05443,-1.27433,-0.00464,-0.95812,0.06236,0.00486,-0.35305,7.9506,0.71742,-1.87756,0.0984,0.13332,0.21584,0.07599,-7.81869,-0.39346,-2.35537,-0.07854,0.06239,-0.25106,-3.4335,-0.63308,0.06242,-2.95419,0.19939,-0.082,-0.05061,20.87264,-22.18416,-2.31887,53.90396,-16.76701,-4.57049,-11.20764
0.02,-13.1445,-1.2251,-0.01132,-0.94582,0.06486,0.00522,-0.36299,7.95622,0.7162,-1.87874,0.09839,0.13306,0.21587,0.05951,-7.83,-0.3942,-2.35609,-0.07862,0.06239,-0.25113,-3.42366,-0.64005,0.06474,-2.95178,0.19951,-0.08205,-0.05059,20.84215,-22.08229,-2.34304,53.92805,-16.76395,-4.56835,-11.20502
0.04,-13.23748,-1.16838,-0.01872,-0.93338,0.0676,0.00561,-0.37315,7.96023,0.71476,-1.8798,0.09837,0.13271,0.21587,0.04277,-7.84221,-0.39486,-2.35741,-0.0787,0.06233,-0.25125,-3.4128,-0.64704,0.06732,-2.94925,0.19964,-0.0821,-0.05054,20.81372,-21.98004,-2.36686,53.95279,-16.76081,-4.56622,-11.20241
0.06,-13.33169,-1.10606,-0.02674,-0.92082,0.07049,0.00602,-0.38352,7.96275,0.71316,-1.8807,0.09833,0.13229,0.21582,0.0258,-7.85507,-0.3955,-2.35917,-0.07878,0.06223,-0.25141,-3.40133,-0.65409,0.0701,-2.94664,0.19976,-0.08215,-0.05048,20.78636,-21.87734,-2.39042,53.9778,-16.75764,-4.5641,-11.19979
0.08,-13.42609,-1.04033,-0.03519,-0.90819,0.07344,0.00644,-0.39411,7.964,0.71146,-1.88143,0.0983,0.13181,0.21573,0.00863,-7.86828,-0.39618,-2.36118,-0.0789,0.06212,-0.25159,-3.38977,-0.66122,0.073,-2.94403,0.19989,-0.0822,-0.05041,20.75902,-21.77401,-2.41384,54.00275,-16.75447,-4.56199,-11.19716
0.1,-13.5205,-0.97347,-0.04381,-0.89559,0.07634,0.00685,-0.40488,7.96419,0.70973,-1.88198,0.09829,0.13131,0.2156,-0.00859,-7.88142,-0.39695,-2.36325,-0.07908,0.06201,-0.25177,-3.37882,-0.66838,0.0759,-2.94152,0.20001,-0.08225,-0.05034,20.73158,-21.67053,-2.43708,54.02763,-16.75129,-4.5599,-11.19452
0.12,-13.61496,-0.90754,-0.0523,-0.88317,0.07914,0.00723,-0.41591,7.9636,0.70802,-1.88244,0.09831,0.13078,0.21544,-0.02609,-7.89418,-0.39792,-2.36511,-0.07935,0.06194,-0.25191,-3.36916,-0.67567,0.07871,-2.9392,0.20014,-0.0823,-0.05028,20.70242,-21.56637,-2.46041,54.05183,-16.74816,-4.55781,-11.19186
0.14,-13.71247,-0.84404,-0.0603,-0.87107,0.08179,0.00757,-0.42723,7.96239,0.70636,-1.88288,0.09839,0.13025,0.21526,-0.04361,-7.90604,-0.39907,-2.36668,-0.07973,0.0619,-0.25201,-3.36151,-0.68293,0.08132,-2.93719,0.20026,-0.08235,-0.05024,20.67225,-21.46242,-2.48369,54.07577,-16.74503,-4.55573,-11.18921
0.16,-13.81604,-0.78417,-0.06741,-0.85946,0.0843,0.00786,-0.43896,7.96072,0.70477,-1.88346,0.09852,0.12969,0.21509,-0.06122,-7.91653,-0.40038,-2.36779,-0.08022,0.06189,-0.25203,-3.35646,-0.69009,0.08363,-2.93558,0.20037,-0.08241,-0.05022,20.64083,-21.35884,-2.50702,54.09952,-16.74189,-4.55367,-11.1866
0.18,-13.92505,-0.72906,-0.07315,-0.84858,0.08672,0.0081,-0.45133,7.95863,0.70311,-1.88452,0.0987,0.12909,0.21494,-0.08026,-7.92538,-0.40215,-2.36789,-0.08087,0.06198,-0.25194,-3.35443,-0.69749,0.08569,-2.93432,0.20047,-0.08246,-0.05023,20.60313,-21.25307,-2.53121,54.12068,-16.73901,-4.55156,-11.18383
0.2,-14.05452,-0.67824,-0.07723,-0.83833,0.08901,0.00828,-0.46413,7.95577,0.7015,-1.88589,0.09897,0.12847,0.21484,-0.09765,-7.93102,-0.40345,-2.36793,-0.08158,0.0619,-0.25181,-3.3558,-0.70379,0.08716,-2.9337,0.20056,-0.08251,-0.05025,20.57189,-21.15276,-2.55436,54.1453,-16.73569,-4.54958,-11.18145
0.22,-14.222,-0.63094,-0.07949,-0.82858,0.09114,0.00841,-0.47734,7.95168,0.70001,-1.8873,0.09938,0.12785,0.21479,-0.10992,-7.93165,-0.40306,-2.36911,-0.0822,0.06124,-0.25174,-3.36075,-0.70728,0.08762,-2.93398,0.20061,-0.08253,-0.05027,20.56186,-21.06572,-2.57477,54.18174,-16.73094,-4.54788,-11.18007
0.24,-14.41713,-0.58837,-0.07924,-0.81958,0.09332,0.00849,-0.49107,7.94571,0.69823,-1.88941,0.09982,0.12711,0.21483,-0.12091,-7.92697,-0.40188,-2.36974,-0.08281,0.06027,-0.25157,-3.36898,-0.70926,0.08745,-2.93482,0.20063,-0.08253,-0.0503,20.55869,-20.98449,-2.59423,54.22161,-16.72577,-4.54631,-11.17909
0.26,-14.63181,-0.55118,-0.07555,-0.81157,0.09571,0.00857,-0.50569,7.9368,0.69568,-1.89271,0.1002,0.1261,0.21498,-0.13396,-7.91618,-0.40053,-2.36837,-0.08341,0.05918,-0.25117,-3.3801,-0.71072,0.08695,-2.9359,0.20064,-0.08253,-0.05035,20.55051,-20.90206,-2.61451,54.2586,-16.72094,-4.54474,-11.17801
0.28,-14.87371,-0.51879,-0.06751,-0.80467,0.09835,0.00864,-0.5223,7.9237,0.69203,-1.8971,0.1005,0.12476,0.21526,-0.14874,-7.89724,-0.39822,-2.36519,-0.08388,0.0577,-0.25057,-3.3935,-0.71083,0.08593,-2.93723,0.20064,-0.08252,-0.05041,20.53957,-20.81662,-2.63678,54.29859,-16.71571,-4.54295,-11.17684
0.3,-15.13812,-0.49086,-0.05485,-0.7982,0.10135,0.00872,-0.53752,7.90334,0.68709,-1.9022,0.10053,0.12297,0.21556,-0.16311,-7.86743,-0.39519,-2.35883,-0.08412,0.05598,-0.24958,-3.40888,-0.70999,0.08448,-2.93857,0.20062,-0.0825,-0.05048,20.53302,-20.73884,-2.65628,54.33244,-16.71133,-4.54165,-11.17605
0.32,-15.41773,-0.4664,-0.03781,-0.79136,0.10489,0.00885,-0.54706,7.87225,0.68059,-1.90722,0.10004,0.12053,0.21577,-0.1744,-7.82364,-0.39175,-2.3476,-0.08401,0.05413,-0.24802,-3.42631,-0.70895,0.08277,-2.93969,0.2006,-0.08248,-0.05058,20.54289,-20.68198,-2.66678,54.34978,-16.70936,-4.54162,-11.1762
0.34,-15.71071,-0.44521,-0.01519,-0.78474,0.10887,0.00901,-0.55405,7.8287,0.67191,-1.91117,0.09907,0.11745,0.21579,-0.18457,-7.76355,-0.38705,-2.33107,-0.08342,0.05194,-0.24582,-3.44426,-0.70701,0.08055,-2.94051,0.20058,-0.08244,-0.05069,20.55705,-20.63146,-2.67451,54.36109,-16.70825,-4.54207,-11.1767
0.36,-16.01423,-0.42675,0.01456,-0.77883,0.11327,0.00922,-0.56121,7.7703,0.66044,-1.9132,0.09759,0.11368,0.21555,-0.19525,-7.68448,-0.38037,-2.30857,-0.0822,0.04921,-0.24293,-3.46163,-0.70382,0.07765,-2.94095,0.20054,-0.08238,-0.05083,20.56709,-20.5753,-2.68447,54.37507,-16.70676,-4.54231,-11.17704
0.38,-16.32524,-0.40883,0.05205,-0.77319,0.11835,0.00951,-0.56694,7.69318,0.64563,-1.91222,0.0954,0.10888,0.21499,-0.20451,-7.58266,-0.37144,-2.27868,-0.08018,0.04574,-0.23921,-3.4793,-0.69996,0.07421,-2.941,0.20049,-0.08231,-0.051,20.59072,-20.52181,-2.69246,54.39063,-16.70552,-4.54254,-11.1774
0.4,-16.60039,-0.39313,0.09594,-0.76763,0.12355,0.00983,-0.56827,7.59383,0.62804,-1.90427,0.09252,0.10373,0.21346,-0.21123,-7.45642,-0.36115,-2.23867,-0.07744,0.04241,-0.23425,-3.49265,-0.69524,0.07007,-2.94011,0.20044,-0.08223,-0.05119,20.58933,-20.46029,-2.70438,54.40121,-16.70426,-4.5429,-11.17771
0.42,-16.79025,-0.38042,0.14364,-0.762,0.1283,0.01013,-0.56242,7.46885,0.60858,-1.88488,0.08905,0.09904,0.21027,-0.21445,-7.3042,-0.35057,-2.1858,-0.0741,0.03996,-0.22774,-3.49666,-0.68931,0.06513,-2.93774,0.20039,-0.08214,-0.05138,20.5174,-20.37705,-2.7281,54.40186,-16.702,-4.5436,-11.17805
0.44,-16.89755,-0.36611,0.19499,-0.75586,0.1332,0.0105,-0.54882,7.31461,0.58666,-1.85245,0.08482,0.09417,0.20553,-0.21132,-7.12238,-0.33912,-2.119,-0.07001,0.03795,-0.21961,-3.4949,-0.68324,0.05986,-2.93423,0.20036,-0.08204,-0.05158,20.4195,-20.2868,-2.75574,54.39651,-16.69985,-4.54441,-11.17828
0.46,-16.92487,-0.34525,0.25028,-0.7488,0.13875,0.01099,-0.52811,7.12814,0.56201,-1.80545,0.07972,0.08866,0.19925,-0.20011,-6.9082,-0.32649,-2.0373,-0.06506,0.03594,-0.2098,-3.49046,-0.6778,0.05474,-2.92992,0.20033,-0.08194,-0.05177,20.33414,-20.20137,-2.78134,54.3913,-16.69824,-4.54513,-11.17839
0.48,-16.85148,-0.31343,0.30805,-0.74044,0.14484,0.01163,-0.50035,6.90707,0.53549,-1.7414,0.07382,0.0828,0.19102,-0.18014,-6.66052,-0.31326,-1.93944,-0.0593,0.03373,-0.19825,-3.48245,-0.67264,0.05008,-2.92484,0.20031,-0.08184,-0.05194,20.25252,-20.11718,-2.80813,54.39203,-16.69521,-4.54622,-11.17927
0.5,-16.60216,-0.27934,0.36279,-0.73033,0.15099,0.01238,-0.45824,6.6533,0.50932,-1.65239,0.0675,0.07767,0.18006,-0.14633,-6.38368,-0.30204,-1.82173,-0.05348,0.03387,-0.18423,-3.46637,-0.66952,0.04644,-2.91843,0.20033,-0.08176,-0.05205,20.15946,-20.03517,-2.83323,54.37727,-16.69546,-4.54664,-11.17856
0.52,-16.13655,-0.25553,0.41119,-0.71775,0.1568,0.01321,-0.40165,6.37429,0.48574,-1.53453,0.06115,0.07428,0.16591,-0.1001,-6.08424,-0.29482,-1.68231,-0.0483,0.03854,-0.16696,-3.43814,-0.66999,0.04436,-2.9102,0.20044,-0.08168,-0.05205,20.04524,-19.96142,-2.85174,54.32263,-16.70453,-4.5452,-11.17357
0.54,-15.49084,-0.23761,0.45637,-0.70269,0.16236,0.01414,-0.33648,6.07698,0.46586,-1.39365,0.05491,0.07247,0.14905,-0.044,-5.76542,-0.291,-1.52479,-0.04345,0.04517,-0.14693,-3.4004,-0.67319,0.04434,-2.90082,0.20062,-0.08163,-0.05193,19.92005,-19.8896,-2.86826,54.25357,-16.71671,-4.54301,-11.16693
