T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-10.88745,-0.20565,-0.08265,-0.03928,0.08043,-0.00665,-0.36017,-0.02101,2.34331,2.62464,0.06046,0.01284,0.14001,-1.3959,0.01871,-1.88324,2.5594,-0.13983,-0.02951,-0.15957,0.05799,-0.46299,0.32288,-0.83694,-0.29743,0.11281,0.134,0.03266,0.17312,-0.14705,-0.63813,-0.22315,-0.13432,-0.17543
0.02,-10.88311,-0.19765,-0.0824,-0.03801,0.07499,-0.00663,-0.35815,-0.0212,2.36693,2.62316,0.0601,0.01221,0.13911,-1.40197,0.0192,-1.9058,2.55891,-0.1403,-0.03084,-0.15835,0.05814,-0.46151,0.32336,-0.83673,-0.29707,0.1132,0.1343,0.03273,0.17212,-0.15086,-0.6381,-0.2236,-0.1338,-0.17473
0.04,-10.87876,-0.18975,-0.08216,-0.03682,0.0699,-0.00661,-0.35675,-0.02133,2.39115,2.62176,0.0597,0.01154,0.13826,-1.40868,0.01957,-1.92882,2.55841,-0.14029,-0.03209,-0.15732,0.05827,-0.4601,0.32352,-0.83652,-0.29669,0.11362,0.13462,0.0328,0.17112,-0.15466,-0.63806,-0.22404,-0.1333,-0.17403
0.06,-10.87442,-0.18194,-0.08193,-0.0357,0.06512,-0.00659,-0.35589,-0.02138,2.41611,2.62044,0.05924,0.01083,0.13745,-1.41603,0.01978,-1.95257,2.55791,-0.13957,-0.03321,-0.15651,0.05838,-0.45875,0.32333,-0.83632,-0.29629,0.11405,0.13495,0.03289,0.17012,-0.15846,-0.63803,-0.22447,-0.1328,-0.17333
0.08,-10.87009,-0.17419,-0.08171,-0.03463,0.06062,-0.00657,-0.3554,-0.02128,2.44199,2.61921,0.05872,0.01008,0.13665,-1.42394,0.01975,-1.97733,2.55745,-0.13782,-0.03412,-0.15592,0.05848,-0.45745,0.32275,-0.83612,-0.29586,0.11449,0.13529,0.03299,0.16911,-0.16232,-0.638,-0.2249,-0.13232,-0.17264
0.1,-10.86565,-0.16655,-0.08151,-0.03358,0.05643,-0.00655,-0.35505,-0.02097,2.46903,2.61824,0.05816,0.0093,0.13582,-1.43211,0.01935,-2.00303,2.55702,-0.13468,-0.03472,-0.15556,0.05858,-0.45629,0.32158,-0.83594,-0.29539,0.11498,0.13568,0.03311,0.16808,-0.16625,-0.63797,-0.22533,-0.13183,-0.17194
0.12,-10.86139,-0.15891,-0.08131,-0.03253,0.05249,-0.00654,-0.35449,-0.02037,2.49685,2.61722,0.05757,0.00849,0.13493,-1.44032,0.01847,-2.0304,2.55672,-0.1298,-0.03488,-0.15536,0.05867,-0.45508,0.32029,-0.83575,-0.29491,0.11546,0.13605,0.03325,0.16708,-0.1702,-0.63794,-0.22574,-0.13136,-0.17125
0.14,-10.85693,-0.15141,-0.08113,-0.03149,0.04887,-0.00653,-0.35313,-0.0194,2.52593,2.61663,0.05701,0.00771,0.13391,-1.44765,0.01696,-2.05895,2.55657,-0.12277,-0.0344,-0.15534,0.05876,-0.45402,0.31835,-0.83557,-0.29438,0.11599,0.13647,0.03342,0.16605,-0.17425,-0.63791,-0.22616,-0.13089,-0.17056
0.16,-10.85227,-0.14406,-0.08099,-0.03043,0.04557,-0.00651,-0.35035,-0.01796,2.55614,2.61648,0.05654,0.00703,0.13271,-1.45341,0.01467,-2.08828,2.55655,-0.11333,-0.03308,-0.15542,0.05885,-0.45316,0.31581,-0.8354,-0.2938,0.11655,0.13696,0.03362,0.16501,-0.17835,-0.63787,-0.22657,-0.13044,-0.16986
0.18,-10.84876,-0.13628,-0.0808,-0.02932,0.04227,-0.0065,-0.34527,-0.016,2.58463,2.61522,0.05621,0.0065,0.13131,-1.45703,0.01151,-2.12151,2.55706,-0.10135,-0.03084,-0.15516,0.05896,-0.45142,0.31535,-0.83522,-0.29343,0.11696,0.13713,0.03383,0.16417,-0.18208,-0.63783,-0.22694,-0.12999,-0.16921
0.2,-10.84275,-0.12958,-0.08079,-0.02822,0.03969,-0.0065,-0.3365,-0.01343,2.61699,2.6171,0.05626,0.00636,0.1294,-1.45464,0.00729,-2.15064,2.5576,-0.08654,-0.02713,-0.15509,0.05907,-0.45137,0.31105,-0.83503,-0.29269,0.11766,0.13794,0.03408,0.16302,-0.18631,-0.63777,-0.22735,-0.12955,-0.16848
0.22,-10.8301,-0.12567,-0.08126,-0.0272,0.03861,-0.00649,-0.32329,-0.01023,2.66027,2.62648,0.05704,0.00692,0.12676,-1.44378,0.00193,-2.15993,2.55619,-0.07016,-0.02156,-0.15579,0.05912,-0.45651,0.29504,-0.83481,-0.29082,0.11924,0.14069,0.03438,0.16095,-0.19215,-0.6377,-0.22785,-0.12913,-0.16753
0.24,-10.81491,-0.12282,-0.08194,-0.0262,0.03812,-0.0065,-0.30349,-0.00644,2.70541,2.63914,0.05861,0.00826,0.12337,-1.4218,-0.00451,-2.16357,2.55521,-0.05209,-0.01412,-0.15605,0.05916,-0.46317,0.27623,-0.83457,-0.28866,0.12104,0.14402,0.03469,0.15863,-0.19827,-0.6376,-0.22839,-0.12873,-0.16652
0.26,-10.80079,-0.11951,-0.08261,-0.02516,0.03739,-0.0065,-0.27601,-0.00221,2.74494,2.65101,0.06109,0.01054,0.11934,-1.39012,-0.01182,-2.1701,2.55566,-0.03363,-0.00502,-0.15489,0.05922,-0.46857,0.26116,-0.8343,-0.28686,0.12258,0.14689,0.03497,0.15659,-0.20362,-0.63749,-0.22888,-0.12834,-0.16556
0.28,-10.78724,-0.11599,-0.08341,-0.02417,0.03637,-0.00651,-0.24213,0.00215,2.77965,2.66095,0.06486,0.01411,0.11506,-1.35132,-0.01954,-2.15357,2.55258,-0.02157,0.00521,-0.15213,0.05924,-0.47502,0.24463,-0.83397,-0.28488,0.12427,0.15016,0.0352,0.15452,-0.20859,-0.63737,-0.22939,-0.12795,-0.1646
0.3,-10.77185,-0.11307,-0.08437,-0.02328,0.03571,-0.00652,-0.19328,0.00645,2.80481,2.67587,0.0703,0.01935,0.109,-1.28168,-0.02752,-2.1609,2.55807,-0.00801,0.01806,-0.14739,0.05924,-0.47925,0.23318,-0.8336,-0.28349,0.1255,0.15259,0.03539,0.15278,-0.21289,-0.6372,-0.22988,-0.12757,-0.16368
