T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.01586,-0.00034,-6e-05,-0.00074,0.00013,1e-05,-0.00022,0.00681,0.00058,-0.00147,9e-05,0.00014,0.00017,-0.00038,-0.00699,-0.00043,-0.00181,-7e-05,8e-05,-0.0002,0.00577,0.0069,-0.00073,0.01407,-0.01321,0.00566,0.00334,0.00665,-0.00635,0.00116,0.02032,-0.01178,0.0002,-0.00126
0.02,-0.01585,-0.00031,-6e-05,-0.00074,0.00013,1e-05,-0.00023,0.00678,0.00057,-0.00146,9e-05,0.00014,0.00017,-0.00038,-0.00696,-0.00043,-0.00181,-7e-05,7e-05,-0.0002,0.00577,0.00694,-0.00073,0.01403,-0.01324,0.00562,0.00332,0.00665,-0.00638,0.00118,0.02029,-0.01177,0.00022,-0.00124
0.04,-0.01586,-0.00026,-5e-05,-0.00073,0.00013,1e-05,-0.00023,0.00674,0.00057,-0.00146,9e-05,0.00013,0.00017,-0.00038,-0.00692,-0.00043,-0.0018,-7e-05,7e-05,-0.0002,0.00577,0.00698,-0.00073,0.01399,-0.01326,0.00558,0.00331,0.00664,-0.0064,0.00119,0.02026,-0.01176,0.00024,-0.00123
0.06,-0.0159,-0.00021,-5e-05,-0.00073,0.00013,1e-05,-0.00024,0.00669,0.00056,-0.00146,9e-05,0.00013,0.00017,-0.00039,-0.00688,-0.00043,-0.0018,-7e-05,7e-05,-0.0002,0.00577,0.00702,-0.00074,0.01395,-0.01329,0.00554,0.0033,0.00664,-0.00643,0.0012,0.02024,-0.01175,0.00027,-0.00122
0.08,-0.01598,-0.00014,-4e-05,-0.00072,0.00013,1e-05,-0.00025,0.00664,0.00055,-0.00146,9e-05,0.00012,0.00017,-0.0004,-0.00684,-0.00043,-0.00181,-8e-05,7e-05,-0.0002,0.00577,0.00705,-0.00074,0.01391,-0.01331,0.0055,0.00328,0.00663,-0.00646,0.00122,0.02021,-0.01174,0.00029,-0.00121
0.1,-0.0161,-7e-05,-2e-05,-0.00071,0.00013,1e-05,-0.00026,0.00659,0.00054,-0.00147,9e-05,0.00012,0.00017,-0.00042,-0.0068,-0.00044,-0.00181,-8e-05,7e-05,-0.0002,0.00577,0.00709,-0.00074,0.01387,-0.01333,0.00546,0.00327,0.00662,-0.00649,0.00123,0.02018,-0.01172,0.00031,-0.0012
0.12,-0.01628,1e-05,0,-0.00071,0.00013,1e-05,-0.00028,0.00656,0.00054,-0.00149,9e-05,0.00011,0.00017,-0.00045,-0.00678,-0.00045,-0.00183,-9e-05,7e-05,-0.00021,0.00577,0.00713,-0.00074,0.01384,-0.01335,0.00542,0.00325,0.00661,-0.00652,0.00124,0.02015,-0.01171,0.00032,-0.00119
0.14,-0.01651,0.0001,3e-05,-0.0007,0.00013,1e-05,-0.00031,0.00655,0.00053,-0.00152,0.0001,0.00011,0.00017,-0.00048,-0.00677,-0.00047,-0.00185,-0.0001,7e-05,-0.00021,0.00576,0.00716,-0.00075,0.0138,-0.01336,0.00537,0.00323,0.0066,-0.00655,0.00126,0.02012,-0.0117,0.00034,-0.00118
0.16,-0.01678,0.00019,8e-05,-0.0007,0.00013,1e-05,-0.00034,0.00657,0.00053,-0.00157,0.0001,0.0001,0.00018,-0.00052,-0.00679,-0.00049,-0.00189,-0.00011,7e-05,-0.00022,0.00575,0.00719,-0.00075,0.01376,-0.01338,0.00533,0.00321,0.00658,-0.00659,0.00127,0.02009,-0.01168,0.00035,-0.00117
0.18,-0.01707,0.00027,0.00014,-0.00069,0.00013,1e-05,-0.00037,0.00663,0.00053,-0.00163,0.0001,0.0001,0.00019,-0.00057,-0.00685,-0.00051,-0.00193,-0.00012,7e-05,-0.00022,0.00573,0.00722,-0.00075,0.01371,-0.0134,0.00528,0.00319,0.00655,-0.00663,0.00128,0.02005,-0.01167,0.00037,-0.00116
