T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-0.0095,0.5007,5e-05,0.00701,-0.00054,-0.01019,-0.00952,0.5011,4e-05,0.00701,-0.00054,-0.01019
0.02,-0.00954,0.50056,-0,0.00757,-0.0005,-0.01019,-0.00957,0.50124,-2e-05,0.00757,-0.0005,-0.01019
0.04,-0.00958,0.50038,-7e-05,0.00811,-0.00045,-0.01019,-0.00962,0.50142,-0.00011,0.00811,-0.00045,-0.01019
0.06,-0.00961,0.50016,-0.00015,0.00861,-0.00039,-0.01019,-0.00966,0.50164,-0.00021,0.00861,-0.00039,-0.01019
0.08,-0.00965,0.49992,-0.00025,0.00905,-0.00031,-0.01019,-0.00971,0.50188,-0.00034,0.00905,-0.00031,-0.01019
0.1,-0.00968,0.49966,-0.00038,0.00943,-0.00022,-0.01019,-0.00975,0.50214,-0.00049,0.00943,-0.00022,-0.01019
0.12,-0.00972,0.49941,-0.00053,0.00973,-0.00011,-0.01019,-0.00979,0.50238,-0.00067,0.00973,-0.00011,-0.01019
0.14,-0.00975,0.49921,-0.00071,0.00996,2e-05,-0.01019,-0.00982,0.50258,-0.00087,0.00996,2e-05,-0.01019
0.16,-0.00978,0.49911,-0.0009,0.01012,0.00016,-0.01019,-0.00984,0.50268,-0.00109,0.01012,0.00016,-0.01019
0.18,-0.0098,0.49918,-0.00111,0.01024,0.0003,-0.01019,-0.00984,0.5026,-0.00132,0.01024,0.0003,-0.01019
0.2,-0.00983,0.4995,-0.00134,0.0103,0.00046,-0.01019,-0.00983,0.50228,-0.00153,0.0103,0.00046,-0.01019
0.22,-0.00986,0.50018,-0.00157,0.01034,0.00061,-0.01019,-0.00979,0.5016,-0.00174,0.01034,0.00061,-0.01019
0.24,-0.0099,0.50133,-0.00182,0.01035,0.00076,-0.01019,-0.00973,0.50045,-0.00191,0.01035,0.00076,-0.01019
0.26,-0.00993,0.50306,-0.00207,0.01034,0.0009,-0.01019,-0.00964,0.49872,-0.00204,0.01034,0.00091,-0.01019
0.28,-0.00997,0.50549,-0.00234,0.01032,0.00104,-0.01019,-0.00952,0.49629,-0.00211,0.01032,0.00104,-0.01019
0.3,-0.01001,0.5087,-0.00261,0.0103,0.00115,-0.01018,-0.00937,0.49308,-0.00212,0.0103,0.00116,-0.01018
0.32,-0.01005,0.51275,-0.00291,0.01027,0.00126,-0.01018,-0.00919,0.48903,-0.00205,0.01027,0.00127,-0.01018
0.34,-0.01009,0.51762,-0.00322,0.01025,0.00135,-0.01018,-0.00898,0.48416,-0.00191,0.01025,0.00136,-0.01018
0.36,-0.01012,0.52329,-0.00356,0.01023,0.00142,-0.01018,-0.00874,0.4785,-0.00169,0.01023,0.00144,-0.01018
0.38,-0.01015,0.52967,-0.00394,0.01021,0.00149,-0.01018,-0.00848,0.47211,-0.0014,0.01021,0.0015,-0.01018
0.4,-0.01017,0.53669,-0.00435,0.0102,0.00154,-0.01018,-0.00819,0.4651,-0.00103,0.0102,0.00156,-0.01018
0.42,-0.01018,0.54424,-0.0048,0.01019,0.0016,-0.01018,-0.00789,0.45756,-0.00061,0.01019,0.00161,-0.01018
0.44,-0.01019,0.55222,-0.00529,0.01019,0.00164,-0.01019,-0.00756,0.44958,-0.00013,0.01019,0.00165,-0.01019
0.46,-0.0102,0.56053,-0.00581,0.0102,0.00169,-0.0102,-0.00722,0.44128,0.00039,0.0102,0.00169,-0.0102
0.48,-0.0102,0.56906,-0.00637,0.01021,0.00174,-0.01021,-0.00686,0.43275,0.00095,0.01021,0.00172,-0.01021
0.5,-0.01021,0.57772,-0.00696,0.01023,0.0018,-0.01024,-0.0065,0.42409,0.00152,0.01023,0.00175,-0.01024
0.52,-0.01021,0.58643,-0.00756,0.01026,0.00186,-0.01027,-0.00612,0.41539,0.0021,0.01026,0.00178,-0.01027
0.54,-0.01021,0.59513,-0.00817,0.0103,0.00192,-0.0103,-0.00576,0.4067,0.00266,0.0103,0.00181,-0.0103
0.56,-0.0102,0.60376,-0.00875,0.01034,0.002,-0.01035,-0.00539,0.39807,0.0032,0.01034,0.00184,-0.01035
0.58,-0.0102,0.61233,-0.0093,0.01039,0.00207,-0.0104,-0.00505,0.38951,0.00368,0.01039,0.00187,-0.0104
0.6,-0.0102,0.62085,-0.00979,0.01044,0.00215,-0.01045,-0.00473,0.38099,0.0041,0.01044,0.0019,-0.01045
0.62,-0.0102,0.62942,-0.01021,0.01049,0.00222,-0.01049,-0.00444,0.37243,0.00445,0.01049,0.00192,-0.01049
0.64,-0.0102,0.63818,-0.01054,0.01053,0.00228,-0.01053,-0.00418,0.36368,0.00471,0.01053,0.00195,-0.01053
0.66,-0.0102,0.64735,-0.01076,0.01054,0.00231,-0.01054,-0.00396,0.35452,0.0049,0.01054,0.00196,-0.01054
0.68,-0.0102,0.65722,-0.01085,0.01052,0.0023,-0.01052,-0.00377,0.34465,0.00501,0.01052,0.00197,-0.01052
