T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-15.9499,-1.77374,-0.08254,-0.38617,-1.01001,-0.11244,1.01523,-1.44365,-0.30631,1.2618,-0.0507,-0.00315,-0.14,-0.22826,1.19222,0.3319,1.26209,0.06499,0.00668,0.13805,12.31882,31.20842,-2.16576,16.61397,-14.77982,-0.7242,3.80801,20.22694,-25.16643,6.72942,28.3938,-14.24381,-6.20865,-4.13687
0.02,-15.78984,-0.75931,-0.09462,-0.36391,-0.95437,-0.10362,0.97169,-1.45279,-0.31336,1.25798,-0.05101,-0.00362,-0.13873,-0.19532,1.2113,0.34254,1.26374,0.06584,0.00435,0.13833,11.23075,30.77714,-2.26172,16.66776,-14.34506,-1.56763,3.49601,20.46836,-25.15975,6.71606,28.79787,-14.21502,-7.12658,-4.50736
0.04,-15.67115,0.38936,-0.07483,-0.3426,-0.89158,-0.09293,0.93872,-1.47963,-0.32436,1.2541,-0.05144,-0.00481,-0.13725,-0.15969,1.21846,0.35063,1.2682,0.06689,0.00225,0.13902,10.16967,30.19205,-2.32556,16.63704,-13.83252,-2.3444,3.18598,20.9601,-25.16431,6.68048,29.51237,-14.14664,-7.97826,-4.89031
0.06,-15.59571,1.65015,-0.02637,-0.32281,-0.82282,-0.08062,0.91513,-1.5219,-0.33907,1.25006,-0.05197,-0.00661,-0.13556,-0.12179,1.21482,0.35625,1.2755,0.06814,0.00041,0.14015,9.12759,29.4097,-2.35223,16.4681,-13.23376,-3.01512,2.88735,21.75743,-25.13483,6.59943,30.63656,-14.04181,-8.71609,-5.28005
0.08,-15.56036,2.99838,0.04654,-0.30503,-0.74917,-0.06704,0.89939,-1.57667,-0.35705,1.24596,-0.05258,-0.00894,-0.13371,-0.08332,1.20167,0.35927,1.28523,0.06958,-0.00107,0.14167,8.10127,28.36661,-2.33717,16.10775,-12.53762,-3.546,2.60504,22.91668,-25.01988,6.44363,32.27471,-13.90687,-9.29601,-5.6762
0.1,-15.56232,4.41266,0.13979,-0.28999,-0.67128,-0.05251,0.89003,-1.64106,-0.37766,1.24183,-0.05325,-0.01165,-0.13179,-0.04653,1.17974,0.35916,1.29669,0.07113,-0.00201,0.14352,7.10961,26.96937,-2.27551,15.52081,-11.73114,-3.91157,2.33798,24.49433,-24.77654,6.18214,34.52413,-13.7527,-9.68009,-6.08457
0.12,-15.58167,5.86186,0.25018,-0.27727,-0.59013,-0.03746,0.88762,-1.71152,-0.40046,1.23945,-0.05402,-0.01462,-0.13006,-0.01763,1.14946,0.35524,1.30857,0.07271,-0.00218,0.14556,6.16264,25.15429,-2.15999,14.64193,-10.80143,-4.09862,2.08215,26.52196,-24.32583,5.77329,37.47349,-13.58675,-9.84376,-6.51478
0.14,-15.61485,7.34615,0.37387,-0.26775,-0.50475,-0.02208,0.89023,-1.78624,-0.42467,1.23857,-0.05487,-0.01771,-0.12861,0.00082,1.11069,0.34652,1.31944,0.07419,-0.00131,0.14762,5.31508,22.80798,-1.98548,13.48685,-9.74027,-4.10258,1.8291,29.02711,-23.6348,5.19076,41.16433,-13.42512,-9.76965,-6.97731
0.16,-15.64609,8.85884,0.50744,-0.26132,-0.41449,-0.00661,0.89786,-1.86318,-0.44974,1.24032,-0.05584,-0.02082,-0.12768,0.0038,1.06332,0.33215,1.3274,0.07544,0.00087,0.14946,4.61809,19.88525,-1.74661,12.06132,-8.54962,-3.93079,1.57307,31.98852,-22.64742,4.41047,45.58805,-13.27962,-9.45659,-7.47786
0.18,-15.61794,10.33473,0.64961,-0.25463,-0.32238,0.00833,0.9172,-1.93724,-0.4762,1.25073,-0.0571,-0.02384,-0.12793,-0.02186,1.00814,0.31216,1.33049,0.0763,0.00444,0.15084,4.07911,16.483,-1.43558,10.3,-7.24797,-3.60496,1.31704,35.26281,-21.17646,3.3819,50.66323,-13.14716,-8.92356,-8.00804
