T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,1.58039,-0.15178,0.00847,0.01413,0.0726,-0.00016,-0.43208,0.16113,-0.16235,-0.0033,-0.75437,0.02947,-0.2178,-0.01488,0.09246,-0.00828,0.34117,-0.00381,-0.0005,0.00023,-2.52761,6.59988,1.65549,1.04891,-1.41481,-0.0178,0.03985,-4.87094,-7.45073,-2.97893,5.39849,1.50371,-0.20959,-0.12571
0.02,1.60366,-0.13772,0.01114,0.01541,0.06556,-0.00014,-0.40848,0.15972,-0.15902,-0.00616,-0.40869,0.05062,-0.19188,-0.01706,0.0952,-0.00884,0.34625,-0.00385,-0.00047,0.00021,-2.6463,6.78759,1.72971,1.04211,-1.46096,0.02236,0.05153,-4.93901,-7.64189,-3.0742,5.44379,1.49591,-0.16583,-0.11498
0.04,1.6142,-0.11289,0.01475,0.01709,0.05477,-0.00012,-0.38821,0.15068,-0.14836,-0.01163,-0.10676,0.06536,-0.16362,-0.0249,0.09597,-0.00929,0.34002,-0.00341,-0.00034,0.00016,-2.72464,6.91023,1.79794,1.01031,-1.49622,0.06377,0.06309,-4.89935,-7.74399,-3.12628,5.30649,1.47096,-0.11756,-0.10188
0.06,1.61915,-0.07804,0.01965,0.01938,0.0397,-9e-05,-0.37045,0.1343,-0.13039,-0.0205,0.13779,0.07299,-0.13426,-0.03803,0.09355,-0.00955,0.32309,-0.00213,-4e-05,8e-05,-2.76875,6.95782,1.86054,0.95418,-1.52274,0.10484,0.07417,-4.73615,-7.7778,-3.13566,4.94806,1.43136,-0.06876,-0.08736
0.08,1.62596,-0.03427,0.02639,0.02248,0.019,-5e-05,-0.35292,0.1117,-0.10594,-0.03362,0.31531,0.07341,-0.10486,-0.05517,0.08618,-0.00951,0.29682,0.00057,0.00051,1e-05,-2.78776,6.9146,1.91545,0.87456,-1.5419,0.14439,0.08453,-4.42944,-7.7605,-3.10145,4.33019,1.37803,-0.02381,-0.07232
0.1,1.64175,0.01729,0.03571,0.02654,-0.00981,-1e-05,-0.33246,0.08488,-0.07665,-0.05206,0.41687,0.06693,-0.0769,-0.07432,0.07169,-0.00898,0.26296,0.00562,0.00141,1e-05,-2.79156,6.76545,1.9588,0.7721,-1.55425,0.18155,0.09406,-3.95756,-7.69858,-3.02102,3.42356,1.31023,0.01275,-0.05754
0.12,1.67454,0.07528,0.04838,0.03174,-0.04945,4e-05,-0.3055,0.05666,-0.04485,-0.07768,0.44899,0.05512,-0.05076,-0.09215,0.04779,-0.00773,0.22415,0.01439,0.00281,0.00016,-2.79462,6.48702,1.9801,0.64738,-1.55937,0.21562,0.10274,-3.30621,-7.59814,-2.88999,2.21766,1.22613,0.03666,-0.04365
0.14,1.73036,0.13815,0.06513,0.03811,-0.10281,9e-05,-0.26764,0.03045,-0.01328,-0.11278,0.41171,0.03953,-0.02856,-0.10558,0.01218,-0.00542,0.18242,0.02885,0.0049,0.00056,-2.80676,6.07128,1.96889,0.50018,-1.55614,0.24593,0.11069,-2.47043,-7.44542,-2.70685,0.73929,1.12286,0.04474,-0.03086
0.16,1.81494,0.20363,0.08597,0.04541,-0.15085,0.00014,-0.21531,0.00973,0.01531,-0.16003,0.32334,0.0229,-0.01138,-0.11092,-0.03653,-0.00168,0.14021,0.05138,0.00789,0.00128,-2.83988,5.51351,1.90875,0.33083,-1.54279,0.27171,0.11807,-1.47297,-7.2245,-2.47154,-0.93592,0.99806,0.03554,-0.01913
0.18,1.93866,0.26812,0.1094,0.0536,-0.19471,0.00019,-0.1459,-0.00273,0.03921,-0.22447,0.22451,0.0089,0.00174,-0.10382,-0.09835,0.00388,0.10053,0.08407,0.01185,0.00234,-2.91618,4.80594,1.77073,0.14285,-1.5168,0.29191,0.12497,-0.37439,-6.93256,-2.18413,-2.66542,0.852,0.00988,-0.00828
0.2,2.09487,0.32784,0.13256,0.06143,-0.24052,0.00026,-0.06178,-0.00576,0.05678,-0.29754,0.10853,-0.00152,0.00572,-0.08709,-0.16941,0.0115,0.0638,0.12999,0.01726,0.00383,-3.02875,4.0307,1.56564,-0.05373,-1.47711,0.3052,0.1318,0.72838,-6.49561,-1.86883,-4.26218,0.6855,-0.02877,0.00212
0.22,2.26724,0.3772,0.15062,0.06705,-0.2956,0.00034,0.02779,1e-05,0.06785,-0.3558,0.00777,-0.00674,0.0023,-0.06328,-0.24073,0.02062,0.03241,0.19076,0.02478,0.00581,-3.17244,3.26839,1.31893,-0.2386,-1.4234,0.31044,0.13901,1.70111,-5.85292,-1.55166,-5.54484,0.50466,-0.07559,0.01153
