T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.59982,0.98393,1.23787,0.80181,1.25146,1.01452,1.21375,0.99793,1.10939,0.89246,1.03758,1.0001,1.00891,0.53851,0.74547,1.23738,0.49003,1.08701,1.05641,0.9622,0.89368,0.92603,1.12318,1.03311,0.99547,1.03055,1.02525,0.9136,1.07707,1.08139,0.97672,0.9714,0.9712,0.99285,1.2716,1.03467,0.79545,1.21665,0.73,0.99251,0.73738,1.00369,0.88005,1.18007,0.98507,0.99994,0.99662,1.33364,1.25443,0.85179,1.34101,0.92776,0.96066,1.0829,1.13184,1.09243,0.94134,0.973,1.00896,0.98467,0.99475,1.11288,0.94058,0.9298,1.06126,1.05136,1.05426,1.03367
0.02,0.59594,0.9872,1.24039,0.79304,1.2548,1.01431,1.21484,0.99596,1.11144,0.89531,1.04155,0.99722,1.00267,0.52921,0.7409,1.24075,0.48403,1.08103,1.05283,0.96536,0.89256,0.92493,1.12473,1.03338,0.99546,1.03164,1.02615,0.91243,1.07699,1.08054,0.97634,0.9707,0.97131,0.99296,1.2728,1.02803,0.79088,1.22171,0.72216,0.99262,0.73506,1.00716,0.87722,1.17718,0.98334,1.00677,0.999,1.33532,1.25646,0.84711,1.34196,0.93368,0.96345,1.07716,1.13285,1.09355,0.94031,0.97277,1.00898,0.98408,0.99455,1.11404,0.94066,0.93068,1.06213,1.05248,1.05407,1.03321
0.04,0.59706,0.99305,1.2417,0.78237,1.25551,1.01387,1.21435,0.99254,1.11238,0.90233,1.0461,0.99242,0.99577,0.52266,0.73928,1.24345,0.4831,1.06953,1.04472,0.97177,0.8932,0.92523,1.12502,1.03302,0.99557,1.03255,1.02687,0.91261,1.07558,1.07754,0.97633,0.97031,0.97213,0.99328,1.27245,1.01566,0.78844,1.2276,0.72048,0.99285,0.73611,1.01306,0.87591,1.16981,0.9813,1.01798,1.00621,1.33648,1.25718,0.84324,1.3421,0.9446,0.96962,1.06494,1.13227,1.09325,0.94011,0.97307,1.00877,0.98359,0.99439,1.11386,0.94194,0.93372,1.06215,1.05309,1.0527,1.03179
0.06,0.60333,1.00429,1.24193,0.76843,1.25274,1.01327,1.21234,0.98724,1.11221,0.91423,1.05129,0.98514,0.98726,0.51828,0.74056,1.24576,0.48734,1.05031,1.03015,0.9823,0.89561,0.92704,1.12411,1.03201,0.99581,1.0333,1.02748,0.91412,1.07285,1.07202,0.9767,0.97019,0.9737,0.99384,1.2705,0.99748,0.78802,1.23488,0.72703,0.99317,0.74035,1.02192,0.87615,1.15633,0.97893,1.03397,1.01827,1.33724,1.25661,0.83986,1.34143,0.96161,0.98017,1.04303,1.13009,1.0914,0.94072,0.97395,1.0083,0.98318,0.99426,1.11236,0.9444,0.93922,1.06131,1.05328,1.05006,1.02934
0.08,0.61516,1.02814,1.24106,0.75008,1.24482,1.01259,1.20885,0.97963,1.11084,0.93187,1.05703,0.9749,0.97528,0.51573,0.74485,1.24783,0.49717,1.01964,1.00604,0.99794,0.89984,0.93055,1.12199,1.0303,0.9962,1.03392,1.02797,0.91696,1.06877,1.06347,0.97745,0.97032,0.97605,0.99464,1.26672,0.98257,0.78962,1.24383,0.74486,0.99353,0.7476,1.03406,0.87805,1.13378,0.97622,1.05456,1.03426,1.33767,1.2547,0.83674,1.33985,0.98596,0.99622,1.00547,1.12618,1.08778,0.94211,0.97544,1.00753,0.98285,0.99415,1.10948,0.94801,0.94745,1.0596,1.05307,1.04604,1.02575
0.1,0.63318,1.05576,1.23901,0.72658,1.22816,1.01197,1.20385,0.96941,1.10812,0.95612,1.06309,0.9614,0.95952,0.51492,0.7524,1.24975,0.51338,0.98654,0.98495,1.03542,0.90593,0.93597,1.1186,1.02782,0.99677,1.03438,1.02834,0.92115,1.06336,1.05124,0.9786,0.97068,0.97918,0.99569,1.26072,0.96325,0.7934,1.25433,0.77856,0.99386,0.75768,1.0494,0.88179,1.09641,0.97328,1.07882,1.05377,1.33781,1.25126,0.83379,1.33714,1.03416,1.03436,0.97438,1.12041,1.08206,0.9443,0.97756,1.00643,0.98259,0.99406,1.10515,0.95269,0.9587,1.05695,1.0525,1.04054,1.02095
0.12,0.6582,1.08523,1.23554,0.69786,1.1938,1.01154,1.19734,0.95643,1.10378,0.98774,1.06907,0.94458,0.93996,0.51598,0.76355,1.25151,0.5371,0.95843,0.96208,1.07601,0.91389,0.94351,1.11388,1.02455,0.9975,1.03464,1.02855,0.92669,1.05673,1.03456,0.98016,0.97126,0.98307,0.99698,1.25187,0.93968,0.79958,1.26591,0.83526,0.99408,0.77032,1.06741,0.88765,1.03187,0.97029,1.10522,1.07581,1.33763,1.24597,0.83103,1.33292,1.09105,1.07767,0.93978,1.11259,1.07383,0.94728,0.98032,1.00498,0.98245,0.99401,1.09927,0.95829,0.97313,1.05331,1.05157,1.03351,1.01491
0.14,0.69102,1.11449,1.23035,0.66458,1.11173,1.01153,1.18943,0.94083,1.09751,1.04689,1.07437,0.92478,0.91705,0.51937,0.77871,1.25298,0.56981,0.92732,0.93491,1.11454,0.9236,0.95335,1.10773,1.02049,0.99841,1.03459,1.02854,0.9335,1.04912,1.01259,0.98212,0.97208,0.98761,0.99846,1.23921,0.91257,0.80851,1.27786,0.92674,0.99409,0.78498,1.08717,0.89593,0.96383,0.96755,1.13192,1.09903,1.33705,1.23832,0.8287,1.32654,1.13821,1.11879,0.9002,1.10257,1.0626,0.95103,0.98371,1.00318,0.98248,0.99402,1.09179,0.96449,0.99064,1.04863,1.05027,1.02501,1.00773
0.16,0.73219,1.14165,1.22293,0.62825,0.93335,1.01216,1.18049,0.92311,1.08889,1.10345,1.07818,0.90281,0.89175,0.52578,0.79825,1.25391,0.61316,0.89517,0.90453,1.14883,0.93478,0.96551,1.10015,1.01572,0.99948,1.03408,1.02818,0.94139,1.0411,0.99269,0.98444,0.97312,0.99256,1.00011,1.2214,0.88327,0.82056,1.2894,1.10388,0.99376,0.80071,1.10742,0.90693,0.90899,0.96554,1.15716,1.12189,1.33593,1.22764,0.82719,1.31691,1.17547,1.15533,0.8577,1.09035,1.04785,0.95547,0.98762,1.00105,0.98276,0.9941,1.08275,0.97081,1.02024,1.04293,1.04858,1.01534,0.99986
0.18,0.78135,1.16522,1.21264,0.59117,0.7843,1.01371,1.17137,0.90426,1.07749,1.14542,1.07938,0.88002,0.86567,0.53622,0.82228,1.25394,0.66869,0.86462,0.87269,1.17757,0.94679,0.9798,1.09129,1.01045,1.0013,1.03294,1.02733,0.94996,1.03367,0.97866,0.98703,0.9744,0.99752,1.00321,1.1967,0.85381,0.83607,1.29982,1.22507,0.99294,0.8159,1.1268,0.92085,0.8572,0.9649,1.17948,1.14287,1.33406,1.21301,0.82715,1.3021,1.20343,1.18596,0.81515,1.07633,1.02918,0.96043,0.99186,0.99934,0.98338,0.99429,1.07247,0.97647,1.05437,1.03637,1.0465,1.00523,0.99587
