T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.00023,0,0,0.00156,0.58444,0.00309,0,0,0.00023,0,0,0.00153,0,0.00051,0,0,0.01515,0.0023,0.00203,0.0163,0,5e-05,0.00057,0,0,0,0,0,0.04838,0,0,0.02023,0.01034,0.02371,0,0,0.0411,0,0,0.00267,0,0.15525,0.02766,0.0005,0,0.16781,0.02469,0,0.00039,0.00044,0,0,0.00389,0.00198,0,0,0,0.00593,0,0.00514,0.00712,0.04321,0,0.07186,0.0444,0,0,1
0.02,0.00023,0.00148,0,0.00151,0.67196,0.00238,0,0,0.00019,0,0,0.00151,0,0.00054,0,0,0.01713,0.00223,0.00174,0.01619,0,5e-05,0,0,0,0,0,0,0.05088,0,0,0.02134,0.01095,0.02514,0,0,0.04521,9e-05,0,0.0025,0.00036,0.14341,0.02673,0.00051,0,0.14928,0.02498,0,0.00047,0.0004,0,0,0.00341,0.00181,0,0,0,0.00604,0,0.0046,0.00684,0.04548,0,0.07597,0.04715,0,0,1
0.04,0.00023,0.01234,0,0.00129,0.76496,0.00129,0,0,0.00024,0,0,0.00145,0,0.00044,0,0,0.0194,0.00186,0.00122,0.01597,0,5e-05,0,0,0,0,0,0,0.05313,0,0,0.02241,0.01151,0.0265,0,0,0.04843,0.00141,0,0.00229,0.00435,0.1323,0.02588,0.00035,0,0.13133,0.02513,0,0.0005,0.00036,1e-05,0,0.00289,0.00161,0,0,0,0.00575,0,0.00394,0.00648,0.04764,0,0.08005,0.04979,0,0,0.9937
0.06,0.00025,0.02061,0,0.00107,0.86303,0.00028,0,0,0.00023,0,0,0.00144,0,0.00042,0,0,0.0211,0.00157,0.00083,0.01557,0,3e-05,0,0,0,0,0,0,0.05484,0,0,0.02335,0.01197,0.02768,0,0,0.05127,0.00297,0,0.00206,0.00751,0.12128,0.02523,0.00035,0,0.11368,0.02513,0,0.00052,0.00032,1e-05,0,0.00246,0.00142,0,0,0,0.00544,0,0.00331,0.00618,0.04922,0,0.08325,0.05205,0,0,0.53724
0.08,0.00019,0.02961,0,0.00081,0.9656,0,0,0,0.00017,0,0,0.00142,0,0.00032,0,0,0.02297,0.0012,0.00033,0.01493,0,3e-05,0,0,0,0,0,0,0.05601,0,0,0.02419,0.0124,0.02877,0,0.00127,0.05376,0.00477,0,0.00188,0.01035,0.111,0.02473,0.00028,0,0.09696,0.025,0,0.00057,0.00026,1e-05,0,0.00182,0.00118,0,0,0,0.00505,0,0.00231,0.00579,0.05041,0,0.08582,0.05394,0,0,0.1233
0.1,0,0.0393,0.00016,0.00071,1,0,0,0,0.00017,0,0,0.00142,0,0.00033,0,0,0.02407,0.00106,0.00011,0.01418,0,6e-05,0,0,0,0,0,0,0.05638,0,0,0.02468,0.01265,0.02949,0,0.00519,0.05542,0.00674,0,0.00171,0.01274,0.10139,0.02453,0.00022,0,0.08098,0.0246,0,0.00024,0.00025,3e-05,0,0.0016,0.00103,0,0,0,0.00469,0,0.00193,0.00547,0.05091,0,0.08745,0.05515,0.04909,0,0
0.12,0.00018,0.04964,0.00032,0.00057,1,0,0,0,0.00013,0,0,0.0014,0,0.00027,0,0,0.02532,0.00085,0,0.01332,0,6e-05,0,0,0,0,0,0,0.05585,0,0,0.02484,0.01271,0.02984,0,0.00722,0.05634,0.00856,0,0.0016,0.01485,0.09249,0.02458,0.00017,0,0.06599,0.02404,0,0.0007,0.00021,1e-05,0,0.00135,0.00085,0,0,0,0.00436,0,0.00124,0.00519,0.05063,0,0.08794,0.05568,0,0,0
0.14,0.00017,0.06053,0.00046,0.00037,1,0,0,0,0.00012,0,0,0.0014,0,0.00021,0,0,0.02617,0.00055,0,0.01221,0,7e-05,0,0,0,0,0,0,0.05431,0,0,0.0247,0.01264,0.02983,0,0.00814,0.05653,0.01059,0,0.00148,0.01623,0.08434,0.02485,0.00012,0,0.05233,0.0231,0,0.00073,0.00019,2e-05,0,0.00083,0.00067,0,0,2e-05,0.00397,0,0.00028,0.00489,0.04949,0,0.08709,0.0554,0,0,0
0.16,0.00015,0.07204,0.00066,0.00029,1,0,0,1e-05,0.0001,0,0,0.00139,0,0.00017,0,0,0.02675,0.00042,0,0.01095,0,8e-05,0,0,0,0,0,0,0.05161,0,0,0.02415,0.01233,0.02934,0,0.0078,0.05589,0.01265,0,0.00139,0.01728,0.07709,0.02533,0.0001,0,0.03973,0.02179,0,0.0008,0.00016,2e-05,0,0.00066,0.00051,0,0,9e-05,0.00357,0,0,0.00461,0.04729,0,0.08474,0.05414,0,0,0
0.18,0.00014,0.08402,0.00089,0.00014,1,0,0,2e-05,8e-05,0,0,0.00138,0,0.00011,0,0,0.02705,0.00021,0,0.00955,0,0.0001,0,0,0,0,0,0,0.04778,0,0,0.02313,0.01181,0.02828,0,0.00637,0.05439,0.01475,0,0.00131,0.01786,0.07065,0.02601,5e-05,0,0.02842,0.02012,0,0.00087,0.00014,2e-05,0,0.00036,0.00033,0,0,0.00015,0.00316,0,0,0.00435,0.04397,0,0.08092,0.05183,0,0,0
0.2,0.00013,0.09649,0.00134,7e-05,1,0,0,3e-05,6e-05,0,0,0.00136,0,8e-05,0,0,0.02708,0.00012,0,0.00805,0,0.00011,0,0,0,0,0,0,0.04297,0,0,0.0217,0.0111,0.02662,0,0.0039,0.052,0.01686,0,0.00125,0.01798,0.06499,0.02685,3e-05,0,0.01841,0.01813,0,0.00095,0.00012,2e-05,0,0.0002,0.00023,0,0,0.00029,0.00274,0,0,0.00411,0.03958,0,0.07579,0.04853,0,0,0
0.22,0.00013,0.10928,0.00169,0,1,0,0,4e-05,4e-05,0,0,0.00133,0,5e-05,0,0,0.02684,0,0,0.00646,0,0.00014,0,0,0,0,0,0,0.03736,0,0,0.01991,0.01025,0.02438,0,0.00047,0.04873,0.01898,0,0.0012,0.01764,0.06002,0.02781,1e-05,0,0.00964,0.01592,0,0.00103,0.0001,1e-05,0,3e-05,0.00011,0,0,0.00035,0.00231,0,0,0.0039,0.03422,0,0.06953,0.04439,0,0,0
0.24,0.00012,0.12236,0.00208,0,1,0,0,4e-05,2e-05,0,0,0.00129,0,1e-05,0,0,0.02637,0,0,0.00482,0,0.00016,0,0,0,0,0,0,0.03119,0,0,0.01782,0.0093,0.02161,0,0,0.04458,0.02105,0,0.00115,0.01686,0.05569,0.02886,0,0,0.00212,0.01355,0,0.00111,9e-05,1e-05,0,0,1e-05,0,0,0.00042,0.00188,0,0,0.00371,0.02811,0,0.06233,0.03957,0,0,0
0.26,0.00012,0.13556,0.00251,0,1,0,0,5e-05,0,0,0,0.00124,0,0,0,0,0.02569,0,0,0.00317,0,0.00019,0,0,0,0,0,0,0.02462,0,0,0.01549,0.00826,0.01845,0,0,0.03959,0.02305,0,0.0011,0.01563,0.05187,0.02994,0,0,0,0.01112,0,0.0012,7e-05,1e-05,0,0,0,0,0,0.00049,0.00142,0,0,0.00354,0.02133,0,0.05427,0.0342,0,0,0
0.28,0.00012,0.14874,0.00299,0,1,0,0,5e-05,0,0,0,0.00117,0,0,0,0,0.02485,0,0,0.00154,0,0.00021,0,0,0,0,0,0,0.01783,1,0,0.01299,0.00712,0.015,0,0,0.0338,0.02495,0,0.00105,0.01401,0.04846,0.031,0,0,0,0.00867,0,0.00128,6e-05,0,0,0,0,0,0,0.00055,0.00094,0,0,0.00339,0.01405,0,0.04536,0.02842,0,0,0
0.3,0.00011,0.16168,0.00351,0,1,0,0,6e-05,0,0,0,0.00108,0,0,0,0,0.02387,0,0,0,0,0.00025,0,0,0,0,0,0,0.01097,0,0,0.01035,0.00588,0.01137,0,0,0.02728,0.02671,0,0.001,0.01202,0.04532,0.03198,0,0,0,0.00622,0,0.00135,5e-05,0,0.00044,0,0,0,0,0.00061,0.00041,0,0,0.00324,0.00639,0,0.03566,0.02234,0,0,0
0.32,0.00011,0.17416,0.00407,0,1,0,0,6e-05,0,0,0,0.00098,0,0,0,0,0.0228,0,3e-05,0,0,0.00028,0,0,0,0,0.02691,0,0.00417,0,0,0.0076,0.00453,0.00763,0,0,0.02012,0.02829,0,0.00094,0.00971,0.04233,0.03283,0,0,0,0.00381,0,0.00143,4e-05,0,0.00359,0,0,0,0,0.00067,0,0,0,0.00308,0,0,0.02525,0.01602,0,0,0
0.34,0.00011,0.18592,0.00467,0,1,0,0,6e-05,0,0,0,0.00087,0,0,0,0,0.02168,0,0.00024,0,0,0.00032,0,0,0,0,0.06283,0.6781,0,0,0,0.00479,0.00308,0.00387,0,0,0.01242,0.02965,0,0.00089,0.00713,0.03937,0.03349,0,0,0,0.00147,0,0.00149,2e-05,0,0.00694,0,0,0,0,0.00072,0,8e-05,0,0.00289,0,0,0.01424,0.00958,0,0,0
0.36,0.0001,0.19664,0.00531,0,1,0,0,6e-05,0,0,0.01022,0.00074,0,0,0,0,0.02053,0,0.00045,0,0,0.00035,0,0.00066,0,0,0.10418,0,0,0,0,0.00196,0.00153,0.00012,0,0,0.0043,0.03077,0,0.00087,0.00435,0.03634,0.03389,0,0,0,0,0.0076,0.00154,1e-05,0,0.01046,0,0,0,0,0.00078,0,0.003,0,0.00265,0,0,0.00283,0.00308,0,0,0
