T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0,0.00735,0.00128,0.00493,1e-05,0,0,1,0.00108,0,4e-05,0,0,0,0,0.00116,0.00227,0,0.01972,0.00262,0,0,0,0.06806,0,0,0.11014,0.00837,0,0.04139,1e-05,0.0126,0.00692,0,0.00075,0,8e-05,0,0.0098,0.03287,0,0.00752,0,0,0.00456,1e-05,0,0,0,0,0.00378,0.00159,0,0.08571,0,0.02335,7e-05,0,0,0,0,0,0.00309,0.00141,0
0.02,0,0,0,0,0.00768,0.00126,0.00441,1e-05,0,0,1,0.00025,0,6e-05,0,0,0,0,0.00107,0.00243,0,0.02269,0.00281,0,0,0,0.05964,0,0,0.10104,0.00684,0,0.04166,1e-05,0.01111,0.00557,0,0.00078,0,0.0001,0,0.00706,0.02747,0,0.008,0,0,0.00533,2e-05,0,0,0,0,0.00317,0.0021,0,0.07592,0,0.02414,8e-05,0,0.00037,0,0,0,0.00409,0.0015,0
0.04,0,0,0,0,0.00798,0.00124,0.00379,1e-05,0,0,1,0,0,8e-05,0,0,0,0,0.00102,0.00257,0,0.02541,0.00299,0,0,0,0.05101,0,0,0.09168,0.00494,0,0.04169,2e-05,0.00963,0.00419,0,0.00074,0,0.00012,0,0.00451,0.02223,0,0.00842,0,0,0.00609,2e-05,0,0,0,0,0.00267,0.00267,0,0.06617,0,0.02481,8e-05,0,0.00081,0.00043,0,0,0.00502,0.00158,0
0.06,0,0,0,0,0.00824,0.00122,0.00306,2e-05,0,0,1,0,0,9e-05,0,0,0,0,0.00102,0.00269,0,0.02786,0.00315,0,0,0,0.04217,0,0,0.0821,0.00263,0,0.04144,3e-05,0.00814,0.0028,0,0.00062,0,0.00014,0,0.00217,0.01722,0,0.00878,0,0,0.00679,3e-05,0,0,0,0,0.00231,0.0033,0,0.05654,0,0.02534,9e-05,0,0.00132,0.00145,0,0,0.00584,0.00165,0
0.08,0,0.0002,0,0,0.00847,0.0012,0.00223,2e-05,0,0,1,0,0,0.00012,0,0,0,0,0.00106,0.00279,0,0.02995,0.00329,0,0,0,0.03307,0,0,0.07234,0,0,0.04086,3e-05,0.00665,0.00141,0,0.00042,0,0.00016,0,8e-05,0.01251,0,0.00905,0,0,0.00745,3e-05,0,0,0,0,0.00212,0.004,0,0.04711,0,0.0257,0.0001,0,0.0019,0.00235,0,0,0.00652,0.0017,0
0.1,0,0.00067,0,0,0.00865,0.00118,0.0013,3e-05,0,0,1,0,0,0.00014,0,0,0,0,0.00114,0.00286,0,0.03164,0.0034,0,0,0,0.02364,0,0,0.06245,0,0,0.0399,4e-05,0.00511,3e-05,0,0.00011,0,0.00018,0,0,0.00814,0,0.00922,0,0,0.00805,4e-05,0,0,0,0,0.00211,0.00477,0,0.03796,0,0.02585,0.0001,0,0.00257,0.00308,0,0,0.00702,0.00174,0
0.12,0,0.00122,0,0,0.00876,0.00117,0.00028,3e-05,0,0,1,0,0,0.00016,0,0,0,0,0.00126,0.00288,0,0.03286,0.00347,0,0,0,0.01376,0,0,0.05247,0,0,0.03851,5e-05,0.00352,0,0,0,0,0.0002,0,0,0.00415,0,0.00925,0,0,0.00857,4e-05,0,0,0,0,0.00229,0.0056,0,0.02914,0,0.02576,0.0001,0,0.00332,0.00361,0,0,0.00732,0.00175,0
0.14,0,0.00185,0,0,0.0088,0.00115,0,3e-05,0,0,0.89566,0,0.00362,0.00019,0,0,0,4e-05,0.00141,0.00286,0,0.03357,0.00349,0,0,0,0.00329,0,0,0.04246,0,0,0.03662,5e-05,0.00183,0,0,0,0,0.00022,0,0,0.00057,0,0.00914,0,0,0.009,4e-05,0,0,0,0,0.00268,0.0065,0,0.0207,0,0.0254,0.0001,0,0.00416,0.00388,0,0,0.00736,0.00173,0
0.16,0,0.00257,0,0,0.00876,0.00113,0,4e-05,0,0,0.67829,0,0.00835,0.00022,0,0,0,0.00017,0.00159,0.00279,0,0.03371,0.00346,0,0,0,0,0,0,0.03244,0,0,0.03419,6e-05,0,0,0,0,0,0.00024,0,0,0,0,0.00884,0,0,0.00935,5e-05,0,0,0,0,0.00328,0.00745,0,0.01266,0,0.02473,0.0001,0,0.00509,0.00384,0,0,0.00711,0.00168,0
0.18,0,0.00339,0,0,0.00863,0.00111,0,4e-05,0,0,0.48639,0,0.0126,0.00024,0,0,0,0.00032,0.00177,0.00265,0,0.03323,0.00335,0,0,0,0,0,0,0.02245,0,0,0.03116,6e-05,0,0,0,0,0,0.00026,1e-05,0,0,0,0.00833,0,0,0.0096,5e-05,0.0003,0,0,0,0.00411,0.00847,0,0.00506,0,0.02371,0.0001,0,0.00611,0.00344,0,0,0.00652,0.00159,0
