T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.031,0.00014,-0.00982,-0.03771,-0.06171,0.01202,0.05595,-0.01287,-0.10379,-0.24158,0.01003,0.00378,0.61808,-0.59057,1.79017,0.05468,-8.43233,-1.67596,-1.71378,0.50025,0.13634,-0.48261,0.24646,0.48395,-0.17785,0.04507,0.16854,0.01984,0.13802,-0.05049,-0.00182,-0.00365,-0.00767,0.1326,0.02742,0.12996,-0.01086,0.00857,-0.00657,-0.00376
0.02,0.03724,-9e-05,-0.01237,-0.04287,-0.06047,0.01639,0.03903,-0.00855,-0.11471,-0.2881,0.00719,0.00366,0.66565,-0.68021,2.05471,0.07494,-9.74933,-1.94111,-1.98354,0.49795,0.15999,-0.51776,0.29403,0.53628,-0.19272,0.05351,0.18551,0.0265,0.18354,-0.06146,-0.00269,-0.00587,-0.00946,0.14211,0.02846,0.13973,-0.01169,0.00902,-0.00718,-0.00377
0.04,0.04556,-0.00042,-0.01607,-0.04875,-0.05598,0.0226,0.00942,-0.00184,-0.12675,-0.34712,0.00242,0.0032,0.71375,-0.78827,2.37178,0.10272,-11.3345,-2.2606,-2.30864,0.47937,0.19024,-0.55339,0.35506,0.58993,-0.2064,0.06337,0.20402,0.03512,0.24069,-0.07551,-0.00366,-0.00864,-0.01159,0.15117,0.02852,0.14568,-0.01217,0.00894,-0.00762,-0.0035
0.06,0.05601,-0.00083,-0.02115,-0.05556,-0.0473,0.03073,-0.03523,0.00726,-0.13914,-0.41759,-0.00489,0.00229,0.76077,-0.90837,2.72125,0.13998,-13.06667,-2.60967,-2.6647,0.44607,0.22726,-0.58964,0.42988,0.63968,-0.21753,0.07413,0.22275,0.04552,0.3061,-0.092,-0.00463,-0.01177,-0.01391,0.15863,0.02742,0.14588,-0.01204,0.00805,-0.00774,-0.00289
0.08,0.06841,-0.00128,-0.02774,-0.06331,-0.03343,0.04071,-0.09698,0.01862,-0.15069,-0.49676,-0.01524,0.00081,0.80294,-1.0308,3.07311,0.18801,-14.77614,-2.9538,-3.0174,0.39911,0.27036,-0.62501,0.51709,0.67787,-0.22398,0.08495,0.23962,0.05724,0.37466,-0.10994,-0.00546,-0.015,-0.01614,0.1629,0.02493,0.13768,-0.01102,0.00604,-0.00737,-0.00184
0.1,0.08239,-0.00176,-0.03588,-0.07162,-0.01343,0.05237,-0.1774,0.03203,-0.15983,-0.58032,-0.02899,-0.00137,0.83432,-1.14357,3.3909,0.2468,-16.26678,-3.25322,-3.32692,0.33844,0.31794,-0.65614,0.61336,0.69478,-0.22288,0.09462,0.25203,0.06961,0.43986,-0.12807,-0.00596,-0.01796,-0.018,0.1621,0.02062,0.11775,-0.00875,0.00257,-0.00631,-0.00025
0.12,0.09742,-0.00222,-0.04551,-0.0797,0.01339,0.06542,-0.27738,0.04717,-0.16478,-0.66257,-0.0462,-0.00435,0.84731,-1.23371,3.63581,0.31468,-17.3396,-3.46774,-3.55258,0.26283,0.36754,-0.67801,0.7135,0.67929,-0.21079,0.1016,0.2572,0.08169,0.49414,-0.14496,-0.00591,-0.02023,-0.01915,0.15438,0.01396,0.08216,-0.00487,-0.00275,-0.00431,0.002
0.14,0.11286,-0.00264,-0.05649,-0.08629,0.04724,0.07949,-0.39686,0.06361,-0.16379,-0.73694,-0.06656,-0.00823,0.83361,-1.28877,3.77133,0.38809,-17.81789,-3.56175,-3.658,0.17042,0.416,-0.68454,0.81062,0.61985,-0.18394,0.1041,0.25257,0.09237,0.52932,-0.15919,-0.00505,-0.02134,-0.01926,0.1383,0.00426,0.0266,0.001,-0.01029,-0.00114,0.00503
0.16,0.12803,-0.003,-0.06857,-0.08969,0.08764,0.09415,-0.53467,0.08081,-0.15533,-0.79653,-0.08932,-0.01304,0.78548,-1.29844,3.76821,0.46148,-17.57241,-3.50926,-3.61609,0.05943,0.45974,-0.66953,0.89658,0.50581,-0.13866,0.10024,0.23634,0.1004,0.53714,-0.1695,-0.00312,-0.02076,-0.01803,0.11323,-0.00919,-0.0532,0.00919,-0.02039,0.00346,0.00893
0.18,0.14227,-0.00326,-0.08148,-0.08784,0.13315,0.10897,-0.68828,0.09811,-0.13834,-0.83483,-0.11322,-0.01878,0.69705,-1.25603,3.60908,0.5275,-16.54338,-3.29829,-3.41356,-0.07094,0.49511,-0.62767,0.96256,0.32875,-0.0718,0.08816,0.208,0.10452,0.50999,-0.17491,0.00015,-0.01801,-0.01523,0.07983,-0.02705,-0.16103,0.01995,-0.03332,0.00966,0.01379
