T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.01969,-0.00146,-0.0001,-0.00101,-0.001,-0.00011,0.00051,-0.00042,-6e-05,0.0008,-3e-05,-2e-05,-4e-05,0.00055,0.00188,0.00053,0.00122,8e-05,-5e-05,0.00012,0.02886,-0.00789,0.00688,0.05055,-0.01658,0.00263,0.00864,-0.00416,0.006,-0.00117,-0.00296,0.00011,0.0001,0.0001
0.02,-0.02001,-0.00128,-6e-05,-0.00104,-0.00099,-0.00011,0.00053,-0.00042,-7e-05,0.0008,-3e-05,-2e-05,-4e-05,0.00046,0.00186,0.00051,0.0012,8e-05,-5e-05,0.00012,0.02967,-0.00596,0.00662,0.05073,-0.01663,0.00273,0.00879,-0.0043,0.00583,-0.00113,-0.00299,0.00011,0.0001,0.0001
0.04,-0.02033,-0.00104,-1e-05,-0.00108,-0.00098,-0.00011,0.00055,-0.00042,-7e-05,0.00081,-3e-05,-2e-05,-5e-05,0.00037,0.00184,0.0005,0.00119,7e-05,-4e-05,0.00012,0.03049,-0.00403,0.00638,0.05093,-0.01669,0.00283,0.00895,-0.00445,0.00567,-0.00107,-0.00303,0.00011,0.0001,0.0001
0.06,-0.02063,-0.00073,6e-05,-0.00111,-0.00096,-0.0001,0.00056,-0.00043,-7e-05,0.00081,-3e-05,-2e-05,-5e-05,0.00027,0.00181,0.00048,0.00117,7e-05,-4e-05,0.00012,0.03131,-0.00209,0.00613,0.05112,-0.01674,0.00293,0.0091,-0.00461,0.0055,-0.00101,-0.00306,0.00011,0.0001,0.0001
0.08,-0.02091,-0.00038,0.00014,-0.00115,-0.00094,-0.0001,0.00056,-0.00043,-7e-05,0.00081,-3e-05,-2e-05,-5e-05,0.00017,0.00177,0.00047,0.00116,7e-05,-4e-05,0.00012,0.0321,-0.00013,0.00587,0.05126,-0.01676,0.00303,0.00925,-0.00476,0.00533,-0.00095,-0.0031,0.00011,0.0001,0.0001
0.1,-0.02118,-1e-05,0.00024,-0.00119,-0.00092,-9e-05,0.00056,-0.00043,-7e-05,0.0008,-3e-05,-1e-05,-5e-05,7e-05,0.00173,0.00045,0.00114,7e-05,-4e-05,0.00012,0.03282,0.00184,0.00561,0.0513,-0.01675,0.00313,0.00938,-0.00492,0.00517,-0.00088,-0.00313,0.00011,9e-05,0.0001
0.12,-0.02143,0.00038,0.00034,-0.00123,-0.0009,-9e-05,0.00057,-0.00043,-7e-05,0.0008,-3e-05,-1e-05,-6e-05,-3e-05,0.00168,0.00044,0.00113,7e-05,-4e-05,0.00011,0.03344,0.00381,0.00533,0.05116,-0.01669,0.00321,0.00947,-0.00508,0.00503,-0.00081,-0.00316,0.0001,9e-05,0.0001
0.14,-0.02167,0.00075,0.00045,-0.00127,-0.00088,-8e-05,0.00058,-0.00043,-7e-05,0.0008,-3e-05,-1e-05,-6e-05,-0.00012,0.00162,0.00042,0.00111,7e-05,-3e-05,0.00011,0.03386,0.00573,0.00502,0.05076,-0.01653,0.00328,0.00951,-0.00523,0.00489,-0.00074,-0.00319,0.0001,9e-05,0.0001
0.16,-0.0219,0.00111,0.00055,-0.0013,-0.00086,-8e-05,0.00059,-0.00042,-7e-05,0.0008,-3e-05,-1e-05,-6e-05,-0.00021,0.00156,0.0004,0.0011,7e-05,-3e-05,0.00011,0.03401,0.00756,0.00469,0.05,-0.01626,0.00331,0.00949,-0.00537,0.00477,-0.00067,-0.00322,0.0001,9e-05,0.0001
0.18,-0.02211,0.00143,0.00065,-0.00133,-0.00084,-7e-05,0.00061,-0.0004,-6e-05,0.0008,-3e-05,-0,-6e-05,-0.00028,0.00149,0.00038,0.00109,7e-05,-3e-05,0.00011,0.03383,0.00927,0.00431,0.04875,-0.01584,0.00332,0.00937,-0.00552,0.00467,-0.0006,-0.00325,0.0001,9e-05,0.0001
