T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0,0.012,0.00417,0,0,0,0.01387,0.00347,0.00168,0,0,0.02288,0.00622,0.00887,0,0.00404,0.00389,0,0,0.01536,0,0.01347,0,0,0,0.03173,0,0,0.01149,0.008,0.00741,0.04572,0.00906,0.00549,0.02289,0,0,0.00277,0.00344,0.0022,0,0,0,0.00629,0.00821,0,0,0,0.00883,0,0,0.02642,0.01266,0,0.01656,0,0.00637,0.00494,0.02151,0,0.06608,0.02119,0,0,0
0.02,0,0,0,0,0.01203,0.00415,0,0,0,0.0137,0.00349,0.00169,0,0,0.02294,0.00624,0.00894,0,0.00406,0.00397,0,0,0.01513,0,0.01347,0,0,0,0.03164,0,0,0.01151,0.00797,0.00737,0.04585,0.00882,0.00562,0.0228,0,0,0.00291,0.00345,0.00224,0,0,0,0.00625,0.0082,0,0,0,0.00872,0,0,0.02676,0.01278,0,0.01653,0,0.00637,0.00494,0.02183,0,0.06558,0.02118,0,0,0
0.04,0,0,0,0,0.01208,0.00414,0,0,0,0.01355,0.00349,0.0017,0,0,0.02299,0.00625,0.00906,0,0.00408,0.00409,0,0,0.0149,0,0.01347,0,0,0,0.03152,0,0,0.01154,0.00795,0.00733,0.04591,0.0085,0.00576,0.02268,0,0,0.00304,0.00344,0.00226,0,0,0,0.00622,0.00815,0,0,0,0.00861,0,0,0.02709,0.01291,0,0.0165,0,0.00636,0.00494,0.02214,0,0.06512,0.02117,0,0,0
0.06,6e-05,1e-05,4e-05,0.00021,0.0122,0.00427,3e-05,2e-05,0.00022,0.01343,0.00372,0.00176,0.00041,5e-05,0.0231,0.00632,0.00924,0.00041,0.00441,0.00455,7e-05,1e-05,0.01489,4e-05,0.01352,4e-05,0.00149,0.00016,0.03146,8e-05,1e-05,0.01162,0.00803,0.00733,0.04593,0.00811,0.00596,0.02267,6e-05,0.00013,0.00317,0.00347,0.00262,3e-05,0.00028,0.00016,0.00655,0.00809,2e-05,4e-05,3e-05,0.00886,0.00095,0.00034,0.02748,0.01307,0.00013,0.01653,1e-05,0.00641,0.00536,0.02256,8e-05,0.0648,0.02117,2e-05,9e-05,0.00016
0.08,6e-05,1e-05,4e-05,0.00018,0.01231,0.0043,0.00014,4e-05,0.00019,0.0133,0.00385,0.00181,0.00033,4e-05,0.02325,0.00641,0.00945,0.00044,0.00438,0.00478,6e-05,2e-05,0.01478,3e-05,0.01366,5e-05,0.00129,0.00013,0.03129,0.00024,2e-05,0.01169,0.00804,0.0075,0.04582,0.00765,0.00614,0.02249,8e-05,0.00015,0.00334,0.00347,0.00257,3e-05,0.00045,0.00028,0.00646,0.00797,4e-05,7e-05,5e-05,0.00879,0.00082,0.00038,0.02778,0.01322,0.00021,0.01649,5e-05,0.00642,0.0053,0.02282,6e-05,0.06465,0.02117,3e-05,0.00011,0.0009
0.1,0,0,0,0,0.01232,0.00416,0,0,8e-05,0.01314,0.00346,0.00172,0,0,0.02336,0.00636,0.00963,0,0.0041,0.00469,0,0,0.01421,0,0.01354,0,0.00081,5e-05,0.03106,0,0,0.0116,0.00788,0.00728,0.04559,0.0071,0.00629,0.0222,0,0,0.00334,0.00334,0.00236,0,0,0,0.00615,0.00783,0,0,0,0.00833,0,0,0.02803,0.01336,0,0.0164,2e-05,0.00634,0.00517,0.023,0,0.06382,0.02112,0,0,0.00031
0.12,0,0,0,0,0.01242,0.00418,0,0,1e-05,0.01302,0.00348,0.00173,0,0,0.02366,0.00644,0.00987,0,0.00409,0.00493,0,0,0.01401,0,0.01349,0,0.00032,0,0.03089,0,0,0.01162,0.00786,0.00715,0.0453,0.00651,0.00648,0.022,0,0,0.00341,0.00327,0.0022,0,0,0,0.00612,0.00772,0,0,0,0.00824,0,0,0.02831,0.01351,0,0.01636,0,0.00634,0.00503,0.0232,0,0.0634,0.0211,0,0,0
0.14,0,0,0,0,0.01252,0.0042,0,0,0,0.0129,0.00356,0.00175,0,0,0.02409,0.00657,0.01011,0,0.00407,0.00517,0,0,0.01382,0,0.01348,0,0.00034,0,0.03073,0,0,0.01164,0.00784,0.00711,0.0449,0.00586,0.00665,0.02177,0,0,0.00347,0.00321,0.00216,0,0,0,0.00607,0.00763,0,0,0,0.00815,0,0,0.02856,0.01365,0,0.01632,0,0.00633,0.00503,0.0234,0,0.06297,0.02108,0,0,0
0.16,0,0,0,0,0.01262,0.00422,0,0,0,0.01279,0.00375,0.00177,0,0,0.02466,0.00674,0.01035,0,0.00403,0.00541,0,0,0.01367,0,0.01349,0,3e-05,0,0.03059,0,0,0.01166,0.00782,0.00708,0.04439,0.00517,0.00679,0.02152,0,0,0.00352,0.00314,0.00212,0,3e-05,0,0.00601,0.00759,0,0,0,0.00806,0,0,0.02877,0.01377,0,0.01628,0,0.00631,0.00493,0.02356,0,0.06253,0.02106,0,0,0
0.18,0,0,0,5e-05,0.01273,0.00425,0,0,0,0.01269,0.00467,0.00204,0.00109,0,0.02543,0.00697,0.01052,3e-05,0.004,0.00562,0,0,0.01353,0,0.0135,0,0.00064,1e-05,0.0305,1e-05,0,0.01169,0.00799,0.00705,0.04384,0.00441,0.00689,0.02129,0,1e-05,0.00356,0.00309,0.00211,0,0.00075,0.00075,0.00689,0.00765,0,0,0,0.00798,8e-05,2e-05,0.029,0.01385,1e-05,0.01624,0,0.00631,0.0051,0.02376,1e-05,0.06204,0.02103,0,0.00016,2e-05
