T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.8183,-0.00187,-0.00878,-0.00133,0.01956,-0,0.01514,-0.002,0.05179,-0.00012,0.3666,0.04165,-0.02351,-0.36988,0.18495,-0.02053,0.15353,0.08288,-0.04699,-0.01504,0.07116,0.01098,-0.04474,-0.06378,-0.00709,0.00241,0.00109,0.14896,-0.18113,-0.07001,0.02628,0.00483,-0.00123,-0.00079
0.02,0.86113,-0.0019,-0.00734,-0.00137,0.01954,1e-05,0.01646,-0.0018,0.05357,0.00233,0.41537,0.04394,-0.01565,-0.36834,0.20632,-0.0074,0.15912,0.13086,-0.03491,-0.00926,0.10699,0.01058,-0.04303,-0.08333,-0.007,0.0025,0.00112,0.17082,-0.18999,-0.0643,0.02591,0.00469,-0.0011,-0.0007
0.04,0.91604,-0.00197,-0.00542,-0.00132,0.0191,4e-05,0.01734,-0.0014,0.05314,0.00508,0.441,0.04483,-0.00828,-0.36085,0.2201,0.00206,0.16181,0.1628,-0.02492,-0.00387,0.14964,0.01048,-0.04079,-0.10309,-0.00679,0.00255,0.00113,0.20256,-0.2022,-0.05503,0.02533,0.0044,-0.0009,-0.00056
0.06,0.99071,-0.00216,-0.00327,-0.00113,0.01824,7e-05,0.01757,-0.00081,0.05029,0.00794,0.44191,0.04424,-0.00178,-0.34678,0.22603,0.00698,0.16176,0.17694,-0.01748,0.0009,0.19605,0.01126,-0.03774,-0.12062,-0.00647,0.00258,0.00113,0.24744,-0.21967,-0.04201,0.02481,0.00397,-0.00061,-0.00035
0.08,1.09261,-0.00269,-0.00118,-0.00073,0.01694,0.00011,0.01694,-0.00016,0.04505,0.01065,0.41834,0.04216,0.00353,-0.32554,0.22393,0.00689,0.15901,0.17311,-0.01271,0.00483,0.2407,0.01386,-0.03349,-0.13248,-0.00609,0.00258,0.0011,0.30851,-0.24408,-0.02528,0.02464,0.00343,-0.00021,-8e-05
0.1,1.22858,-0.00382,0.00059,-2e-05,0.0152,0.00016,0.01518,0.00029,0.03776,0.01285,0.37171,0.0386,0.00722,-0.29724,0.21262,0.00194,0.1532,0.15211,-0.01063,0.00758,0.27568,0.01984,-0.02779,-0.13427,-0.00568,0.00255,0.00105,0.38812,-0.27673,-0.00531,0.02521,0.00279,0.00028,0.00025
0.12,1.40299,-0.00598,0.00183,0.00111,0.013,0.00023,0.01207,0.00019,0.0291,0.01422,0.30916,0.03379,0.00951,-0.26201,0.19258,-0.00626,0.14386,0.11979,-0.00987,0.0092,0.29115,0.03167,-0.02057,-0.12073,-0.00531,0.00247,0.00098,0.48732,-0.31842,0.01685,0.02695,0.0021,0.00085,0.00063
0.14,1.61854,-0.00982,0.0025,0.00281,0.01036,0.0003,0.00737,-0.00079,0.02005,0.01439,0.23568,0.02795,0.00996,-0.22217,0.16054,-0.01536,0.12976,0.08042,-0.0098,0.0092,0.27767,0.05323,-0.01251,-0.08637,-0.00505,0.00235,0.00088,0.60518,-0.36885,0.0394,0.03037,0.00144,0.0015,0.00106
0.16,1.87311,-0.01633,0.00265,0.00525,0.00733,0.00037,0.00092,-0.00273,0.01167,0.01314,0.16065,0.02159,0.00875,-0.18028,0.11541,-0.02182,0.10986,0.04251,-0.00869,0.00763,0.22934,0.0902,-0.00499,-0.02618,-0.00501,0.00216,0.00075,0.73768,-0.4265,0.05985,0.03602,0.0009,0.00216,0.00149
0.18,2.15349,-0.02729,0.00233,0.0086,0.00409,0.00043,-0.00736,-0.00562,0.00485,0.01042,0.09761,0.01561,0.00689,-0.13799,0.05905,-0.02156,0.08391,0.0167,-0.00452,0.00514,0.14755,0.15022,9e-05,0.06307,-0.00529,0.0019,0.00061,0.8761,-0.4888,0.07503,0.0444,0.00061,0.00278,0.00187
