T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.00159,0,0.02227,0.00249,0.66322,0.00169,0.00617,0.00103,0.00137,0,0.02976,0.00459,0.01586,0.00154,0.05923,0.00456,0,0,0,0.02883,0.00255,0,0.05848,0.00058,7e-05,0.00307,0,0.00012,0,0.00251,0.00069,0.00024,0.00506,0.00414,0.00259,0,0.00856,0,0.01146,0.00516,0.00155,0.02015,0.00815,0.00102,0.02055,0.01744,0.00539,0,0.00074,0.00198,0.00146,0,0.00896,0,0,0.02056,0.00026,0.00022,0.00066,0.00573,0.00308,0,0.00102,0,0.00258,0.00039,0.00336,0.01008
0.02,0.0014,0,0.02045,0.00235,0.72062,0.00159,0.01061,0.00093,0.00121,0,0.0336,0.00388,0.01593,0.00155,0.05152,0.0033,0,0,0,0.02834,0.00343,0,0.05693,0.00051,0,0.00275,0,0,0,0.00224,0.00061,0.00032,0.00432,0.00351,0,0,0.00953,0,0.01116,0.00547,0.00137,0.02032,0.00856,0.00091,0.01836,0.0156,0.00383,0,0.00066,0.00177,0.00128,0,0.00798,0,0,0.02131,0,0,0.00059,0.00524,0.00309,0,0.00089,0,0.00243,0.00035,0.00298,0.009
0.04,0.00122,0,0.01851,0.00224,0.77697,0.00151,0.0155,0.00083,0.00106,0,0.03789,0.00318,0.0162,0.00159,0.04369,0.0021,0,0,0,0.02786,0.00445,0,0.05561,0.00045,0,0.00243,0,0,0,0.00198,0.00054,0.00042,0.00361,0.00287,0,0,0.01057,0,0.01074,0.00573,0.0012,0.02079,0.00914,0.00082,0.01623,0.01384,0.00223,0,0.00058,0.00156,0.00112,0,0.00704,0,0,0.02201,0,0,0.00053,0.00476,0.00307,0,0.00077,0,0.00225,0.00031,0.00262,0.00796
0.06,0.00105,0,0.01646,0.00218,0.8311,0.00145,0.02085,0.00074,0.00092,0,0.04262,0.00249,0.01667,0.00166,0.03583,0.00096,0,0,0,0.02735,0.00562,0,0.05455,0.00039,0,0.00214,0,0,0,0.00173,0.00047,0.00053,0.00294,0.00225,0,0,0.0117,0,0.01018,0.00593,0.00104,0.0216,0.0099,0.00075,0.01419,0.01217,0.0006,0,0.00051,0.00137,0.00096,0,0.00616,0,0,0.02265,0,0,0.00046,0.0043,0.00304,0,0.00066,0,0.00203,0.00027,0.00228,0.00698
0.08,0.00089,0,0.01432,0.00215,0.88168,0.00141,0.02665,0.00064,0.00079,0,0.04778,0.00183,0.01735,0.00176,0.02797,0,0,0,0,0.02681,0.00696,0,0.05378,0.00033,0,0.00186,0,0,0,0.0015,0.0004,0.00064,0.00231,0.00164,0,0,0.01289,0,0.00948,0.00603,0.00089,0.02275,0.01085,0.00069,0.01225,0.01061,0,0,0.00044,0.00118,0.00081,0,0.00533,0,0,0.02319,0,0,0.0004,0.00386,0.00298,0,0.00056,0,0.00176,0.00023,0.00196,0.00606
0.1,0.00075,0.00628,0.0121,0.00216,0.92713,0.00141,0.03292,0.00056,0.00066,0,0.05335,0.00118,0.01826,0.00189,0.0202,0,0,0,0,0.0262,0.00846,0,0.05333,0.00028,0,0.0016,0,0,0,0.00128,0.00034,0.00075,0.00172,0.00106,0,0,0.01413,0,0.00861,0.00605,0.00075,0.02427,0.01199,0.00065,0.01042,0.00915,0,0,0.00038,0.00101,0.00068,0,0.00455,0,0,0.02362,0,0,0.00035,0.00345,0.00291,0,0.00046,0,0.00144,0.0002,0.00167,0.00521
0.12,0.00061,0.02109,0.00983,0.00222,0.96571,0.00142,0.03965,0.00047,0.00055,0,0.05929,0.00057,0.01939,0.00205,0.01257,0,0,0,0,0.02548,0.01014,0,0.0532,0.00024,0,0.00137,0,0,0,0.00109,0.00029,0.00086,0.00119,0.00051,0,0,0.01541,0,0.00756,0.00596,0.00062,0.02614,0.01333,0.00063,0.00873,0.00781,0,0,0.00032,0.00086,0.00056,0,0.00382,0,0,0.02393,0,0,0.0003,0.00306,0.00283,0,0.00037,0,0.00108,0.00017,0.0014,0.00443
0.14,0.00049,0.03638,0.00756,0.00232,0.9954,0.00147,0.04683,0.00039,0.00045,0,0.06553,0,0.02075,0.00225,0.00514,0,0,0,0,0.02462,0.01198,0,0.0534,0.00019,0,0.00115,0.00023,0,0,0.00091,0.00024,0.00098,0.00072,1e-05,0,0,0.01671,0,0.00632,0.00576,0.0005,0.02836,0.01487,0.00063,0.00718,0.0066,0,0,0.00027,0.00072,0.00045,0,0.00315,0,0,0.02408,0,0,0.00025,0.0027,0.00273,0,0.00029,0,0.00068,0.00014,0.00115,0.00372
0.16,0.00038,0.05209,0.00532,0.00246,1,0.00154,0.05444,0.00031,0.00036,0,0.07202,0,0.02231,0.00248,0,0,0,0,0,0.02359,0.014,0,0.05393,0.00015,0,0.00095,0.00047,0,0,0.00075,0.00019,0.00108,0.00031,0,0,0,0.018,0,0.00487,0.00544,0.0004,0.0309,0.01659,0.00066,0.00578,0.00552,0,0,0.00023,0.00059,0.00035,0,0.00253,0,0,0.02406,0,0,0.00021,0.00237,0.00263,0,0.00022,0,0.00023,0.00012,0.00093,0.00308
0.18,0.00029,0.06819,0.00316,0.00265,1,0.00164,0.06246,0.00023,0.00028,0,0.07865,0,0.02407,0.00274,0,0,0.00122,0,0,0.02237,0.01619,0,0.05477,0.00012,0,0.00078,0.00067,0,0,0.0006,0.00015,0.00117,0,0,0,0,0.01925,0,0.0032,0.00498,0.00031,0.03372,0.01849,0.0007,0.00453,0.00456,0,0,0.00018,0.00047,0.00026,0,0.00195,0,0,0.02384,0,0,0.00017,0.00207,0.00253,0,0.00016,0,0,0.0001,0.00074,0.00251
