T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.02,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.04,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.06,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.08,-0,0,-0,0,0,0,-0,0,0,0,-0,0
0.1,-0,0,-0,0,0,0,0,0,0,0,0,0
0.12,-0,0,-0,0,0,0,0,0,0,0,0,0
0.14,-0,0,-0,0,0,0,0,0,0,0,0,0
0.16,0,0,-0,0,0,0,0,0,0,0,0,0
0.18,0,0,0,0,-0,0,0,0,0,0,0,0
0.2,0,0,0,0,-0,0,0,0,0,0,0,0
0.22,0,0,0,0,-0,0,0,0,0,0,0,0
0.24,0,0,0,0,-0,0,0,0,0,0,0,0
0.26,0,0,0,0,-0,0,0,0,0,0,0,0
0.28,0,0,0,0,-0,0,0,0,0,0,0,0
0.3,0,0,0,0,-0,0,0,0,0,0,0,0
0.32,0,0,0,0,-0,0,0,0,0,0,0,0
0.34,0,0,0,0,-0,0,0,0,0,0,0,0
0.36,0,0,0,0,-0,0,0,0,-0,0,0,0
0.38,0,0,0,0,-0,0,-0,0,-0,0,-0,0
0.4,0,0,0,0,-0,0,-0,0,-0,0,-0,0
0.42,0,0,0,0,-0,0,-0,0,-0,0,-0,0
0.44,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.46,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.48,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.5,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.52,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.54,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.56,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.58,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.6,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.62,-0,0,-0,0,0,0,-0,0,-0,0,-0,0
0.64,-0,0,-0,0,0,0,-0,0,0,0,-0,0
0.66,-0,0,-0,0,0,0,0,1e-05,0,0,0,0
0.68,-0,0,-0,0,0,0,0,8e-05,0,0,0,0
0.7,-0,0,-0,0,0,0,0,0.00018,0,0,0,0
0.72,0,0,0,0,-0,0,0,0.00031,0,0,0,0
0.74,0,0,0,0,-0,0,1e-05,0.00047,1e-05,0,0,0
0.76,0,0,0,0,-0,0,1e-05,0.00067,1e-05,0,1e-05,0
0.78,0,0,0,0,-0,0,1e-05,0.00089,1e-05,0,1e-05,0
0.8,0,0,0,0,-0,0,1e-05,0.00112,1e-05,0,1e-05,0
0.82,0,0,0,0,-0,0,1e-05,0.00134,1e-05,0,1e-05,0
0.84,0,0,0,0,-0,0,2e-05,0.00152,1e-05,0,2e-05,0
0.86,0,0,0,0,-0,0,2e-05,0.0016,1e-05,0,2e-05,0
0.88,0,0,0,0,-0,0,2e-05,0.00153,1e-05,0,2e-05,0
0.9,0,0,0,0,-0,0,1e-05,0.00124,1e-05,0,1e-05,0
0.92,0,0,0,0,-0,0,0,0.00062,-0,0,1e-05,0
0.94,0,0,0,0,-0,0,-1e-05,0,-2e-05,0,-0,0
0.96,0,0,0,0,-0,0,-3e-05,0,-4e-05,0,-2e-05,0
0.98,0,0,0,0,-0,0,-5e-05,0,-7e-05,0,-4e-05,0
1,-0,0,-0,0,0,0,-8e-05,0,-0.0001,0,-7e-05,0
1.02,-0,0,-0,0,0,0,-0.00012,0,-0.00014,0,-0.00011,0
1.04,-0,0,-0,0,0,0,-0.00017,0,-0.00018,0,-0.00015,0
1.06,-0,0,-0,0,0,0,-0.00022,0,-0.00023,0,-0.0002,0
1.08,-0,0,-0,0,0,0,-0.00028,0,-0.00027,0,-0.00026,0
1.1,-0,0,-0,0,0,0,-0.00032,0,-0.00031,0,-0.0003,0
1.12,-0,0,-0,0,0,0,-0.00036,0,-0.00032,0,-0.00034,0
1.14,-0,0,-0,0,0,0,-0.00037,0,-0.0003,0,-0.00036,0
1.16,-0,0,-0,0,0,0,-0.00034,0,-0.00024,0,-0.00034,0
1.18,-0,0,-0,0,0,0,-0.00025,0,-0.0001,0,-0.00027,0
1.2,-0,0,-0,0,0,0,-8e-05,0,0.00012,0,-0.00012,0
1.22,-0,0,-0,0,0,0,0.00019,0.01188,0.00044,0,0.00012,0
1.24,-0,0,-0,0,0,0,0.0006,0.04755,0.0009,0,0.00049,0
1.26,-0,0,-0,0,0,0,0.00116,0.0972,0.0015,0,0.001,0
1.28,0,1e-05,0,0,-0,0,0.00188,0.16244,0.00224,0,0.00166,0
1.3,0,8e-05,0,0,-0,0,0.00278,0.24382,0.00313,0,0.0025,0
1.32,0,0.00018,0,0,-0,0,0.00382,0.34017,0.00411,0,0.00348,0
1.34,0,0.00031,0,0,-0,0,0.00498,0.4478,0.00513,0,0.00458,0
1.36,1e-05,0.00047,0,0,-0,0,0.00616,0.56014,0.00608,0,0.00573,0
1.38,1e-05,0.00067,1e-05,0,-1e-05,0,0.00727,0.66925,0.00684,0,0.00684,0
1.4,1e-05,0.00089,1e-05,0,-1e-05,0,0.00823,0.76845,0.00731,0,0.00786,0
1.42,1e-05,0.00112,1e-05,0,-1e-05,0,0.00897,0.85376,0.0074,0,0.00873,0
1.44,1e-05,0.00134,1e-05,0,-1e-05,0,0.00944,0.92358,0.00706,0,0.00944,0
