T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-26.99829,0.71225,-0.03987,-0.91889,-0.58488,-0.05971,-0.14945,-0.23868,-0.01734,0.67625,-0.03462,0.02603,-0.0656,0.07802,0.76165,0.09936,0.81387,0.05202,0.01665,0.07084,22.00556,16.14618,-1.45929,26.79042,-14.54364,11.06282,6.4505,12.4745,-19.23409,2.52959,26.1353,-14.49538,2.9801,-1.82908
0.02,-26.83739,0.70861,0.04921,-0.91368,-0.58078,-0.05581,-0.16481,-0.23738,-0.01549,0.67146,-0.03402,0.02647,-0.06483,0.05314,0.77378,0.10298,0.81265,0.05134,0.01589,0.07018,22.06778,16.20702,-1.49087,26.76215,-14.56237,11.0761,6.43753,12.30628,-19.21128,2.52229,26.01324,-14.45677,3.04482,-1.82204
0.04,-26.66096,0.72937,0.1827,-0.90841,-0.57503,-0.05032,-0.17624,-0.23619,-0.01322,0.66659,-0.0333,0.027,-0.06395,0.01917,0.7893,0.10749,0.80828,0.0503,0.01502,0.06907,22.15916,16.29278,-1.52236,26.73931,-14.58046,11.08894,6.4241,12.12914,-19.16636,2.51235,25.88973,-14.4175,3.10881,-1.81514
0.06,-26.47711,0.77615,0.36525,-0.90376,-0.56751,-0.04316,-0.18009,-0.23571,-0.01067,0.66284,-0.03251,0.02757,-0.06308,-0.0244,0.80845,0.11297,0.80069,0.04892,0.01405,0.06753,22.27522,16.39838,-1.55281,26.72026,-14.59795,11.10095,6.41019,11.93801,-19.10455,2.50226,25.76251,-14.37751,3.17144,-1.80904
0.08,-26.30253,0.85241,0.59903,-0.901,-0.5579,-0.03433,-0.17162,-0.23692,-0.00811,0.66191,-0.03177,0.02812,-0.06239,-0.0771,0.83124,0.11946,0.79013,0.04728,0.01297,0.06561,22.40767,16.52431,-1.58204,26.70153,-14.61493,11.11195,6.3959,11.73106,-19.02491,2.49383,25.63122,-14.33663,3.23292,-1.80286
0.1,-26.15457,0.95513,0.8831,-0.90082,-0.54595,-0.02396,-0.14609,-0.24099,-0.00592,0.66575,-0.03119,0.02854,-0.06209,-0.13784,0.85763,0.12694,0.77698,0.04547,0.01178,0.06338,22.55707,16.66367,-1.60894,26.68769,-14.63057,11.12244,6.38225,11.50305,-18.92884,2.48892,25.49429,-14.29537,3.29309,-1.79613
0.12,-26.05797,1.08173,1.21364,-0.90539,-0.53265,-0.01242,-0.09689,-0.24915,-0.00459,0.67666,-0.03095,0.02868,-0.06244,-0.20526,0.88701,0.13531,0.76192,0.04366,0.01051,0.06097,22.70304,16.80689,-1.63246,26.6705,-14.64677,11.13148,6.3687,11.26619,-18.82741,2.49155,25.35581,-14.25274,3.35205,-1.7885
0.14,-26.04517,1.22282,1.58299,-0.91594,-0.51777,-8e-05,-0.01937,-0.26284,-0.0047,0.69713,-0.0312,0.02841,-0.06373,-0.27623,0.91893,0.14441,0.74577,0.04204,0.00918,0.05851,22.84658,16.94873,-1.6521,26.65709,-14.66065,11.14087,6.35722,11.012,-18.71891,2.50252,25.21548,-14.20931,3.41047,-1.77857
0.16,-26.14965,1.3686,1.9806,-0.93465,-0.50228,0.0125,0.09174,-0.28319,-0.00691,0.7297,-0.03213,0.02754,-0.06625,-0.34769,0.95247,0.15405,0.72956,0.04082,0.00781,0.05619,22.96195,17.08083,-1.66795,26.63943,-14.67337,11.15134,6.34868,10.73775,-18.60811,2.52311,25.07013,-14.16572,3.46933,-1.76516
0.18,-26.39218,1.5141,2.39433,-0.96523,-0.49022,0.02429,0.24587,-0.31074,-0.01183,0.77678,-0.03389,0.02591,-0.07031,-0.41874,0.98501,0.16387,0.71435,0.04023,0.00651,0.05416,23.02062,17.19079,-1.67789,26.60283,-14.69276,11.1584,6.33932,10.49911,-18.53154,2.56018,24.93258,-14.11913,3.52664,-1.75117
0.2,-26.84253,1.63044,2.806,-1.00525,-0.47546,0.03545,0.43393,-0.34726,-0.02021,0.84018,-0.03664,0.02333,-0.07613,-0.47936,1.01813,0.17363,0.70082,0.04044,0.00522,0.05247,23.06951,17.28012,-1.68604,26.59179,-14.69544,11.17587,6.34298,10.18249,-18.41443,2.59821,24.78807,-14.07476,3.58875,-1.72581
0.22,-27.55217,1.67565,3.19486,-1.05087,-0.45146,0.04618,0.64163,-0.39381,-0.03298,0.92178,-0.04054,0.01954,-0.08396,-0.52039,1.05505,0.18343,0.68964,0.04158,0.00372,0.0514,23.13426,17.35037,-1.69821,26.64329,-14.65918,11.21767,6.37261,9.65522,-18.18695,2.6219,24.61147,-14.03894,3.6655,-1.67521
0.24,-28.51556,1.64885,3.54593,-1.10849,-0.42936,0.05456,0.88387,-0.44548,-0.05006,1.02145,-0.04555,0.01461,-0.09388,-0.54487,1.08998,0.19249,0.68136,0.04369,0.00233,0.05074,23.18322,17.38147,-1.70907,26.72576,-14.60416,11.27068,6.41733,9.0703,-17.9416,2.64484,24.43921,-14.0036,3.74676,-1.61316
0.26,-29.70094,1.53815,3.84269,-1.18235,-0.41932,0.05886,1.16975,-0.49242,-0.07012,1.1388,-0.05163,0.00885,-0.10597,-0.55659,1.11704,0.19999,0.67642,0.04671,0.00133,0.05042,23.15531,17.35049,-1.71492,26.79492,-14.55286,11.32128,6.46445,8.54302,-17.76416,2.6771,24.28804,-13.96561,3.8243,-1.55113
0.28,-31.00959,1.29048,4.06373,-1.26904,-0.42286,0.0585,1.48567,-0.52156,-0.09141,1.27467,-0.05862,0.00258,-0.12045,-0.55997,1.13564,0.20593,0.67524,0.05059,0.00045,0.05161,22.88505,17.23326,-1.71964,26.77604,-14.51955,11.36456,6.50376,7.99205,-17.71046,2.72265,24.09156,-13.92989,3.91062,-1.48066
0.3,-32.61376,0.86403,4.19635,-1.3648,-0.44232,0.05296,1.82937,-0.52705,-0.11122,1.42068,-0.06654,-0.00343,-0.13652,-0.53512,1.14106,0.20742,0.67655,0.05478,0.00091,0.05144,22.88467,17.08637,-1.71918,26.92135,-14.44155,11.42149,6.57378,7.5157,-17.60545,2.74409,23.99968,-13.88575,3.97718,-1.41441
0.32,-34.74669,0.18431,4.23195,-1.46259,-0.4818,0.04163,2.19404,-0.50011,-0.12516,1.56553,-0.0756,-0.00817,-0.15305,-0.45837,1.12481,0.2,0.67726,0.05845,0.00477,0.04602,23.82265,16.97335,-1.71058,27.55371,-14.24813,11.50941,6.72114,7.26549,-17.25114,2.69674,24.21875,-13.83638,3.97039,-1.38196
0.34,-36.99317,-0.83238,4.15707,-1.55623,-0.54848,0.02382,2.55964,-0.4129,-0.1286,1.71174,-0.08549,-0.01067,-0.17054,-0.3617,1.09004,0.18638,0.67619,0.06124,0.01098,0.03937,25.04331,16.84575,-1.70404,28.34332,-14.00884,11.60267,6.89665,7.03271,-16.87743,2.6171,24.48827,-13.78385,3.93867,-1.35965
0.36,-39.02564,-2.18528,3.96044,-1.64045,-0.6427,-0.00011,2.90171,-0.24607,-0.11861,1.85776,-0.09557,-0.01013,-0.18904,-0.26856,1.04373,0.17007,0.67429,0.06337,0.0175,0.03441,26.04656,16.65787,-1.70281,29.03565,-13.78644,11.67465,7.05698,6.7301,-16.66553,2.53823,24.65846,-13.73235,3.90992,-1.33386
0.38,-41.02048,-3.82985,3.63442,-1.70653,-0.75725,-0.02879,3.18869,0.00534,-0.09375,1.9903,-0.10563,-0.00586,-0.20716,-0.16645,0.98571,0.15029,0.66713,0.06335,0.02534,0.02735,27.14665,16.41691,-1.70856,29.74431,-13.58257,11.71257,7.21246,6.50504,-16.57084,2.43756,24.89692,-13.73507,3.80516,-1.35635
0.4,-42.42904,-5.67082,3.20867,-1.76109,-0.88576,-0.06058,3.44115,0.32921,-0.05282,2.10963,-0.115,0.00272,-0.225,-0.06794,0.93455,0.13324,0.66819,0.06339,0.0305,0.02408,28.06094,16.17495,-1.71235,30.39799,-13.34575,11.73963,7.35455,6.07453,-16.52207,2.34756,24.91205,-13.65825,3.76811,-1.3272
0.42,-42.67155,-7.51242,2.73608,-1.81806,-1.01461,-0.09282,3.67655,0.69001,0.00204,2.2135,-0.12242,0.01576,-0.24199,0.01644,0.90853,0.12371,0.69708,0.06724,0.02856,0.03198,28.44871,15.96534,-1.6928,30.93785,-13.00287,11.78001,7.46775,5.13113,-16.42736,2.31022,24.38753,-13.31147,3.9783,-1.11524
0.44,-42.24726,-9.19655,2.21941,-1.86826,-1.12587,-0.12283,3.83896,1.06983,0.06538,2.28429,-0.12753,0.03254,-0.2557,0.09786,0.89156,0.11621,0.73571,0.07057,0.02548,0.04267,28.64682,15.74858,-1.66377,31.40936,-12.64277,11.77587,7.54653,3.83195,-16.26736,2.25571,23.58406,-12.90005,4.20571,-0.87404
