T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.02336,5e-05,-0.00023,-0.00073,-0.00047,-5e-05,-0.00019,-2e-05,-0,0.00051,-3e-05,2e-05,-1e-05,-0.00053,0.00069,8e-05,0.00053,-4e-05,4e-05,-6e-05,-0.00429,-0.00087,8e-05,-0.00249,0.00016,-7e-05,-5e-05,-0.00248,0.0026,-0.00045,-0.00245,0.00016,7e-05,5e-05
0.02,-0.0233,6e-05,-0.00021,-0.00073,-0.00047,-5e-05,-0.0002,-3e-05,-0,0.00051,-3e-05,2e-05,-1e-05,-0.00058,0.00071,9e-05,0.00051,-3e-05,4e-05,-6e-05,-0.00427,-0.00087,7e-05,-0.00249,0.00016,-7e-05,-5e-05,-0.00247,0.00262,-0.00044,-0.00246,0.00016,7e-05,5e-05
0.04,-0.02322,6e-05,-0.00018,-0.00072,-0.00047,-5e-05,-0.00022,-3e-05,-0,0.00051,-3e-05,2e-05,-2e-05,-0.00064,0.00071,9e-05,0.00048,-3e-05,4e-05,-5e-05,-0.00424,-0.00086,7e-05,-0.00249,0.00016,-7e-05,-5e-05,-0.00245,0.00264,-0.00043,-0.00246,0.00016,7e-05,5e-05
0.06,-0.02312,5e-05,-0.00014,-0.00071,-0.00048,-5e-05,-0.00024,-3e-05,-0,0.00051,-3e-05,2e-05,-2e-05,-0.0007,0.00071,9e-05,0.00045,-3e-05,3e-05,-4e-05,-0.00421,-0.00085,6e-05,-0.00248,0.00016,-7e-05,-5e-05,-0.00243,0.00267,-0.00042,-0.00246,0.00016,7e-05,5e-05
0.08,-0.023,2e-05,-0.00011,-0.0007,-0.00048,-5e-05,-0.00026,-4e-05,-1e-05,0.0005,-3e-05,2e-05,-2e-05,-0.00076,0.00069,9e-05,0.00043,-2e-05,3e-05,-3e-05,-0.00416,-0.00084,5e-05,-0.00248,0.00016,-7e-05,-5e-05,-0.0024,0.0027,-0.00041,-0.00246,0.00016,7e-05,5e-05
0.1,-0.02288,-1e-05,-8e-05,-0.00069,-0.00048,-5e-05,-0.00028,-4e-05,-1e-05,0.00049,-3e-05,2e-05,-2e-05,-0.0008,0.00067,9e-05,0.00041,-2e-05,3e-05,-3e-05,-0.00412,-0.00084,5e-05,-0.00248,0.00016,-7e-05,-5e-05,-0.00238,0.00274,-0.0004,-0.00247,0.00016,7e-05,5e-05
0.12,-0.02274,-6e-05,-5e-05,-0.00068,-0.00048,-5e-05,-0.0003,-3e-05,-1e-05,0.00049,-2e-05,2e-05,-2e-05,-0.00082,0.00064,8e-05,0.0004,-1e-05,3e-05,-2e-05,-0.00407,-0.00082,4e-05,-0.00247,0.00016,-7e-05,-5e-05,-0.00236,0.00277,-0.00038,-0.00247,0.00016,7e-05,5e-05
0.14,-0.02262,-0.0001,-5e-05,-0.00067,-0.00048,-5e-05,-0.00031,-3e-05,-1e-05,0.00048,-2e-05,2e-05,-2e-05,-0.00081,0.00063,7e-05,0.0004,-1e-05,3e-05,-1e-05,-0.00402,-0.00081,4e-05,-0.00246,0.00016,-7e-05,-5e-05,-0.00235,0.00281,-0.00037,-0.00248,0.00016,7e-05,6e-05
0.16,-0.02253,-0.00015,-5e-05,-0.00066,-0.00049,-5e-05,-0.00032,-3e-05,-1e-05,0.00048,-2e-05,2e-05,-2e-05,-0.00078,0.00063,7e-05,0.00041,-0,3e-05,1e-05,-0.00398,-0.0008,4e-05,-0.00245,0.00015,-6e-05,-4e-05,-0.00235,0.00285,-0.00036,-0.00248,0.00016,7e-05,6e-05
0.18,-0.02245,-0.00017,-7e-05,-0.00065,-0.00049,-5e-05,-0.00031,-4e-05,-1e-05,0.00048,-2e-05,2e-05,-2e-05,-0.00072,0.00065,7e-05,0.00045,1e-05,2e-05,2e-05,-0.00394,-0.00078,3e-05,-0.00244,0.00015,-6e-05,-4e-05,-0.00237,0.00289,-0.00036,-0.00249,0.00016,7e-05,6e-05
0.2,-0.02246,-0.00019,-8e-05,-0.00065,-0.00049,-5e-05,-0.00029,-5e-05,-2e-05,0.00049,-2e-05,2e-05,-2e-05,-0.00065,0.00069,8e-05,0.00048,1e-05,2e-05,3e-05,-0.00393,-0.00076,3e-05,-0.00243,0.00015,-6e-05,-4e-05,-0.00241,0.00292,-0.00036,-0.0025,0.00016,7e-05,6e-05
0.22,-0.02263,-0.00021,-8e-05,-0.00066,-0.0005,-5e-05,-0.00024,-9e-05,-2e-05,0.00052,-2e-05,2e-05,-3e-05,-0.0006,0.00073,9e-05,0.00051,2e-05,2e-05,3e-05,-0.00395,-0.00074,4e-05,-0.00241,0.00014,-6e-05,-4e-05,-0.00248,0.00295,-0.00036,-0.00251,0.00016,7e-05,6e-05
0.24,-0.02292,-0.0002,-7e-05,-0.00068,-0.0005,-5e-05,-0.00017,-0.00014,-3e-05,0.00056,-2e-05,2e-05,-4e-05,-0.00054,0.00076,0.0001,0.00054,2e-05,2e-05,2e-05,-0.004,-0.00072,4e-05,-0.0024,0.00014,-6e-05,-4e-05,-0.00258,0.00297,-0.00037,-0.00252,0.00016,7e-05,6e-05
0.26,-0.0233,-0.00015,-5e-05,-0.00071,-0.0005,-5e-05,-7e-05,-0.0002,-3e-05,0.00061,-2e-05,1e-05,-5e-05,-0.00045,0.00078,0.00011,0.00059,3e-05,1e-05,2e-05,-0.00408,-0.0007,5e-05,-0.0024,0.00014,-6e-05,-3e-05,-0.00271,0.00297,-0.00038,-0.00253,0.00016,7e-05,6e-05
0.28,-0.02377,-4e-05,-2e-05,-0.00076,-0.0005,-5e-05,6e-05,-0.00027,-4e-05,0.00068,-3e-05,1e-05,-6e-05,-0.00035,0.00081,0.00012,0.00064,3e-05,1e-05,2e-05,-0.0042,-0.00069,5e-05,-0.00239,0.00013,-6e-05,-3e-05,-0.00287,0.00297,-0.0004,-0.00254,0.00016,7e-05,6e-05
0.3,-0.02439,0.00015,2e-05,-0.00082,-0.00049,-5e-05,0.0002,-0.00034,-4e-05,0.00075,-3e-05,1e-05,-7e-05,-0.00023,0.00084,0.00012,0.00071,4e-05,0,2e-05,-0.00436,-0.00067,6e-05,-0.0024,0.00013,-6e-05,-3e-05,-0.00308,0.00295,-0.00042,-0.00255,0.00016,7e-05,6e-05
