T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.00064,0,0.00081,0.14206,0.00086,0.00109,0.01059,0,0.01309,0.00863,0,0,0,0.02111,0.04714,0.06896,0.02974,0.00133,0.04136,0,0.10622,0.01522,0,0.02365,0.00155,0,0,0.02592,0.00041,0.06072,0,0.002,0.02527,0.00213,0.03548,0.01386,0.03002,0,0,0.00075,0.1049,0.00045,0.00061,0.01697,0.04174,0.00268,0.00674,0,0.00057,0.00073,0.00046,1,0.00296,0.00967,0.00116,0,0.29045,0.00014,0.04848,0.00232,0.00077,0.00109,0.00584,0,0.00106,0,0,0
0.02,0.00196,0,0.00083,0.17217,0.00073,0.00093,0.01163,0,0.0108,0.00952,0,0,0,0.02139,0.05497,0.05962,0.02837,0.00084,0.03486,0,0.10238,0.01665,0,0.02328,0.0011,0,0,0.02007,0.00037,0.06179,0,0.00171,0.02545,0.00235,0.04122,0.01335,0.02654,0,0,0.00081,0.09266,0.00025,0.0005,0.01342,0.03867,0.00225,0.00634,0,0.00047,0.00067,0.00039,1,0.00253,0.00592,0.00103,0,0.26881,0,0.04831,0.00185,0.00055,0.00092,0.00512,0,0.00091,0,0,0
0.04,0.00355,0,0.00087,0.20513,0.00061,0.00079,0.0127,0,0.00864,0.01044,0,0,0,0.02168,0.06377,0.05067,0.02697,0.00048,0.02855,0,0.09881,0.01796,0,0.02293,0.00067,0,0,0.01429,0.00033,0.06285,0,0.00144,0.02518,0.0026,0.04688,0.01272,0.02319,0.01109,0,0.00089,0.0808,4e-05,0.00039,0.01006,0.03601,0.00185,0.00604,0,0.00038,0.00066,0.00033,1,0.00213,0.0023,0.00091,0,0.24682,0,0.04799,0.00142,0.00036,0.00078,0.00434,0,0.00078,0,0,0
0.06,0.00541,0,0.00094,0.24092,0.0005,0.00065,0.01379,0,0.00664,0.01138,0,0,0,0.02198,0.07351,0.0422,0.02558,0.00023,0.02251,0,0.09555,0.01916,0,0.02256,0.00027,0,0,0.00865,0.00031,0.06389,0,0.00119,0.02441,0.00291,0.0523,0.01197,0.02001,0.02303,0,0.00099,0.06943,0,0.00028,0.00693,0.03374,0.00149,0.00582,0,0.00031,0.00066,0.00027,1,0.00176,0,0.00079,0,0.22464,0,0.04751,0.00101,0.00017,0.00065,0.00351,0,0.00066,0,0,0
0.08,0.00757,0,0.00101,0.27948,0.0004,0.00053,0.01488,0,0.00483,0.01234,0,0,0,0.02228,0.08415,0.03432,0.02419,0.00012,0.01682,0,0.09262,0.02019,0,0.02217,0,0,0,0.00326,0.00029,0.06483,0,0.00096,0.02307,0.00325,0.05742,0.0111,0.01703,0.03436,0,0.00108,0.05868,0,0.00017,0.00407,0.03185,0.00115,0.00568,0,0.00024,0.00069,0.00022,1,0.00143,0,0.00067,0,0.20245,0,0.04684,0.00064,0,0.00053,0.00264,0,0.00055,0,0,0
0.1,0.01004,0,0.0011,0.32071,0.0003,0.00043,0.01594,0,0.00325,0.01328,0,0,0,0.02257,0.0956,0.02708,0.02281,0.00014,0.01154,0,0.09004,0.02104,0,0.02172,0,0,0,0,0.00027,0.06567,0,0.00076,0.02109,0.00365,0.06209,0.01013,0.01429,0.045,0,0.00118,0.04864,0,6e-05,0.0015,0.03034,0.00085,0.00563,0,0.00017,0.00075,0.00018,1,0.00113,0,0.00055,0,0.18041,0,0.04598,0.0003,0,0.00042,0.00174,0,0.00046,0,0,0
0.12,0.01284,0,0.00121,0.36444,0.00022,0.00033,0.01696,0,0.0019,0.01419,0,0,0,0.02286,0.10771,0.02055,0.02147,0.00031,0.00673,0,0.08779,0.02167,0,0.02117,0,0,0,0,0.00025,0.06632,0,0.00057,0.0184,0.00409,0.06612,0.00906,0.01183,0.05484,0,0.00128,0.03943,0,0,0,0.0292,0.00057,0.00567,0.00041,0.00012,0.00083,0.00014,1,0.00087,0,0.00043,0,0.1587,0,0.04489,0,0,0.00033,0.00083,0,0.00037,0,0,0
0.14,0.01597,0,0.00134,0.41042,0.00014,0.00025,0.0179,0,0.00083,0.01506,0,0,0,0.02314,0.12032,0.01475,0.02019,0.00064,0.00244,0,0.08586,0.02208,0,0.02047,0,0,0,0,0.00024,0.06674,0,0.00041,0.01495,0.00456,0.06935,0.00791,0.00967,0.06384,0,0.00137,0.0311,0,0,0,0.02841,0.00034,0.00578,0.00103,7e-05,0.00094,0.0001,1,0.00064,0,0.00031,0,0.13749,0,0.04357,0,0,0.00026,0,0,0.00029,0,0,0
0.16,0.01945,0,0.00148,0.45831,7e-05,0.00018,0.01873,0,5e-05,0.01585,0,0,0,0.02341,0.13318,0.00967,0.01898,0.00115,0,0,0.0842,0.02223,0,0.01957,0,0,0,0,0.00023,0.06683,0,0.00028,0.01067,0.00508,0.07156,0.00672,0.00783,0.07194,0,0.00146,0.02372,0,0,0,0.02791,0.00014,0.00598,0.00178,3e-05,0.00108,7e-05,0.95515,0.00044,0,0.00018,0,0.11696,0,0.042,0,0,0.0002,0,0,0.00023,0,0,0
0.18,0.02329,0,0.00163,0.50767,1e-05,0.00012,0.01942,0,0,0.01654,0,0,0,0.02365,0.14603,0.00529,0.01787,0.00184,0,0,0.08273,0.02212,0,0.01839,0,0,0,0,0.00022,0.06653,0,0.00016,0.0055,0.00563,0.07256,0.00553,0.00632,0.07919,0,0.00153,0.01729,0,0,0,0.02766,0,0.00624,0.00265,0,0.00125,5e-05,0.61566,0.00028,0,4e-05,0,0.09727,0,0.04017,0,0,0.00015,0,0,0.00017,0,0,0
