T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00082,3e-05,-0.00012,-3.02097,-0.52851,0.03107,0.77851,-0.02306,-0.14012,-0.21911,0.05586,-0.0067,-0.34421,-0.11188,-0.00732,0.47168,1.68583,0.14642,0.02075,-0.35125,0.12626,-0.05932,0.52045,-1.85213,0.28239,-0.02399,0.52684,-0.03639,-0.02943,-0.35525,-0.13331,-0.09546,-0.06298,0.60268,0.08221,0.08989,-0.42702,-0.11637,0.05093,0.03821
0.02,-0.00052,3e-05,-0.00031,-3.02157,-0.52844,0.03118,0.77768,-0.02273,-0.14054,-0.21959,0.05576,-0.0067,-0.34335,-0.1123,-0.00661,0.47097,1.68757,0.14716,0.02064,-0.35111,0.12704,-0.0618,0.52144,-1.85387,0.28344,-0.02386,0.52751,-0.03711,-0.03394,-0.3554,-0.13277,-0.09506,-0.06272,0.60329,0.08159,0.08654,-0.42718,-0.11652,0.0514,0.03843
0.04,-0.00021,3e-05,-0.00049,-3.02217,-0.52838,0.03129,0.77687,-0.0224,-0.14095,-0.22007,0.05566,-0.00671,-0.34249,-0.1127,-0.00594,0.47026,1.68945,0.14793,0.02055,-0.35096,0.12782,-0.06429,0.52243,-1.8556,0.28449,-0.02372,0.52819,-0.03783,-0.03844,-0.35555,-0.13224,-0.09467,-0.06246,0.6039,0.08097,0.0832,-0.42734,-0.11667,0.05187,0.03866
0.06,0.0001,3e-05,-0.00068,-3.02276,-0.52831,0.0314,0.77605,-0.02208,-0.14137,-0.22055,0.05556,-0.00671,-0.34163,-0.11311,-0.00524,0.46954,1.69122,0.14868,0.02044,-0.35081,0.1286,-0.06677,0.52342,-1.85734,0.28555,-0.02359,0.52886,-0.03854,-0.04294,-0.3557,-0.1317,-0.09427,-0.0622,0.60451,0.08034,0.07985,-0.4275,-0.11682,0.05234,0.03888
0.08,0.00041,4e-05,-0.00087,-3.02336,-0.52824,0.03151,0.77523,-0.02175,-0.14178,-0.22104,0.05546,-0.00672,-0.34077,-0.11354,-0.00447,0.46883,1.69275,0.14937,0.02029,-0.35067,0.12938,-0.06926,0.52441,-1.85907,0.2866,-0.02345,0.52953,-0.03926,-0.04745,-0.35585,-0.13116,-0.09388,-0.06194,0.60512,0.07972,0.0765,-0.42766,-0.11697,0.05281,0.0391
0.1,0.00072,4e-05,-0.00105,-3.02395,-0.52818,0.03162,0.77441,-0.02143,-0.14219,-0.22151,0.05536,-0.00672,-0.33991,-0.11388,-0.00402,0.46812,1.69535,0.15031,0.02032,-0.35052,0.13016,-0.07173,0.52539,-1.8608,0.28765,-0.02332,0.53021,-0.03997,-0.05193,-0.356,-0.13063,-0.09348,-0.06168,0.60573,0.0791,0.07317,-0.42782,-0.11712,0.05327,0.03932
0.12,0.00102,4e-05,-0.00124,-3.02455,-0.52811,0.03173,0.77359,-0.0211,-0.14261,-0.22201,0.05525,-0.00673,-0.33905,-0.11439,-0.00295,0.46741,1.69587,0.15076,0.02,-0.35038,0.13094,-0.07423,0.52639,-1.86255,0.2887,-0.02319,0.53087,-0.04069,-0.05646,-0.35615,-0.13009,-0.09308,-0.06142,0.60633,0.07847,0.0698,-0.42798,-0.11727,0.05374,0.03954
0.14,0.00133,4e-05,-0.00142,-3.02515,-0.52805,0.03184,0.77277,-0.02077,-0.14303,-0.22248,0.05516,-0.00673,-0.33819,-0.11476,-0.0024,0.46669,1.69816,0.15163,0.01998,-0.35023,0.13172,-0.07671,0.52737,-1.86428,0.28975,-0.02305,0.53154,-0.04141,-0.06094,-0.3563,-0.12955,-0.09269,-0.06116,0.60695,0.07785,0.06647,-0.42814,-0.11742,0.05421,0.03976
0.16,0.00164,4e-05,-0.00161,-3.02574,-0.528,0.03195,0.77196,-0.02045,-0.14343,-0.22291,0.05506,-0.00674,-0.33732,-0.11492,-0.00269,0.46597,1.70325,0.15318,0.02042,-0.35007,0.13248,-0.07915,0.52832,-1.86598,0.29078,-0.02292,0.53224,-0.04211,-0.06538,-0.35645,-0.12903,-0.0923,-0.06091,0.60758,0.07724,0.06319,-0.4283,-0.11758,0.05468,0.03998
0.18,0.00194,5e-05,-0.0018,-3.02635,-0.52787,0.03206,0.77112,-0.02012,-0.14389,-0.22358,0.05494,-0.00674,-0.33649,-0.11614,0.00125,0.46528,1.69416,0.15129,0.01852,-0.34996,0.13332,-0.08177,0.52943,-1.86783,0.2919,-0.02278,0.53283,-0.04286,-0.07013,-0.35661,-0.12846,-0.09189,-0.06064,0.60811,0.07658,0.05961,-0.42846,-0.11772,0.05515,0.04021
