T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-0.0097,0.50089,-0.00043,0.01015,0.00122,-0.01019,-0.0097,0.50089,-0.00044,0.01015,0.00122,-0.01019
0.02,-0.00962,0.50089,-0.00049,0.01016,0.00124,-0.01019,-0.00962,0.50089,-0.00049,0.01016,0.00124,-0.01019
0.04,-0.00955,0.5009,-0.00054,0.01016,0.00126,-0.01019,-0.00955,0.50089,-0.00055,0.01016,0.00126,-0.01019
0.06,-0.00947,0.5009,-0.0006,0.01017,0.00128,-0.01019,-0.00947,0.50089,-0.0006,0.01017,0.00128,-0.01019
0.08,-0.00939,0.5009,-0.00066,0.01018,0.00131,-0.01019,-0.00938,0.50089,-0.00066,0.01018,0.00131,-0.01019
0.1,-0.0093,0.50091,-0.00072,0.01018,0.00133,-0.01019,-0.0093,0.50089,-0.00071,0.01018,0.00133,-0.01019
0.12,-0.00922,0.50092,-0.00077,0.01018,0.00135,-0.01019,-0.00922,0.50088,-0.00077,0.01018,0.00135,-0.01019
0.14,-0.00913,0.50092,-0.00083,0.01019,0.00137,-0.01019,-0.00913,0.50088,-0.00082,0.01019,0.00137,-0.01019
0.16,-0.00905,0.50093,-0.00088,0.01019,0.00139,-0.01019,-0.00904,0.50087,-0.00088,0.01019,0.00139,-0.01019
0.18,-0.00896,0.50094,-0.00093,0.01019,0.00141,-0.01019,-0.00895,0.50087,-0.00093,0.01019,0.00141,-0.01019
0.2,-0.00887,0.50095,-0.00098,0.01019,0.00142,-0.01019,-0.00887,0.50086,-0.00098,0.01019,0.00142,-0.01019
0.22,-0.00878,0.50095,-0.00103,0.01019,0.00144,-0.01019,-0.00878,0.50086,-0.00102,0.01019,0.00144,-0.01019
0.24,-0.00869,0.50096,-0.00108,0.01019,0.00146,-0.01019,-0.00869,0.50086,-0.00107,0.01019,0.00146,-0.01019
0.26,-0.0086,0.50095,-0.00112,0.01019,0.00148,-0.01019,-0.0086,0.50086,-0.00111,0.01019,0.00148,-0.01019
0.28,-0.00851,0.50094,-0.00117,0.01019,0.0015,-0.01019,-0.00852,0.50088,-0.00116,0.01019,0.00149,-0.01019
0.3,-0.00842,0.50092,-0.00121,0.01019,0.00151,-0.01019,-0.00844,0.5009,-0.0012,0.01019,0.00151,-0.01019
0.32,-0.00833,0.50088,-0.00125,0.01019,0.00153,-0.01019,-0.00836,0.50094,-0.00125,0.01019,0.00153,-0.01019
0.34,-0.00823,0.50083,-0.00129,0.01019,0.00155,-0.01019,-0.00828,0.501,-0.0013,0.01019,0.00156,-0.01019
