T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,0,0,0,-0,-0,-0,-0.01019,0.99705,0.01019,-0,0.01019,-0
0.02,0,0,0,-0,-0,-0,-0.01019,0.99687,0.01019,-0,0.01019,-0
0.04,0,0,0,0,-0,0,-0.01019,0.99665,0.01019,0,0.01019,0
0.06,0,0,0,0,-0,0,-0.01018,0.99642,0.01018,0,0.01018,0
0.08,0,0,0,0,-0,0,-0.01018,0.99617,0.01018,0,0.01018,0
0.1,0,0,0,0,-0,0,-0.01018,0.99593,0.01018,0,0.01018,0
0.12,-0,0,-0,0,0,0,-0.01018,0.99574,0.01018,0,0.01018,0
0.14,-0,0,-0,0,0,0,-0.01018,0.99564,0.01018,0,0.01018,0
0.16,-0,0,-0,0,0,0,-0.01018,0.99569,0.01018,0,0.01018,0
0.18,-0,0,-0,0,0,0,-0.01018,0.99598,0.01018,0,0.01018,0
0.2,-0,0,-0,0,0,0,-0.01019,0.99658,0.01019,0,0.01019,0
0.22,-0,0,-0,0,0,0,-0.0102,0.99761,0.0102,0,0.0102,0
0.24,-0,0,-0,0,0,0,-0.01021,0.99916,0.01021,0,0.01021,0
0.26,-0,0,-0,0,0,0,-0.01024,1.00133,0.01024,0,0.01024,0
0.28,-0,0,-0,0,0,0,-0.01027,1.00419,0.01027,0,0.01027,0
0.3,-0,0,-0,-0,0,-0,-0.0103,1.00777,0.0103,-0,0.0103,-0
0.32,-0,0,-0,-0,0,-0,-0.01035,1.01201,0.01035,-0,0.01035,-0
0.34,-0,0,-0,-0,0,-0,-0.0104,1.01676,0.0104,-0,0.0104,-0
0.36,-0,0,-0,-0,0,-0,-0.01045,1.0217,0.01045,-0,0.01045,-0
0.38,-0,0,-0,-0,0,-0,-0.01049,1.02632,0.01049,-0,0.01049,-0
0.4,0,2e-05,0,-0,-0,-0,-0.01053,1.02985,0.01053,-0,0.01053,-0
0.42,0,9e-05,0,-0,-0,-0,-0.01054,1.03124,0.01054,-0,0.01054,-0
0.44,0,0.00018,0,-0,-0,-0,-0.01052,1.02913,0.01052,-0,0.01052,-0
0.46,0,0.00031,0,-0,-0,-0,-0.01045,1.02181,0.01045,-0,0.01045,-0
0.48,0,0.00047,0,-0,-0,-0,-0.0103,1.00728,0.0103,-0,0.0103,-0
0.5,1e-05,0.00066,1e-05,-0,-1e-05,-0,-0.01006,0.98334,0.01006,-0,0.01006,-0
0.52,1e-05,0.00088,1e-05,-0,-1e-05,-0,-0.00969,0.94772,0.00969,-0,0.00969,-0
0.54,1e-05,0.0011,1e-05,-0,-1e-05,-0,-0.00919,0.89833,0.00919,-0,0.00919,-0
0.56,1e-05,0.00132,1e-05,-0,-1e-05,-0,-0.00852,0.83368,0.00852,-0,0.00852,-0
0.58,2e-05,0.00148,2e-05,0,-2e-05,0,-0.0077,0.75332,0.0077,0,0.0077,0
0.6,2e-05,0.00156,2e-05,0,-2e-05,0,-0.00673,0.65853,0.00673,0,0.00673,0
0.62,2e-05,0.00148,2e-05,0,-2e-05,0,-0.00566,0.55312,0.00566,0,0.00566,0
0.64,1e-05,0.00117,1e-05,0,-1e-05,0,-0.00454,0.44372,0.00454,0,0.00454,0
0.66,1e-05,0.00055,1e-05,0,-1e-05,0,-0.00346,0.33831,0.00346,0,0.00346,0
0.68,-1e-05,0,-1e-05,0,1e-05,0,-0.00249,0.24353,0.00249,0,0.00249,0
0.7,-2e-05,0,-2e-05,0,2e-05,0,-0.00167,0.16318,0.00167,0,0.00167,0
0.72,-4e-05,0,-4e-05,0,4e-05,0,-0.00101,0.09854,0.00101,0,0.00101,0
0.74,-7e-05,0,-7e-05,0,7e-05,0,-0.0005,0.04916,0.0005,0,0.0005,0
0.76,-0.00011,0,-0.00011,0,0.00011,0,-0.00014,0.01355,0.00014,0,0.00014,0
0.78,-0.00015,0,-0.00015,0,0.00015,0,0.00011,0,-0.00011,0,-0.00011,0
0.8,-0.0002,0,-0.0002,0,0.0002,0,0.00025,0,-0.00025,0,-0.00025,0
0.82,-0.00025,0,-0.00025,0,0.00025,0,0.00033,0,-0.00033,0,-0.00033,0
0.84,-0.0003,0,-0.0003,0,0.0003,0,0.00035,0,-0.00035,0,-0.00035,0
0.86,-0.00034,0,-0.00034,-0,0.00034,-0,0.00034,0,-0.00034,-0,-0.00034,-0
0.88,-0.00035,0,-0.00035,-0,0.00035,-0,0.0003,0,-0.0003,-0,-0.0003,-0
0.9,-0.00033,0,-0.00033,-0,0.00033,-0,0.00025,0,-0.00025,-0,-0.00025,-0
0.92,-0.00025,0,-0.00025,-0,0.00025,-0,0.0002,0,-0.0002,-0,-0.0002,-0
0.94,-0.00011,0,-0.00011,-0,0.00011,-0,0.00015,0,-0.00015,-0,-0.00015,-0
0.96,0.00014,0.01346,0.00014,-0,-0.00014,-0,0.00011,0,-0.00011,-0,-0.00011,-0
0.98,0.0005,0.049,0.0005,-0,-0.0005,-0,7e-05,0,-7e-05,-0,-7e-05,-0
1,0.001,0.09827,0.001,-0,-0.001,-0,4e-05,0,-4e-05,-0,-4e-05,-0
1.02,0.00166,0.16278,0.00166,-0,-0.00166,-0,2e-05,0,-2e-05,-0,-2e-05,-0
1.04,0.00248,0.24298,0.00248,-0,-0.00248,-0,1e-05,0,-1e-05,-0,-1e-05,-0
1.06,0.00345,0.3376,0.00345,-0,-0.00345,-0,-1e-05,0.00055,1e-05,-0,1e-05,-0
1.08,0.00453,0.44284,0.00453,-0,-0.00453,-0,-1e-05,0.00117,1e-05,-0,1e-05,-0
1.1,0.00564,0.55209,0.00564,-0,-0.00564,-0,-2e-05,0.00148,2e-05,-0,2e-05,-0
1.12,0.00672,0.6574,0.00672,-0,-0.00672,-0,-2e-05,0.00156,2e-05,-0,2e-05,-0
1.14,0.00769,0.75217,0.00769,0,-0.00769,0,-2e-05,0.00149,2e-05,0,2e-05,0
1.16,0.00851,0.83266,0.00851,0,-0.00851,0,-1e-05,0.00132,1e-05,0,1e-05,0
1.18,0.00917,0.89765,0.00917,0,-0.00917,0,-1e-05,0.00111,1e-05,0,1e-05,0
1.2,0.00969,0.94769,0.00969,0,-0.00969,0,-1e-05,0.00088,1e-05,0,1e-05,0
1.22,0.01006,0.98436,0.01006,0,-0.01006,0,-1e-05,0.00066,1e-05,0,1e-05,0
1.24,0.01032,1.00986,0.01032,0,-0.01032,0,-0,0.00047,0,0,0,0
1.26,0.01049,1.02652,0.01049,0,-0.01049,0,-0,0.00031,0,0,0,0
1.28,0.0106,1.03665,0.0106,0,-0.0106,0,-0,0.00018,0,0,0,0
1.3,0.01065,1.04225,0.01065,0,-0.01065,0,-0,9e-05,0,0,0,0
1.32,0.01068,1.04497,0.01068,0,-0.01068,0,-0,2e-05,0,0,0,0
1.34,0.0107,1.04602,0.0107,0,-0.0107,0,0,0,-0,0,-0,0
1.36,0.0107,1.04614,0.0107,0,-0.0107,0,0,0,-0,0,-0,0
1.38,0.0107,1.04557,0.0107,0,-0.0107,0,0,0,-0,0,-0,0
1.4,0.01068,1.04407,0.01068,0,-0.01068,0,0,0,-0,0,-0,0
1.42,0.01065,1.04091,0.01065,-0,-0.01065,-0,0,0,-0,-0,-0,-0
1.44,0.0106,1.03488,0.0106,-0,-0.0106,-0,0,0,-0,-0,-0,-0
1.46,0.01049,1.02436,0.01049,-0,-0.01049,-0,0,0,-0,-0,-0,-0
1.48,0.01032,1.00732,0.01032,-0,-0.01032,-0,0,0,-0,-0,-0,-0
1.5,0.01006,0.98152,0.01006,-0,-0.01006,-0,0,0,-0,-0,-0,-0
1.52,0.00969,0.9446,0.00969,-0,-0.00969,-0,0,0,-0,-0,-0,-0
1.54,0.00917,0.89441,0.00917,-0,-0.00917,-0,0,0,-0,-0,-0,-0
1.56,0.00851,0.82937,0.00851,-0,-0.00851,-0,0,0,-0,-0,-0,-0
1.58,0.00769,0.74897,0.00769,-0,-0.00769,-0,0,0,-0,-0,-0,-0
1.6,0.00672,0.65441,0.00672,-0,-0.00672,-0,0,0,-0,-0,-0,-0
1.62,0.00564,0.54943,0.00564,-0,-0.00564,-0,-0,0,0,-0,0,-0
1.64,0.00453,0.44059,0.00453,-0,-0.00453,-0,-0,0,0,-0,0,-0
1.66,0.00345,0.33579,0.00345,-0,-0.00345,-0,-0,0,0,-0,0,-0
1.68,0.00248,0.2416,0.00248,-0,-0.00248,-0,-0,0,0,-0,0,-0
1.7,0.00166,0.16178,0.00166,0,-0.00166,0,-0,0,0,0,0,0
1.72,0.001,0.0976,0.001,0,-0.001,0,-0,0,0,0,0,0
1.74,0.0005,0.04859,0.0005,0,-0.0005,0,-0,0,0,0,0,0
1.76,0.00014,0.01325,0.00014,0,-0.00014,0,-0,0,0,0,0,0
1.78,-0.00011,0,-0.00011,0,0.00011,0,-0,0,0,0,0,0
1.8,-0.00025,0,-0.00025,0,0.00025,0,-0,0,0,0,0,0
1.82,-0.00033,0,-0.00033,0,0.00033,0,-0,0,0,0,0,0
1.84,-0.00035,0,-0.00035,0,0.00035,0,-0,0,0,0,0,0
1.86,-0.00034,0,-0.00034,0,0.00034,0,-0,0,0,0,0,0
1.88,-0.0003,0,-0.0003,0,0.0003,0,-0,0,0,0,0,0
1.9,-0.00025,0,-0.00025,0,0.00025,0,0,0,-0,0,-0,0
1.92,-0.0002,0,-0.0002,0,0.0002,0,0,0,-0,0,-0,0
1.94,-0.00015,0,-0.00015,0,0.00015,0,0,0,-0,0,-0,0
1.96,-0.00011,0,-0.00011,0,0.00011,0,0,0,-0,0,-0,0
1.98,-7e-05,0,-7e-05,-0,7e-05,-0,0,0,-0,-0,-0,-0
2,-4e-05,0,-4e-05,-0,4e-05,-0,0,0,-0,-0,-0,-0
2.02,-2e-05,0,-2e-05,-0,2e-05,-0,0,0,-0,-0,-0,-0
2.04,-1e-05,0,-1e-05,-0,1e-05,-0,0,0,-0,-0,-0,-0
2.06,1e-05,0.00055,1e-05,-0,-1e-05,-0,0,0,-0,-0,-0,-0
2.08,1e-05,0.00117,1e-05,-0,-1e-05,-0,0,0,-0,-0,-0,-0
2.1,2e-05,0.00148,2e-05,-0,-2e-05,-0,0,0,-0,-0,-0,-0
2.12,2e-05,0.00155,2e-05,-0,-2e-05,-0,0,0,-0,-0,-0,-0
2.14,2e-05,0.00148,2e-05,-0,-2e-05,-0,0,0,-0,-0,-0,-0
2.16,1e-05,0.00131,1e-05,-0,-1e-05,-0,0,0,-0,-0,-0,-0
2.18,1e-05,0.0011,1e-05,-0,-1e-05,-0,-0,0,0,-0,0,-0
2.2,1e-05,0.00087,1e-05,-0,-1e-05,-0,-0,0,0,-0,0,-0
2.22,1e-05,0.00066,1e-05,-0,-1e-05,-0,-0,0,0,-0,0,-0
2.24,0,0.00047,0,-0,-0,-0,-0,0,0,-0,0,-0
2.26,0,0.00031,0,0,-0,0,-0,0,0,0,0,0
2.28,0,0.00018,0,0,-0,0,-0,0,0,0,0,0
2.3,0,9e-05,0,0,-0,0,-0,0,0,0,0,0
2.32,0,2e-05,0,0,-0,0,-0,0,0,0,0,0
2.34,-0,0,-0,0,0,0,-0,0,0,0,0,0
2.36,-0,0,-0,0,0,0,-0,0,0,0,0,0
2.38,-0,0,-0,0,0,0,-0,0,0,0,0,0
2.4,-0,0,-0,0,0,0,-0,0,0,0,0,0
2.42,-0,0,-0,0,0,0,-0,0,0,0,0,0
2.44,-0,0,-0,0,0,0,0,0,-0,0,-0,0
2.46,-0,0,-0,0,0,0,0,0,-0,0,-0,0
2.48,-0,0,-0,0,0,0,0,0,-0,0,-0,0
2.5,-0,0,-0,0,0,0,0,0,-0,0,-0,0
2.52,-0,0,-0,0,0,0,0,0,-0,0,-0,0
2.54,-0,0,-0,-0,0,-0,0,0,-0,-0,-0,-0
2.56,-0,0,-0,-0,0,-0,0,0,-0,-0,-0,-0
2.58,-0,0,-0,-0,0,-0,0,0,-0,-0,-0,-0
2.6,-0,0,-0,-0,0,-0,0,0,-0,-0,-0,-0
2.62,0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0
2.64,0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0
2.66,0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0
2.68,0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0
2.7,0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0
2.72,0,0,0,-0,-0,-0,-0,0,0,-0,0,-0
2.74,0,0,0,-0,-0,-0,-0,0,0,-0,0,-0
2.76,0,0,0,-0,-0,-0,-0,0,0,-0,0,-0
2.78,0,0,0,-0,-0,-0,-0,0,0,-0,0,-0
2.8,0,0,0,-0,-0,-0,-0,0,0,-0,0,-0
2.82,0,0,0,0,-0,0,-0,0,0,0,0,0
2.84,0,0,0,0,-0,0,-0,0,0,0,0,0
2.86,0,0,0,0,-0,0,-0,0,0,0,0,0
2.88,0,0,0,0,-0,0,-0,0,0,0,0,0
2.9,-0,0,-0,0,0,0,-0,0,0,0,0,0
2.92,-0,0,-0,0,0,0,-0,0,0,0,0,0
2.94,-0,0,-0,0,0,0,-0,0,0,0,0,0
2.96,-0,0,-0,0,0,0,-0,0,0,0,0,0
2.98,-0,0,-0,0,0,0,-0,0,0,0,0,0
3,-0,0,-0,0,0,0,0,0,-0,0,-0,0
3.02,-0,0,-0,0,0,0,0,0,-0,0,-0,0
3.04,-0,0,-0,0,0,0,0,0,-0,0,-0,0
3.06,-0,0,-0,0,0,0,0,0,-0,0,-0,0
3.08,-0,0,-0,0,0,0,0,0,-0,0,-0,0
3.1,-0,0,-0,-0,0,-0,0,0,-0,-0,-0,-0
3.12,-0,0,-0,-0,0,-0,0,0,-0,-0,-0,-0
3.14,-0,0,-0,-0,0,-0,0,0,-0,-0,-0,-0
3.16,-0,0,-0,-0,0,-0,0,0,-0,-0,-0,-0
3.18,0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0
3.2,0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0
3.22,0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0
3.24,0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0
3.26,0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0
3.28,0,0,0,-0,-0,-0,-0,0,0,-0,0,-0
3.3,0,0,0,-0,-0,-0,-0,0,0,-0,0,-0
3.32,0,0,0,-0,-0,-0,-0,0,0,-0,0,-0
3.34,0,0,0,-0,-0,-0,-0,0,0,-0,0,-0
3.36,0,0,0,0,-0,0,-0,0,0,0,0,0
3.38,0,0,0,0,-0,0,-0,0,0,0,0,0
