T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.0026,0.00065,0.00058,-0.01656,0.00725,-0.00124,0.02241,-0.00293,-0.01497,0.03485,-0.01529,-0.0007,-0.00739,0.00401,-0.0063,0.0346,-0.2101,-0.07587,-0.00998,-0.00056,0.09176,-0.18734,0.0811,0.0315,-0.01867,0.00775,-0.01266,-0.00359,-0.00264,0.00158,-3e-05,0.00202,0.00052,-0.01507,-0.01434,-0.06532,9e-05,-0.00109,0.00495,0.00316
0.02,-0.00261,0.0007,0.00058,-0.01703,0.00683,-0.00135,0.02341,-0.0029,-0.01556,0.03564,-0.01559,-0.00063,-0.01007,0.00391,-0.0052,0.04005,-0.22378,-0.08,-0.01174,-0.00554,0.09421,-0.19007,0.09005,0.03466,-0.01975,0.00814,-0.01224,-0.00366,-0.00303,0.00167,-0,0.00216,0.00057,-0.01467,-0.01436,-0.06577,0.00011,-0.00118,0.00506,0.00321
0.04,-0.00256,0.00076,0.00058,-0.01739,0.0062,-0.00148,0.02424,-0.00277,-0.01603,0.03588,-0.01568,-0.00054,-0.01393,0.00398,-0.00464,0.04702,-0.22766,-0.08111,-0.0123,-0.01301,0.09573,-0.18967,0.10068,0.03289,-0.01879,0.00773,-0.01146,-0.0037,-0.00359,0.00175,4e-05,0.00231,0.00065,-0.0139,-0.01403,-0.06466,0.00011,-0.00128,0.00509,0.0032
0.06,-0.00242,0.00082,0.00058,-0.01773,0.00541,-0.00163,0.02491,-0.00254,-0.01638,0.03555,-0.01558,-0.00042,-0.01923,0.00437,-0.00517,0.05578,-0.21673,-0.07782,-0.01083,-0.02347,0.09646,-0.1862,0.11329,0.02346,-0.01475,0.00612,-0.01033,-0.00375,-0.00438,0.00178,0.00012,0.0025,0.00075,-0.0128,-0.01331,-0.06184,7e-05,-0.00139,0.00504,0.00313
0.08,-0.00218,0.00088,0.00059,-0.01808,0.00452,-0.00183,0.02539,-0.00219,-0.01661,0.03462,-0.01527,-0.00028,-0.02619,0.00523,-0.00745,0.0665,-0.18478,-0.06839,-0.00635,-0.03731,0.09651,-0.17963,0.12798,0.00307,-0.0064,0.00283,-0.00892,-0.00382,-0.00544,0.00177,0.00024,0.00275,0.00088,-0.01143,-0.01217,-0.05713,-3e-05,-0.0015,0.0049,0.003
0.1,-0.00184,0.00094,0.00061,-0.01852,0.00364,-0.00205,0.02561,-0.00173,-0.0167,0.03303,-0.01478,-0.00015,-0.03489,0.00678,-0.01226,0.07908,-0.12454,-0.05078,0.00232,-0.05471,0.09595,-0.16998,0.14442,-0.03194,0.00763,-0.00266,-0.00729,-0.00394,-0.00682,0.00168,0.0004,0.00305,0.00104,-0.0099,-0.0106,-0.05036,-0.00021,-0.00163,0.00468,0.0028
0.12,-0.00139,0.00098,0.00066,-0.01907,0.0029,-0.00231,0.02546,-0.00114,-0.01659,0.03071,-0.0141,-3e-05,-0.04525,0.00922,-0.02045,0.09311,-0.02806,-0.02276,0.01644,-0.0755,0.09478,-0.1573,0.16178,-0.08543,0.02877,-0.01089,-0.00558,-0.00413,-0.00852,0.00149,0.00062,0.00341,0.00124,-0.00835,-0.00858,-0.04144,-0.00049,-0.00175,0.00436,0.00253
0.14,-0.00082,0.00101,0.00073,-0.01977,0.00249,-0.00259,0.02481,-0.00045,-0.01622,0.02759,-0.01324,5e-05,-0.05693,0.01275,-0.03294,0.10768,0.11268,0.01789,0.03731,-0.09897,0.09298,-0.14183,0.17856,-0.16111,0.05836,-0.02237,-0.00397,-0.00442,-0.01053,0.00117,0.00089,0.00382,0.00148,-0.00701,-0.00616,-0.03039,-0.00089,-0.00185,0.00394,0.00219
0.16,-0.00014,0.00099,0.00084,-0.02062,0.00266,-0.00287,0.02346,0.00032,-0.01549,0.02367,-0.01222,5e-05,-0.06921,0.01754,-0.05055,0.12133,0.3047,0.0731,0.0661,-0.12368,0.0905,-0.12409,0.19238,-0.26189,0.09741,-0.03748,-0.00273,-0.00482,-0.01277,0.00069,0.00122,0.00426,0.00174,-0.00616,-0.00341,-0.01743,-0.00143,-0.00192,0.00342,0.00177
0.18,0.00063,0.00092,0.00098,-0.02162,0.0037,-0.0031,0.0212,0.00112,-0.01431,0.01897,-0.01107,-6e-05,-0.08087,0.02371,-0.07397,0.1318,0.55262,0.14412,0.10363,-0.14725,0.08726,-0.10504,0.19985,-0.38921,0.14632,-0.05635,-0.00223,-0.00536,-0.01507,3e-05,0.00159,0.00469,0.002,-0.00619,-0.00049,-0.00315,-0.00212,-0.00192,0.00281,0.00131
0.2,0.00144,0.00077,0.00118,-0.02269,0.00597,-0.00324,0.01779,0.00187,-0.01256,0.01362,-0.00988,-0.00034,-0.09017,0.03122,-0.10336,0.13614,0.8568,0.23096,0.15008,-0.1662,0.08326,-0.08626,0.19661,-0.54193,0.20452,-0.07871,-0.00292,-0.00605,-0.01722,-0.00085,0.00198,0.00506,0.00223,-0.00757,0.00233,0.01151,-0.00296,-0.00181,0.00213,0.00081
0.22,0.00224,0.00053,0.00142,-0.02374,0.00982,-0.00323,0.01296,0.00247,-0.01021,0.00785,-0.00872,-0.00086,-0.0949,0.03965,-0.13768,0.1311,1.21113,0.33193,0.20458,-0.17636,0.07867,-0.07011,0.17784,-0.71497,0.27006,-0.10373,-0.00528,-0.00688,-0.01897,-0.00197,0.00237,0.0053,0.0024,-0.01075,0.00474,0.02524,-0.00395,-0.00156,0.00142,0.00033
0.24,0.00301,0.00017,0.0017,-0.02461,0.01556,-0.003,0.00645,0.00282,-0.00736,0.0019,-0.00777,-0.00166,-0.09266,0.04795,-0.17357,0.11386,1.60056,0.44316,0.2647,-0.17346,0.07413,-0.0599,0.13919,-0.89773,0.33929,-0.12972,-0.00967,-0.00787,-0.02018,-0.00334,0.00274,0.00535,0.00249,-0.01608,0.00637,0.03664,-0.00507,-0.00115,0.00078,-9e-05
0.26,0.00374,-0.0003,0.00199,-0.02506,0.02336,-0.0025,-0.00201,0.00285,-0.00434,-0.00389,-0.00719,-0.0028,-0.08096,0.0542,-0.20459,0.0827,1.998,0.5578,0.32592,-0.15361,0.07086,-0.06001,0.07754,-1.07227,0.40627,-0.15396,-0.01628,-0.00905,-0.02087,-0.005,0.00308,0.00518,0.00246,-0.02367,0.00687,0.04423,-0.00631,-0.00058,0.00032,-0.00039
0.28,0.00445,-0.00087,0.00228,-0.02479,0.03319,-0.00167,-0.01258,0.00247,-0.0017,-0.00911,-0.00726,-0.00433,-0.0574,0.05547,-0.2207,0.03722,2.3604,0.66495,0.381,-0.1135,0.07077,-0.076,-0.00839,-1.21145,0.46216,-0.17237,-0.02503,-0.01045,-0.02123,-0.00694,0.00341,0.00479,0.00232,-0.03331,0.00588,0.04644,-0.00764,0.00013,0.00023,-0.00047
0.3,0.00519,-0.00148,0.00251,-0.02339,0.04481,-0.00047,-0.02532,0.00164,-0.00028,-0.01322,-0.00826,-0.00628,-0.01972,0.04798,-0.20872,-0.02129,2.62902,0.74962,0.42005,-0.05059,0.07635,-0.11424,-0.11756,-1.27984,0.49535,-0.17973,-0.03556,-0.01208,-0.02159,-0.00916,0.00372,0.00419,0.00206,-0.04445,0.00306,0.04163,-0.00902,0.0009,0.00071,-0.00026
0.32,0.00604,-0.0021,0.00263,-0.02046,0.05771,0.00113,-0.04006,0.00031,-0.00101,-0.01573,-0.01053,-0.00862,0.03387,0.02787,-0.15512,-0.08965,2.74138,0.79561,0.43263,0.03664,0.09021,-0.18062,-0.2463,-1.24202,0.49401,-0.17086,-0.0472,-0.01394,-0.02236,-0.0116,0.00402,0.00341,0.0017,-0.05624,-0.00181,0.02852,-0.0104,0.00166,0.00195,0.00033
0.34,0.00711,-0.00267,0.00259,-0.0156,0.07123,0.0031,-0.05646,-0.00156,-0.00479,-0.01639,-0.01439,-0.01128,0.10437,-0.00769,-0.05026,-0.1624,2.65099,0.79042,0.41109,0.14828,0.11434,-0.27838,-0.38789,-1.0759,0.45026,-0.1427,-0.05908,-0.01597,-0.02385,-0.01421,0.00431,0.00246,0.00124,-0.06757,-0.0087,0.00682,-0.01174,0.00235,0.00399,0.00131
0.36,0.00861,-0.00312,0.00235,-0.00853,0.08446,0.00542,-0.07392,-0.004,-0.01227,-0.01538,-0.02009,-0.01414,0.19136,-0.05947,0.10818,-0.23132,2.34174,0.72871,0.35307,0.28222,0.14947,-0.40637,-0.53188,-0.78271,0.36321,-0.09579,-0.07006,-0.01804,-0.02618,-0.01694,0.00455,0.00136,0.00069,-0.07715,-0.01719,-0.02217,-0.01305,0.00291,0.00665,0.00257
0.38,0.01077,-0.00342,0.00189,0.0009,0.09622,0.00798,-0.09139,-0.00697,-0.02384,-0.01337,-0.02776,-0.01693,0.29234,-0.12569,0.3133,-0.28478,1.83318,0.61353,0.26243,0.43307,0.19475,-0.55763,-0.66273,-0.39142,0.24031,-0.03497,-0.07869,-0.01992,-0.0293,-0.01967,0.00467,0.00011,5e-05,-0.08336,-0.02635,-0.05528,-0.01437,0.00331,0.00949,0.00391
0.4,0.01386,-0.0035,0.0012,0.0126,0.10495,0.01061,-0.10738,-0.01041,-0.03954,-0.01144,-0.03741,-0.01931,0.40233,-0.20192,0.54906,-0.30775,1.17817,0.45569,0.14885,0.59166,0.24766,-0.71936,-0.75964,0.04338,0.09676,0.03094,-0.08315,-0.02132,-0.03292,-0.02225,0.00458,-0.00128,-0.00068,-0.08432,-0.0348,-0.08752,-0.01573,0.00354,0.01183,0.00502
0.42,0.01815,-0.0033,0.00026,0.02624,0.109,0.01313,-0.12021,-0.0142,-0.05901,-0.01093,-0.04887,-0.02091,0.51485,-0.28227,0.79418,-0.284,0.44853,0.27074,0.02523,0.74665,0.30483,-0.87569,-0.79956,0.45595,-0.04856,0.09149,-0.08154,-0.02191,-0.03661,-0.02452,0.00418,-0.0028,-0.00149,-0.07812,-0.04101,-0.11332,-0.01716,0.00356,0.01294,0.00554
0.44,0.02384,-0.0028,-0.00091,0.04123,0.10707,0.01538,-0.12853,-0.01819,-0.08153,-0.01321,-0.06191,-0.02146,0.62373,-0.36129,1.02852,-0.19974,-0.28684,0.07437,-0.09635,0.88755,0.36326,-1.01242,-0.76263,0.79173,-0.17924,0.1382,-0.07234,-0.02145,-0.03991,-0.02636,0.00339,-0.00441,-0.00233,-0.06337,-0.04383,-0.1284,-0.01869,0.00336,0.01228,0.00523
0.46,0.03098,-0.00198,-0.00234,0.05657,0.09853,0.01729,-0.13166,-0.02218,-0.10586,-0.01945,-0.07612,-0.02089,0.72392,-0.43498,1.23664,-0.04656,-0.97421,-0.12006,-0.20691,1.00627,0.42099,-1.11978,-0.63614,1.02157,-0.28524,0.16687,-0.05475,-0.01989,-0.04238,-0.02777,0.0022,-0.00603,-0.00319,-0.03957,-0.04283,-0.13099,-0.02027,0.00286,0.00969,0.00402
0.48,0.03947,-0.00086,-0.00402,0.07083,0.08353,0.01887,-0.12965,-0.02589,-0.13005,-0.03059,-0.09085,-0.01932,0.81097,-0.50049,1.4071,0.17696,-1.573,-0.3006,-0.30034,1.09662,0.47683,-1.19226,-0.41615,1.14345,-0.36296,0.17793,-0.02889,-0.01739,-0.04362,-0.0288,0.00064,-0.00754,-0.00399,-0.00738,-0.03838,-0.12214,-0.02181,0.00199,0.00546,0.00207
0.5,0.04897,0.00051,-0.00595,0.08203,0.06299,0.02015,-0.12314,-0.02899,-0.15145,-0.04729,-0.10515,-0.0171,0.88028,-0.55549,1.53068,0.46499,-2.05052,-0.45558,-0.37244,1.15333,0.52986,-1.22753,-0.10751,1.17773,-0.4139,0.17569,0.00417,-0.0143,-0.0432,-0.02959,-0.00119,-0.00876,-0.00465,0.03136,-0.03156,-0.10528,-0.02315,0.00066,0.00029,-0.00027
0.52,0.059,0.00204,-0.0081,0.08819,0.03835,0.02124,-0.11324,-0.0311,-0.16717,-0.06992,-0.11797,-0.01465,0.92747,-0.59798,1.60037,0.80699,-2.38273,-0.5747,-0.42076,1.17237,0.57926,-1.22579,0.27867,1.15773,-0.44275,0.16665,0.04268,-0.01104,-0.04081,-0.03032,-0.00317,-0.00951,-0.00508,0.07407,-0.0238,-0.08502,-0.02411,-0.00124,-0.00493,-0.00258
