T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,0,0,-0,0,0,-0,-0,1e-05,-0,0,0,-0
0.02,0,0,-0,0,0,-0,-0,0.0001,-0,0,0,-0
0.04,0,0,-0,0,0,-0,-0,0.00023,-0,0,0,-0
0.06,0,0,-0,0,0,-0,-0,0.00041,-0,0,0,-0
0.08,0,0,-0,0,0,-0,-1e-05,0.00063,-1e-05,0,1e-05,-0
0.1,0,0,-0,0,0,-0,-1e-05,0.0009,-1e-05,0,1e-05,-0
0.12,0,0,-0,0,0,-0,-1e-05,0.0012,-1e-05,0,1e-05,-0
0.14,0,0,-0,0,0,-0,-1e-05,0.00152,-2e-05,0,2e-05,-0
0.16,0,0,-0,0,0,-0,-2e-05,0.00183,-2e-05,0,2e-05,-0
0.18,0,0,-0,0,0,-0,-2e-05,0.00208,-2e-05,0,2e-05,-0
0.2,0,0,0,0,0,-0,-2e-05,0.00222,-2e-05,0,2e-05,-0
0.22,-0,0,0,0,-0,-0,-2e-05,0.00215,-2e-05,0,2e-05,-0
0.24,-0,0,0,-0,-0,0,-2e-05,0.00178,-2e-05,-0,2e-05,0
0.26,-0,0,0,-0,-0,0,-1e-05,0.00098,-1e-05,-0,1e-05,0
0.28,-0,0,0,-0,-0,0,0,0,0,-0,-0,0
0.3,-0,0,0,-0,-0,0,2e-05,0,3e-05,-0,-3e-05,0
0.32,-0,0,0,-0,-0,0,5e-05,0,6e-05,-0,-6e-05,0
0.34,-0,0,0,-0,-0,0,9e-05,0,0.0001,-0,-0.0001,0
0.36,-0,0,0,-0,-0,0,0.00014,0,0.00015,-0,-0.00015,0
0.38,-0,0,0,-0,-0,0,0.00019,0,0.00021,-0,-0.00021,0
0.4,-0,0,0,-0,-0,0,0.00026,0,0.00027,-0,-0.00027,0
0.42,-0,0,0,-0,-0,0,0.00032,0,0.00035,-0,-0.00035,0
0.44,-0,0,0,-0,-0,0,0.00039,0,0.00042,-0,-0.00042,0
0.46,-0,0,0,-0,-0,0,0.00044,0,0.00047,-0,-0.00047,0
0.48,-0,0,-0,-0,-0,0,0.00046,0,0.0005,-0,-0.0005,0
0.5,0,0,-0,0,0,-0,0.00045,0,0.00048,0,-0.00048,-0
0.52,0,0,-0,0,0,-0,0.00036,0,0.00039,0,-0.00039,-0
0.54,0,0,-0,0,0,-0,0.00018,0,0.0002,0,-0.0002,-0
0.56,0,0,-0,0,0,-0,-0.00011,0.0121,-0.00012,0,0.00012,-0
0.58,0,0,-0,0,0,-0,-0.00057,0.05966,-0.00061,0,0.00061,-0
0.6,0,0,-0,0,0,-0,-0.0012,0.12634,-0.00129,0,0.00129,-0
0.62,0,0,-0,0,0,-0,-0.00204,0.21448,-0.00219,0,0.00219,-0
0.64,0,0,-0,0,0,-0,-0.00309,0.32505,-0.00332,0,0.00332,-0
0.66,0,0,-0,0,0,-0,-0.00434,0.45673,-0.00467,0,0.00467,-0
0.68,0,0,-0,0,0,-0,-0.00575,0.60484,-0.00618,0,0.00618,-0
0.7,0,0,-0,0,0,-0,-0.00723,0.76001,-0.00776,0,0.00776,-0
0.72,0,0,-0,0,0,-0,-0.00863,0.90677,-0.00926,0,0.00926,-0
0.74,0,0,-0,0,0,-0,-0.00972,1.02201,-0.01044,0,0.01044,-0
0.76,0,0,0,0,0,-0,-0.01022,1.07368,-0.01097,0,0.01097,-0
0.78,-0,0,0,-0,-0,0,-0.0097,1.01976,-0.01041,-0,0.01041,0
0.8,-0,0,0,-0,-0,0,-0.00769,0.80796,-0.00825,-0,0.00825,0
0.82,-0,0,0,-0,-0,0,-0.00359,0.37651,-0.00384,-0,0.00384,0
0.84,-0,0,0,-0,-0,0,0.00326,0,0.00351,-0,-0.00351,0
0.86,-0,0,0,-0,-0,0,0.01353,0,0.01454,-0,-0.01454,0
0.88,-0,0,0,-0,-0,0,0.02784,0,0.02991,-0,-0.02991,0
0.9,-0,0,0,-0,-0,0,0.04668,0,0.05013,-0,-0.05013,0
0.92,-0,0,0,-0,-0,0,0.07019,0,0.07538,-0,-0.07538,0
0.94,-0,0,0,-0,-0,0,0.09807,0,0.1053,-0,-0.1053,0
0.96,-0,0,0,-0,-0,0,0.12925,0,0.13878,-0,-0.13878,0
0.98,-0,0,0,-0,-0,0,0.16168,0,0.17359,-0,-0.17359,0
1,-0,0,0,-0,-0,0,0.19199,0,0.20612,-0,-0.20612,0
1.02,-0,0,0,-0,-0,0,0.2152,0,0.23102,-0,-0.23102,0
1.04,0,0,-0,-0,0,0,0.22444,0,0.24092,-0,-0.24092,0
1.06,0,0,-0,0,0,-0,0.21073,0,0.22617,0,-0.22617,-0
1.08,0,0,-0,0,0,-0,0.16296,0,0.17485,0,-0.17485,-0
1.1,0,0,-0,0,0,-0,0.06806,0,0.07292,0,-0.07292,-0
1.12,0,0,-0,0,0,-0,-0.08843,9.30796,-0.09513,0,0.09513,-0
1.14,0,0,-0,0,0,-0,-0.32135,33.79425,-0.34525,0,0.34525,-0
1.16,0,0,-0,0,0,-0,-0.64427,67.7405,-0.69199,0,0.69199,-0
1.18,0,0,-0,0,0,-0,-1.06708,112.1848,-1.14595,0,1.14595,-0
1.2,0,0,-0,0,0,-0,-1.59266,167.4308,-1.71023,0,1.71023,-0
1.22,0,0,-0,0,0,-0,-2.21265,232.59897,-2.37585,0,2.37585,-0
1.24,0,0,-0,0,0,-0,-2.90221,305.07512,-3.1161,0,3.1161,-0
1.26,0,0,-0,0,0,-0,-3.61787,380.29879,-3.88438,0,3.88438,-0
1.28,0,0,-0,0,0,-0,-4.30701,452.78081,-4.62464,0,4.62464,-0
1.3,0,0,-0,0,0,-0,-4.92507,517.95993,-5.29028,0,5.29028,-0
1.32,-0,1e-05,0,0,-0,-0,-5.44503,573.22041,-5.85458,0,5.85457,-0
1.34,-0,0.0001,0,-0,-0,0,-5.85564,617.68054,-6.30854,-0,6.30853,0
1.36,-0,0.00023,0,-0,-0,0,-6.15646,651.64117,-6.65523,-0,6.65523,0
1.38,-0,0.00041,0,-0,-0,0,-6.35416,676.13713,-6.90525,-0,6.90524,0
1.4,-1e-05,0.00063,1e-05,-0,-1e-05,0,-6.45956,692.59046,-7.0731,-0,7.0731,0
1.42,-1e-05,0.0009,1e-05,-0,-1e-05,0,-6.48573,702.557,-7.1747,-0,7.1747,0
1.44,-1e-05,0.0012,1e-05,-0,-1e-05,0,-6.44657,707.55327,-7.22554,-0,7.22554,0
1.46,-2e-05,0.00152,1e-05,-0,-2e-05,0,-6.35594,708.94874,-7.23961,-0,7.2396,0
1.48,-2e-05,0.00183,2e-05,-0,-2e-05,0,-6.2271,707.90889,-7.22881,-0,7.22881,0
1.5,-2e-05,0.00208,2e-05,-0,-2e-05,0,-6.07242,705.37549,-7.20278,-0,7.20278,0
1.52,-2e-05,0.00222,2e-05,-0,-2e-05,0,-5.90314,702.07247,-7.16891,-0,7.16891,0
1.54,-2e-05,0.00215,2e-05,-0,-2e-05,0,-5.72924,698.52797,-7.13259,-0,7.13259,0
1.56,-2e-05,0.00178,1e-05,-0,-2e-05,0,-5.55933,695.10498,-7.09753,-0,7.09753,0
1.58,-1e-05,0.00098,0,-0,-1e-05,0,-5.40055,692.03534,-7.06611,-0,7.06611,0
1.6,0,0,-1e-05,-0,0,0,-5.25848,689.45306,-7.03969,-0,7.03969,0
1.62,3e-05,0,-4e-05,0,3e-05,-0,-5.13708,687.42459,-7.01894,0,7.01894,-0
1.64,6e-05,0,-7e-05,0,6e-05,-0,-5.03867,685.97455,-7.00412,0,7.00412,-0
1.66,0.0001,0,-0.0001,0,0.0001,-0,-4.96399,685.10598,-6.99526,0,6.99526,-0
1.68,0.00015,0,-0.00015,0,0.00015,-0,-4.91224,684.81496,-6.99231,0,6.99231,-0
1.7,0.00021,0,-0.0002,0,0.00021,-0,-4.88123,685.09934,-6.99526,0,6.99526,-0
1.72,0.00027,0,-0.00026,0,0.00027,-0,-4.86754,685.96164,-7.00412,0,7.00412,-0
1.74,0.00035,0,-0.00032,0,0.00035,-0,-4.86673,687.40616,-7.01894,0,7.01894,-0
1.76,0.00042,0,-0.00037,0,0.00042,-0,-4.87352,689.43018,-7.03969,0,7.03969,-0
1.78,0.00047,0,-0.0004,0,0.00047,-0,-4.882,692.00942,-7.06611,0,7.06611,-0
1.8,0.0005,0,-0.00039,0,0.0005,-0,-4.88591,695.07769,-7.09753,0,7.09753,-0
1.82,0.00048,0,-0.00034,0,0.00048,-0,-4.87888,698.50117,-7.13259,0,7.13259,-0
1.84,0.00039,0,-0.00021,0,0.00039,-0,-4.85464,702.04818,-7.16891,0,7.16891,-0
1.86,0.0002,0,1e-05,0,0.0002,-0,-4.80728,705.35571,-7.20278,0,7.20278,-0
1.88,-0.00012,0.01213,0.00036,0,-0.00012,-0,-4.73149,707.89557,-7.22881,0,7.22881,-0
1.9,-0.00061,0.05973,0.00086,-0,-0.00061,0,-4.62272,708.94359,-7.23961,-0,7.2396,0
1.92,-0.00129,0.12645,0.00153,-0,-0.00129,0,-4.47734,707.55764,-7.22554,-0,7.22554,0
1.94,-0.00219,0.21465,0.00238,-0,-0.00219,0,-4.29277,702.57175,-7.1747,-0,7.1747,0
1.96,-0.00332,0.32529,0.00342,-0,-0.00332,0,-4.06759,692.61585,-7.0731,-0,7.0731,0
1.98,-0.00467,0.45705,0.0046,-0,-0.00466,0,-3.80166,676.17272,-6.90525,-0,6.90525,0
2,-0.00618,0.60525,0.00587,-0,-0.00618,0,-3.49632,651.68577,-6.65523,-0,6.65523,0
2.02,-0.00776,0.7605,0.00711,-0,-0.00776,0,-3.15472,617.73222,-6.30854,-0,6.30854,0
2.04,-0.00926,0.90731,0.00816,-0,-0.00926,0,-2.78228,573.27664,-5.85458,-0,5.85458,0
2.06,-0.01044,1.02258,0.00877,-0,-0.01043,0,-2.38717,518.01768,-5.29028,-0,5.29028,0
2.08,-0.01096,1.07423,0.00862,-0,-0.01096,0,-1.98096,452.8369,-4.62464,-0,4.62464,0
2.1,-0.01041,1.02019,0.00731,-0,-0.01041,0,-1.57902,380.3503,-3.88438,-0,3.88438,0
2.12,-0.00825,0.80816,0.00435,-0,-0.00824,0,-1.1998,305.11988,-3.1161,-0,3.1161,0
2.14,-0.00384,0.37633,-0.0008,-0,-0.00384,0,-0.861,232.63586,-2.37585,-0,2.37585,0
2.16,0.00352,0,-0.00874,-0,0.00352,0,-0.57454,167.45968,-1.71023,-0,1.71023,0
2.18,0.01454,0,-0.02003,0,0.01454,-0,-0.34467,112.20621,-1.14595,0,1.14595,-0
2.2,0.02992,0,-0.03511,0,0.02991,-0,-0.16955,67.75541,-0.69199,0,0.69199,-0
2.22,0.05014,0,-0.05423,0,0.05013,-0,-0.04362,33.80379,-0.34525,0,0.34525,-0
2.24,0.07539,0,-0.07726,0,0.07537,-0,0.04066,9.31329,-0.09513,0,0.09513,-0
2.26,0.10532,0,-0.10348,0,0.10529,-0,0.09144,0,0.07292,0,-0.07292,-0
2.28,0.13879,0,-0.1314,0,0.13875,-0,0.11666,0,0.17485,0,-0.17485,-0
2.3,0.1736,0,-0.15848,0,0.17354,-0,0.12347,0,0.22617,0,-0.22617,-0
2.32,0.20612,0,-0.18085,0,0.20606,-0,0.11791,0,0.24092,0,-0.24092,-0
2.34,0.23101,0,-0.19308,0,0.23094,-0,0.10488,0,0.23102,0,-0.23102,-0
2.36,0.24089,0,-0.18796,0,0.24081,-0,0.08809,0,0.20612,0,-0.20612,-0
2.38,0.22612,0,-0.15644,0,0.22604,-0,0.07025,0,0.17359,0,-0.17359,-0
2.4,0.17477,0,-0.08769,0,0.1747,-0,0.05316,0,0.13878,0,-0.13878,-0
2.42,0.07281,0,0.03048,0,0.07276,-0,0.03794,0,0.1053,0,-0.1053,-0
2.44,-0.09529,9.32596,0.21093,0,-0.09529,-0,0.02512,0,0.07538,0,-0.07538,-0
2.46,-0.34545,33.83039,0.46585,-0,-0.34539,0,0.01488,0,0.05013,-0,-0.05013,0
2.48,-0.69224,67.8004,0.80498,-0,-0.69208,0,0.00712,0,0.02991,-0,-0.02991,0
2.5,-1.14624,112.27425,1.23293,-0,-1.14595,0,0.00157,0,0.01454,-0,-0.01454,0
2.52,-1.71055,167.55511,1.74576,-0,-1.7101,0,-0.00211,0,0.00351,-0,-0.00351,0
2.54,-2.37618,232.76206,2.32669,-0,-2.37552,0,-0.00431,0.37642,-0.00384,-0,0.00384,0
