T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0,0,0,0,0.01328,0,0,0.03874,0.00285,0.03695,0,0,0.0044,0.00825,0,0.00795,0,0,0,0.00838,0,0.01438,0,0,0,0.02634,0,0,0.01511,0.00593,0.00405,0.06836,0.01737,0.00418,0.01382,0.01258,0.00306,0.00607,0,0.00296,0.00106,0,0,0,0.008,0.00044,0,0,0.08618,0,0.05209,0.03226,0.00774,0,0.0174,0,0.00778,0.00659,0.02111,0,0.05534,0.01861,0,0,0
0.02,0,1e-05,0,0,0,0,0,0.01275,0,0,0.02697,0.00207,0.0332,0,0.00247,0.00481,0.00784,1e-05,0.00651,1e-05,0,0,0.00775,0,0.01444,0,1e-05,1e-05,0.02647,0,0,0.01512,0.00592,0.00407,0.06893,0.01679,0.00352,0.01419,0.01253,0.00304,0.00617,5e-05,0.0025,0.00135,1e-05,1e-05,1e-05,0.00859,0.00042,0,0,0.06588,1e-05,0.04689,0.03282,0.00771,0,0.01747,0,0.00773,0.0065,0.02177,0,0.05508,0.01873,0,0,1e-05
0.04,1e-05,4e-05,5e-05,9e-05,8e-05,0.00017,6e-05,0.01229,7e-05,5e-05,0.01835,0.00163,0.02998,6e-05,0.00455,0.00533,0.0073,0.00072,0.00547,0.00041,2e-05,2e-05,0.00741,1e-05,0.01459,0.00012,0.00046,1e-05,0.02668,0.00016,1e-05,0.01522,0.00604,0.00422,0.06996,0.01584,0.00243,0.01489,0.01248,0.00316,0.00605,7e-05,0.00222,0.00157,0.00057,0.00042,0.00037,0.00939,0.00037,8e-05,7e-05,0.04943,0.00047,0.0424,0.03368,0.00764,0.00019,0.01759,3e-05,0.00781,0.00653,0.02271,5e-05,0.05496,0.01888,3e-05,0.00011,0.00046
0.06,0,2e-05,2e-05,3e-05,4e-05,0.00013,4e-05,0.01186,5e-05,4e-05,0.01174,0.0012,0.0262,4e-05,0.00616,0.00552,0.00652,0.00058,0.00447,0.00036,1e-05,2e-05,0.00657,1e-05,0.01458,6e-05,0.0002,3e-05,0.02685,0.00011,1e-05,0.01517,0.00597,0.00414,0.07151,0.01437,0.00073,0.01581,0.01224,0.00305,0.00552,0.0001,0.00185,0.00147,0.00049,0.00024,0.00023,0.01025,0.00034,5e-05,3e-05,0.03523,0.00026,0.03759,0.03485,0.00751,0.00013,0.01775,1e-05,0.0077,0.00635,0.024,2e-05,0.05433,0.01907,1e-05,6e-05,9e-05
0.08,2e-05,1e-05,0.00217,0.00017,4e-05,0.00016,4e-05,0.01138,6e-05,6e-05,0.00768,0.00119,0.02251,6e-05,0.0072,0.00558,0.00572,0.00059,0.0038,0.00037,1e-05,2e-05,0.00579,2e-05,0.01463,0.00011,0.00021,3e-05,0.02708,0.00017,2e-05,0.01517,0.00596,0.0042,0.07366,0.01244,0.00065,0.01722,0.01194,0.00299,0.00462,0.0001,0.00162,0.00109,0.00049,0.0007,0.00022,0.01116,0.00031,8e-05,3e-05,0.0239,0.00027,0.03293,0.03637,0.00733,0.00014,0.01794,1e-05,0.0077,0.00624,0.02558,2e-05,0.05376,0.01931,1e-05,6e-05,0.00023
0.1,9e-05,2e-05,0.00481,0.00019,7e-05,0.00018,5e-05,0.01081,8e-05,7e-05,0.00629,0.00128,0.01901,7e-05,0.00765,0.00533,0.00499,0.00063,0.00347,0.00045,6e-05,2e-05,0.00495,2e-05,0.0147,0.00011,0.00032,5e-05,0.02734,0.00018,3e-05,0.01523,0.00599,0.00426,0.07646,0.01002,0.0006,0.01895,0.01158,0.0029,0.00331,0.0001,0.00156,0.00032,0.00054,0.0008,0.00034,0.01197,0.00029,8e-05,6e-05,0.01542,0.00044,0.02844,0.03824,0.00714,0.00018,0.01818,2e-05,0.00766,0.00617,0.02747,3e-05,0.05295,0.01956,3e-05,9e-05,0.00038
0.12,7e-05,2e-05,0.00779,0.00016,7e-05,0.00014,4e-05,0.01003,6e-05,0.00101,0.00672,0.00148,0.01522,6e-05,0.00754,0.00475,0.00439,0.0005,0.00331,0.00036,4e-05,2e-05,0.00393,2e-05,0.01475,9e-05,0.0003,4e-05,0.02757,0.00015,2e-05,0.0152,0.00599,0.00428,0.07988,0.00706,0.00053,0.02107,0.01108,0.00273,0.00163,9e-05,0.00165,0.00028,0.00048,0.00067,0.00038,0.01261,0.00025,7e-05,6e-05,0.00907,0.00037,0.02364,0.04036,0.00694,0.00014,0.01842,2e-05,0.00759,0.00605,0.02957,3e-05,0.05193,0.01982,2e-05,0.00011,0.00042
0.14,2e-05,1e-05,0.01091,0.00012,4e-05,7e-05,0.00277,0.00901,6e-05,0.00217,0.00941,0.00186,0.01165,3e-05,0.00704,0.00396,0.00403,0.00022,0.00341,0.00023,2e-05,1e-05,0.00285,1e-05,0.01475,5e-05,0.00015,1e-05,0.02776,9e-05,1e-05,0.01517,0.00593,0.00424,0.08392,0.0036,0.00044,0.02357,0.01048,0.0025,0.00142,7e-05,0.00209,0.00024,0.00036,0.0005,0.00039,0.01299,0.00021,4e-05,4e-05,0.00521,0.00026,0.01888,0.04267,0.00675,0.00011,0.01866,1e-05,0.0075,0.00591,0.03182,1e-05,0.05076,0.02008,2e-05,7e-05,0.00028
0.16,3e-05,0.00259,0.014,0.00024,0.0001,0.00019,0.00505,0.00779,0.00013,0.00344,0.01431,0.00262,0.00897,9e-05,0.00679,0.00325,0.00404,0.00051,0.00389,0.00049,7e-05,3e-05,0.00199,2e-05,0.01485,0.00014,0.00055,6e-05,0.02793,0.00023,3e-05,0.01523,0.006,0.00431,0.08859,0.00234,0.00038,0.02653,0.00986,0.00245,0.00093,0.00014,0.00299,0.00026,0.00073,0.00105,0.00083,0.01314,0.00035,0.0001,9e-05,0.0042,0.0006,0.01471,0.04512,0.00662,0.00024,0.01893,3e-05,0.00757,0.00592,0.03415,4e-05,0.04982,0.02036,3e-05,0.00015,0.00059
0.18,1e-05,0.00617,0.01692,0.00016,6e-05,0.00013,0.00754,0.00599,9e-05,0.00473,0.01712,0.00293,0.00456,5e-05,0.00627,0.00234,0.00428,0.00027,0.00418,0.00028,3e-05,2e-05,0.00079,1e-05,0.01482,8e-05,0.00034,3e-05,0.02795,0.00014,2e-05,0.01517,0.0059,0.00421,0.09386,0.00173,0.00028,0.02971,0.00908,0.00222,0.00068,0.0001,0.00392,0.00019,0.00045,0.00073,0.00056,0.01296,0.00025,6e-05,6e-05,0.00324,0.00035,0.00942,0.0475,0.00655,0.00018,0.01913,2e-05,0.00746,0.00578,0.03636,2e-05,0.0484,0.02057,2e-05,9e-05,0.00036
