T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-1.36552,0.04388,-0.01191,-0.08413,-0.00794,0.0001,-0.00018,0.05936,-0.00232,-0.02187,-0.00176,-0.00091,5e-05,-0.00126,-0.04253,-0.02783,0.02184,0.02159,0.00497,0.00021,-0.00266,-0.09689,-0.0004,0.04823,0.00353,0.00012,0.00025,-0.02619,0.26727,-0.03098,0.09987,0.00255,-0.00185,-0.00015
0.02,-1.39959,0.0421,-0.01706,-0.08736,-0.00735,0.00011,-0.00398,0.0635,-0.00218,-0.01883,0.00703,0.00082,0.0002,-0.00112,-0.03933,-0.02632,0.02302,0.03527,0.00839,0.00044,-0.00253,-0.09597,-0.0004,0.04943,0.00362,0.00011,0.00024,-0.02746,0.27416,-0.03105,0.10204,0.00261,-0.00186,-0.00015
0.04,-1.42243,0.03947,-0.02272,-0.08938,-0.00585,0.00011,-0.00932,0.06657,-0.00199,-0.01498,0.02214,0.00338,0.00058,-0.00091,-0.03514,-0.02553,0.0243,0.05568,0.01321,0.00079,-0.00037,-0.09345,-0.00042,0.0498,0.00367,9e-05,0.00023,-0.02787,0.27632,-0.03035,0.10237,0.00262,-0.00184,-0.00014
0.06,-1.43866,0.03597,-0.02797,-0.09026,-0.00314,0.00011,-0.01507,0.06828,-0.00154,-0.01078,0.04683,0.00698,0.00132,-0.00064,-0.03017,-0.02545,0.02581,0.08512,0.01968,0.00131,0.00496,-0.08932,-0.00046,0.04927,0.00367,7e-05,0.00022,-0.02698,0.2737,-0.02885,0.10068,0.00261,-0.0018,-0.00013
0.08,-1.45282,0.03163,-0.03166,-0.09004,0.00108,0.00012,-0.01964,0.06826,-0.00045,-0.00678,0.085,0.01177,0.00256,-0.00035,-0.02466,-0.02586,0.02771,0.12606,0.02802,0.00203,0.01481,-0.08347,-0.00051,0.04772,0.00361,5e-05,0.0002,-0.02428,0.26625,-0.02652,0.09673,0.00255,-0.00174,-0.00012
0.1,-1.46906,0.0265,-0.03262,-0.08873,0.00708,0.00012,-0.02135,0.06614,0.00177,-0.00347,0.14089,0.01784,0.00446,-8e-05,-0.01896,-0.02643,0.03012,0.18103,0.03832,0.00302,0.03067,-0.07587,-0.00058,0.04505,0.00349,4e-05,0.00018,-0.01921,0.25394,-0.0234,0.09028,0.00246,-0.00166,-0.00011
0.12,-1.49038,0.02058,-0.02996,-0.08631,0.01508,0.00012,-0.01877,0.06146,0.00561,-0.00101,0.21504,0.025,0.00685,8e-05,-0.0134,-0.02647,0.03321,0.24969,0.05027,0.00419,0.05406,-0.06653,-0.00068,0.04116,0.0033,3e-05,0.00016,-0.01124,0.23687,-0.0196,0.08115,0.00233,-0.00157,-0.0001
0.14,-1.51942,0.01407,-0.0235,-0.08275,0.02514,0.00012,-0.01181,0.05419,0.01142,0.00092,0.3062,0.03282,0.00967,8e-05,-0.0085,-0.02545,0.03705,0.33079,0.06329,0.00561,0.08626,-0.05576,-0.00077,0.03603,0.00303,5e-05,0.00013,0,0.21536,-0.0153,0.06928,0.00215,-0.00146,-9e-05
0.16,-1.55722,0.00709,-0.01406,-0.07797,0.03712,0.00012,-0.00216,0.04477,0.01896,0.00356,0.40441,0.0404,0.01244,-0.00011,-0.00469,-0.02289,0.04165,0.41715,0.07605,0.00725,0.12811,-0.04412,-0.00084,0.02974,0.00267,9e-05,0.00012,0.01462,0.19018,-0.01085,0.05491,0.00193,-0.00134,-8e-05
0.18,-1.60153,-0.00047,-0.00363,-0.07191,0.05064,0.00012,0.00557,0.03353,0.027,0.00831,0.47136,0.0452,0.01257,-0.00048,-0.00194,-0.01864,0.04704,0.48131,0.08546,0.00759,0.1795,-0.03247,-0.00085,0.02252,0.00222,0.00016,0.00012,0.03216,0.16282,-0.00676,0.03864,0.00167,-0.00123,-7e-05
0.2,-1.65438,-0.00754,0.00493,-0.06455,0.06483,0.00011,0.00403,0.02354,0.03341,0.0194,0.51267,0.04741,0.01289,-0.00083,-0.00084,-0.01413,0.05279,0.52763,0.09052,0.00921,0.23982,-0.02222,-0.00076,0.01483,0.00167,0.00028,0.00013,0.05215,0.13529,-0.00369,0.02156,0.00139,-0.00113,-6e-05
0.22,-1.71838,-0.01297,0.0087,-0.05583,0.07851,0.00011,-0.0153,0.0181,0.03506,0.04396,0.55715,0.04828,0.01862,-0.00079,-0.00182,-0.01086,0.05812,0.57837,0.09174,0.01638,0.30848,-0.01454,-0.00055,0.00719,0.00104,0.00045,0.00017,0.07487,0.11004,-0.00229,0.00501,0.00108,-0.00106,-6e-05
0.24,-1.78648,-0.01743,0.00595,-0.04557,0.09108,0.0001,-0.06046,0.01293,0.02966,0.07929,0.5158,0.04183,0.02142,-0.00017,-0.00411,-0.00951,0.06254,0.56718,0.08343,0.02229,0.38412,-0.00993,-0.00026,7e-05,0.00032,0.00068,0.00024,0.09937,0.08945,-0.0029,-0.00984,0.00078,-0.00102,-6e-05
0.26,-1.85236,-0.02132,-0.00306,-0.03348,0.10239,9e-05,-0.13491,0.00334,0.01863,0.11901,0.35083,0.02645,0.01636,0.00124,-0.00777,-0.01003,0.06544,0.45591,0.06298,0.02165,0.46545,-0.00854,-2e-05,-0.0063,-0.0005,0.00097,0.00035,0.12415,0.07476,-0.00537,-0.02214,0.00048,-0.001,-7e-05
0.28,-1.91671,-0.02409,-0.01628,-0.01932,0.11237,8e-05,-0.23413,-0.01374,0.00602,0.1611,0.13175,0.00813,0.00759,0.00404,-0.01422,-0.01116,0.06483,0.29332,0.03549,0.01644,0.55182,-0.01013,-0.00011,-0.01183,-0.0014,0.00133,0.00048,0.14921,0.0661,-0.00902,-0.03136,0.00023,-0.00101,-8e-05
0.3,-1.97706,-0.02444,-0.03072,-0.00296,0.12088,7e-05,-0.34229,-0.03634,-0.00275,0.21015,-0.11639,-0.00711,-0.00544,0.0074,-0.02059,-0.01206,0.06303,0.08165,0.00404,0.00457,0.6421,-0.01404,-0.00092,-0.01654,-0.00239,0.00174,0.00065,0.17399,0.06293,-0.01266,-0.03714,4e-05,-0.00101,-9e-05
0.32,-2.02479,-0.02145,-0.0429,0.01533,0.12778,6e-05,-0.43226,-0.04948,-0.0071,0.28051,-0.20088,-0.00955,-0.00572,0.00948,-0.02082,-0.01287,0.06445,-0.0832,-0.01975,-0.00614,0.73429,-0.01931,-0.00287,-0.02055,-0.00344,0.00219,0.00083,0.19761,0.06437,-0.0148,-0.03921,-8e-05,-0.00099,-8e-05
0.34,-2.04646,-0.01618,-0.04882,0.03484,0.13327,5e-05,-0.46906,-0.05468,-0.00685,0.3908,-0.07401,-0.00318,0.01484,0.01115,-0.01666,-0.01321,0.06485,-0.13048,-0.02909,-0.00878,0.82518,-0.02494,-0.00631,-0.02395,-0.00449,0.00264,0.00102,0.22023,0.0696,-0.01455,-0.03759,-0.00014,-0.00094,-8e-05
0.36,-2.01401,-0.00978,-0.0446,0.05423,0.13753,5e-05,-0.41258,-0.06441,0.00241,0.5789,0.09748,0.00123,0.04291,0.01295,-0.01192,-0.01279,0.06171,-0.11939,-0.02932,-0.00732,0.91025,-0.02995,-0.01125,-0.02682,-0.00546,0.00303,0.00119,0.24188,0.07829,-0.01182,-0.03247,-0.00018,-0.00088,-7e-05
0.38,-1.88105,-0.0032,-0.02684,0.07106,0.14036,5e-05,-0.21803,-0.0815,0.02476,0.9092,0.26449,-0.00226,0.07379,0.01414,-0.0054,-0.01223,0.05778,-0.07739,-0.02347,-0.00331,0.98378,-0.0338,-0.01716,-0.02923,-0.00622,0.0033,0.00131,0.26155,0.0907,-0.00737,-0.02405,-0.0003,-0.00082,-7e-05
0.4,-1.59399,0.00184,0.0073,0.08146,0.14101,7e-05,0.14277,-0.11063,0.06584,1.46804,0.34389,-0.012,0.09597,0.0147,-0.0006,-0.01145,0.05211,-0.04799,-0.01808,-0.00098,1.04074,-0.0345,-0.02252,-0.03126,-0.00657,0.00338,0.00135,0.27838,0.10762,-0.00303,-0.01278,-0.00062,-0.00077,-6e-05
0.42,-1.08303,0.00209,0.05967,0.08083,0.13846,9e-05,0.70795,-0.15303,0.12805,2.34403,0.30866,-0.01925,0.1028,0.01454,-0.00013,-0.01057,0.04433,-0.0469,-0.01812,-0.00159,1.07921,-0.0294,-0.02501,-0.03299,-0.00634,0.00319,0.00129,0.2925,0.13027,-0.00107,0.00081,-0.00128,-0.00079,-7e-05
0.44,-0.24893,-0.00624,0.13044,0.06532,0.1323,0.00013,1.49665,-0.21108,0.22064,3.63429,0.24509,-0.02442,0.10205,0.01367,-9e-05,-0.01028,0.03762,-0.05535,-0.02399,-0.00181,1.09682,-0.02088,-0.02247,-0.03445,-0.00548,0.00266,0.00107,0.30311,0.15973,-0.00356,0.01602,-0.00241,-0.00089,-9e-05
0.46,0.99289,-0.02586,0.21745,0.03322,0.12211,0.0002,2.47903,-0.2877,0.35897,5.39594,0.19723,-0.03113,0.09866,0.0119,0.00092,-0.01084,0.03319,-0.0804,-0.03646,-0.00179,1.1041,-0.01226,-0.01334,-0.03582,-0.00406,0.00177,0.0007,0.31417,0.19667,-0.01162,0.03167,-0.00406,-0.00108,-0.00011
0.48,2.71948,-0.0576,0.31642,-0.01413,0.1076,0.00027,3.60849,-0.37619,0.54543,7.49967,0.15926,-0.04054,0.09255,0.00892,0.00198,-0.01221,0.02903,-0.14048,-0.05753,-0.0029,1.13306,-0.00434,0.00238,-0.03757,-0.00227,0.00058,0.00019,0.33885,0.24109,-0.02494,0.04604,-0.00624,-0.00139,-0.00015
0.5,4.91137,-0.10831,0.41556,-0.07184,0.08883,0.00036,4.8219,-0.48935,0.80562,10.08763,0.13717,-0.0542,0.08662,0.00521,0.00345,-0.01454,0.02494,-0.21179,-0.07888,-0.00479,1.21317,0.00012,0.02248,-0.04004,-0.00047,-0.00082,-0.0004,0.3885,0.29175,-0.04146,0.05654,-0.00886,-0.00178,-0.0002
0.52,7.30365,-0.19013,0.49134,-0.13217,0.06651,0.00046,5.95705,-0.61586,1.16548,13.4674,0.13343,-0.07144,0.08227,0.00029,0.00556,-0.01793,0.02062,-0.21565,-0.07997,-0.00514,1.36596,0.00071,0.04385,-0.04343,0.00102,-0.00224,-0.00097,0.47235,0.34594,-0.05789,0.06016,-0.01178,-0.00221,-0.00025
0.54,9.70347,-0.2964,0.52553,-0.18816,0.04277,0.00056,6.79726,-0.69203,1.54635,17.00575,0.13898,-0.09108,0.07712,-0.00718,0.00792,-0.02211,0.01259,-0.16935,-0.06511,-0.00388,1.61515,0.00039,0.06307,-0.0482,0.00197,-0.00353,-0.00143,0.60646,0.39989,-0.071,0.05491,-0.01483,-0.00266,-0.00028
