T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00505,-1e-05,0.00682,-0.08222,0.02104,-0.00587,0.00081,-0.00208,0.01265,-0.06025,0.01493,-0.00145,-0.02846,-0.00412,0.03361,0.01858,-0.02623,-0.00396,-0.0107,-0.03028,-0.01059,0.04921,0.00805,0.06565,-0.01831,0.00565,-0.03134,-0.11517,-0.52962,0.00156,0.04703,0.04462,0.02528,-0.03062,0.01919,0.12834,-0.00867,0.0013,-0.00396,-0.00401
0.02,0.00526,2e-05,0.00699,-0.08448,0.02099,-0.00612,0.00115,-0.00169,0.01318,-0.06125,0.01532,-0.00148,-0.0286,-0.00469,0.03513,0.01884,-0.03336,-0.00572,-0.01181,-0.03238,-0.01042,0.04902,0.01217,0.07094,-0.01996,0.00638,-0.03116,-0.1179,-0.54183,0.00125,0.04818,0.04587,0.02596,-0.03045,0.01989,0.13132,-0.00922,0.00133,-0.00401,-0.00407
0.04,0.00543,6e-05,0.00717,-0.08684,0.02031,-0.00653,0.00167,-0.00092,0.01351,-0.06143,0.01584,-0.0015,-0.02794,-0.00548,0.03613,0.01849,-0.03931,-0.00754,-0.01248,-0.03582,-0.01005,0.04847,0.01898,0.07122,-0.01979,0.00645,-0.03009,-0.11925,-0.54665,0.00099,0.04878,0.04668,0.02637,-0.02954,0.02037,0.13271,-0.00992,0.00136,-0.00392,-0.00402
0.06,0.00554,0.00013,0.00745,-0.08991,0.01892,-0.0072,0.00241,0.00036,0.01357,-0.06086,0.01668,-0.0015,-0.02638,-0.00654,0.03643,0.0174,-0.04259,-0.0092,-0.01241,-0.04128,-0.0095,0.04797,0.02929,0.06376,-0.01677,0.00545,-0.02807,-0.11932,-0.54416,0.00089,0.04888,0.04714,0.02655,-0.02788,0.02062,0.13264,-0.01085,0.00137,-0.00363,-0.00385
0.08,0.00558,0.00023,0.00787,-0.09436,0.01671,-0.00824,0.00344,0.00224,0.01329,-0.05963,0.01803,-0.00148,-0.02378,-0.00793,0.03584,0.01536,-0.04122,-0.01038,-0.01122,-0.04951,-0.00884,0.04799,0.04391,0.0452,-0.00967,0.00287,-0.025,-0.1182,-0.53418,0.00108,0.0485,0.04729,0.02654,-0.02544,0.02061,0.13119,-0.0121,0.00139,-0.0031,-0.00352
0.1,0.00554,0.00036,0.00852,-0.10083,0.0136,-0.00978,0.00477,0.00485,0.01258,-0.05782,0.02009,-0.00144,-0.02002,-0.00969,0.03404,0.01221,-0.03273,-0.01068,-0.00844,-0.06121,-0.00814,0.04911,0.0635,0.01172,0.00293,-0.00183,-0.02084,-0.11592,-0.51631,0.0017,0.04767,0.04717,0.02634,-0.02228,0.02029,0.12838,-0.01374,0.0014,-0.00228,-0.00301
0.12,0.00538,0.00053,0.00946,-0.10993,0.00955,-0.01191,0.00643,0.00825,0.01131,-0.05551,0.02306,-0.00138,-0.015,-0.01182,0.0307,0.00774,-0.01418,-0.00954,-0.00356,-0.07701,-0.00749,0.05198,0.08846,-0.04082,0.02252,-0.00929,-0.0156,-0.11246,-0.48999,0.00293,0.04637,0.04678,0.02594,-0.01845,0.01956,0.12422,-0.01581,0.00142,-0.0011,-0.00228
0.14,0.00507,0.00073,0.01074,-0.12217,0.00456,-0.01471,0.00837,0.01247,0.00934,-0.05283,0.0271,-0.0013,-0.00869,-0.01426,0.02541,0.00181,0.01775,-0.0063,0.00399,-0.09728,-0.00703,0.0573,0.11869,-0.11647,0.05057,-0.02011,-0.00937,-0.10782,-0.45473,0.00498,0.04459,0.04608,0.02535,-0.01414,0.01833,0.1187,-0.01831,0.00145,0.00046,-0.00133
0.16,0.00457,0.00096,0.01242,-0.13783,-0.00125,-0.01823,0.01054,0.01742,0.00655,-0.04995,0.03234,-0.0012,-0.00117,-0.01689,0.01778,-0.00563,0.06657,-0.00021,0.01474,-0.12202,-0.00693,0.06586,0.15338,-0.21869,0.08829,-0.0348,-0.00242,-0.102,-0.41034,0.00803,0.04232,0.04505,0.02454,-0.00963,0.0165,0.11183,-0.02118,0.00149,0.00244,-0.00015
0.18,0.00384,0.0012,0.0145,-0.15686,-0.0076,-0.02242,0.01276,0.02291,0.00281,-0.04713,0.03878,-0.00109,0.00727,-0.01947,0.00746,-0.01451,0.13558,0.00959,0.02915,-0.15063,-0.00741,0.07836,0.19067,-0.34952,0.13637,-0.05371,0.00479,-0.09507,-0.35732,0.01227,0.03957,0.04361,0.02349,-0.00538,0.01394,0.10374,-0.02426,0.00154,0.00482,0.00126
0.2,0.00282,0.00144,0.01694,-0.17883,-0.01405,-0.02714,0.01483,0.02857,-0.00193,-0.04472,0.0463,-0.00095,0.01615,-0.0217,-0.00579,-0.02454,0.22738,0.02391,0.04745,-0.18179,-0.00869,0.09541,0.22752,-0.50861,0.19461,-0.07681,0.01157,-0.08723,-0.29707,0.01783,0.03639,0.04172,0.02219,-0.00202,0.01056,0.09463,-0.0273,0.00159,0.00754,0.00283
0.22,0.00149,0.00165,0.0197,-0.20303,-0.02007,-0.03217,0.01649,0.03395,-0.00775,-0.04312,0.05466,-0.00081,0.02487,-0.02321,-0.02196,-0.03531,0.34273,0.04327,0.06955,-0.21369,-0.01091,0.11717,0.2601,-0.6919,0.2615,-0.10354,0.01712,-0.07878,-0.23166,0.02477,0.03288,0.03931,0.02064,-0.00022,0.00619,0.08462,-0.03002,0.00165,0.01053,0.00453
0.24,-0.00019,0.00179,0.02276,-0.22875,-0.02521,-0.03731,0.01754,0.03858,-0.01474,-0.04274,0.06359,-0.00065,0.03284,-0.02375,-0.04066,-0.04631,0.47924,0.0676,0.0948,-0.24438,-0.01389,0.14298,0.28452,-0.89018,0.33383,-0.13255,0.02082,-0.0701,-0.16326,0.03301,0.02913,0.0364,0.01886,-0.00055,0.00056,0.07335,-0.03219,0.00168,0.01376,0.00633
0.26,-0.00222,0.00183,0.0261,-0.2554,-0.02917,-0.04231,0.01793,0.04208,-0.023,-0.04394,0.07273,-0.0005,0.0396,-0.02325,-0.06099,-0.057,0.6299,0.09588,0.12186,-0.27202,-0.01705,0.17106,0.29728,-1.08739,0.40607,-0.16143,0.02232,-0.06167,-0.094,0.04228,0.02526,0.03304,0.0169,-0.00326,-0.00676,0.05987,-0.0337,0.00165,0.01731,0.00825
0.28,-0.00459,0.00175,0.02974,-0.28231,-0.03182,-0.04692,0.01768,0.04411,-0.03262,-0.04704,0.08164,-0.00035,0.04475,-0.02181,-0.0813,-0.06668,0.78155,0.12587,0.14837,-0.29462,-0.01936,0.1981,0.29519,-1.25853,0.4697,-0.18641,0.02161,-0.05418,-0.02643,0.05205,0.02143,0.02939,0.01485,-0.00832,-0.01629,0.04267,-0.03459,0.00151,0.02129,0.01034
0.3,-0.00722,0.00151,0.03368,-0.30858,-0.03313,-0.05079,0.01696,0.04435,-0.0436,-0.05227,0.08968,-0.00022,0.04796,-0.01973,-0.09919,-0.0745,0.91482,0.15407,0.17095,-0.30994,-0.01931,0.21943,0.27541,-1.37054,0.51342,-0.20249,0.01895,-0.04847,0.03606,0.06143,0.0179,0.02573,0.01285,-0.01539,-0.02861,0.01988,-0.03496,0.00117,0.02584,0.01266
0.32,-0.01,0.00106,0.03791,-0.33313,-0.03313,-0.05356,0.01588,0.0425,-0.05594,-0.0598,0.09612,-0.00012,0.04898,-0.01745,-0.11183,-0.07944,1.0078,0.17645,0.1858,-0.31571,-0.01534,0.23,0.23582,-1.39101,0.52612,-0.20479,0.01497,-0.04552,0.08987,0.06904,0.0149,0.02236,0.01108,-0.02394,-0.04421,-0.01012,-0.03502,0.00058,0.03106,0.01526
0.34,-0.01281,0.00036,0.04242,-0.35499,-0.03186,-0.05487,0.0144,0.03832,-0.06978,-0.06968,0.10027,-7e-05,0.0478,-0.01546,-0.11664,-0.08055,1.04216,0.18964,0.18974,-0.31009,-0.00621,0.226,0.17574,-1.30203,0.50162,-0.1907,0.01067,-0.0462,0.13238,0.07297,0.01262,0.01954,0.00966,-0.03345,-0.06339,-0.04794,-0.03496,-0.00028,0.03696,0.01814
0.36,-0.01551,-0.00067,0.04724,-0.37339,-0.02936,-0.05445,0.01223,0.03165,-0.08542,-0.0818,0.10161,-9e-05,0.04472,-0.01426,-0.11167,-0.07704,1.00746,0.19168,0.18088,-0.29211,0.00856,0.20608,0.09672,-1.11027,0.4421,-0.16136,0.00748,-0.0511,0.16267,0.07067,0.01111,0.01738,0.00864,-0.04349,-0.08608,-0.09252,-0.035,-0.00134,0.04333,0.02121
0.38,-0.01792,-0.00209,0.05238,-0.38766,-0.02567,-0.05208,0.00879,0.02248,-0.10324,-0.09579,0.09973,-0.00021,0.04042,-0.01438,-0.09578,-0.06829,0.90219,0.1822,0.15888,-0.26182,0.02852,0.17175,0.00323,-0.85085,0.35934,-0.12232,0.0073,-0.06054,0.1814,0.05891,0.01028,0.01586,0.008,-0.05365,-0.11165,-0.14061,-0.03534,-0.00246,0.04978,0.02429
0.4,-0.01981,-0.00397,0.05777,-0.39708,-0.02084,-0.04764,0.00326,0.01098,-0.12353,-0.11097,0.09437,-0.00048,0.03588,-0.01636,-0.06858,-0.0539,0.7333,0.16224,0.12486,-0.2203,0.05239,0.12698,-0.09692,-0.58359,0.27341,-0.0829,0.01254,-0.0745,0.19043,0.03385,0.00994,0.01489,0.00767,-0.06349,-0.13879,-0.18669,-0.03615,-0.0034,0.0556,0.02704
