T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.0227,-0.00076,-0.00037,-0.00099,-0.0005,-6e-05,-0.00013,0.00014,-1e-05,0.00055,1e-05,3e-05,5e-05,-0.00029,0.0007,8e-05,0.00065,5e-05,2e-05,6e-05,-0.00663,-0.0014,2e-05,-0.00297,0.00013,-3e-05,-0.00011,-0.00447,0.00436,-0.00069,-0.0029,0.00014,8e-05,7e-05
0.02,-0.02224,-0.00087,-0.00037,-0.00099,-0.00051,-6e-05,-0.00018,8e-05,-3e-05,0.00054,1e-05,2e-05,4e-05,-0.0003,0.0007,8e-05,0.00065,5e-05,2e-05,6e-05,-0.00543,-0.00127,0.00019,-0.00189,-6e-05,-2e-05,9e-05,-0.00442,0.00433,-0.0007,-0.00289,0.00014,8e-05,7e-05
0.04,-0.02176,-0.00098,-0.00037,-0.00099,-0.00053,-6e-05,-0.00024,4e-05,-4e-05,0.00053,1e-05,2e-05,3e-05,-0.0003,0.0007,8e-05,0.00065,5e-05,2e-05,6e-05,-0.00224,-0.00072,0.0004,0.001,-0.00055,0.00013,0.0005,-0.00436,0.0043,-0.00071,-0.00288,0.00014,8e-05,7e-05
0.06,-0.02125,-0.0011,-0.00037,-0.001,-0.00054,-6e-05,-0.0003,1e-05,-5e-05,0.00051,1e-05,1e-05,3e-05,-0.00031,0.00069,8e-05,0.00065,5e-05,2e-05,6e-05,0.00211,0.00011,0.00067,0.00496,-0.00123,0.00033,0.00106,-0.0043,0.00427,-0.00071,-0.00286,0.00014,8e-05,7e-05
0.08,-0.02071,-0.00122,-0.00036,-0.00099,-0.00056,-6e-05,-0.00034,0,-5e-05,0.00049,1e-05,1e-05,2e-05,-0.00032,0.00068,8e-05,0.00065,5e-05,2e-05,6e-05,0.00771,0.00125,0.001,0.01011,-0.00214,0.0006,0.00179,-0.00422,0.00424,-0.00072,-0.00285,0.00014,8e-05,7e-05
0.1,-0.02018,-0.00134,-0.00035,-0.00099,-0.00058,-6e-05,-0.00036,1e-05,-4e-05,0.00048,1e-05,1e-05,1e-05,-0.00034,0.00067,8e-05,0.00065,4e-05,2e-05,6e-05,0.01457,0.00274,0.00139,0.01644,-0.00327,0.00094,0.00272,-0.00415,0.00422,-0.00072,-0.00283,0.00014,8e-05,7e-05
0.12,-0.01965,-0.00146,-0.00032,-0.00099,-0.0006,-7e-05,-0.00037,3e-05,-4e-05,0.00047,1e-05,1e-05,0,-0.00036,0.00066,7e-05,0.00065,4e-05,2e-05,6e-05,0.02253,0.00458,0.00182,0.02385,-0.00462,0.00135,0.00381,-0.00407,0.00419,-0.00073,-0.00282,0.00014,8e-05,7e-05
0.14,-0.01915,-0.0016,-0.00029,-0.00099,-0.00062,-7e-05,-0.00035,5e-05,-2e-05,0.00048,1e-05,1e-05,-1e-05,-0.00038,0.00065,7e-05,0.00064,4e-05,2e-05,6e-05,0.03126,0.00672,0.00227,0.032,-0.00613,0.00182,0.00503,-0.00399,0.00417,-0.00073,-0.0028,0.00014,8e-05,7e-05
0.16,-0.01868,-0.00173,-0.00025,-0.001,-0.00064,-7e-05,-0.00032,8e-05,-1e-05,0.0005,0,2e-05,-2e-05,-0.00041,0.00065,7e-05,0.00063,4e-05,2e-05,6e-05,0.04016,0.00904,0.0027,0.04036,-0.00772,0.00231,0.0063,-0.00391,0.00415,-0.00073,-0.00278,0.00014,8e-05,7e-05
0.18,-0.01822,-0.00189,-0.0002,-0.001,-0.00066,-7e-05,-0.00027,9e-05,0,0.00053,0,2e-05,-4e-05,-0.00044,0.00066,7e-05,0.00062,4e-05,2e-05,5e-05,0.04851,0.01141,0.00307,0.04828,-0.00926,0.00279,0.00753,-0.00383,0.00413,-0.00073,-0.00276,0.00014,8e-05,7e-05
0.2,-0.01789,-0.00203,-0.00015,-0.00101,-0.00068,-7e-05,-0.00023,9e-05,1e-05,0.00056,0,3e-05,-5e-05,-0.00047,0.00067,7e-05,0.00061,4e-05,2e-05,5e-05,0.05586,0.01364,0.00337,0.05527,-0.01065,0.00323,0.00864,-0.00375,0.00412,-0.00073,-0.00273,0.00014,8e-05,7e-05
0.22,-0.01782,-0.00213,-0.00011,-0.00101,-0.0007,-7e-05,-0.00021,9e-05,1e-05,0.00058,0,3e-05,-5e-05,-0.00049,0.00067,8e-05,0.00061,4e-05,2e-05,5e-05,0.06206,0.01561,0.00357,0.0611,-0.0118,0.00361,0.00958,-0.00368,0.0041,-0.00072,-0.00271,0.00014,8e-05,6e-05
0.24,-0.01786,-0.00222,-8e-05,-0.001,-0.00071,-8e-05,-0.0002,8e-05,1e-05,0.00059,-0,3e-05,-5e-05,-0.00051,0.00068,8e-05,0.0006,3e-05,2e-05,5e-05,0.06681,0.01725,0.00367,0.06553,-0.01268,0.00391,0.0103,-0.00362,0.00408,-0.00071,-0.00269,0.00013,8e-05,6e-05
0.26,-0.01789,-0.00234,-6e-05,-0.001,-0.00073,-8e-05,-0.00019,6e-05,1e-05,0.0006,-1e-05,3e-05,-5e-05,-0.00053,0.0007,8e-05,0.0006,3e-05,2e-05,5e-05,0.06989,0.01851,0.00368,0.0684,-0.01329,0.00412,0.0108,-0.00356,0.00406,-0.0007,-0.00267,0.00013,8e-05,6e-05
0.28,-0.01792,-0.0025,-4e-05,-0.00099,-0.00074,-8e-05,-0.0002,3e-05,1e-05,0.00061,-1e-05,3e-05,-6e-05,-0.00054,0.00073,9e-05,0.0006,3e-05,2e-05,5e-05,0.07131,0.01939,0.00359,0.06969,-0.01362,0.00425,0.01107,-0.0035,0.00405,-0.0007,-0.00265,0.00013,8e-05,6e-05
0.3,-0.01798,-0.00267,-3e-05,-0.00099,-0.00076,-8e-05,-0.00021,1e-05,1e-05,0.00061,-1e-05,3e-05,-6e-05,-0.00056,0.00077,0.0001,0.0006,3e-05,1e-05,5e-05,0.07112,0.01977,0.00346,0.0695,-0.01365,0.00428,0.01109,-0.00345,0.00405,-0.0007,-0.00263,0.00013,7e-05,5e-05
0.32,-0.01811,-0.00285,-1e-05,-0.00098,-0.00077,-8e-05,-0.00022,-1e-05,1e-05,0.00061,-2e-05,3e-05,-6e-05,-0.00057,0.00081,0.00011,0.00059,3e-05,1e-05,5e-05,0.06939,0.0195,0.0034,0.06798,-0.01334,0.00418,0.01085,-0.00343,0.00406,-0.00071,-0.00261,0.00012,7e-05,5e-05
0.34,-0.01826,-0.00305,-1e-05,-0.00096,-0.00078,-8e-05,-0.00022,-3e-05,0,0.00061,-2e-05,3e-05,-6e-05,-0.00058,0.00086,0.00012,0.00058,4e-05,1e-05,4e-05,0.06608,0.0187,0.0033,0.065,-0.01274,0.00399,0.01037,-0.00342,0.00409,-0.00072,-0.0026,0.00012,7e-05,5e-05
