T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.79652,0.99863,0.99223,0.6967,0.99999,0.97428,0.98396,0.8554,0.95597,0.77017,0.93939,0.99492,0.96392,0.98232,0.81523,0.99946,0.82961,0.70792,0.90173,0.79981,0.96237,0.99986,0.99576,0.66174,0.98817,0.7309,0.72511,0.94882,0.93384,0.99621,0.71144,0.98655,0.85892,0.92725,1.05316,0.97296,0.96702,0.94693,0.95154,0.99,0.48565,0.77851,0.98162,0.80561,0.99993,0.9995,0.95013,0.47309,0.83412,0.98637,0.85628,0.46956,0.95084,0.83098,0.74161,0.89326,0.99885,0.7868,0.99752,0.85071,0.93435,0.78391,0.99801,0.99948,0.82377,0.99658,0.71884,0.73374
0.02,0.79754,0.99865,0.99246,0.6976,0.99999,0.97428,0.98406,0.85527,0.95666,0.76824,0.93964,0.99488,0.96394,0.98235,0.81056,0.99852,0.82837,0.75655,0.91186,0.81906,0.96195,0.99989,0.9954,0.66189,0.9881,0.73075,0.7252,0.94831,0.93533,0.99739,0.71162,0.9865,0.85935,0.92691,1.05272,0.97281,0.96646,0.9475,0.95157,0.99,0.48643,0.77875,0.98215,0.80396,0.99992,0.99951,0.95015,0.47335,0.83686,0.98334,0.85522,0.52877,0.95807,0.8484,0.74306,0.89435,0.99864,0.78691,0.99748,0.85082,0.93428,0.78531,0.99779,0.99984,0.8239,0.99655,0.71821,0.73414
0.04,0.79856,0.99868,0.99269,0.69849,0.99999,0.97428,0.98416,0.85514,0.95734,0.7663,0.93989,0.99485,0.96396,0.98239,0.80593,0.99715,0.82713,0.80063,0.92141,0.83728,0.96154,0.99992,0.99502,0.66203,0.98803,0.7306,0.72529,0.9478,0.9368,0.99836,0.7118,0.98646,0.85977,0.92658,1.05229,0.97266,0.96591,0.94806,0.9516,0.99,0.48721,0.77898,0.98267,0.80231,0.99992,0.99952,0.95018,0.4736,0.83957,0.98003,0.85416,0.58431,0.9647,0.86482,0.7445,0.89544,0.99841,0.78702,0.99744,0.85092,0.93421,0.78669,0.99756,1.00002,0.82403,0.99652,0.71758,0.73454
0.06,0.79957,0.99871,0.99292,0.69938,0.99999,0.97428,0.98426,0.85501,0.95802,0.76436,0.94015,0.99481,0.96399,0.98242,0.80132,0.99535,0.82588,0.8403,0.93041,0.85453,0.96113,0.99994,0.99464,0.66218,0.98796,0.73045,0.72538,0.9473,0.93825,0.99911,0.71197,0.98641,0.86018,0.92624,1.05186,0.97251,0.96534,0.94862,0.95162,0.99,0.48799,0.77921,0.98318,0.80065,0.99992,0.99953,0.9502,0.47386,0.84226,0.97642,0.8531,0.63637,0.97076,0.8803,0.74593,0.89653,0.99816,0.78713,0.9974,0.85103,0.93414,0.78807,0.99732,1.00001,0.82416,0.99649,0.71695,0.73494
0.08,0.80058,0.99874,0.99314,0.70027,0.99999,0.97428,0.98436,0.85487,0.95869,0.7624,0.9404,0.99477,0.96401,0.98245,0.79672,0.99312,0.82463,0.87568,0.93889,0.87087,0.96071,0.99996,0.99423,0.66233,0.98789,0.7303,0.72546,0.94678,0.9397,0.99964,0.71215,0.98636,0.8606,0.9259,1.05142,0.97237,0.96478,0.94918,0.95165,0.99,0.48878,0.77944,0.98369,0.79898,0.99991,0.99955,0.95023,0.47411,0.84493,0.97249,0.85203,0.68509,0.97627,0.89489,0.74737,0.8976,0.9979,0.78724,0.99737,0.85113,0.93407,0.78945,0.99707,0.99983,0.82429,0.99646,0.71632,0.73535
0.1,0.80159,0.99876,0.99336,0.70115,0.99999,0.97428,0.98446,0.85474,0.95936,0.76047,0.94065,0.99474,0.96403,0.98249,0.79218,0.9905,0.82339,0.90635,0.94675,0.88609,0.96029,0.99998,0.99382,0.66248,0.98782,0.73015,0.72555,0.94627,0.9411,0.99996,0.71233,0.98631,0.86102,0.92556,1.05099,0.97222,0.96421,0.94973,0.95167,0.99,0.48955,0.77967,0.98419,0.79733,0.99991,0.99956,0.95025,0.47437,0.84755,0.96832,0.85098,0.72988,0.98116,0.9084,0.74879,0.89867,0.99762,0.78735,0.99733,0.85124,0.934,0.79081,0.9968,0.99946,0.82442,0.99643,0.71569,0.73574
0.12,0.8026,0.99879,0.99357,0.70205,1,0.97428,0.98456,0.85461,0.96002,0.75846,0.94089,0.9947,0.96405,0.98252,0.78758,0.98738,0.82211,0.93314,0.9542,0.90061,0.95986,0.99999,0.99338,0.66262,0.98775,0.73,0.72564,0.94575,0.94253,1.00007,0.7125,0.98627,0.86144,0.92522,1.05055,0.97207,0.96363,0.95029,0.9517,0.99,0.49034,0.77989,0.98468,0.79562,0.9999,0.99957,0.95028,0.47463,0.8502,0.96375,0.84989,0.77199,0.98557,0.92121,0.75023,0.89974,0.99732,0.78746,0.99729,0.85134,0.93393,0.79219,0.99652,0.9989,0.82455,0.9964,0.71505,0.73615
0.14,0.8036,0.99882,0.99379,0.70293,1,0.97428,0.98466,0.85448,0.96068,0.7565,0.94114,0.99466,0.96407,0.98256,0.78309,0.9839,0.82086,0.95507,0.96097,0.91392,0.95944,1,0.99294,0.66278,0.98768,0.72985,0.72573,0.94524,0.9439,0.99995,0.71268,0.98622,0.86186,0.92488,1.05011,0.97192,0.96305,0.95083,0.95172,0.99,0.49111,0.78013,0.98517,0.79395,0.9999,0.99958,0.9503,0.47488,0.85279,0.95897,0.84882,0.80988,0.98933,0.93286,0.75164,0.9008,0.99701,0.78757,0.99725,0.85144,0.93385,0.79355,0.99624,0.99818,0.82468,0.99637,0.71442,0.73655
0.16,0.8046,0.99884,0.994,0.7038,1,0.97428,0.98475,0.85434,0.96135,0.75461,0.94139,0.99463,0.96409,0.98259,0.7787,0.98009,0.81964,0.97234,0.96708,0.92603,0.95902,1.00001,0.99248,0.66294,0.98761,0.7297,0.72582,0.94473,0.9452,0.99964,0.71286,0.98617,0.86226,0.92455,1.04967,0.97177,0.96246,0.95137,0.95175,0.99,0.49186,0.78037,0.98566,0.79234,0.99989,0.99959,0.95033,0.47513,0.85529,0.95401,0.84778,0.84368,0.99247,0.94338,0.75303,0.90185,0.99668,0.7877,0.99721,0.85155,0.93378,0.79488,0.99595,0.9973,0.82481,0.99635,0.71381,0.73694
0.18,0.80559,0.99887,0.9942,0.70475,1,0.97428,0.98486,0.85424,0.96193,0.7523,0.94164,0.99459,0.96412,0.98263,0.77379,0.9753,0.81819,0.98676,0.97332,0.93854,0.95857,1.00001,0.992,0.66303,0.98755,0.72954,0.72591,0.94417,0.94679,0.99902,0.71302,0.98612,0.86272,0.92416,1.04923,0.9716,0.96188,0.95195,0.95177,0.99,0.49275,0.78055,0.98608,0.79037,0.99988,0.99961,0.95036,0.47541,0.85809,0.94807,0.84655,0.8777,0.99536,0.95411,0.75454,0.90292,0.99632,0.78776,0.99717,0.85165,0.93371,0.79632,0.99559,0.99604,0.82493,0.99631,0.7131,0.73739
