T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00429,-1e-05,0.00079,0.06046,0.22116,0.02465,-0.21479,-0.0145,-0.03354,-0.01546,-0.00844,-0.01069,0.02432,0.0206,8e-05,-0.00533,0.00125,0.00352,-0.00434,-0.04094,-0.05993,0.0005,0.00134,-0.00164,-0.01303,0.005,-0.28731,-0.0863,-0.42783,0.01946,0.01239,0.03525,0.01798,-0.26069,0.03894,0.21022,0.01544,0.00363,-0.02393,-0.01219
0.02,-0.00439,-1e-05,0.00082,0.06062,0.22178,0.0248,-0.21523,-0.01451,-0.03359,-0.01578,-0.00844,-0.01085,0.02423,0.02099,9e-05,-0.00526,0.00129,0.00333,-0.00441,-0.04177,-0.06149,0.00074,0.00159,-0.0017,-0.01387,0.00494,-0.28838,-0.08716,-0.43173,0.01953,0.01252,0.03562,0.01817,-0.26167,0.03938,0.21276,0.01551,0.00368,-0.02422,-0.01232
0.04,-0.00445,-1e-05,0.00085,0.0594,0.2173,0.02441,-0.21063,-0.01419,-0.03287,-0.01584,-0.00824,-0.01083,0.02363,0.0211,8e-05,-0.00505,0.00132,0.00297,-0.0044,-0.04197,-0.06245,0.00105,0.00194,-0.00178,-0.01483,0.0047,-0.28298,-0.08626,-0.42664,0.01916,0.0124,0.03525,0.018,-0.25678,0.03904,0.21119,0.01523,0.00366,-0.02405,-0.0122
0.06,-0.00446,-0,0.00087,0.05674,0.20744,0.02348,-0.20069,-0.01353,-0.03132,-0.01563,-0.00783,-0.01064,0.02252,0.02095,5e-05,-0.0047,0.00134,0.0024,-0.00431,-0.04155,-0.06292,0.00142,0.00242,-0.00188,-0.01597,0.00425,-0.27075,-0.08348,-0.41203,0.01834,0.01202,0.03412,0.01743,-0.24571,0.03787,0.20532,0.01459,0.00357,-0.02339,-0.01182
0.08,-0.00444,-0,0.00089,0.05254,0.19192,0.02196,-0.18513,-0.01251,-0.02892,-0.01512,-0.00719,-0.01027,0.02095,0.02057,1e-05,-0.00422,0.00134,0.00161,-0.00413,-0.04049,-0.06297,0.00183,0.00304,-0.002,-0.01736,0.00357,-0.25136,-0.07873,-0.38729,0.01704,0.01135,0.03216,0.01644,-0.22816,0.03581,0.19488,0.01357,0.00342,-0.02222,-0.01117
0.1,-0.00439,-0,0.00091,0.04679,0.17057,0.01984,-0.16375,-0.01114,-0.02563,-0.01428,-0.00632,-0.00972,0.01897,0.01997,-6e-05,-0.0036,0.00133,0.00058,-0.00384,-0.03876,-0.06265,0.00227,0.00383,-0.00217,-0.01902,0.00264,-0.22459,-0.07188,-0.35185,0.01525,0.01039,0.02933,0.01501,-0.20393,0.03281,0.17962,0.01218,0.00319,-0.0205,-0.01023
0.12,-0.00431,0,0.00092,0.0395,0.14347,0.01714,-0.13666,-0.00943,-0.02149,-0.01308,-0.00522,-0.00899,0.01666,0.01916,-0.00016,-0.00288,0.0013,-0.00067,-0.00345,-0.03633,-0.062,0.00269,0.00478,-0.00239,-0.02094,0.00144,-0.19053,-0.06288,-0.30546,0.01299,0.00913,0.0256,0.01312,-0.17312,0.02884,0.15941,0.0104,0.00288,-0.01823,-0.00901
0.14,-0.00421,0,0.00093,0.03085,0.11118,0.0139,-0.10441,-0.00744,-0.0166,-0.0115,-0.00393,-0.00809,0.0142,0.01817,-0.00029,-0.0021,0.00125,-0.0021,-0.00296,-0.03318,-0.061,0.00303,0.00587,-0.00266,-0.02304,-2e-05,-0.14989,-0.05183,-0.24857,0.01029,0.00758,0.021,0.01077,-0.13637,0.02391,0.13435,0.00828,0.00251,-0.01541,-0.0075
0.16,-0.00408,1e-05,0.00093,0.02119,0.07503,0.01024,-0.06831,-0.00526,-0.01116,-0.00953,-0.0025,-0.00706,0.01182,0.01703,-0.00046,-0.00132,0.00118,-0.00365,-0.00236,-0.02934,-0.05966,0.00321,0.00703,-0.00298,-0.02519,-0.0017,-0.10429,-0.03901,-0.18272,0.00728,0.00578,0.01564,0.00803,-0.09514,0.01814,0.10505,0.00591,0.00208,-0.01211,-0.00575
0.18,-0.00393,1e-05,0.00091,0.01118,0.03738,0.0064,-0.03075,-0.00306,-0.00556,-0.0072,-0.00102,-0.00594,0.00985,0.01582,-0.00067,-0.00064,0.00107,-0.00517,-0.00168,-0.02489,-0.05793,0.00311,0.00817,-0.00333,-0.02713,-0.0035,-0.05668,-0.02504,-0.11121,0.00415,0.00381,0.00978,0.00502,-0.05213,0.01178,0.0728,0.00345,0.0016,-0.00849,-0.00385
0.2,-0.00376,1e-05,0.00087,0.00178,0.00176,0.00272,0.00471,-0.00109,-0.00035,-0.00459,0.00034,-0.00481,0.00874,0.01462,-0.00092,-0.00019,0.00092,-0.00648,-0.00094,-0.02004,-0.0558,0.00259,0.00913,-0.00371,-0.02853,-0.00528,-0.01147,-0.01092,-0.0392,0.0012,0.00183,0.0038,0.00193,-0.01132,0.00526,0.03973,0.00112,0.00113,-0.00477,-0.00194
0.22,-0.00358,1e-05,0.00081,-0.00594,-0.02786,-0.00042,0.03413,0.00038,0.00385,-0.0018,0.00142,-0.00376,0.00895,0.01354,-0.00118,-0.00011,0.00074,-0.00738,-0.0002,-0.015,-0.05327,0.00148,0.00976,-0.00407,-0.02905,-0.0069,0.02642,0.00222,0.02733,-0.00124,-2e-05,-0.00181,-0.001,0.02283,-0.00096,0.00832,-0.00082,0.00068,-0.00124,-0.00016
