T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.0007,0,0,0.00391,0.00227,0,0,0.01244,0,0.0015,0.00302,0.00399,0,0.04757,0,0.00144,0.00196,0.00041,0.00238,0,0.0025,0.002,0,0.00121,0,0.00012,0.00218,0.00025,0,0.00161,0.00102,0.00056,0.0011,0,0,0,0.00046,0.00181,0.00218,0,0.02027,0,0.01245,0.00088,0.00702,0,0,0,0.01008,0.01517,0.00021,0.0013,0.00549,0.00012,0.00064,0.00398,0.00173,0.00161,0.00072,0.00047,0.00013,0,0.00121,0.00033,0.00162,0.0027,0.00267
0.02,0,0.00063,0,0,0.00372,0.00204,0,0,0.01307,0,0.00138,0.00262,0.00365,0,0.05452,0,0.00123,0.00177,0.00041,0.00213,0,0.0025,0.00178,0,0.00112,0,0.0001,0.00225,0.00023,0.00382,0.00143,0.00092,0.00052,0.00098,0,0,0,0.00041,0.00151,0.00193,0,0.03058,0,0.01132,0.00072,0.00682,0,0,0,0.01122,0.01515,8e-05,0.0015,0.00546,0.00012,0.0006,0.00278,0.00152,0.00145,0.0006,0.00045,0.00012,0,0.00113,0.00031,0.00153,0.00144,0.00202
0.04,0,0.00053,0,0,0.00351,0.00182,0,0,0.01366,0,0.00127,0.00224,0.00332,0,0.06078,0,0.00104,0.0016,0.00041,0.00191,0,0.00257,0.00157,0,0.00103,0,0.00013,0.00232,0.00022,0.00837,0.00122,0.00082,0.00048,0.00087,0,0,0,0.00037,0.00123,0.0017,0,0.04024,0,0.01004,0.00059,0.00672,0,0,0,0.01243,0.01501,0,0.00174,0.00542,0.00011,0.00056,0.0016,0.00132,0.00129,0.00047,0.00043,0.00011,0,0.00106,0.00029,0.00145,0,0.00128
0.06,0,0.00037,0,0,0.00328,0.00162,0,0,0.01417,0,0.00117,0.0019,0.00298,0,0.06618,0,0.00086,0.00144,0.00042,0.00171,0,0.00273,0.00139,0,0.00095,0,0.00023,0.00238,0.00021,0.0126,0.00097,0.00074,0.00044,0.00078,0,0,0,0.00032,0.00098,0.0015,0,0.04906,0,0.00861,0.00049,0.00671,0,0,0,0.0137,0.01472,0,0.00201,0.00537,0.00011,0.00052,0.00045,0.00114,0.00115,0.00033,0.00041,0.0001,0,0.00099,0.00028,0.00138,0,0.00042
0.08,0,0.00017,0,0,0.00302,0.00143,0,0,0.01459,0,0.00108,0.00159,0.00263,0,0.07051,0,0.00068,0.0013,0.00043,0.00153,0,0.00297,0.00121,0,0.00088,0,0.0004,0.00242,0.0002,0.01644,0.00067,0.00066,0.00041,0.00069,0,0,0,0.00027,0.00074,0.00132,0,0.05679,0,0.00701,0.00044,0.00679,0,0,0,0.015,0.01425,0,0.00231,0.00529,0.00011,0.00048,0,0.00098,0.00102,0.00016,0.0004,0.0001,0,0.00093,0.00026,0.00132,0,0
0.1,0,0,0,0,0.00274,0.00126,0,0,0.01489,0,0.001,0.0013,0.00226,0,0.07355,0,0.0005,0.00118,0.00045,0.00138,0,0.00331,0.00106,0,0.00082,0,0.00064,0.00243,0.00019,0.0198,0.00033,0.00059,0.00039,0.00061,0.00042,0,0,0.00023,0.00054,0.00117,0,0.06319,0,0.0052,0.00043,0.00696,0,0,0,0.01633,0.01356,0,0.00265,0.00517,0.00011,0.00045,0,0.00083,0.00091,0,0.00039,9e-05,0,0.00088,0.00025,0.00127,0,0
0.12,0,0,0,0,0.00241,0.00109,0,0,0.01504,0,0.00093,0.00105,0.00189,0,0.07507,0,0.00033,0.00107,0.00046,0.00125,0,0.00374,0.00092,0,0.00076,0.00116,0.00097,0.00242,0.00018,0.02258,0,0.00053,0.00037,0.00054,0.00091,0,0,0.00018,0.00035,0.00105,0,0.06801,0,0.00317,0.00046,0.00721,0,0,0,0.01766,0.01263,0,0.00301,0.00502,0.00011,0.00043,0,0.0007,0.00081,0,0.00039,8e-05,0,0.00084,0.00024,0.00122,0,0
0.14,0,0,0,0,0.00205,0.00094,0,0,0.015,0,0.00087,0.00083,0.00149,0,0.07484,0,0.00017,0.00097,0.00048,0.00114,0,0.00427,0.00079,0,0.00071,0.0028,0.00137,0.00238,0.00017,0.02468,0,0.00048,0.00035,0.00047,0.00145,0,0,0.00012,0.0002,0.00095,0,0.07096,0,0.00088,0.00054,0.00755,0,0,0,0.01897,0.0114,0,0.00341,0.00481,0.00012,0.0004,0,0.00058,0.00074,0,0.00038,8e-05,0,0.0008,0.00024,0.00119,0,0
0.16,0,0,0,0,0.00163,0.0008,0,0,0.01474,0,0.00082,0.00063,0.00107,0,0.07259,0,1e-05,0.00089,0.00049,0.00104,0,0.00488,0.00068,0,0.00067,0.00458,0.00186,0.00229,0.00017,0.026,0,0.00043,0.00033,0.00042,0.00203,0,0,6e-05,6e-05,0.00088,0,0.07178,0,0,0.00067,0.00796,0,0,0,0.02023,0.00985,0,0.00384,0.00454,0.00012,0.00038,0,0.00048,0.00068,0,0.00037,7e-05,0,0.00076,0.00023,0.00117,0,0
0.18,0,0,0.0002,0,0.00116,0.00067,0,0,0.01422,0,0.00076,0.00047,0.00062,0,0.06808,0,0,0.00082,0.00051,0.00097,0,0.00559,0.00058,0,0.00063,0.0065,0.00244,0.00215,0.00016,0.02646,0,0.00039,0.00031,0.00037,0.00266,0,0,0,0,0.00083,0,0.07015,0,0,0.00085,0.00844,0,0,0,0.0214,0.00793,0,0.00429,0.0042,0.00013,0.00035,0,0.00039,0.00065,0,0.00037,7e-05,0,0.00073,0.00022,0.00116,0,0
