T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.02291,-0.00111,0.00578,-0.07717,-0.4335,-0.01406,0.52336,0.01016,0.05055,-0.0753,0.01875,0.00813,-0.28971,0.04417,-0.00225,0.00058,0.61588,-0.02591,0.15172,0.00246,-0.02272,-0.00353,-0.00236,0.01644,0.06061,0.00921,0.50601,-0.05734,-0.19354,-0.09479,0.01044,0.02966,0.01706,0.48107,0.05428,0.25956,-0.07076,0.0022,-0.02982,-0.0176
0.02,-0.02521,-0.0014,0.00739,-0.09347,-0.48856,-0.01585,0.58764,0.01142,0.05481,-0.08156,0.02022,0.01027,-0.31341,0.04942,-0.00214,0.00095,0.7755,-0.02312,0.18415,0.00839,-0.01923,-0.00497,-0.0026,0.01622,0.06565,0.00107,0.57148,-0.06942,-0.23216,-0.10716,0.01256,0.0369,0.021,0.54147,0.05834,0.28573,-0.07971,0.00263,-0.03223,-0.01909
0.04,-0.0277,-0.00177,0.00948,-0.11421,-0.55341,-0.01801,0.66268,0.01294,0.0593,-0.08791,0.02173,0.01303,-0.33634,0.05514,-0.00191,0.00141,0.98128,-0.01871,0.22469,0.01619,-0.0135,-0.00668,-0.00273,0.01533,0.0711,-0.01081,0.64895,-0.08452,-0.27986,-0.12176,0.01521,0.04608,0.02597,0.61254,0.06215,0.31348,-0.09023,0.00314,-0.03454,-0.02054
0.06,-0.03006,-0.0022,0.01196,-0.1375,-0.62124,-0.02024,0.74078,0.01457,0.06329,-0.09362,0.02324,0.01626,-0.35351,0.06075,-0.00154,0.00195,1.22164,-0.01271,0.27056,0.02641,-0.00549,-0.0086,-0.00267,0.01376,0.07663,-0.02632,0.73031,-0.10198,-0.33507,-0.13718,0.01825,0.05683,0.03175,0.68677,0.0651,0.33981,-0.10127,0.00373,-0.03654,-0.0218
0.08,-0.03189,-0.00268,0.01469,-0.16095,-0.6833,-0.02219,0.81192,0.01614,0.06588,-0.0977,0.02469,0.01971,-0.35892,0.06549,-0.00099,0.00256,1.4795,-0.00527,0.31777,0.03932,0.00474,-0.0106,-0.00233,0.0115,0.08172,-0.04512,0.80517,-0.12073,-0.3947,-0.15158,0.0215,0.0685,0.03799,0.75453,0.0664,0.36059,-0.11147,0.00436,-0.03787,-0.02265
0.1,-0.03276,-0.00316,0.0175,-0.18202,-0.73036,-0.02353,0.86541,0.01745,0.06618,-0.099,0.02589,0.0231,-0.34647,0.0684,-0.00027,0.00319,1.73441,0.00334,0.36171,0.05474,0.01706,-0.01245,-0.00159,0.00849,0.0857,-0.06661,0.8626,-0.13931,-0.4543,-0.16295,0.02469,0.08022,0.04421,0.80569,0.06515,0.37107,-0.11934,0.005,-0.03809,-0.02281
0.12,-0.03225,-0.00361,0.02015,-0.19846,-0.75419,-0.024,0.89152,0.01833,0.06347,-0.09638,0.02665,0.02614,-0.31092,0.0685,0.00065,0.00377,1.96469,0.01272,0.39756,0.0718,0.03122,-0.01388,-0.00033,0.00465,0.08789,-0.08997,0.89288,-0.15597,-0.50821,-0.16943,0.02751,0.09096,0.04984,0.83125,0.06051,0.36636,-0.12357,0.00556,-0.03672,-0.02197
0.14,-0.03007,-0.00399,0.02244,-0.20858,-0.749,-0.02352,0.8832,0.0187,0.05736,-0.08888,0.02668,0.02857,-0.24898,0.06483,0.00171,0.00422,2.14959,0.02229,0.42087,0.08885,0.04683,-0.01448,0.00157,-0.0001,0.08768,-0.11411,0.88919,-0.16885,-0.55006,-0.16964,0.02965,0.09963,0.05429,0.82493,0.05178,0.34217,-0.12316,0.00598,-0.03327,-0.01985
0.16,-0.02605,-0.00425,0.02413,-0.2116,-0.71275,-0.02214,0.83757,0.01854,0.04793,-0.07591,0.02572,0.03018,-0.16023,0.05661,0.00286,0.00441,2.27155,0.03127,0.42808,0.10336,0.06328,-0.01377,0.00422,-0.00584,0.08465,-0.13773,0.84916,-0.17611,-0.57323,-0.1629,0.03083,0.10514,0.05699,0.78462,0.03859,0.2955,-0.11771,0.00618,-0.02734,-0.01621
0.18,-0.02027,-0.00438,0.02505,-0.2078,-0.64806,-0.02018,0.75706,0.01797,0.03585,-0.05739,0.02353,0.03082,-0.04793,0.04336,0.00397,0.0042,2.31824,0.03872,0.417,0.11204,0.07979,-0.01118,0.00769,-0.0126,0.07867,-0.15933,0.77596,-0.17615,-0.57156,-0.14949,0.03081,0.10652,0.05745,0.71338,0.02101,0.22532,-0.1075,0.00607,-0.01868,-0.01092
0.2,-0.01302,-0.00434,0.02505,-0.19859,-0.5624,-0.0181,0.64972,0.01718,0.02234,-0.03388,0.01995,0.03046,0.08056,0.02498,0.00491,0.0034,2.28418,0.04362,0.3872,0.11093,0.09532,-0.00604,0.01199,-0.02033,0.06994,-0.17733,0.67847,-0.16783,-0.5401,-0.13073,0.02944,0.10307,0.05531,0.61965,-0.00038,0.13303,-0.09361,0.00561,-0.00726,-0.00402
