T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-0.00403,0.49947,1e-05,-0.00464,-9e-05,-0.01017,-0.00403,0.49947,1e-05,-0.00464,-9e-05,-0.01017
0.02,-0.00401,0.49947,1e-05,-0.00462,-9e-05,-0.01017,-0.00401,0.49947,1e-05,-0.00462,-9e-05,-0.01017
0.04,-0.00399,0.49947,1e-05,-0.0046,-8e-05,-0.01018,-0.00399,0.49947,1e-05,-0.0046,-8e-05,-0.01018
0.06,-0.00397,0.49947,1e-05,-0.00458,-7e-05,-0.01018,-0.00397,0.49947,1e-05,-0.00458,-7e-05,-0.01018
0.08,-0.00396,0.49947,1e-05,-0.00456,-7e-05,-0.01019,-0.00396,0.49947,1e-05,-0.00456,-7e-05,-0.01019
0.1,-0.00395,0.49947,0,-0.00455,-6e-05,-0.01019,-0.00394,0.49947,0,-0.00455,-6e-05,-0.01019
0.12,-0.00393,0.49947,0,-0.00453,-5e-05,-0.01019,-0.00393,0.49947,0,-0.00453,-5e-05,-0.01019
0.14,-0.00392,0.49947,0,-0.00451,-5e-05,-0.01019,-0.00392,0.49947,0,-0.00451,-5e-05,-0.01019
0.16,-0.00391,0.49947,0,-0.00449,-5e-05,-0.01019,-0.00391,0.49946,0,-0.00449,-5e-05,-0.01019
0.18,-0.00391,0.49948,0,-0.00448,-4e-05,-0.01019,-0.00391,0.49946,0,-0.00448,-4e-05,-0.01019
0.2,-0.0039,0.49948,0,-0.00447,-4e-05,-0.01019,-0.0039,0.49946,0,-0.00447,-4e-05,-0.01019
0.22,-0.0039,0.49948,0,-0.00446,-4e-05,-0.01019,-0.0039,0.49945,0,-0.00446,-4e-05,-0.01019
0.24,-0.0039,0.49949,0,-0.00445,-4e-05,-0.01019,-0.0039,0.49945,0,-0.00445,-4e-05,-0.01019
0.26,-0.00389,0.49949,0,-0.00445,-4e-05,-0.01019,-0.00389,0.49944,0,-0.00445,-4e-05,-0.01019
0.28,-0.00389,0.4995,0,-0.00445,-4e-05,-0.01019,-0.00389,0.49944,0,-0.00445,-4e-05,-0.01019
0.3,-0.00389,0.4995,0,-0.00444,-3e-05,-0.01019,-0.00389,0.49943,0,-0.00444,-4e-05,-0.01019
0.32,-0.00389,0.4995,0,-0.00444,-3e-05,-0.01019,-0.00389,0.49943,0,-0.00444,-3e-05,-0.01019
0.34,-0.00389,0.4995,0,-0.00444,-3e-05,-0.01019,-0.00389,0.49943,0,-0.00444,-3e-05,-0.01019
