T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00579,0.00108,-8e-05,-0.00026,0.00016,2e-05,-0.00096,0.00086,-0.00229,-0.00282,-9e-05,7e-05,0.00021,-0.00102,-0.00042,-0.00227,-0.00122,-0.00011,-0.00015,-4e-05,0.01008,0.01677,-0.00267,0.01938,-0.01282,-9e-05,0.00177,0.00881,-0.01869,0.00369,0.02368,-0.01301,-0.00459,-0.00372
0.02,-0.00583,0.00107,-9e-05,-0.00026,0.00016,2e-05,-0.00096,0.00087,-0.00229,-0.00282,-9e-05,7e-05,0.00021,-0.00102,-0.00043,-0.00227,-0.00122,-0.00011,-0.00015,-4e-05,0.01019,0.01675,-0.00267,0.0194,-0.01282,-8e-05,0.00177,0.00881,-0.01869,0.00368,0.02364,-0.01301,-0.00457,-0.00371
0.04,-0.00587,0.00105,-0.0001,-0.00025,0.00015,2e-05,-0.00096,0.00088,-0.00229,-0.00282,-9e-05,7e-05,0.00021,-0.00101,-0.00044,-0.00227,-0.00121,-0.00011,-0.00014,-4e-05,0.01029,0.01672,-0.00267,0.01941,-0.01282,-6e-05,0.00177,0.00882,-0.01868,0.00368,0.0236,-0.01302,-0.00454,-0.0037
0.06,-0.0059,0.00103,-0.00012,-0.00025,0.00015,2e-05,-0.00096,0.00089,-0.00229,-0.00282,-9e-05,7e-05,0.00021,-0.00101,-0.00045,-0.00227,-0.00121,-0.00011,-0.00014,-4e-05,0.0104,0.0167,-0.00267,0.01942,-0.01283,-5e-05,0.00177,0.00883,-0.01868,0.00367,0.02356,-0.01303,-0.00451,-0.00369
0.08,-0.00594,0.001,-0.00014,-0.00025,0.00015,2e-05,-0.00096,0.0009,-0.00229,-0.00283,-9e-05,7e-05,0.00021,-0.001,-0.00046,-0.00227,-0.00121,-0.00011,-0.00014,-4e-05,0.0105,0.01667,-0.00267,0.01944,-0.01283,-3e-05,0.00177,0.00884,-0.01868,0.00367,0.02353,-0.01304,-0.00448,-0.00368
0.1,-0.00597,0.00096,-0.00016,-0.00025,0.00015,2e-05,-0.00096,0.0009,-0.00229,-0.00283,-9e-05,7e-05,0.00021,-0.001,-0.00048,-0.00227,-0.00121,-0.00011,-0.00014,-4e-05,0.01061,0.01665,-0.00267,0.01945,-0.01284,-1e-05,0.00177,0.00885,-0.01869,0.00366,0.02349,-0.01305,-0.00445,-0.00367
0.12,-0.006,0.00093,-0.00018,-0.00025,0.00015,2e-05,-0.00096,0.00091,-0.00229,-0.00283,-9e-05,7e-05,0.00021,-0.001,-0.00049,-0.00227,-0.0012,-0.00011,-0.00014,-4e-05,0.01072,0.01663,-0.00268,0.01946,-0.01284,0,0.00178,0.00887,-0.0187,0.00366,0.02345,-0.01305,-0.00441,-0.00366
0.14,-0.00603,0.0009,-0.0002,-0.00025,0.00014,2e-05,-0.00096,0.00091,-0.00229,-0.00283,-9e-05,7e-05,0.00021,-0.00099,-0.0005,-0.00227,-0.0012,-0.00011,-0.00014,-4e-05,0.01082,0.01661,-0.00268,0.01948,-0.01284,2e-05,0.00178,0.00888,-0.01872,0.00365,0.02341,-0.01306,-0.00438,-0.00365
0.16,-0.00606,0.00087,-0.00022,-0.00025,0.00014,2e-05,-0.00096,0.00092,-0.00229,-0.00283,-9e-05,6e-05,0.00021,-0.00099,-0.00051,-0.00227,-0.0012,-0.00011,-0.00014,-4e-05,0.01093,0.01659,-0.00268,0.01949,-0.01284,4e-05,0.00178,0.00891,-0.01876,0.00365,0.02338,-0.01306,-0.00435,-0.00364
0.18,-0.0061,0.00085,-0.00024,-0.00025,0.00014,2e-05,-0.00096,0.00092,-0.00229,-0.00283,-9e-05,6e-05,0.00021,-0.00098,-0.00052,-0.00227,-0.0012,-0.00011,-0.00014,-3e-05,0.01105,0.01657,-0.00267,0.0195,-0.01285,6e-05,0.00179,0.00893,-0.01881,0.00363,0.02335,-0.01307,-0.00432,-0.00363
