T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.0084,0,0,0.00423,0.00128,0,0.0114,0,0,0,0.00314,0.0285,0,0,0,0,0,0,0,0.08923,0.09915,0,0.09567,0,0,0.26392,0.07797,0,0.1999,0.11689,0,0,0,0.02166,0,0.00131,0.00495,0,0,0.01109,0,0.08611,0.06184,0.01547,0,0,0.01292,0.0061,0.05734,0.02927,0.01801,0.02205,0.00647,0,0,0.14449,0,0.10723,0.00371,0,0,0.1105,0,0,0.1088,0.15796,0.5556
0.02,0,0.0083,0,0,0.00419,0.00125,0,0.01154,0,0,0,0.00313,0.02852,0,0,0,0,0,0,0,0.09018,0.09901,0,0.09573,0,0,0.2639,0.07803,0,0.19964,0.11669,0,0,0,0.02181,0,0.00145,0.00492,0,0,0.01109,0,0.0861,0.06191,0.01547,0,0,0.01287,0.00624,0.05734,0.02922,0.01795,0.02198,0.00631,0,0,0.14456,0,0.10726,0.00317,0,0,0.11047,0,0,0.10888,0.157,0.55422
0.04,0,0.00815,0,0,0.00415,0.00122,0,0.01167,0,0,0,0.00311,0.02853,0,0,0,0,0,0,0,0.09112,0.09886,0,0.0958,0,0,0.26393,0.07809,0,0.19939,0.11649,0,0,0,0.02196,0,0.00166,0.00489,0,0,0.01109,0,0.0861,0.06197,0.01547,0,0,0.01282,0.00639,0.05733,0.02916,0.01788,0.02191,0.00615,0,0,0.14465,0,0.10729,0.00259,0,0,0.11044,0,0,0.10895,0.15601,0.5528
0.06,0,0.00795,0,0,0.0041,0.00119,0,0.01177,0,0,0,0.0031,0.02854,0,0,0,0,0,0,0,0.09205,0.09871,0,0.09586,0,0,0.26403,0.07816,0,0.19914,0.1163,0,0,0,0.02209,0,0.00194,0.00486,0,0,0.01109,0,0.0861,0.06202,0.01547,0,0,0.01276,0.00654,0.05733,0.0291,0.01782,0.02184,0.006,0,0,0.14475,0,0.10732,0.00197,0,0,0.11042,0,0,0.10901,0.155,0.55132
0.08,0,0.00771,0,0,0.00405,0.00116,0,0.01186,0,0,0,0.00308,0.02854,0,0,0,0,0,0,0,0.09299,0.09856,0,0.09593,0,0,0.26423,0.07825,0,0.19887,0.11611,0,0,0,0.02221,0,0.00227,0.00482,0,0,0.01109,0,0.08609,0.06206,0.01547,0,0,0.01271,0.0067,0.05733,0.02904,0.01776,0.02176,0.00585,0,0,0.14485,0,0.10735,0.00131,0,0,0.11042,0,0,0.10908,0.15396,0.54976
0.1,0,0.00745,0,0,0.00399,0.00113,0,0.01193,0,0,1e-05,0.00307,0.02855,0,0,1e-05,0,1e-05,0,1e-05,0.09394,0.09843,2e-05,0.096,3e-05,0,0.26452,0.07837,1e-05,0.19861,0.11593,3e-05,1e-05,1e-05,0.02233,0,0.00263,0.00479,0,0,0.01109,0,0.0861,0.06209,0.01548,1e-05,1e-05,0.01266,0.00687,0.05733,0.02898,0.01771,0.02169,0.00572,1e-05,1e-05,0.14495,1e-05,0.10739,0.00061,0,0,0.11046,2e-05,1e-05,0.10914,0.15289,0.54814
0.12,1e-05,0.00721,2e-05,3e-05,0.00395,0.00118,2e-05,0.01202,2e-05,3e-05,0.00019,0.00312,0.02873,2e-05,3e-05,7e-05,3e-05,0.00022,5e-05,0.0002,0.0949,0.09832,9e-05,0.09608,0.00011,0.00084,0.26507,0.07851,3e-05,0.19833,0.11578,0.00011,9e-05,0.00011,0.02245,2e-05,0.00302,0.00478,3e-05,0.0001,0.01111,3e-05,0.08614,0.06214,0.01569,0.00018,0.00018,0.01262,0.00704,0.05737,0.02896,0.01783,0.02175,0.0058,2e-05,2e-05,0.14503,4e-05,0.10744,0.00089,5e-05,1e-05,0.11057,0.0001,7e-05,0.10922,0.15189,0.54687
0.14,5e-05,0.00754,4e-05,0.00012,0.00393,0.00119,5e-05,0.01209,7e-05,6e-05,0.00032,0.00312,0.02894,5e-05,8e-05,0.00023,5e-05,0.00041,0.00016,0.00029,0.0959,0.09824,0.00031,0.09619,0.0003,0.00165,0.26591,0.07876,8e-05,0.19819,0.11566,0.0003,0.00024,0.00019,0.02258,0.00062,0.00342,0.00482,8e-05,0.00014,0.01114,6e-05,0.08622,0.06219,0.01585,0.00024,0.00037,0.01258,0.00722,0.05747,0.02894,0.01793,0.02198,0.00579,6e-05,7e-05,0.14518,0.0001,0.10752,0.00113,0.00016,8e-05,0.11076,0.00043,0.00016,0.10932,0.1509,0.54541
0.16,4e-05,0.00724,3e-05,0.0001,0.00385,0.00113,4e-05,0.01213,6e-05,6e-05,0.00024,0.00311,0.02884,4e-05,7e-05,0.00018,5e-05,0.00038,0.00012,0.00022,0.09681,0.09814,0.00032,0.09625,0.00019,0.00215,0.26628,0.07892,6e-05,0.19781,0.11545,0.00019,0.00017,0.00015,0.02269,0.00054,0.00378,0.0048,6e-05,0.00011,0.01114,5e-05,0.0862,0.0622,0.01575,0.00023,0.00029,0.01252,0.00736,0.05744,0.02887,0.01784,0.02179,0.0056,3e-05,7e-05,0.14518,9e-05,0.10751,0.001,0.00012,6e-05,0.11094,0.00035,0.00011,0.10934,0.1497,0.54344
0.18,2e-05,0.007,2e-05,6e-05,0.00376,0.00106,3e-05,0.0122,4e-05,3e-05,0.00022,0.00308,0.02876,3e-05,5e-05,0.0001,3e-05,0.00022,0.0001,0.00016,0.09782,0.09798,0.00018,0.09629,7e-05,0.00265,0.26675,0.07907,2e-05,0.19708,0.1153,8e-05,0.0001,9e-05,0.02282,0.00047,0.00413,0.00478,4e-05,8e-05,0.01114,3e-05,0.08617,0.06219,0.01572,0.00018,0.00024,0.01246,0.00748,0.05738,0.02881,0.01765,0.02165,0.00543,2e-05,3e-05,0.14488,4e-05,0.1075,0.00083,8e-05,3e-05,0.11118,0.00022,0.0001,0.10934,0.14872,0.54184
