T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00022,3e-05,-0.00011,-3.16312,-0.5964,-0.05698,0.74253,0.05223,-0.07312,-0.27516,-0.01102,-0.0163,1.28683,-1.72534,0.97099,0.10101,1.7833,0.16984,0.0569,1.48549,1.7039,-0.97099,0.101,-1.86479,0.17959,-0.06713,0.68198,-0.02226,-0.17007,-0.38723,-0.11575,-0.04218,-0.05925,0.7533,0.14156,0.09964,-0.47979,-0.11291,0.03681,0.05653
0.02,-0.00019,2e-05,-0.00012,-3.16277,-0.59621,-0.05702,0.74229,0.05211,-0.07323,-0.27524,-0.01119,-0.01632,1.28753,-1.72492,0.97099,0.10101,1.7833,0.16973,0.0569,1.49374,1.70354,-0.97099,0.101,-1.86569,0.17963,-0.06851,0.68169,-0.02284,-0.17322,-0.38732,-0.11569,-0.04179,-0.05908,0.75323,0.14165,0.09976,-0.47987,-0.1129,0.03669,0.0565
0.04,-0.00016,1e-05,-0.00012,-3.16243,-0.59602,-0.05705,0.74205,0.05198,-0.07335,-0.27533,-0.01136,-0.01633,1.28823,-1.72449,0.97099,0.101,1.7833,0.16962,0.0569,1.50198,1.70318,-0.97099,0.101,-1.86658,0.17967,-0.06989,0.6814,-0.02342,-0.17635,-0.3874,-0.11564,-0.0414,-0.05891,0.75317,0.14174,0.09988,-0.47995,-0.1129,0.03658,0.05647
0.06,-0.00013,-0,-0.00013,-3.16208,-0.59583,-0.05708,0.74181,0.05185,-0.07346,-0.27541,-0.01152,-0.01634,1.28892,-1.72407,0.97099,0.101,1.7833,0.16951,0.0569,1.51021,1.70282,-0.97099,0.101,-1.86748,0.17972,-0.07126,0.6811,-0.024,-0.17949,-0.38749,-0.11558,-0.04101,-0.05873,0.7531,0.14183,0.1,-0.48004,-0.1129,0.03646,0.05644
0.08,-9e-05,-1e-05,-0.00013,-3.16174,-0.59564,-0.05711,0.74157,0.05172,-0.07358,-0.2755,-0.01169,-0.01635,1.28962,-1.72364,0.97099,0.101,1.78329,0.1694,0.0569,1.51847,1.70246,-0.97099,0.101,-1.86838,0.17976,-0.07264,0.6808,-0.02458,-0.18263,-0.38758,-0.11553,-0.04061,-0.05856,0.75304,0.14192,0.10011,-0.48012,-0.11289,0.03635,0.05641
0.1,-6e-05,-2e-05,-0.00014,-3.1614,-0.59545,-0.05715,0.74133,0.05159,-0.07369,-0.27558,-0.01186,-0.01636,1.29033,-1.72322,0.97099,0.101,1.78329,0.16929,0.05691,1.52667,1.7021,-0.97099,0.101,-1.86927,0.1798,-0.07401,0.68052,-0.02515,-0.18575,-0.38766,-0.11547,-0.04022,-0.05839,0.75298,0.14202,0.10025,-0.4802,-0.11289,0.03623,0.05638
0.12,-3e-05,-3e-05,-0.00015,-3.16105,-0.59525,-0.05718,0.74109,0.05146,-0.07381,-0.27567,-0.01203,-0.01637,1.291,-1.72279,0.97099,0.101,1.78329,0.16918,0.05691,1.53496,1.70173,-0.97099,0.101,-1.87018,0.17985,-0.07539,0.68021,-0.02573,-0.18892,-0.38775,-0.11542,-0.03983,-0.05822,0.7529,0.1421,0.10033,-0.48028,-0.11289,0.03612,0.05635
0.14,-0,-4e-05,-0.00015,-3.16071,-0.59507,-0.05721,0.74085,0.05133,-0.07392,-0.27575,-0.01219,-0.01639,1.29171,-1.72237,0.97099,0.101,1.78329,0.16907,0.05691,1.54317,1.70137,-0.97099,0.101,-1.87107,0.17989,-0.07676,0.67992,-0.02631,-0.19205,-0.38783,-0.11536,-0.03944,-0.05804,0.75284,0.14219,0.10047,-0.48036,-0.11288,0.03601,0.05632
0.16,3e-05,-5e-05,-0.00016,-3.16038,-0.5949,-0.05725,0.74063,0.0512,-0.07403,-0.27584,-0.01236,-0.0164,1.29245,-1.72194,0.971,0.101,1.78329,0.16895,0.05691,1.55129,1.70102,-0.97099,0.101,-1.87194,0.17992,-0.07811,0.67966,-0.02687,-0.19511,-0.38792,-0.11531,-0.03905,-0.05788,0.75279,0.14231,0.10068,-0.48044,-0.11288,0.03589,0.05629
0.18,6e-05,-6e-05,-0.00016,-3.15998,-0.59463,-0.05728,0.74033,0.05106,-0.07419,-0.27593,-0.01254,-0.01641,1.29299,-1.72152,0.971,0.101,1.7833,0.16888,0.05691,1.55996,1.70063,-0.97099,0.101,-1.87292,0.18001,-0.07958,0.67926,-0.02749,-0.1985,-0.388,-0.11525,-0.03863,-0.05769,0.75266,0.14232,0.10048,-0.48052,-0.11287,0.03579,0.05627
