T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-12.17999,1.98583,-0.28446,-0.25454,0.07999,0.01379,-1.1298,-1.02058,2.94126,-2.30739,0.08437,-0.11518,0.07378,-1.06458,2.56419,-2.95229,-2.70243,-0.03896,-0.14388,-0.074,-3.27939,-3.6251,0.52118,-1.99824,0.51374,-0.1749,-0.15163,23.99215,-51.15252,3.47928,66.44981,-16.59521,-5.06919,-12.60709
0.02,-12.16964,1.98602,-0.28403,-0.25357,0.07952,0.01374,-1.13143,-1.02585,2.94128,-2.30804,0.08463,-0.11523,0.07366,-1.06409,2.55989,-2.95247,-2.70174,-0.0391,-0.14397,-0.07386,-3.28213,-3.63154,0.51929,-1.99409,0.51496,-0.17229,-0.1486,24.03085,-51.17526,3.49692,66.41905,-16.59817,-5.0683,-12.60765
0.04,-12.15898,1.98683,-0.28192,-0.25237,0.07896,0.01369,-1.13309,-1.03056,2.94128,-2.30849,0.08485,-0.11526,0.07351,-1.06389,2.55622,-2.95269,-2.70121,-0.03923,-0.14408,-0.07373,-3.28549,-3.63677,0.51887,-1.99001,0.51614,-0.16976,-0.14556,24.06791,-51.19936,3.51393,66.38741,-16.60124,-5.06741,-12.6082
0.06,-12.1484,1.98817,-0.27813,-0.251,0.07832,0.01364,-1.13478,-1.03455,2.94123,-2.30871,0.08502,-0.11526,0.07332,-1.06399,2.55294,-2.95294,-2.70078,-0.03935,-0.14422,-0.07361,-3.29021,-3.64108,0.51963,-1.98615,0.51728,-0.16731,-0.1425,24.10201,-51.22459,3.53038,66.35448,-16.60446,-5.06655,-12.60876
0.08,-12.13837,1.99004,-0.27269,-0.24957,0.0776,0.01359,-1.13648,-1.0377,2.94113,-2.30868,0.08514,-0.11521,0.0731,-1.06435,2.54978,-2.95321,-2.70038,-0.03945,-0.14438,-0.07348,-3.29724,-3.64485,0.5212,-1.98265,0.51838,-0.16492,-0.13944,24.13215,-51.25057,3.54633,66.31997,-16.60784,-5.0657,-12.60932
0.1,-12.13024,1.99267,-0.2656,-0.24822,0.07682,0.01355,-1.13815,-1.04,2.94096,-2.30841,0.08521,-0.11511,0.07282,-1.06501,2.5468,-2.95347,-2.70004,-0.03951,-0.14453,-0.07335,-3.30788,-3.64836,0.52316,-1.97973,0.51942,-0.16261,-0.13642,24.16023,-51.27667,3.5616,66.28472,-16.61129,-5.0648,-12.60981
0.12,-12.12188,1.99562,-0.25681,-0.24699,0.07603,0.01352,-1.13971,-1.04094,2.94072,-2.30784,0.08523,-0.11494,0.0725,-1.06581,2.54307,-2.9537,-2.69956,-0.03952,-0.14468,-0.07319,-3.32194,-3.65222,0.52501,-1.97743,0.52043,-0.16035,-0.13342,24.17775,-51.30242,3.57675,66.2458,-16.61512,-5.06403,-12.61036
0.14,-12.11623,1.99961,-0.24632,-0.24609,0.07527,0.01351,-1.14115,-1.04095,2.94038,-2.30703,0.08519,-0.1147,0.07213,-1.06682,2.53926,-2.95386,-2.69908,-0.03948,-0.1448,-0.073,-3.34084,-3.6565,0.52634,-1.97593,0.52138,-0.15818,-0.1305,24.19352,-51.32699,3.5913,66.20648,-16.61897,-5.06314,-12.61078
0.16,-12.11378,2.00475,-0.23416,-0.24565,0.07457,0.01352,-1.14241,-1.04013,2.93995,-2.30603,0.0851,-0.11439,0.07173,-1.06794,2.5353,-2.95394,-2.69861,-0.03936,-0.14488,-0.07281,-3.36449,-3.66145,0.52676,-1.97518,0.52229,-0.15611,-0.12771,24.20885,-51.3498,3.60535,66.16685,-16.62282,-5.06208,-12.61101
0.18,-12.10202,2.00837,-0.22026,-0.24531,0.07399,0.01356,-1.14311,-1.03637,2.93945,-2.30457,0.08498,-0.11403,0.0713,-1.06861,2.52773,-2.95393,-2.69745,-0.03917,-0.14488,-0.07253,-3.387,-3.66836,0.52574,-1.97459,0.52329,-0.15384,-0.12477,24.18457,-51.37069,3.62148,66.11342,-16.62816,-5.06188,-12.61177
0.2,-12.11241,2.01683,-0.20524,-0.24626,0.07352,0.01363,-1.1439,-1.03553,2.93885,-2.30349,0.08485,-0.11361,0.07089,-1.06981,2.52548,-2.95382,-2.69747,-0.03895,-0.14486,-0.07237,-3.41873,-3.67451,0.52356,-1.97509,0.52406,-0.15209,-0.1224,24.22423,-51.38801,3.6338,66.0823,-16.63106,-5.05987,-12.61116
0.22,-12.1868,2.03803,-0.19005,-0.24987,0.07311,0.01371,-1.14577,-1.04551,2.93806,-2.3039,0.08477,-0.11316,0.07053,-1.07279,2.53929,-2.95364,-2.70101,-0.0388,-0.1449,-0.07253,-3.47448,-3.67682,0.52057,-1.97762,0.5242,-0.15169,-0.12143,24.46189,-51.4017,3.63524,66.11474,-16.62705,-5.05261,-12.60669
0.24,-12.28136,2.0628,-0.17429,-0.2548,0.07284,0.01383,-1.14757,-1.05896,2.93722,-2.30489,0.08475,-0.11272,0.07026,-1.07595,2.55865,-2.9534,-2.70583,-0.03866,-0.1449,-0.07283,-3.53428,-3.67847,0.51642,-1.98055,0.52414,-0.15176,-0.12103,24.76502,-51.41241,3.63401,66.17026,-16.62053,-5.04371,-12.60103
0.26,-12.36277,2.08457,-0.15781,-0.25988,0.0728,0.01399,-1.14853,-1.07051,2.93643,-2.30576,0.08479,-0.11235,0.07008,-1.0781,2.57502,-2.9531,-2.71014,-0.03852,-0.1448,-0.07311,-3.58281,-3.68192,0.51079,-1.98244,0.52425,-0.15155,-0.12047,25.0291,-51.42009,3.63639,66.21394,-16.61533,-5.03592,-12.59612
0.28,-12.45776,2.10834,-0.14181,-0.26542,0.07286,0.01418,-1.14955,-1.08552,2.9357,-2.30739,0.08492,-0.11209,0.07003,-1.07978,2.5919,-2.95285,-2.7149,-0.03841,-0.14467,-0.07346,-3.63193,-3.68604,0.50315,-1.98305,0.52442,-0.15129,-0.11987,25.32778,-51.42864,3.63945,66.25184,-16.61078,-5.02718,-12.59031
0.3,-12.52726,2.12839,-0.12553,-0.27137,0.07345,0.01445,-1.14949,-1.09718,2.9351,-2.3087,0.08514,-0.11193,0.07011,-1.0808,2.60988,-2.95252,-2.71953,-0.03835,-0.1445,-0.07386,-3.65927,-3.68963,0.49605,-1.98333,0.52459,-0.15111,-0.11955,25.57513,-51.42677,3.64499,66.30387,-16.60476,-5.02025,-12.58607
0.32,-12.52048,2.13625,-0.10827,-0.27763,0.07501,0.01485,-1.14706,-1.0982,2.93473,-2.30851,0.08544,-0.11187,0.07028,-1.08093,2.62954,-2.95194,-2.72335,-0.03833,-0.14431,-0.07424,-3.63696,-3.6916,0.49263,-1.98464,0.52471,-0.15112,-0.11986,25.65449,-51.39993,3.65542,66.39224,-16.5949,-5.01864,-12.58643
0.34,-12.48627,2.13847,-0.09321,-0.28396,0.07691,0.01529,-1.14386,-1.09674,2.93455,-2.30834,0.08583,-0.11195,0.07061,-1.08057,2.65011,-2.95132,-2.72684,-0.03836,-0.14415,-0.07464,-3.59576,-3.69257,0.49025,-1.98583,0.5248,-0.15119,-0.12039,25.68112,-51.36557,3.66797,66.49448,-16.58362,-5.01887,-12.58841
0.36,-12.46173,2.14023,-0.08316,-0.29011,0.07865,0.01571,-1.14117,-1.0999,2.93453,-2.30956,0.08634,-0.11221,0.07112,-1.07998,2.67066,-2.95081,-2.73031,-0.03844,-0.14408,-0.07509,-3.55991,-3.69324,0.48684,-1.98597,0.52496,-0.15115,-0.12074,25.73824,-51.33654,3.68054,66.5893,-16.5732,-5.01827,-12.58964
0.38,-12.42426,2.13673,-0.07903,-0.29611,0.08031,0.01613,-1.13903,-1.11032,2.93461,-2.3125,0.087,-0.11261,0.07182,-1.07953,2.69373,-2.95033,-2.73406,-0.03856,-0.1441,-0.07554,-3.51898,-3.69269,0.48411,-1.98601,0.5251,-0.15111,-0.12115,25.77703,-51.30949,3.69461,66.68746,-16.56244,-5.01834,-12.5914
0.4,-12.38992,2.13208,-0.08253,-0.3014,0.0816,0.01649,-1.13617,-1.11586,2.93497,-2.31606,0.08767,-0.11313,0.07271,-1.07834,2.71165,-2.94985,-2.73611,-0.03868,-0.14423,-0.07594,-3.48752,-3.69183,0.48085,-1.98582,0.52526,-0.15099,-0.12136,25.83813,-51.28674,3.70614,66.7804,-16.55233,-5.01781,-12.59285
0.42,-12.38247,2.13309,-0.09519,-0.30538,0.0823,0.01676,-1.1309,-1.10193,2.93585,-2.31897,0.08818,-0.11372,0.07381,-1.07535,2.71638,-2.94931,-2.73438,-0.03878,-0.14447,-0.07624,-3.48353,-3.69194,0.47512,-1.98496,0.52551,-0.15065,-0.12097,25.97832,-51.27014,3.7097,66.85794,-16.54407,-5.01481,-12.59283
0.44,-12.37646,2.13277,-0.11757,-0.30845,0.08252,0.01695,-1.12459,-1.08344,2.93695,-2.32295,0.08867,-0.11431,0.07509,-1.07147,2.71425,-2.94861,-2.73046,-0.03882,-0.1448,-0.07639,-3.49263,-3.69156,0.46902,-1.98444,0.52576,-0.15024,-0.12039,26.14054,-51.25715,3.70924,66.92917,-16.53655,-5.01106,-12.59237
0.46,-12.35434,2.12453,-0.14992,-0.31099,0.08234,0.01708,-1.11829,-1.07304,2.93803,-2.3295,0.08924,-0.11483,0.0765,-1.06732,2.71104,-2.94762,-2.72593,-0.03879,-0.14515,-0.07635,-3.50458,-3.68973,0.46397,-1.98498,0.52596,-0.14987,-0.11989,26.28581,-51.24771,3.70798,67.00124,-16.5289,-5.00779,-12.59223
0.48,-12.32341,2.10859,-0.19182,-0.31311,0.08169,0.01712,-1.11063,-1.06441,2.93921,-2.33818,0.08979,-0.11518,0.07802,-1.06232,2.70778,-2.94618,-2.72087,-0.03871,-0.14551,-0.07614,-3.52396,-3.68724,0.45903,-1.98623,0.52618,-0.14942,-0.11921,26.43555,-51.2446,3.70354,67.07886,-16.52058,-5.00421,-12.59251
0.5,-12.2803,2.07876,-0.2425,-0.31409,0.08034,0.01703,-1.10237,-1.05963,2.94026,-2.34823,0.09028,-0.11542,0.07961,-1.05555,2.69096,-2.94417,-2.71283,-0.03847,-0.14578,-0.07558,-3.55186,-3.6838,0.455,-1.98892,0.5263,-0.14909,-0.11876,26.57235,-51.24042,3.69797,67.14205,-16.5139,-5.001,-12.59209
0.52,-12.21879,2.02714,-0.30064,-0.31321,0.07807,0.01679,-1.09462,-1.06149,2.94097,-2.35875,0.09066,-0.11566,0.08114,-1.04602,2.64563,-2.94163,-2.6998,-0.03793,-0.14585,-0.07449,-3.58731,-3.67853,0.45314,-1.99406,0.52617,-0.14917,-0.11907,26.66858,-51.22868,3.69492,67.16747,-16.51149,-4.99967,-12.58994
