T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.00078,0,0,0.00467,0.00175,0,0,0,0,0,0,0.01104,0,0.0436,0,0,0,0,0,0.11059,0.16017,0,0.18277,0,0.24623,0.24705,0.07789,0,0.22709,0.1846,0,0,0,0.03872,0,0.00332,0.02234,0,0,0.6602,0.30896,0.18325,0.06067,0.01322,0.02445,0,0.01289,0,0.18041,0.13295,0.00866,0.0177,0.00859,0,0,0.16103,0,0.13265,0,0,0,0.18937,0,0,0.129,0.10216,0.19062
0.02,0,0.00085,0,0,0.00471,0.00175,0,0,0,0,0,0,0.01106,0,0.04074,0,0,0,0,0,0.1106,0.16009,0,0.18249,0,0.24513,0.24649,0.07766,0,0.22654,0.18458,0,0,0,0.03872,0,0.00333,0.02235,0,0,0.66036,0.30899,0.18326,0.06074,0.01326,0.02427,0,0.0128,0,0.18038,0.1325,0.00875,0.01765,0.00863,0,0,0.16171,0,0.13272,0,0,0,0.18947,0,0,0.12905,0.10297,0.19104
0.04,0,0.00094,0,0,0.00474,0.00175,0,0,0,0,0,0,0.01109,0,0.03787,0,0,0,0,0,0.1106,0.16011,0,0.18221,0,0.24395,0.24586,0.07744,0,0.22608,0.18458,0,0,0,0.03876,0,0.00335,0.02239,0,0,0.66051,0.30912,0.18327,0.06081,0.01329,0.02413,0,0.01273,0,0.18035,0.13203,0.00882,0.01761,0.00867,0,0,0.16221,0,0.1328,0,0,0,0.18957,0,0,0.12909,0.10384,0.19152
0.06,0,0.00103,0,0,0.00479,0.00175,0,0,0,0,0,0,0.01111,0,0.035,0,0,0,0,0,0.1106,0.16023,0,0.18195,0,0.24268,0.24517,0.07723,0,0.22565,0.18458,0,0,0,0.03882,0,0.00338,0.02244,0,0,0.66065,0.30936,0.18328,0.06086,0.01332,0.02402,0,0.01267,0,0.18032,0.13156,0.00888,0.01757,0.0087,0,0,0.16254,0,0.13288,0,0,0,0.18966,0,0,0.12913,0.10476,0.19203
0.08,0,0.00113,0,0,0.00483,0.00175,0,0,0,0,0,0,0.01113,0,0.03212,0,0,0,0,0,0.11058,0.16045,0,0.1817,0,0.24134,0.24443,0.077,0,0.22522,0.18459,0,0,0,0.03892,0,0.00341,0.02253,0,0,0.66076,0.30972,0.18327,0.06092,0.01334,0.02393,0,0.01262,0,0.1803,0.13108,0.00893,0.01754,0.00873,0,0,0.16274,0,0.13296,0,0,0,0.18977,0,0,0.12917,0.10574,0.19257
0.1,0,0.00124,0,0,0.00488,0.00176,0,0,0,0,0,0,0.01116,1e-05,0.02926,0,0,1e-05,0,1e-05,0.11052,0.16075,0,0.18146,0,0.23993,0.24363,0.07676,0,0.22475,0.1846,0,0,0,0.03906,0,0.00345,0.02263,0,0,0.66082,0.3102,0.18325,0.06098,0.01336,0.02387,1e-05,0.01259,0,0.18028,0.1306,0.00896,0.01751,0.00878,0,0,0.1628,0,0.13304,0,0,0,0.18991,0,0,0.1292,0.10675,0.19313
0.12,0,0.00135,0,0,0.00493,0.00176,0,0,0,0,0,0,0.01119,1e-05,0.0264,0,0,1e-05,0,1e-05,0.11042,0.16113,0,0.18123,0,0.23846,0.24278,0.07649,0,0.22423,0.18463,0,0,0,0.03924,0,0.00349,0.02276,0,0,0.66081,0.31079,0.1832,0.06103,0.01337,0.02383,1e-05,0.01256,0,0.18025,0.13012,0.00897,0.01747,0.00881,0,0,0.16278,0,0.13313,0,0,0,0.19008,0,0,0.12924,0.10779,0.19371
0.14,4e-05,0.00149,4e-05,0.00026,0.00515,0.00202,5e-05,3e-05,9e-05,0.00021,0.00034,0.00024,0.0117,0.00075,0.02395,0.00043,0.00021,0.00033,0.00025,0.00057,0.11034,0.16161,6e-05,0.18128,0.00071,0.23707,0.24204,0.07621,3e-05,0.22374,0.18468,0.00087,4e-05,7e-05,0.0395,2e-05,0.00357,0.02304,0.00018,0.00026,0.66105,0.31167,0.18327,0.06131,0.01375,0.02434,0.00043,0.0129,8e-05,0.18053,0.12985,0.00932,0.01802,0.00956,0.00016,4e-05,0.16278,0.0004,0.13343,0.0001,9e-05,2e-05,0.19033,9e-05,4e-05,0.12954,0.10889,0.19439
0.16,5e-05,0.00161,4e-05,0.00023,0.00518,0.00203,9e-05,8e-05,0.00011,0.00019,0.00044,0.00022,0.01168,0.00069,0.02108,0.00041,0.00019,0.00035,0.00022,0.00058,0.10984,0.16212,0.0001,0.18105,0.00062,0.2357,0.2412,0.07571,5e-05,0.22313,0.18477,0.00076,0.00015,0.00011,0.03979,2e-05,0.00362,0.0232,0.00016,0.00027,0.66083,0.31227,0.18309,0.06137,0.01386,0.02429,0.00039,0.01286,7e-05,0.1805,0.12936,0.00932,0.01792,0.00961,0.00014,6e-05,0.1627,0.00034,0.13349,0.00023,0.00013,3e-05,0.19061,0.00015,0.00012,0.12954,0.11004,0.19499
0.18,0,0.00172,0,0,0.00507,0.00176,0,0,0,0,0,0,0.01127,0.00022,0.01793,0,0,0,0,0,0.10902,0.1626,0,0.1806,0,0.23388,0.24007,0.07502,0,0.22222,0.1847,0,0,0,0.0401,0,0.00364,0.02326,0,0,0.65936,0.31227,0.18259,0.06127,0.01336,0.02385,0,0.01263,0,0.18019,0.12869,0.00889,0.01737,0.00893,0,0,0.16251,0,0.13339,0,0,0,0.19084,0,0,0.12934,0.11087,0.19532
