T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.00207,0,0,0.00373,0.00155,0,0,0.08107,0,0,0,0.01001,0,0.21145,0,0,0,0,0,0.10845,0.19916,0,0.11896,0,0.1668,0.18391,0.03285,0,0.26495,0.11902,0,0,0,0.04697,0,0.00342,0.00089,0,0,0.02301,0.14726,0,0.09481,0.00149,0.02141,0,0.01362,0,0.09266,0.13513,0.00651,0.02144,0.01818,0,0,0.17517,0,0.13355,0,0,0,0.20694,0,0,0.13101,0.07702,0.14709
0.02,0,0.00194,0,0,0.00367,0.00154,0,0,0.08106,0,0,0,0.01008,0,0.21138,0,0,0,0,0,0.10732,0.19919,0,0.11871,0,0.16641,0.1838,0.03234,0,0.26449,0.11945,0,0,0,0.04663,0,0.00342,0.00097,0,0,0.02305,0.1472,0,0.09481,0.00153,0.02152,0,0.01367,0,0.09265,0.13503,0.00645,0.02153,0.01832,0,0,0.17547,0,0.13364,0,0,0,0.20658,0,0,0.13107,0.0789,0.14795
0.04,0,0.00173,0,0,0.00357,0.00151,0,0,0.08103,0,0,0,0.01011,0,0.2112,0,0,0,0,0,0.10621,0.19923,0,0.11847,0,0.16604,0.18369,0.0318,0,0.26413,0.11988,0,0,0,0.04628,0,0.00343,0.00107,0,0,0.02306,0.14702,0,0.09476,0.0016,0.02163,0,0.0137,0,0.0926,0.13488,0.00635,0.02162,0.01842,0,0,0.17578,0,0.13372,0,0,0,0.2062,0,0,0.13113,0.08075,0.1488
0.06,0,0.0014,0,1e-05,0.00343,0.0015,3e-05,1e-05,0.081,1e-05,3e-05,2e-05,0.01011,1e-05,0.21086,2e-05,1e-05,3e-05,2e-05,3e-05,0.10512,0.19931,1e-05,0.11824,3e-05,0.16571,0.18361,0.03123,1e-05,0.26387,0.12031,3e-05,1e-05,1e-05,0.04591,0,0.00344,0.0012,1e-05,2e-05,0.02306,0.14672,2e-05,0.09466,0.00174,0.02176,3e-05,0.01371,1e-05,0.09252,0.13469,0.00624,0.02175,0.01852,0,1e-05,0.17615,1e-05,0.1338,2e-05,1e-05,0,0.20579,2e-05,1e-05,0.13118,0.0826,0.14965
0.08,0,0.00094,1e-05,3e-05,0.00322,0.00148,4e-05,1e-05,0.08093,1e-05,6e-05,4e-05,0.01007,1e-05,0.21031,9e-05,1e-05,8e-05,4e-05,9e-05,0.10402,0.19939,1e-05,0.11801,2e-05,0.16542,0.18354,0.03061,1e-05,0.26364,0.12073,4e-05,2e-05,1e-05,0.0455,0,0.00345,0.00136,3e-05,6e-05,0.02302,0.14622,2e-05,0.09448,0.00194,0.02189,7e-05,0.01369,2e-05,0.09243,0.1344,0.00608,0.02188,0.0186,0,1e-05,0.17653,1e-05,0.13387,2e-05,2e-05,0,0.20535,3e-05,1e-05,0.13122,0.08442,0.15047
0.1,0,0.00031,0,0,0.0029,0.00229,0,0,0.08081,0,4e-05,0,0.00984,0,0.20944,1e-05,0,0,0,1e-05,0.10291,0.19949,0,0.11778,0,0.16514,0.18344,0.02994,0,0.26336,0.12113,0,0,0,0.04503,0,0.00344,0.0015,0,0.00094,0.02289,0.14551,0,0.09421,0.00212,0.02189,0,0.01361,0,0.09214,0.13403,0.00573,0.02186,0.01847,0,0,0.17694,0,0.13393,0,0,0,0.20488,0,0,0.13123,0.08618,0.15125
0.12,0,0.00024,0,0,0.00252,0.00173,0,0,0.08067,0,7e-05,1e-05,0.00963,0,0.20828,0,0,1e-05,3e-05,1e-05,0.10177,0.19963,0,0.11756,0,0.16491,0.18338,0.02921,0,0.26305,0.12154,1e-05,0,0,0.04451,0.00076,0.00341,0.00166,0,0.00046,0.02273,0.1446,0,0.09387,0.00239,0.02197,1e-05,0.01348,0,0.09184,0.13355,0.00541,0.02195,0.01839,0,0,0.17741,0,0.13398,0,0,0,0.20442,1e-05,0,0.13125,0.08798,0.15207
0.14,0,0.00018,0,0,0.00205,0.00119,0,0,0.08049,0,2e-05,0,0.00934,0,0.20674,0,0,0,1e-05,0,0.10063,0.19979,0,0.11733,0,0.16469,0.18331,0.02844,0,0.26262,0.12194,0,0,0,0.04392,0.00175,0.00336,0.00183,0,2e-05,0.0225,0.14343,0,0.09343,0.00263,0.02198,0,0.0133,0,0.09142,0.13296,0.00501,0.02187,0.01824,0,0,0.17791,0,0.13403,0,0,0,0.20397,0,0,0.13126,0.08974,0.15286
0.16,4e-05,0.00018,2e-05,7e-05,0.00164,0.00123,4e-05,5e-05,0.08033,5e-05,0.0003,8e-05,0.0094,3e-05,0.2049,0.00011,7e-05,0.00027,9e-05,0.00038,0.09954,0.20007,0.00012,0.11719,0.0002,0.16455,0.18351,0.02766,9e-05,0.26229,0.12238,0.0002,8e-05,7e-05,0.04329,0.00304,0.00328,0.00205,0.00014,0.00018,0.02223,0.14212,7e-05,0.09295,0.00325,0.02219,0.00034,0.01306,7e-05,0.091,0.13232,0.00483,0.02197,0.0185,4e-05,9e-05,0.17858,0.00015,0.13414,0.0001,0.00022,1e-05,0.20365,0.00013,0.0001,0.13132,0.09155,0.15374
0.18,3e-05,0.00017,2e-05,8e-05,0.00129,0.00108,4e-05,4e-05,0.0801,5e-05,0.00026,7e-05,0.00902,3e-05,0.20249,9e-05,6e-05,0.00023,8e-05,0.00035,0.09824,0.20026,0.00011,0.11697,0.0002,0.16426,0.18337,0.02676,8e-05,0.26138,0.12283,0.00019,7e-05,7e-05,0.0425,0.0046,0.00311,0.00222,0.00047,0.00018,0.02187,0.14056,7e-05,0.0924,0.00355,0.02216,0.00029,0.01274,6e-05,0.09038,0.13147,0.00433,0.02174,0.01827,3e-05,8e-05,0.17918,0.00012,0.13418,9e-05,0.00019,1e-05,0.20322,0.00011,0.0001,0.13132,0.09361,0.15472
0.2,0,0.00012,0,0,0.00129,0.00183,0,0,0.07972,0,1e-05,0,0.00829,0,0.19959,0,0,0,0,1e-05,0.09712,0.20039,0,0.11667,0,0.16377,0.18294,0.026,0,0.26061,0.12308,0,0,0,0.04171,0.00638,0.00282,0.00227,0.00122,0.00108,0.0214,0.13873,0,0.09157,0.00363,0.02202,2e-05,0.0123,0,0.08948,0.13044,0.00363,0.02126,0.01765,0,0,0.17948,0,0.13416,0,0,0,0.20284,0,0,0.13125,0.09515,0.1554
0.22,0,0,0,0,7e-05,0.00059,0,0,0.07935,0,0,0,0.00773,0,0.19646,0,0,0,0,0,0.09674,0.20062,0,0.11638,0,0.16314,0.1826,0.02577,0,0.26112,0.12302,0,0,0,0.04117,0.00826,0.0024,0.00226,0.0008,0,0.02092,0.13679,0,0.09042,0.00399,0.02211,0,0.0118,0,0.08874,0.12944,0.00316,0.02086,0.01737,0,0,0.17926,0,0.13421,0,0,0,0.20281,0,0,0.13126,0.0953,0.1555
0.24,2e-05,1e-05,1e-05,5e-05,0.0001,0.00058,1e-05,5e-05,0.07886,1e-05,0.00011,4e-05,0.00727,5e-05,0.19315,0.00028,2e-05,0.00011,6e-05,3e-05,0.09662,0.20087,8e-05,0.1161,4e-05,0.16227,0.18215,0.02573,1e-05,0.26196,0.12282,4e-05,7e-05,5e-05,0.04072,0.01054,0.00181,0.0022,0.0017,0.00016,0.02043,0.13495,2e-05,0.08906,0.00444,0.02238,9e-05,0.01127,3e-05,0.0879,0.12838,0.00284,0.02051,0.01718,0,1e-05,0.17895,3e-05,0.13428,3e-05,2e-05,0,0.20291,5e-05,2e-05,0.13129,0.09517,0.15552
