T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00214,-0.00012,8e-05,0.08792,0.36192,0.03256,-0.36956,-0.01534,-0.0397,-0.01334,-0.01502,-0.028,-0.24472,-0.0417,0.02053,-0.15818,0.25633,0.13082,0.07374,-0.7761,0.00708,-0.11608,-0.07383,-0.00202,0.04105,0.01625,-0.42665,-0.00817,-0.01193,0.02273,0.00287,-0.00151,-0.00312,-0.41025,0.00252,0.04794,0.02348,0.00997,-0.01708,-0.01003
0.02,-0.00242,-5e-05,-8e-05,0.091,0.36943,0.0342,-0.37564,-0.01483,-0.04051,-0.01775,-0.01809,-0.03044,-0.29166,-0.04672,0.02295,-0.15837,0.28337,0.04968,0.07206,-0.8311,0.00094,0.03589,-0.09038,-0.01269,0.03496,0.00568,-0.43547,-0.00849,-0.01031,0.02252,0.00319,-0.00094,-0.00324,-0.41901,0.00029,0.04183,0.02413,0.01037,-0.01772,-0.0103
0.04,-0.0028,6e-05,-0.00032,0.09238,0.36847,0.03566,-0.37212,-0.01363,-0.04031,-0.02419,-0.02177,-0.03297,-0.33248,-0.04908,0.02496,-0.14815,0.30535,-0.07557,0.06497,-0.85375,-0.00824,0.25694,-0.10928,-0.02811,0.02164,-0.01128,-0.43427,-0.009,-0.00851,0.02139,0.00364,5e-05,-0.00324,-0.41838,-0.00277,0.03286,0.02429,0.01068,-0.01817,-0.01042
0.06,-0.00332,0.00019,-0.00059,0.09096,0.35472,0.03661,-0.35456,-0.01152,-0.03853,-0.03279,-0.02571,-0.0353,-0.3584,-0.04687,0.02608,-0.12406,0.31628,-0.25209,0.05079,-0.82317,-0.0209,0.55215,-0.12941,-0.04875,-0.00076,-0.03597,-0.41801,-0.00975,-0.00676,0.01904,0.00423,0.00151,-0.00304,-0.40358,-0.0068,0.02044,0.02368,0.01081,-0.01817,-0.01027
0.08,-0.00404,0.00036,-0.00087,0.08549,0.32337,0.03667,-0.31806,-0.0083,-0.03453,-0.04358,-0.02942,-0.03701,-0.35795,-0.03775,0.02567,-0.08218,0.30857,-0.48502,0.02768,-0.71422,-0.03726,0.92175,-0.14891,-0.07473,-0.03412,-0.06949,-0.38111,-0.01081,-0.00543,0.01517,0.00495,0.0035,-0.00255,-0.36928,-0.0118,0.00424,0.02201,0.01062,-0.01745,-0.00969
0.1,-0.00498,0.00056,-0.00112,0.07474,0.27007,0.03547,-0.2582,-0.00382,-0.02777,-0.05647,-0.03234,-0.03766,-0.31691,-0.01903,0.02299,-0.01835,0.27343,-0.77599,-0.00619,-0.4989,-0.05722,1.35952,-0.16517,-0.10577,-0.08025,-0.11248,-0.3185,-0.01226,-0.00498,0.00953,0.00581,0.00604,-0.00169,-0.31065,-0.01767,-0.0155,0.01896,0.01001,-0.01577,-0.00856
0.12,-0.00612,0.00077,-0.00132,0.05779,0.19196,0.03276,-0.17203,0.00195,-0.01786,-0.0713,-0.03394,-0.03682,-0.21824,0.01222,0.0172,0.07156,0.20151,-1.12151,-0.0525,-0.14818,-0.08032,1.85143,-0.1748,-0.14102,-0.14079,-0.16489,-0.22677,-0.01422,-0.00611,0.00193,0.00681,0.00917,-0.00038,-0.22449,-0.0241,-0.03773,0.01435,0.00893,-0.01301,-0.00683
0.14,-0.00745,0.001,-0.00146,0.03422,0.08863,0.02848,-0.05917,0.00887,-0.00475,-0.08783,-0.03374,-0.03414,-0.04213,0.05891,0.00744,0.19134,0.08366,-1.51111,-0.11253,0.36554,-0.10576,2.37455,-0.17357,-0.17891,-0.2171,-0.22577,-0.10539,-0.01684,-0.00961,-0.00763,0.00797,0.01289,0.00146,-0.11033,-0.03056,-0.06033,0.00812,0.00738,-0.00922,-0.00456
0.16,-0.00887,0.00123,-0.00156,0.00435,-0.03692,0.02288,0.07733,0.01661,0.01124,-0.10583,-0.03137,-0.02945,0.23374,0.12361,-0.00707,0.34412,-0.08799,-1.92555,-0.18691,1.06549,-0.13251,2.89679,-0.15649,-0.217,-0.31007,-0.29308,0.04229,-0.02034,-0.01644,-0.01898,0.00933,0.01719,0.00385,0.02854,-0.03627,-0.08004,0.00039,0.00549,-0.00468,-0.00192
0.18,-0.01029,0.00146,-0.00166,-0.03058,-0.17783,0.0165,0.23047,0.02461,0.0293,-0.12503,-0.02664,-0.02278,0.6335,0.2081,-0.02697,0.53204,-0.31879,-2.33515,-0.27535,1.96694,-0.1595,3.37763,-0.11788,-0.25189,-0.42003,-0.3635,0.20842,-0.02492,-0.02752,-0.03168,0.01093,0.02202,0.00678,0.18449,-0.04028,-0.09248,-0.00843,0.00349,8e-05,0.00075
0.2,-0.01155,0.00166,-0.00183,-0.06846,-0.32342,0.01023,0.3893,0.03211,0.04824,-0.14517,-0.01954,-0.01444,1.18197,0.31273,-0.05256,0.75589,-0.61019,-2.69853,-0.37635,3.07323,-0.18598,3.77021,-0.05155,-0.27912,-0.54653,-0.43231,0.38072,-0.03078,-0.04358,-0.04509,0.01284,0.02726,0.01019,0.34568,-0.04142,-0.09245,-0.01776,0.00172,0.00428,0.003
0.22,-0.0125,0.00183,-0.00215,-0.10641,-0.46012,0.00513,0.5399,0.03823,0.06651,-0.16599,-0.01032,-0.00497,1.90278,0.43567,-0.08373,1.01496,-0.95819,-2.96209,-0.48706,4.37153,-0.21193,4.02523,0.04898,-0.29315,-0.68816,-0.49343,0.54362,-0.03803,-0.06485,-0.05837,0.01511,0.03274,0.01394,0.49712,-0.03853,-0.0745,-0.02679,0.00059,0.00696,0.00427
0.24,-0.01291,0.00195,-0.00274,-0.14118,-0.57329,0.00232,0.66712,0.04208,0.08251,-0.18716,0.00059,0.00491,2.81589,0.57204,-0.11974,1.30681,-1.35198,-3.06053,-0.60306,5.82873,-0.23866,4.09648,0.19015,-0.28747,-0.84232,-0.5395,0.68027,-0.04654,-0.09071,-0.07063,0.01775,0.03821,0.01782,0.62262,-0.03051,-0.03374,-0.0347,0.00053,0.00712,0.00399
0.26,-0.01257,0.00199,-0.0037,-0.16962,-0.64954,0.00273,0.75695,0.04291,0.09482,-0.20824,0.01259,0.0144,3.93459,0.71308,-0.15915,1.62728,-1.77273,-2.91894,-0.71835,7.38789,-0.26943,3.94819,0.37809,-0.25485,-1.00503,-0.56216,0.77529,-0.05588,-0.11931,-0.08102,0.0207,0.04329,0.02156,0.70753,-0.01659,0.03314,-0.0407,0.00186,0.00383,0.00167
0.28,-0.01124,0.00192,-0.00515,-0.18919,-0.67924,0.00688,0.79898,0.04024,0.10251,-0.22861,0.02495,0.02275,5.2621,0.84539,-0.19963,1.97058,-2.19278,-2.45666,-0.8254,8.96558,-0.31018,3.56357,0.61825,-0.18789,-1.17081,-0.55266,0.81762,-0.06519,-0.1473,-0.08892,0.02381,0.04753,0.0248,0.74146,0.00359,0.12694,-0.04429,0.00479,-0.00357,-0.00298
0.3,-0.00871,0.00173,-0.00721,-0.19836,-0.6583,0.0147,0.78833,0.03399,0.10537,-0.24744,0.03694,0.02934,6.78822,0.9506,-0.238,2.32934,-2.57557,-1.59343,-0.91534,10.45088,-0.37008,2.95359,0.91519,-0.07969,-1.33258,-0.50255,0.80268,-0.07318,-0.16979,-0.094,0.02684,0.05035,0.02714,0.72033,0.02978,0.24532,-0.04526,0.00928,-0.01533,-0.01004
0.32,-0.00479,0.00137,-0.00998,-0.19674,-0.58902,0.02551,0.72639,0.02453,0.10398,-0.26368,0.04785,0.03377,8.48614,1.00551,-0.27024,2.69464,-2.8764,-0.25775,-0.97829,11.70649,-0.46197,2.16478,1.27241,0.075,-1.48172,-0.40475,0.73316,-0.07816,-0.18056,-0.09628,0.02942,0.05108,0.02813,0.64722,0.06113,0.38263,-0.04381,0.01508,-0.03127,-0.01926
0.34,0.00064,0.00083,-0.01355,-0.185,-0.47938,0.03808,0.62032,0.01261,0.0996,-0.2761,0.05712,0.03589,10.31006,0.98294,-0.29165,3.05596,-3.04459,1.60267,-1.00383,12.57274,-0.60238,1.28472,1.69233,0.27852,-1.60814,-0.2547,0.61829,-0.07818,-0.1727,-0.09608,0.03111,0.049,0.02734,0.53159,0.09624,0.5304,-0.04045,0.02171,-0.05069,-0.03016
