T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,1.02273,1.00052,1.01576,1.05897,1.02723,1.00173,0.83029,1.03377,0.84212,1.03417,0.9905,1.01547,1.03637,1.3184,0.93421,0.54307,1.0436,0.99845,1.01432,0.97964,1.00524,1.05998,1.19405,0.99998,0.99531,0.98437,0.98387,0.99948,0.94046,0.90457,0.99961,0.99432,1.05636,1.01986,0.99115,0.9997,0.99328,0.96579,0.98555,0.99913,1.23231,0.98361,1.24423,0.97435,1.01347,0.99014,0.98528,0.39368,1.11108,1.266,0.96661,1.00423,0.9909,1.0488,0.99775,0.97346,0.88159,1.00005,1.00928,1.02761,1.01238,1.00089,1.11551,1.17081,1.0012,1.01117,0.96592,0.97381
0.02,1.02325,1.00068,1.01656,1.05749,1.02923,1.00181,0.82492,1.03516,0.83732,1.03554,0.99025,1.01587,1.03773,1.3196,0.93173,0.53771,1.04497,0.99835,1.01457,0.97892,1.00531,1.06053,1.19597,0.99998,0.99522,0.98407,0.98358,0.99942,0.93914,0.90283,0.9996,0.99422,1.05728,1.0202,0.99093,0.9996,0.99292,0.96677,0.98442,0.99909,1.23578,0.98288,1.24745,0.97324,1.01381,0.98988,0.98468,0.38757,1.11424,1.26759,0.96546,1.00449,0.99073,1.05033,0.99772,0.97318,0.87951,1.00006,1.00945,1.02812,1.0126,1.00098,1.11741,1.17272,1.00123,1.01137,0.96528,0.97335
0.04,1.02336,1.0009,1.01747,1.05431,1.03095,1.00188,0.82137,1.03661,0.83408,1.03686,0.99014,1.01615,1.03877,1.32003,0.92947,0.53592,1.04604,0.99823,1.01464,0.97835,1.00528,1.06019,1.19653,0.99998,0.9952,0.98397,0.98352,0.99934,0.93857,0.90246,0.99959,0.99421,1.05747,1.02025,0.99088,0.99947,0.99252,0.96885,0.98343,0.99906,1.23802,0.98211,1.24957,0.97217,1.01396,0.98969,0.98422,0.38536,1.11706,1.26811,0.96455,1.0048,0.99068,1.05154,0.99773,0.97336,0.8789,1.00007,1.00949,1.02828,1.01264,1.00112,1.11821,1.17313,1.00125,1.01139,0.96515,0.97328
0.06,1.02302,1.00118,1.01857,1.04924,1.03221,1.00195,0.81976,1.03829,0.8324,1.03822,0.99016,1.01635,1.03947,1.31984,0.92726,0.53704,1.04688,0.99808,1.01457,0.97788,1.00516,1.05897,1.19584,0.99997,0.99524,0.98408,0.98367,0.99922,0.93874,0.90346,0.99959,0.99429,1.05696,1.02,0.99102,0.99931,0.99203,0.97209,0.98271,0.99902,1.23902,0.98121,1.25065,0.97106,1.01393,0.98956,0.98391,0.38633,1.11978,1.26778,0.96384,1.00521,0.99073,1.05252,0.99778,0.97398,0.87965,1.00008,1.00941,1.0281,1.01252,1.00132,1.11797,1.17204,1.00126,1.01124,0.9655,0.97362
0.08,1.02215,1.00154,1.01996,1.04213,1.03274,1.00202,0.8204,1.04033,0.83243,1.03971,0.99034,1.01651,1.0398,1.31915,0.92495,0.54048,1.04751,0.99789,1.01436,0.97751,1.00493,1.05686,1.19394,0.99997,0.99534,0.98437,0.98404,0.99907,0.93964,0.90588,0.99959,0.99445,1.05573,1.01945,0.99138,0.9991,0.99141,0.97652,0.9824,0.99898,1.23862,0.98012,1.25062,0.96984,1.01368,0.98945,0.98376,0.38986,1.12258,1.26677,0.9633,1.00574,0.99087,1.0533,0.99788,0.97504,0.88172,1.00009,1.00922,1.02762,1.01225,1.00158,1.11669,1.16937,1.00126,1.01092,0.96635,0.97437
0.1,1.02065,1.00196,1.02168,1.03286,1.03217,1.0021,0.82381,1.04282,0.83449,1.04135,0.99069,1.01665,1.03963,1.31807,0.92247,0.54566,1.04794,0.99763,1.01405,0.97723,1.0046,1.05387,1.19082,0.99997,0.9955,0.98484,0.98462,0.99886,0.94129,0.9098,0.99959,0.99472,1.05374,1.01858,0.992,0.99885,0.99063,0.98207,0.98273,0.99895,1.23649,0.97877,1.2493,0.96848,1.0132,0.98936,0.98384,0.3954,1.12552,1.26523,0.96293,1.00641,0.99107,1.05389,0.99802,0.97653,0.88505,1.0001,1.00891,1.02683,1.01181,1.00193,1.1143,1.16492,1.00124,1.01041,0.9677,0.97555
0.12,1.01839,1.00244,1.02377,1.02143,1.03,1.00218,0.83074,1.0458,0.83906,1.04314,0.99123,1.01681,1.03882,1.31668,0.91985,0.55197,1.04812,0.99733,1.01366,0.97706,1.00416,1.05,1.18641,0.99997,0.99571,0.98549,0.98539,0.99861,0.94376,0.91532,0.9996,0.99508,1.05097,1.01738,0.99291,0.99857,0.98968,0.9886,0.98398,0.9989,1.23201,0.97713,1.24629,0.96699,1.01245,0.98926,0.9842,0.40237,1.12859,1.26334,0.96278,1.00723,0.99133,1.05424,0.99821,0.97843,0.8896,1.0001,1.00849,1.02574,1.01123,1.00236,1.11068,1.15841,1.00122,1.00972,0.96957,0.97716
0.14,1.01526,1.00294,1.02617,1.00822,1.02556,1.00226,0.84219,1.04921,0.8468,1.04498,0.99199,1.01699,1.03715,1.31513,0.9172,0.5587,1.04794,0.99696,1.01321,0.97706,1.00361,1.04532,1.18066,0.99997,0.99598,0.98631,0.98635,0.9983,0.94707,0.92251,0.99961,0.99554,1.04738,1.01586,0.99416,0.99827,0.98857,0.99576,0.98649,0.99886,1.22419,0.97522,1.24097,0.96545,1.0114,0.98914,0.98494,0.41008,1.13163,1.26129,0.96293,1.0082,0.99162,1.05424,0.99845,0.98067,0.89533,1.00011,1.00796,1.02436,1.0105,1.00287,1.10568,1.14946,1.00118,1.00883,0.97194,0.97922
0.16,1.01115,1.00343,1.0288,0.99712,1.01797,1.00233,0.85936,1.05291,0.85854,1.04671,0.99299,1.01719,1.03435,1.31358,0.9148,0.56493,1.04727,0.99655,1.01274,0.9773,1.00298,1.04002,1.17354,0.99997,0.9963,0.98727,0.98747,0.99796,0.95126,0.93138,0.99963,0.99608,1.04299,1.01402,0.99577,0.99799,0.98734,1.00577,0.99066,0.99883,1.21133,0.97312,1.23232,0.96398,1.01,0.989,0.98617,0.41764,1.13434,1.25936,0.9635,1.00927,0.99192,1.05375,0.99873,0.98315,0.90208,1.0001,1.00735,1.02273,1.00966,1.00344,1.09915,1.13763,1.00112,1.00777,0.9748,0.98169
0.18,1.006,1.00382,1.03145,0.99107,1.00608,1.00238,0.88369,1.05662,0.8752,1.04807,0.99423,1.01741,1.03009,1.31228,0.91306,0.56948,1.04591,0.99613,1.0123,0.97788,1.00228,1.03445,1.16518,0.99997,0.99665,0.98834,0.98869,0.9976,0.95629,0.94174,0.99966,0.9967,1.03789,1.01192,0.99775,0.99775,0.98609,1.01746,0.99692,0.99881,1.19033,0.97097,1.21863,0.96282,1.00826,0.98886,0.98801,0.42386,1.13627,1.25794,0.96466,1.01038,0.99221,1.05253,0.99903,0.98569,0.90957,1.00009,1.00667,1.0209,1.00872,1.00404,1.09097,1.12257,1.00105,1.00656,0.97805,0.98448
