T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-13.91312,-1.77471,-0.10743,0.38348,0.04666,0.00638,0.92211,7.48036,-0.06456,2.6833,0.01128,0.2621,-0.09502,0.32217,7.51541,0.78608,-0.28336,0.05295,-0.25728,-0.03648,11.35199,36.04889,-4.07521,21.87944,-14.8752,2.66135,4.70349,7.42227,-34.69964,5.69599,23.46283,-14.34727,-6.29511,-5.61456
0.02,-13.92949,-1.68107,-0.08428,0.38619,0.04925,0.0067,0.91377,7.46127,-0.06213,2.6696,0.0119,0.261,-0.0937,0.32207,7.52144,0.78507,-0.2832,0.053,-0.25727,-0.03639,11.43362,36.10063,-4.09738,21.70192,-14.88396,2.58164,4.67152,7.48273,-34.76295,5.72104,23.34401,-14.38306,-6.2554,-5.59316
0.04,-13.95118,-1.52851,-0.05089,0.38933,0.05192,0.00704,0.89818,7.41729,-0.0581,2.64169,0.01308,0.25856,-0.09143,0.32208,7.52714,0.78393,-0.28342,0.05303,-0.25722,-0.03633,11.50613,36.15631,-4.1177,21.51984,-14.89209,2.50193,4.63972,7.53787,-34.82697,5.7457,23.22266,-14.41861,-6.21587,-5.57156
0.06,-13.97995,-1.30204,-0.00734,0.39281,0.05464,0.0074,0.87396,7.34113,-0.05221,2.59601,0.01495,0.2544,-0.08806,0.32225,7.5325,0.78263,-0.28422,0.05303,-0.2571,-0.03633,11.56999,36.21511,-4.13656,21.33307,-14.89945,2.42208,4.60794,7.58863,-34.89178,5.76999,23.0992,-14.45375,-6.1765,-5.54977
0.08,-14.01721,-0.98683,0.0455,0.39651,0.05735,0.00776,0.83992,7.22534,-0.0443,2.52906,0.01762,0.24815,-0.08348,0.32261,7.53751,0.78112,-0.28583,0.05299,-0.25692,-0.03642,11.62579,36.27581,-4.15448,21.14132,-14.90594,2.34191,4.57595,7.63619,-34.95761,5.79395,22.97383,-14.48843,-6.13716,-5.52776
0.1,-14.06345,-0.57079,0.10602,0.40029,0.05999,0.00813,0.79534,7.06341,-0.03429,2.43802,0.02119,0.23949,-0.07762,0.32325,7.54216,0.77935,-0.28853,0.05287,-0.25664,-0.03663,11.67324,36.33662,-4.17173,20.94651,-14.91146,2.26219,4.54404,7.68134,-35.0242,5.81743,22.84711,-14.52257,-6.09786,-5.50555
0.12,-14.11787,-0.04628,0.17191,0.40403,0.06255,0.0085,0.74011,6.85107,-0.02231,2.32131,0.02568,0.22822,-0.07053,0.32417,7.54658,0.77724,-0.29268,0.05267,-0.25626,-0.03702,11.71412,36.39621,-4.18925,20.74517,-14.91617,2.1815,4.51137,7.72473,-35.09276,5.84054,22.71925,-14.55615,-6.05863,-5.48333
0.14,-14.17797,0.58565,0.24019,0.40757,0.06498,0.00886,0.67529,6.58738,-0.00877,2.17933,0.03103,0.21433,-0.06237,0.32551,7.55068,0.77478,-0.29854,0.05237,-0.25574,-0.03762,11.74771,36.45269,-4.20691,20.54218,-14.91995,2.10175,4.47883,7.76714,-35.16251,5.86307,22.59036,-14.58924,-6.01928,-5.46093
0.16,-14.23914,1.31355,0.30682,0.41083,0.06726,0.00921,0.603,6.27642,0.00568,2.01497,0.03705,0.19805,-0.05344,0.32734,7.55452,0.77192,-0.3064,0.05194,-0.25508,-0.03846,11.7752,36.50477,-4.22502,20.33859,-14.92283,2.02324,4.44653,7.80913,-35.23374,5.88494,22.46056,-14.62192,-5.97967,-5.4383
0.18,-14.29148,2.11367,0.3637,0.41378,0.06949,0.00955,0.52736,5.92678,0.01993,1.83442,0.04346,0.1799,-0.04435,0.32939,7.55834,0.76843,-0.31677,0.05138,-0.25425,-0.03961,11.80186,36.55295,-4.24589,20.11544,-14.92543,1.93902,4.41074,7.85013,-35.311,5.90676,22.33008,-14.65407,-5.94018,-5.41634
0.2,-14.31766,2.94112,0.39362,0.41621,0.0714,0.00986,0.45566,5.54982,0.03232,1.64719,0.04985,0.1606,-0.03608,0.33246,7.561,0.76478,-0.32889,0.05068,-0.25326,-0.041,11.81922,36.59315,-4.26409,19.92511,-14.92646,1.868,4.38138,7.89242,-35.38286,5.92686,22.1984,-14.68612,-5.89935,-5.3927
0.22,-14.28827,3.73535,0.36256,0.41783,0.07271,0.0101,0.39804,5.15823,0.04067,1.4657,0.05575,0.14103,-0.03011,0.33745,7.56166,0.76152,-0.34164,0.0499,-0.25211,-0.04253,11.82187,36.62054,-4.27357,19.83367,-14.92458,1.83278,4.37063,7.93953,-35.4361,5.94339,22.06473,-14.7187,-5.85529,-5.36438
0.24,-14.13359,4.42442,0.19173,0.41897,0.07372,0.0103,0.3732,4.75268,0.04133,1.30685,0.06075,0.12183,-0.02955,0.34316,7.56027,0.75817,-0.35541,0.04902,-0.25081,-0.04422,11.8224,36.63982,-4.28085,19.77955,-14.92169,1.81072,4.36634,7.98741,-35.48345,5.95829,21.93002,-14.75117,-5.80987,-5.33448
0.26,-13.75273,4.92702,-0.24045,0.41988,0.07469,0.01049,0.40394,4.3236,0.03007,1.18758,0.06456,0.10326,-0.03834,0.34858,7.55692,0.75432,-0.37027,0.04809,-0.24934,-0.04604,11.8293,36.65549,-4.29098,19.70972,-14.91909,1.78295,4.35841,8.03397,-35.53576,5.97333,21.79458,-14.78319,-5.76442,-5.30544
0.28,-12.99136,5.15647,-1.12865,0.4204,0.07555,0.01066,0.5237,3.82992,0.00125,1.12379,0.06727,0.08456,-0.06233,0.3541,7.55251,0.75,-0.38524,0.04716,-0.24774,-0.04789,11.84198,36.66662,-4.30193,19.64516,-14.91575,1.75673,4.35143,8.08392,-35.59029,5.98845,21.6579,-14.8154,-5.71794,-5.27584
0.3,-11.59526,4.99063,-2.79093,0.42108,0.07628,0.01079,0.78764,3.17315,-0.05448,1.1352,0.0694,0.06316,-0.11143,0.35828,7.54002,0.74616,-0.39718,0.04635,-0.24608,-0.04941,11.85508,36.67474,-4.31303,19.5838,-14.91307,1.73076,4.34273,8.12805,-35.64001,6.00262,21.52265,-14.84621,-5.67285,-5.24787
0.32,-9.66735,4.31085,-5.09876,0.42255,0.07683,0.01088,1.17965,2.49764,-0.13056,1.25136,0.07089,0.04523,-0.18213,0.35932,7.5116,0.74394,-0.40237,0.04581,-0.24442,-0.05016,11.86338,36.68242,-4.32414,19.51732,-14.91282,1.70118,4.32786,8.15773,-35.67855,6.01516,21.38764,-14.87469,-5.63055,-5.22361
0.34,-8.58711,2.47047,-6.18872,0.4244,0.07731,0.01094,1.50089,2.81693,-0.18229,1.65282,0.06672,0.07222,-0.23382,0.35784,7.47154,0.74274,-0.39952,0.04567,-0.24282,-0.04998,11.87291,36.68838,-4.33521,19.45368,-14.91309,1.67062,4.31065,8.18343,-35.71059,6.02701,21.25633,-14.90153,-5.59095,-5.20177
0.36,-7.57111,0.07939,-7.1866,0.42628,0.0778,0.01096,1.84193,3.31212,-0.23574,2.15356,0.06068,0.10815,-0.28838,0.35425,7.42353,0.74213,-0.38719,0.04604,-0.24138,-0.04866,11.88978,36.69221,-4.34677,19.39378,-14.91233,1.639,4.29301,8.21486,-35.74188,6.03939,21.12846,-14.9279,-5.55321,-5.18108
0.38,-6.82056,-1.87246,-7.97792,0.42831,0.07821,0.01093,2.11242,4.13715,-0.26106,2.60424,0.05487,0.15462,-0.31958,0.34762,7.36479,0.74274,-0.36264,0.04712,-0.24021,-0.04572,11.91397,36.69664,-4.35903,19.33236,-14.91103,1.60311,4.27223,8.2552,-35.77378,6.0535,20.98692,-14.95682,-5.51262,-5.15981
